指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q2),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q2),关注度
="950125",科创半导体材料设备,2024-07-26,=-0.0175,=4072.3400,=0.8956,=176.0676,=0.8275,=70.4245,=117.4341,=134.5460,=171.0455,=348.7588,=10.5070,=0.8922,=2.8469,=4.8039,=5.5621,=7.1198,=17.6268,=23.6112,=0.8941,=7.2923,=10.9939,=13.0601,=15.8154,=37.4011,=0.0010,=0.4725,=0.0006,=0.0008,=0.0013,=0.0016,=0.0028,=0.0401,=0.0371,=0.0180,=153
="931743",半导体材料设备,2012-12-21,=-0.0163,=9227.2545,=0.7920,=130.1900,=0.9037,=30.1973,=40.3366,=61.4660,=91.4592,=224.0742,=10.3815,=0.9113,=2.5588,=3.4564,=4.3398,=7.2281,=17.1334,=16.4969,=0.9240,=2.5903,=3.1826,=3.8650,=11.4198,=25.3851,=0.0013,=0.0760,=0.0009,=0.0020,=0.0028,=0.0045,=0.0073,=0.0498,=0.0706,=0.0390,=305
="931865",中证半导,2019-03-20,=-0.0150,=8134.8175,=0.6438,=145.5331,=0.8763,=32.8138,=46.1226,=74.1299,=131.7966,=255.0466,=10.7176,=0.9221,=3.3892,=4.1536,=5.3105,=8.6229,=15.8034,=18.9553,=0.9231,=6.4190,=7.7157,=8.8323,=15.3555,=28.9040,=0.0009,=0.1266,=0.0006,=0.0010,=0.0020,=0.0024,=0.0032,=0.0432,=0.0580,=0.0301,=220
="931144",通信技术,2019-05-30,=-0.0178,=3635.7139,=0.5616,=59.9925,=0.8707,=22.8153,=30.5283,=37.1986,=52.6878,=113.1406,=10.1835,=0.9512,=2.5671,=3.1138,=3.7484,=4.8380,=15.3977,=6.1340,=0.9461,=1.6428,=2.1096,=2.5097,=3.4267,=9.4991,=0.0033,=0.0573,=0.0021,=0.0043,=0.0064,=0.0100,=0.0166,=0.1157,=0.1354,=0.0739,=258
="000685",科创芯片,2022-06-13,=-0.0175,=3832.0200,=0.4663,=151.9737,=0.5745,=42.1555,=70.8841,=119.7272,=181.3776,=335.4323,=10.3807,=0.9270,=3.1235,=4.1005,=5.2093,=7.8066,=15.4697,=20.1409,=0.9260,=7.4796,=10.0910,=12.3465,=15.9770,=31.9311,=0.0009,=0.1168,=0.0005,=0.0010,=0.0015,=0.0021,=0.0026,=0.0456,=0.0415,=0.0173,=519
="H30184",半导体,2013-07-15,=-0.0173,=12749.9508,=0.3855,=89.5985,=0.5897,=33.2056,=51.8287,=79.2355,=107.9511,=186.6477,=8.3090,=0.8775,=2.5082,=3.4441,=4.9183,=7.5067,=12.7528,=12.7396,=0.9567,=1.3963,=2.6456,=7.0524,=9.6725,=20.0377,=0.0015,=0.1085,=0.0010,=0.0017,=0.0024,=0.0034,=0.0070,=0.0588,=0.0527,=0.0230,=3407
="932066",半导体行业精选,2023-11-10,=-0.0187,=5512.4924,=0.3571,=74.3085,=0.3123,=50.1901,=65.4144,=83.3844,=99.8752,=142.8699,=8.1348,=0.7405,=3.1655,=4.1680,=6.8020,=8.4395,=12.2533,=12.0804,=0.7082,=6.6489,=8.4227,=10.8833,=12.6198,=18.4956,=0.0018,=0.2991,=0.0012,=0.0017,=0.0022,=0.0028,=0.0034,=0.0665,=0.0794,=0.0376,=7
="931079",5G通信,2019-04-25,=-0.0178,=2566.8159,=0.3314,=45.1041,=0.8123,=21.0709,=27.7358,=33.8176,=44.7688,=103.6981,=7.2068,=0.9485,=2.3623,=3.0521,=3.6463,=5.3823,=10.5199,=2.8287,=0.9373,=1.1916,=1.4931,=1.8909,=2.3743,=4.2354,=0.0064,=0.3165,=0.0036,=0.0056,=0.0082,=0.0121,=0.0152,=0.0942,=0.1398,=0.0637,=2290
="990001",中华半导体芯片,2019-03-18,=-0.0178,=16061.7083,=0.3287,=92.3334,=0.5795,=33.1780,=61.6100,=86.4112,=116.8886,=187.5449,=8.2365,=0.8698,=3.1429,=4.2882,=5.3632,=7.5254,=12.4905,=12.4682,=0.9525,=3.3238,=6.0989,=7.1386,=9.6261,=19.5120,=0.0013,=0.0745,=0.0008,=0.0016,=0.0021,=0.0028,=0.0056,=0.0564,=0.0410,=0.0254,=1388
="H30007",芯片产业,2012-12-20,=-0.0178,=4176.5447,=0.3189,=83.3207,=0.5938,=24.2382,=40.3144,=72.0274,=113.4115,=186.5687,=8.3284,=0.9146,=1.9412,=3.6288,=4.5608,=7.3085,=12.9184,=12.2304,=0.9654,=1.5871,=3.7177,=6.5695,=8.4188,=19.5328,=0.0013,=0.0602,=0.0008,=0.0017,=0.0023,=0.0046,=0.0105,=0.0667,=0.0446,=0.0267,=546
