指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0049,=12168.9200,=-0.0481,=5.7892,=0.7424,=3.2016,=4.0741,=5.1948,=5.9045,=7.9938,=0.5456,=0.3955,=0.3790,=0.4566,=0.5668,=0.7138,=1.0569,=2.1729,=0.8167,=1.0856,=1.4316,=1.7439,=2.1294,=2.9053,,=0.0881,,=0.0504,=92
="H11146",港股通内地金融,2010-06-02,=-0.0076,=1119.8600,=0.0174,=6.0477,=0.5109,=3.2759,=4.5181,=6.0005,=6.7473,=9.2347,=0.6137,=0.3926,=0.3797,=0.4941,=0.6732,=0.8760,=1.1859,=1.5622,=0.7638,=0.6692,=0.9479,=1.2861,=1.5978,=2.1885,,=0.0970,,=0.0478,=37
="930792",HK银行,2016-04-22,=-0.0003,=4787.9600,=0.0870,=6.6389,=0.7687,=3.2659,=4.4645,=5.8328,=6.7741,=9.5632,=0.6461,=0.5434,=0.3905,=0.4964,=0.6259,=0.8010,=1.0771,=2.5255,=0.8681,=1.0519,=1.5167,=1.8461,=2.3807,=3.1066,,=0.0901,,=0.0476,=749
="399986",中证银行,2013-07-15,=0.0022,=7021.5800,=-0.0765,=6.7500,=0.7596,=4.1183,=5.2599,=6.2706,=6.8477,=9.0846,=0.6420,=0.2986,=0.4848,=0.5836,=0.7209,=0.8984,=1.2416,=2.5338,=0.8181,=1.4134,=1.7842,=2.1311,=2.4861,=3.3016,=0.0226,=0.0881,=0.0236,=0.0436,=9534
="H30106",H300金融服务,2013-05-21,=-0.0001,=1597.3700,=0.0556,=6.8820,=0.4806,=4.0175,=5.3653,=6.9681,=7.7687,=11.1922,=0.7381,=0.4822,=0.4470,=0.5779,=0.7464,=0.9081,=1.2489,=1.9671,=0.8549,=0.8557,=1.1817,=1.4605,=1.8783,=2.3593,,=0.1014,,=0.0451,=17
="000018",180金融,2007-12-10,=0.0001,=5176.8100,=-0.1285,=7.1486,=0.3522,=5.2016,=6.4287,=7.4973,=8.3012,=10.8609,=0.7271,=0.2416,=0.5902,=0.6965,=0.8771,=1.0696,=1.4199,=2.1466,=0.7563,=1.2355,=1.5824,=1.9417,=2.2066,=2.8772,=0.0229,=0.0959,=0.0245,=0.0407,=770
="399809",保险主题,2015-02-13,=-0.0067,=2164.0700,=-0.1888,=7.1696,=0.2660,=5.4537,=6.8114,=10.5912,=15.0245,=22.8725,=0.7677,=0.2045,=0.6352,=0.7666,=1.2252,=1.4858,=1.9794,=2.0882,=0.9072,=0.5239,=0.8688,=1.0970,=1.4354,=2.3772,=0.0227,=0.1015,=0.0246,=0.0404,=1485
="000818",细分金融,2012-04-11,=0.0007,=6464.8600,=-0.1244,=7.2558,=0.3332,=5.2356,=6.4974,=7.6851,=8.4810,=10.9951,=0.7380,=0.2433,=0.5930,=0.7010,=0.8948,=1.0928,=1.4303,=2.1977,=0.7513,=1.2689,=1.6354,=1.9807,=2.2602,=2.9111,=0.0231,=0.0956,=0.0246,=0.0399,=6
="931233",港股通央企红利,2017-06-28,=-0.0106,=1215,=0.0422,=7.3908,=0.7770,=3.6988,=4.9516,=6.3250,=7.4515,=14.0775,=0.6952,=0.6128,=0.3929,=0.5221,=0.6448,=0.8640,=1.8161,=1.0035,=0.5623,=0.4645,=0.6207,=0.9456,=1.3913,=1.7583,,=0.0906,,=0.0506,=442
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0109,=4335.4100,=0.0783,=7.4449,=0.9316,=4.1647,=4.6248,=5.6403,=6.9373,=7.8218,=0.6956,=0.8440,=0.4381,=0.4941,=0.5869,=0.6844,=0.7455,=0.9893,=0.9261,=0.5323,=0.5933,=0.7379,=0.9237,=1.0366,,=0.0921,,=0.0507,=234
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0096,=2964.4100,=0.0653,=7.5218,=0.9444,=3.7550,=5.0449,=5.8082,=6.7243,=7.9027,=0.7533,=0.8538,=0.4590,=0.5781,=0.6393,=0.7365,=0.8175,=1.1445,=0.9378,=0.5101,=0.6878,=0.7956,=0.9089,=1.2126,,,,=0.0498,=275
