指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0026,=12465.7200,=-0.0249,=5.9912,=0.8477,=3.2016,=4.0497,=5.1666,=5.8876,=7.9938,=0.5668,=0.5002,=0.3790,=0.4552,=0.5668,=0.7162,=1.0569,=2.2832,=0.9021,=1.0856,=1.4281,=1.7370,=2.0804,=2.9053,,=0.0932,,=0.0530,=80
="H11146",港股通内地金融,2010-06-02,=0.0039,=1105.0100,=0.0039,=6.3194,=0.6238,=3.2759,=4.5177,=5.8724,=6.7500,=9.2347,=0.6424,=0.4256,=0.3797,=0.4938,=0.6813,=0.8774,=1.1859,=1.6338,=0.8395,=0.6692,=0.9478,=1.2645,=1.5896,=2.1885,,=0.0962,,=0.0470,=32
="399986",中证银行,2013-07-15,=-0.0042,=7326.5900,=-0.0364,=6.8812,=0.8203,=4.1183,=5.2599,=6.2222,=6.8099,=9.0846,=0.6751,=0.3784,=0.4848,=0.5836,=0.7251,=0.9064,=1.2416,=2.6227,=0.8871,=1.4134,=1.7842,=2.1175,=2.4444,=3.3016,=0.0685,=0.0932,=0.0729,=0.0452,=9434
="930792",HK银行,2016-04-22,=0.0065,=4450.6100,=0.0104,=6.9015,=0.8301,=3.2659,=4.4511,=5.7816,=6.7364,=9.5632,=0.6501,=0.5581,=0.3905,=0.4958,=0.6236,=0.8028,=1.0771,=2.5927,=0.9337,=1.0519,=1.5153,=1.8312,=2.3209,=3.1066,,=0.0964,,=0.0499,=740
="H30106",H300金融服务,2013-05-21,=0.0085,=1544.7863,=0.0208,=7.2153,=0.5967,=4.0175,=5.3642,=6.9012,=7.7688,=11.1922,=0.7662,=0.5245,=0.4470,=0.5777,=0.7481,=0.9083,=1.2489,=2.0310,=0.8999,=0.8557,=1.1816,=1.4547,=1.8441,=2.3593,,=0.1014,,=0.0446,=17
="399809",保险主题,2015-02-13,=0.0030,=2535.1500,=-0.0498,=7.3724,=0.3050,=5.4537,=6.8114,=10.6490,=15.0245,=22.8725,=0.8299,=0.3157,=0.6352,=0.7667,=1.2288,=1.4858,=1.9794,=2.1669,=0.9394,=0.5239,=0.8688,=1.0978,=1.3732,=2.3772,=0.0826,=0.1040,=0.0824,=0.0394,=1465
="000018",180金融,2007-12-10,=-0.0016,=5560.9500,=-0.0639,=7.4163,=0.4687,=5.2016,=6.4287,=7.4964,=8.3012,=10.8609,=0.7907,=0.3512,=0.5902,=0.6965,=0.8917,=1.0738,=1.4199,=2.2482,=0.8384,=1.2355,=1.5824,=1.9271,=2.1886,=2.8772,=0.0783,=0.0973,=0.0761,=0.0395,=765
="000818",细分金融,2012-04-11,=-0.0023,=6929.0100,=-0.0616,=7.5455,=0.4621,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.8039,=0.3458,=0.5930,=0.7010,=0.9091,=1.0987,=1.4303,=2.3038,=0.8409,=1.2689,=1.6354,=1.9719,=2.2437,=2.9111,=0.0780,=0.0969,=0.0769,=0.0386,=6
="931233",港股通央企红利,2017-06-28,=0.0039,=1256.1700,=0.0775,=7.5965,=0.8430,=3.6988,=4.9373,=6.2838,=7.4223,=14.0775,=0.7242,=0.6793,=0.3929,=0.5213,=0.6411,=0.8682,=1.8161,=1.0422,=0.5953,=0.4645,=0.6185,=0.9355,=1.3944,=1.7583,,=0.0974,,=0.0532,=398
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0086,=4428.4800,=0.1014,=7.6143,=1,=4.1647,=4.6084,=5.5637,=6.8373,=7.6143,=0.7178,=0.9971,=0.4381,=0.4919,=0.5811,=0.6716,=0.7227,=1.0162,=0.9985,=0.5323,=0.5912,=0.7273,=0.9104,=1.0190,,=0.0980,,=0.0528,=204
