指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=0.0049,=12087.6000,=-0.0545,=5.7630,=0.7245,=3.2016,=4.0769,=5.2138,=5.9046,=7.9938,=0.5439,=0.3870,=0.3790,=0.4571,=0.5660,=0.7129,=1.0569,=2.1631,=0.8083,=1.0856,=1.4324,=1.7477,=2.1410,=2.9053,=0.0506,=0.3329,=0.0324,=0.0492,=0.0547,=0.0739,=0.0997,,=0.0881,,=99
="H11146",港股通内地金融,2010-06-02,=0.0141,=1113.0700,=0.0112,=6.0271,=0.5000,=3.2759,=4.5177,=6.0271,=6.7500,=9.2347,=0.6119,=0.3954,=0.3797,=0.4938,=0.6664,=0.8765,=1.1859,=1.5612,=0.7587,=0.6692,=0.9478,=1.3016,=1.5984,=2.1885,=0.0478,=0.4217,=0.0302,=0.0445,=0.0505,=0.0726,=0.0994,,=0.0970,,=40
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0018,=3972.3300,=-0.0120,=6.6022,=0.6831,=4.1647,=4.6400,=5.6613,=6.9753,=7.8218,=0.6125,=0.5539,=0.4381,=0.4947,=0.5925,=0.6871,=0.7455,=1.0351,=0.9867,=0.5323,=0.5960,=0.7426,=0.9376,=1.0875,=0.0539,=0.0945,=0.0487,=0.0571,=0.0704,=0.0865,=0.0936,,=0.0921,,=245
="930792",HK银行,2016-04-22,=-0.0027,=4819.0600,=0.0941,=6.6499,=0.7656,=3.2659,=4.4606,=5.8696,=6.7902,=9.5632,=0.6478,=0.5528,=0.3905,=0.4962,=0.6246,=0.8015,=1.0771,=2.5324,=0.8660,=1.0519,=1.5163,=1.8616,=2.3973,=3.1066,=0.0474,=0.1140,=0.0355,=0.0502,=0.0564,=0.0743,=0.1045,,=0.0901,,=754
="399986",中证银行,2013-07-15,=0.0077,=6992.9800,=-0.0803,=6.7304,=0.7443,=4.1183,=5.2599,=6.2868,=6.8529,=9.0846,=0.6413,=0.2973,=0.4848,=0.5836,=0.7181,=0.8984,=1.2416,=2.5265,=0.8070,=1.4134,=1.7842,=2.1464,=2.5097,=3.3016,=0.0438,=0.3621,=0.0285,=0.0411,=0.0462,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9572
="H30106",H300金融服务,2013-05-21,=0.0082,=1565.3300,=0.0344,=6.8780,=0.4765,=4.0175,=5.3642,=6.9740,=7.7688,=11.1922,=0.7376,=0.4870,=0.4470,=0.5777,=0.7423,=0.9083,=1.2489,=1.9657,=0.8516,=0.8557,=1.1816,=1.4666,=1.8884,=2.3593,=0.0452,=0.3581,=0.0288,=0.0433,=0.0473,=0.0664,=0.0918,,=0.1014,,=21
="931233",港股通央企红利,2017-06-28,=-0.0027,=1129.3700,=-0.0313,=7.0327,=0.6571,=3.6988,=4.9591,=6.3431,=7.4458,=14.0775,=0.6615,=0.5409,=0.3929,=0.5225,=0.6452,=0.8600,=1.8161,=0.9548,=0.5061,=0.4645,=0.6222,=0.9484,=1.3900,=1.7583,=0.0532,=0.2737,=0.0394,=0.0519,=0.0571,=0.0799,=0.1038,,=0.0906,,=454
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0069,=2808.4900,=0.0093,=7.1453,=0.8567,=3.7550,=5.0477,=5.8264,=6.7845,=7.9027,=0.7167,=0.7558,=0.4590,=0.5786,=0.6402,=0.7401,=0.8175,=1.0869,=0.8812,=0.5101,=0.6883,=0.7979,=0.9132,=1.2126,=0.0524,=0.1284,=0.0478,=0.0537,=0.0623,=0.0792,=0.1052,,=0.0994,,=282
="H11140",香港红利,2009-07-23,=-0.0011,=3766.8400,=0.0316,=7.1615,=0.7094,=3.0693,=4.4494,=5.9820,=7.9495,=13.9623,=0.6760,=0.5359,=0.3833,=0.5103,=0.6294,=0.8661,=1.1652,=1.1393,=0.6340,=0.5431,=0.7455,=0.9723,=1.4236,=2.1349,=0.0549,=0.1698,=0.0382,=0.0562,=0.0637,=0.0876,=0.1281,,=0.0912,,=46
="000018",180金融,2007-12-10,=0.0304,=5266.9200,=-0.1134,=7.1818,=0.3592,=5.2016,=6.4287,=7.4973,=8.3012,=10.8609,=0.7344,=0.2520,=0.5902,=0.6965,=0.8712,=1.0696,=1.4199,=2.1572,=0.7584,=1.2355,=1.5824,=1.9505,=2.2073,=2.8772,=0.0405,=0.5798,=0.0246,=0.0353,=0.0392,=0.0493,=0.0636,=0.0229,=0.0959,=0.0245,=776
