指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),股息率,关注度
="931039",银行AH,2017-12-06,=0.0113,=12432.8400,=-0.0275,=5.8585,=0.7746,=3.2016,=4.0755,=5.2015,=5.9035,=7.9938,=0.5523,=0.4280,=0.3790,=0.4566,=0.5664,=0.7135,=1.0569,=2.1990,=0.8295,=1.0856,=1.4316,=1.7455,=2.1341,=2.9053,,=0.0881,,=0.0498,=98
="H11146",港股通内地金融,2010-06-02,=0.0090,=1120.0500,=0.0176,=6.0662,=0.5142,=3.2759,=4.5177,=6.0087,=6.7500,=9.2347,=0.6155,=0.3970,=0.3797,=0.4938,=0.6708,=0.8765,=1.1859,=1.5669,=0.7676,=0.6692,=0.9478,=1.2937,=1.5980,=2.1885,,=0.0970,,=0.0476,=40
="930792",HK银行,2016-04-22,=0.0142,=4889.6000,=0.1101,=6.7409,=0.7916,=3.2659,=4.4606,=5.8434,=6.7741,=9.5632,=0.6560,=0.5776,=0.3905,=0.4962,=0.6246,=0.8015,=1.0771,=2.5643,=0.9013,=1.0519,=1.5163,=1.8520,=2.3899,=3.1066,,=0.0901,,=0.0469,=753
="399986",中证银行,2013-07-15,=0.0061,=7208.1700,=-0.0520,=6.8714,=0.8102,=4.1183,=5.2599,=6.2788,=6.8478,=9.0846,=0.6536,=0.3309,=0.4848,=0.5836,=0.7197,=0.8984,=1.2416,=2.5794,=0.8535,=1.4134,=1.7842,=2.1386,=2.4950,=3.3016,=0.0226,=0.0881,=0.0236,=0.0429,=9552
="H30106",H300金融服务,2013-05-21,=0.0084,=1601.1700,=0.0581,=6.9154,=0.4874,=4.0175,=5.3642,=6.9687,=7.7688,=11.1922,=0.7417,=0.4931,=0.4470,=0.5777,=0.7445,=0.9083,=1.2489,=1.9767,=0.8577,=0.8557,=1.1816,=1.4622,=1.8841,=2.3593,,=0.1014,,=0.0449,=21
="000018",180金融,2007-12-10,=0.0054,=5264.3300,=-0.1138,=7.2347,=0.3845,=5.2016,=6.4287,=7.4973,=8.3012,=10.8609,=0.7358,=0.2521,=0.5902,=0.6965,=0.8745,=1.0696,=1.4199,=2.1724,=0.7743,=1.2355,=1.5824,=1.9453,=2.2066,=2.8772,=0.0229,=0.0959,=0.0245,=0.0402,=774
="399809",保险主题,2015-02-13,=-0.0036,=2140.1500,=-0.1978,=7.2434,=0.2925,=5.4537,=6.8114,=10.5379,=15.0245,=22.8725,=0.7756,=0.2285,=0.6352,=0.7660,=1.2256,=1.4858,=1.9794,=2.1097,=0.9101,=0.5239,=0.8688,=1.0963,=1.4648,=2.3772,=0.0227,=0.1015,=0.0246,=0.0400,=1490
="000818",细分金融,2012-04-11,=0.0049,=6544.9300,=-0.1136,=7.3313,=0.3614,=5.2356,=6.4974,=7.6854,=8.4810,=10.9951,=0.7457,=0.2508,=0.5930,=0.7010,=0.8929,=1.0928,=1.4303,=2.2206,=0.7715,=1.2689,=1.6354,=1.9838,=2.2602,=2.9111,=0.0231,=0.0956,=0.0246,=0.0395,=7
="931233",港股通央企红利,2017-06-28,=0.0034,=1212.6600,=0.0402,=7.4196,=0.7895,=3.6988,=4.9518,=6.3285,=7.4512,=14.0775,=0.6979,=0.6219,=0.3929,=0.5221,=0.6448,=0.8636,=1.8161,=1.0074,=0.5676,=0.4645,=0.6212,=0.9469,=1.3910,=1.7583,,=0.0906,,=0.0504,=450
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0037,=4308.3100,=0.0715,=7.4606,=0.9350,=4.1647,=4.6262,=5.6478,=6.9733,=7.8218,=0.6971,=0.8496,=0.4381,=0.4942,=0.5879,=0.6864,=0.7455,=0.9914,=0.9295,=0.5323,=0.5950,=0.7404,=0.9295,=1.0366,,=0.0921,,=0.0506,=235
="987016",港股通红利低波,2021-11-18,,,=0.1374,=7.5531,=0.9374,=3.4544,=4.2989,=4.9216,=6.7560,=8.0054,=0.6978,=0.9120,=0.4152,=0.4871,=0.5384,=0.6553,=0.7529,=1.2302,=0.9292,=0.5827,=0.6592,=0.7925,=1.1040,=1.3012,,=0.0893,,=0.0511,=151
="931024",港股通非银,2017-11-06,=0.0013,=4028.9100,=-0.0616,=7.5555,=0.0260,=6.7549,=8.6334,=11.1327,=13.3698,=22.4310,=1.0283,=0.4654,=0.6237,=0.8475,=1.0483,=1.2241,=1.7592,=1.2652,=0.8277,=0.5870,=0.8751,=1.0125,=1.2276,=2.2002,,=0.1344,,=0.0388,=191
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0112,=3069.6200,=0.1031,=7.5919,=0.9537,=3.7550,=5.0463,=5.8108,=6.7471,=7.9027,=0.7609,=0.8851,=0.4590,=0.5783,=0.6396,=0.7384,=0.8175,=1.1541,=0.9452,=0.5101,=0.6878,=0.7964,=0.9095,=1.2126,,,,=0.0493,=277
="H11140",香港红利,2009-07-23,=0.0085,=4062.4600,=0.1126,=7.6273,=0.7681,=3.0693,=4.4494,=5.9820,=8.1385,=13.9623,=0.7200,=0.6145,=0.3833,=0.5103,=0.6294,=0.8661,=1.1652,=1.2134,=0.6944,=0.5431,=0.7455,=0.9723,=1.5057,=2.1349,,=0.0912,,=0.0516,=44
="000914",300金融,2007-07-02,=0.0043,=5943.9500,=-0.1152,=7.6780,=0.4369,=5.2769,=6.6022,=7.8376,=8.6017,=11.3863,=0.7432,=0.2475,=0.5962,=0.7048,=0.9133,=1.1328,=1.4919,=2.0918,=0.8016,=1.1210,=1.4310,=1.8121,=2.0889,=2.7052,=0.0223,=0.0897,=0.0236,=0.0391,=343
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0001,=4629.8300,=0.0362,=7.8100,=0.8707,=3.5572,=4.6410,=5.9851,=7.1962,=9.5068,=0.7033,=0.6899,=0.3828,=0.4851,=0.5798,=0.8155,=1.1073,=0.9416,=0.5812,=0.4386,=0.6554,=0.8489,=1.4151,=2.0623,,,,=0.0516,=1507
="H30270",红利价值,2013-12-19,=-0.0004,=9774.9700,=0.0255,=7.8282,=0.7457,=4.4543,=5.4295,=6.7529,=8.7221,=13.0955,=0.7852,=0.5632,=0.5256,=0.6487,=0.7628,=1.2483,=1.7317,=1.5865,=0.9720,=0.5854,=0.8115,=0.9989,=1.2957,=1.6637,=0.0235,=0.0936,=0.0240,=0.0424,=197
="HSHDYI",恒生高股息率指数,2012-12-10,=-0.0039,=1344.7800,=0.0543,=7.9183,=0.8187,=3.6777,=4.8612,=6.6079,=7.8173,=10.6953,=0.7271,=0.5951,=0.4041,=0.5046,=0.6481,=0.9078,=1.1746,=1.1532,=0.5959,=0.5013,=0.7008,=1.0654,=1.5005,=1.9871,,,,=0.0516,=911
="931157",SHS红利成长LV,2019-04-25,=-0.0018,=7322.2300,=-0.0177,=7.9547,=0.6746,=4.1261,=5.5886,=6.9110,=8.3396,=11.5318,=0.7964,=0.4666,=0.5154,=0.6254,=0.8087,=0.9250,=1.5888,=1.5559,=0.9366,=0.5018,=0.7112,=1.0368,=1.4062,=1.6439,,=0.0964,,=0.0477,=329
="000934",中证金融,2009-07-03,=0.0031,=5568.5200,=-0.1118,=7.9633,=0.4517,=5.7083,=6.8944,=8.0859,=8.8714,=11.5527,=0.7531,=0.2434,=0.6117,=0.7181,=0.9195,=1.1488,=1.5017,=2.0990,=0.8160,=1.1467,=1.4503,=1.8022,=2.0779,=2.6696,=0.0220,=0.0873,=0.0231,=0.0380,=1152
="932596",港股通红利低波,2016-02-04,=0.0043,=4255.8000,=0.0972,=7.9819,=0.3706,=7.4451,=7.8406,=8.0706,=8.2874,=8.5745,=0.7487,=0.6059,=0.6528,=0.6976,=0.7283,=0.7597,=0.7956,=1.3335,=0.5235,=1.2161,=1.2815,=1.3306,=1.3627,=1.4099,,=0.0894,,=0.0487,=91
="930914",港股通高股息,2016-11-25,=0.0020,=5324.1300,=0.0827,=8.0185,=0.8224,=3.4280,=4.4190,=5.9119,=7.8125,=11.1979,=0.7726,=0.7179,=0.3979,=0.5021,=0.6149,=0.8526,=1.1764,=1.2705,=0.8105,=0.5144,=0.7039,=0.9221,=1.2554,=2.2126,,=0.0918,,=0.0501,=703
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0030,=2791.8300,=0.1268,=8.0237,=0.9549,=3.8979,=4.9488,=5.8717,=7.1941,=8.4533,=0.7160,=0.8809,=0.4277,=0.5171,=0.5774,=0.6825,=0.8197,=1.2486,=0.9315,=0.5333,=0.6966,=0.8743,=1.1192,=1.3442,,,,=0.0501,=490
="930992",沪港深红利低波,2017-06-28,=-0.0019,=5682.6700,=0.0207,=8.0843,=0.9066,=4.0130,=5.1491,=5.8731,=7.7294,=8.5109,=0.7537,=0.8964,=0.4277,=0.5368,=0.5900,=0.7224,=0.7950,=1.1958,=0.8178,=0.4496,=0.6002,=0.8469,=1.1867,=1.3912,,=0.0878,,=0.0491,=47
="000992",全指金融,2011-08-02,=0.0023,=5336.6100,=-0.1088,=8.1966,=0.4736,=5.9310,=7.1022,=8.2725,=9.0288,=11.6339,=0.7562,=0.2409,=0.6188,=0.7234,=0.9281,=1.1610,=1.5107,=2.0856,=0.8098,=1.1568,=1.4432,=1.8063,=2.0769,=2.6668,=0.0217,=0.0846,=0.0227,=0.0374,=2702
