指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0080,=12183.9000,=-0.0471,=5.8121,=0.7704,=3.2016,=4.0486,=5.1630,=5.8838,=7.9938,=0.5498,=0.4262,=0.3790,=0.4549,=0.5675,=0.7168,=1.0569,=2.2149,=0.8552,=1.0856,=1.4272,=1.7348,=2.0761,=2.9053,,=0.0932,,=0.0546,=74
="H11146",港股通内地金融,2010-06-02,=0.0028,=1081.1400,=-0.0184,=6.1742,=0.5652,=3.2759,=4.5181,=5.8503,=6.7473,=9.2347,=0.6278,=0.4044,=0.3797,=0.4941,=0.6838,=0.8770,=1.1859,=1.5959,=0.8092,=0.6692,=0.9479,=1.2609,=1.5834,=2.1885,,=0.0965,,=0.0481,=31
="399986",中证银行,2013-07-15,=0.0092,=7151.3900,=-0.0594,=6.7070,=0.7561,=4.1183,=5.2599,=6.2136,=6.8066,=9.0846,=0.6580,=0.3337,=0.4848,=0.5836,=0.7258,=0.9077,=1.2416,=2.5563,=0.8533,=1.4134,=1.7842,=2.1160,=2.4394,=3.3016,=0.0685,=0.0932,=0.0729,=0.0463,=9394
="930792",HK银行,2016-04-22,=0.0121,=4430.4396,=0.0060,=6.7753,=0.8085,=3.2659,=4.4504,=5.7757,=6.7089,=9.5632,=0.6400,=0.5347,=0.3905,=0.4958,=0.6219,=0.8034,=1.0771,=2.5497,=0.9005,=1.0519,=1.5148,=1.8300,=2.3141,=3.1066,,=0.0964,,=0.0517,=736
="H30106",H300金融服务,2013-05-21,=0.0133,=1538.6500,=0.0162,=7.1025,=0.5579,=4.0175,=5.3653,=6.8844,=7.7687,=11.1922,=0.7558,=0.5109,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.0027,=0.8833,=0.8557,=1.1817,=1.4529,=1.8315,=2.3593,,=0.1034,,=0.0459,=17
="399809",保险主题,2015-02-13,=0.0061,=2502.7700,=-0.0619,=7.2282,=0.2777,=5.4537,=6.8114,=10.6460,=15.0245,=22.8725,=0.8137,=0.3004,=0.6352,=0.7667,=1.2298,=1.4858,=1.9794,=2.1246,=0.9316,=0.5239,=0.8688,=1.0978,=1.3655,=2.3772,=0.0826,=0.1038,=0.0824,=0.0402,=1454
="000018",180金融,2007-12-10,=0.0077,=5482.6800,=-0.0771,=7.2690,=0.4170,=5.2016,=6.4287,=7.4960,=8.3012,=10.8609,=0.7750,=0.2979,=0.5902,=0.6965,=0.8950,=1.0756,=1.4199,=2.2035,=0.8117,=1.2355,=1.5824,=1.9232,=2.1829,=2.8772,=0.0783,=0.0980,=0.0761,=0.0403,=762
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0018,=4405.6700,=0.0957,=7.3639,=0.9662,=4.1647,=4.6046,=5.5442,=6.8130,=7.6037,=0.6999,=0.9309,=0.4381,=0.4911,=0.5803,=0.6703,=0.7227,=0.9873,=0.9676,=0.5323,=0.5911,=0.7253,=0.9065,=1.0190,,=0.0980,,=0.0551,=194
="931233",港股通央企红利,2017-06-28,=0.0045,=1249.8000,=0.0719,=7.3695,=0.7863,=3.6988,=4.9341,=6.2645,=7.4168,=14.0775,=0.7070,=0.6493,=0.3929,=0.5213,=0.6403,=0.8688,=1.8161,=1.0149,=0.5806,=0.4645,=0.6183,=0.9342,=1.3968,=1.7583,,=0.0980,,=0.0554,=378
="000818",细分金融,2012-04-11,=0.0072,=6837.3200,=-0.0806,=7.4009,=0.4120,=5.2356,=6.4974,=7.6839,=8.4810,=10.9951,=0.7885,=0.2950,=0.5930,=0.7010,=0.9114,=1.1014,=1.4303,=2.2597,=0.8133,=1.2689,=1.6354,=1.9715,=2.2353,=2.9111,=0.0780,=0.0969,=0.0769,=0.0394,=5
