指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q2),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q2),关注度
="931024",港股通非银,2017-11-06,=-0.0042,=3896.3293,=-0.0930,=5.5654,=0,=5.5654,=8.4152,=10.8807,=13.2896,=22.4310,=0.9624,=0.3374,=0.6237,=0.8536,=1.0386,=1.2203,=1.7592,=1.0902,=0.6287,=0.5870,=0.8777,=1.0211,=1.2306,=2.2002,=0.0445,=0.9035,=0.0165,=0.0270,=0.0347,=0.0415,=0.0611,,=0.1345,=0.0629,=219
="H11146",港股通内地金融,2010-06-02,=-0.0009,=1172.2433,=0.0636,=5.8096,=0.4571,=3.2759,=4.5181,=6.0222,=6.7412,=9.2347,=0.6312,=0.4380,=0.3797,=0.4941,=0.6565,=0.8694,=1.1859,=1.5392,=0.7224,=0.6692,=0.9479,=1.3189,=1.6008,=2.1885,=0.0483,=0.4575,=0.0302,=0.0445,=0.0500,=0.0726,=0.0994,,=0.0970,=0.0476,=52
="932584",智选港股通红利低波,2026-06-11,,,,=5.9681,=0.3088,=5.4952,=5.8714,=6.0674,=6.1973,=6.4396,=0.6309,=0.5441,=0.5613,=0.5997,=0.6283,=0.6413,=0.6578,=0.9434,=0.4853,=0.8443,=0.9021,=0.9437,=0.9607,=0.9893,=0.0572,=0.7206,=0.0530,=0.0550,=0.0561,=0.0581,=0.0621,,,,=19
="931039",银行AH,2017-12-06,=-0.0038,=12892.9204,=0.0078,=6.2127,=0.9028,=3.2016,=4.1043,=5.2654,=5.9140,=7.9938,=0.5829,=0.5614,=0.3790,=0.4599,=0.5659,=0.7101,=1.0569,=2.3048,=0.9091,=1.0856,=1.4370,=1.7601,=2.1790,=2.9053,=0.0487,=0.1759,=0.0324,=0.0491,=0.0544,=0.0735,=0.0997,=0.0438,=0.0881,=0.0451,=112
="H30106",H300金融服务,2013-05-21,=-0.0016,=1658.7465,=0.0953,=6.7165,=0.4429,=4.0175,=5.3653,=6.9789,=7.7494,=11.1922,=0.7650,=0.5567,=0.4470,=0.5779,=0.7403,=0.9057,=1.2489,=1.9410,=0.8128,=0.8557,=1.1817,=1.4773,=1.9255,=2.3593,=0.0453,=0.3882,=0.0288,=0.0433,=0.0472,=0.0664,=0.0918,,=0.1014,=0.0500,=26
="931479",证券保险,2020-05-06,=-0.0089,=880.5974,=-0.1713,=6.7976,=0,=6.7976,=11.5777,=13.2902,=15.4259,=21.1012,=1.1792,=0.1594,=1.0296,=1.2181,=1.3663,=1.5565,=2.2844,=1.4342,=0.4477,=1.0318,=1.2786,=1.4715,=1.7780,=2.2879,=0.0333,=0.9852,=0.0162,=0.0225,=0.0252,=0.0291,=0.0357,=0.0884,=0.1317,=0.0613,=63
="H30035",300非银,2012-12-21,=-0.0082,=9103.6702,=-0.1837,=6.8873,=0,=6.8873,=12.6163,=15.1143,=19.3163,=26.3489,=1.1924,=0.0927,=1.0544,=1.2917,=1.5956,=2.0357,=2.4387,=1.4434,=0.2212,=1.0410,=1.4193,=1.6890,=1.9685,=2.3917,=0.0328,=0.9934,=0.0124,=0.0165,=0.0222,=0.0261,=0.0352,=0.0873,=0.1294,=0.0605,=1274
="HSMCHYI",恒生港股通中国内地企业红利指数,2019-09-01,=-0.0036,=2926.0500,=0.0515,=6.9528,=0.8002,=3.7550,=5.0590,=5.8747,=6.9528,=7.9027,=0.7553,=0.8578,=0.4590,=0.5806,=0.6437,=0.7434,=0.8175,=1.1128,=0.8952,=0.5101,=0.6897,=0.8040,=0.9429,=1.2126,=0.0514,=0.1111,=0.0474,=0.0533,=0.0617,=0.0790,=0.1052,,=0.0995,=0.0500,=287
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0020,=4122.9000,=0.0254,=6.9712,=0.7860,=4.1647,=4.6790,=5.7565,=6.9947,=7.8218,=0.6442,=0.6470,=0.4381,=0.4982,=0.6004,=0.6818,=0.7455,=1.0904,=0.9754,=0.5323,=0.5997,=0.7617,=0.9721,=1.1223,=0.0519,=0.0861,=0.0487,=0.0556,=0.0674,=0.0860,=0.0936,=0.0453,=0.0921,=0.0475,=275
="000018",180金融,2007-12-10,=-0.0047,=5395.1700,=-0.0918,=7.1093,=0.3278,=5.2016,=6.4321,=7.4926,=8.3000,=10.8609,=0.7742,=0.3381,=0.5902,=0.6966,=0.8523,=1.0574,=1.4199,=2.1620,=0.7442,=1.2355,=1.5826,=1.9638,=2.2156,=2.8772,=0.0398,=0.5437,=0.0246,=0.0353,=0.0392,=0.0493,=0.0636,=0.0529,=0.0959,=0.0477,=780
