指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0112,=12618.8100,=-0.0129,=6.0261,=0.8571,=3.2016,=4.0768,=5.2093,=5.9046,=7.9938,=0.5687,=0.5088,=0.3790,=0.4568,=0.5662,=0.7134,=1.0569,=2.2619,=0.8822,=1.0856,=1.4321,=1.7463,=2.1379,=2.9053,,=0.0881,,=0.0484,=99
="H11146",港股通内地金融,2010-06-02,=0.0044,=1158.2400,=0.0523,=6.2730,=0.5971,=3.2759,=4.5177,=6.0187,=6.7500,=9.2347,=0.6369,=0.4333,=0.3797,=0.4938,=0.6684,=0.8765,=1.1859,=1.6248,=0.8281,=0.6692,=0.9478,=1.3004,=1.5982,=2.1885,,=0.0970,,=0.0460,=40
="930792",HK银行,2016-04-22,=0.0037,=4968.7200,=0.1281,=6.8905,=0.8242,=3.2659,=4.4645,=5.8569,=6.7794,=9.5632,=0.6713,=0.6098,=0.3905,=0.4964,=0.6253,=0.8010,=1.0771,=2.6240,=0.9472,=1.0519,=1.5167,=1.8577,=2.3950,=3.1066,,=0.0901,,=0.0458,=754
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0038,=4244.7700,=0.0557,=6.9272,=0.7885,=4.1647,=4.6318,=5.6538,=6.9850,=7.8218,=0.6427,=0.6359,=0.4381,=0.4946,=0.5917,=0.6872,=0.7455,=1.0860,=0.9987,=0.5323,=0.5950,=0.7417,=0.9363,=1.0875,,=0.0921,,=0.0514,=243
="399986",中证银行,2013-07-15,=-0.0159,=7284.3700,=-0.0419,=7.0186,=0.8376,=4.1183,=5.2599,=6.2834,=6.8524,=9.0846,=0.6687,=0.3792,=0.4848,=0.5836,=0.7186,=0.8984,=1.2416,=2.6347,=0.8862,=1.4134,=1.7842,=2.1439,=2.5064,=3.3016,=0.0226,=0.0881,=0.0236,=0.0420,=9561
="H30106",H300金融服务,2013-05-21,=0.0098,=1609.8500,=0.0638,=7.0983,=0.5468,=4.0175,=5.3642,=6.9700,=7.7688,=11.1922,=0.7612,=0.5359,=0.4470,=0.5777,=0.7431,=0.9083,=1.2489,=2.0287,=0.8942,=0.8557,=1.1816,=1.4658,=1.8873,=2.3593,,=0.1014,,=0.0438,=21
="000018",180金融,2007-12-10,=-0.0054,=5376.6100,=-0.0949,=7.3988,=0.4547,=5.2016,=6.4287,=7.4973,=8.3012,=10.8609,=0.7565,=0.2770,=0.5902,=0.6965,=0.8728,=1.0696,=1.4199,=2.2223,=0.8137,=1.2355,=1.5824,=1.9494,=2.2073,=2.8772,=0.0229,=0.0959,=0.0245,=0.0393,=777
="931233",港股通央企红利,2017-06-28,=0.0040,=1193.1400,=0.0234,=7.4023,=0.7820,=3.6988,=4.9580,=6.3375,=7.4458,=14.0775,=0.6963,=0.6160,=0.3929,=0.5224,=0.6451,=0.8603,=1.8161,=1.0050,=0.5671,=0.4645,=0.6222,=0.9482,=1.3904,=1.7583,,=0.0906,,=0.0505,=452
="399809",保险主题,2015-02-13,=0.0076,=2225.7500,=-0.1657,=7.4620,=0.3351,=5.4537,=6.8114,=10.4916,=15.0245,=22.8725,=0.8004,=0.2918,=0.6352,=0.7658,=1.2249,=1.4858,=1.9794,=2.1734,=0.9369,=0.5239,=0.8688,=1.0978,=1.5198,=2.3772,=0.0227,=0.1015,=0.0246,=0.0389,=1495
="000818",细分金融,2012-04-11,=-0.0023,=6679.8900,=-0.0953,=7.5401,=0.4575,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7688,=0.2770,=0.5930,=0.7010,=0.8898,=1.0928,=1.4303,=2.2829,=0.8215,=1.2689,=1.6354,=1.9860,=2.2623,=2.9111,=0.0231,=0.0956,=0.0246,=0.0384,=7
