指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q2),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q2),关注度
="950125",科创半导体材料设备,2024-07-26,=-0.0420,=4144.8525,=0.9294,=179.2104,=0.8409,=70.4245,=117.4341,=134.2986,=170.5217,=348.7588,=10.6945,=0.8959,=2.8469,=4.8039,=5.5601,=7.0969,=17.6268,=24.0327,=0.8978,=7.2923,=10.9939,=13.0423,=15.8151,=37.4011,=0.0010,=0.4695,=0.0006,=0.0008,=0.0013,=0.0016,=0.0028,=0.0401,=0.0371,=0.0180,=153
="931743",半导体材料设备,2012-12-21,=-0.0375,=9380.4317,=0.8217,=132.2235,=0.9061,=30.1973,=40.3366,=61.4387,=91.1222,=224.0742,=10.5436,=0.9150,=2.5588,=3.4564,=4.3376,=7.2046,=17.1334,=16.7546,=0.9302,=2.5903,=3.1826,=3.8642,=11.2923,=25.3851,=0.0013,=0.0711,=0.0009,=0.0020,=0.0028,=0.0045,=0.0073,=0.0498,=0.0706,=0.0390,=305
="931865",中证半导,2019-03-20,=-0.0303,=8258.6706,=0.6688,=147.8692,=0.8860,=32.8138,=46.1226,=74.0998,=130.6956,=255.0466,=10.8897,=0.9288,=3.3892,=4.1536,=5.3103,=8.5720,=15.8034,=19.2596,=0.9288,=6.4190,=7.7157,=8.8307,=15.3486,=28.9040,=0.0009,=0.1023,=0.0006,=0.0011,=0.0020,=0.0024,=0.0032,=0.0432,=0.0580,=0.0301,=220
="931144",通信技术,2019-05-30,=-0.0256,=3701.4831,=0.5899,=61.2758,=0.8854,=22.8153,=30.4954,=37.1720,=52.6878,=113.1406,=10.4013,=0.9552,=2.5671,=3.1135,=3.7481,=4.8380,=15.3977,=6.2652,=0.9489,=1.6428,=2.1085,=2.5096,=3.4267,=9.4991,=0.0032,=0.0505,=0.0021,=0.0043,=0.0064,=0.0100,=0.0166,=0.1157,=0.1354,=0.0739,=258
="000685",科创芯片,2022-06-13,=-0.0294,=3900.1300,=0.4924,=154.6920,=0.5848,=42.1555,=70.8841,=119.7113,=181.3776,=335.4323,=10.5664,=0.9318,=3.1235,=4.1005,=5.2060,=7.7988,=15.4697,=20.5011,=0.9337,=7.4796,=10.0910,=12.3449,=15.9747,=31.9311,=0.0009,=0.1033,=0.0005,=0.0010,=0.0015,=0.0021,=0.0026,=0.0456,=0.0415,=0.0173,=518
="H30184",半导体,2013-07-15,=-0.0280,=12974.5896,=0.4099,=91.2482,=0.6033,=33.2056,=51.8137,=79.1959,=107.9511,=186.6477,=8.4620,=0.8882,=2.5082,=3.4436,=4.9145,=7.5055,=12.7528,=12.9742,=0.9629,=1.3963,=2.6456,=7.0521,=9.6629,=20.0377,=0.0015,=0.0973,=0.0010,=0.0017,=0.0024,=0.0034,=0.0070,=0.0588,=0.0527,=0.0230,=3406
="932066",半导体行业精选,2023-11-10,=-0.0275,=5617.5339,=0.3830,=75.7759,=0.3304,=50.1901,=65.4144,=83.3886,=99.8752,=142.8699,=8.2955,=0.7680,=3.1655,=4.1680,=6.7998,=8.4395,=12.2533,=12.3189,=0.7548,=6.6489,=8.4227,=10.8806,=12.6198,=18.4956,=0.0017,=0.2761,=0.0012,=0.0017,=0.0022,=0.0028,=0.0034,=0.0665,=0.0794,=0.0376,=7
="931079",5G通信,2019-04-25,=-0.0220,=2613.3671,=0.3556,=46.0073,=0.8330,=21.0709,=27.7358,=33.8135,=44.7461,=103.6981,=7.3511,=0.9524,=2.3623,=3.0521,=3.6458,=5.3809,=10.5199,=2.8853,=0.9456,=1.1916,=1.4931,=1.8907,=2.3742,=4.2354,=0.0063,=0.2960,=0.0036,=0.0056,=0.0082,=0.0121,=0.0152,=0.0942,=0.1398,=0.0637,=2290
="990001",中华半导体芯片,2019-03-18,=-0.0261,=16353.1670,=0.3528,=94.0876,=0.6052,=33.1780,=61.6100,=86.4063,=116.8886,=187.5449,=8.3929,=0.8851,=3.1429,=4.2882,=5.3628,=7.5157,=12.4905,=12.7051,=0.9553,=3.3238,=6.0989,=7.1380,=9.6110,=19.5120,=0.0013,=0.0685,=0.0008,=0.0016,=0.0021,=0.0028,=0.0056,=0.0564,=0.0410,=0.0254,=1388
="H30007",芯片产业,2012-12-20,=-0.0273,=4252.0517,=0.3428,=84.8978,=0.6120,=24.2382,=40.3144,=71.9404,=113.4115,=186.5687,=8.4861,=0.9274,=1.9412,=3.6288,=4.5572,=7.3047,=12.9184,=12.4619,=0.9662,=1.5871,=3.7145,=6.5684,=8.4126,=19.5328,=0.0013,=0.0540,=0.0008,=0.0017,=0.0023,=0.0046,=0.0105,=0.0667,=0.0446,=0.0267,=546
="H30318",科技传媒通信150,2014-04-15,=-0.0269,=4105.6874,=0.3353,=53.2764,=0.8458,=19.8534,=28.8631,=38.1291,=50.1063,=90.7292,=8.8601,=0.9670,=2.0037,=2.4801,=3.5037,=4.4254,=13.0479,=4.6508,=0.9563,=1.2409,=1.8640,=2.3034,=2.8515,=6.8164,=0.0045,=0.0396,=0.0031,=0.0058,=0.0072,=0.0165,=0.0244,=0.1033,=0.1091,=0.0497,=49
