指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=0.0110,=12374.9100,=-0.0320,=5.8890,=0.7907,=3.2016,=4.0872,=5.2355,=5.9007,=7.9938,=0.5574,=0.4567,=0.3790,=0.4581,=0.5650,=0.7119,=1.0569,=2.2104,=0.8355,=1.0856,=1.4348,=1.7514,=2.1410,=2.9053,=0.0495,=0.2359,=0.0324,=0.0492,=0.0546,=0.0738,=0.0997,,=0.0881,,=101
="H11146",港股通内地金融,2010-06-02,=0.0191,=1129.2500,=0.0259,=6.1026,=0.5249,=3.2759,=4.5177,=6.0273,=6.7500,=9.2347,=0.6196,=0.4122,=0.3797,=0.4938,=0.6627,=0.8765,=1.1859,=1.5807,=0.7791,=0.6692,=0.9478,=1.3151,=1.5984,=2.1885,=0.0472,=0.3814,=0.0302,=0.0445,=0.0502,=0.0726,=0.0994,,=0.0970,,=41
="932584",智选港股通红利低波,2026-06-11,=0.0116,=1798.1400,,=6.1749,=0.8929,=5.4952,=5.6520,=5.8714,=6.0632,=6.2685,=0.6307,=0.8929,=0.5613,=0.5773,=0.5997,=0.6193,=0.6403,=0.9487,=0.8929,=0.8443,=0.8683,=0.9021,=0.9315,=0.9631,=0.0552,=0.1071,=0.0544,=0.0562,=0.0581,=0.0600,=0.0621,,,,=11
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0159,=4113.7500,=0.0231,=6.7652,=0.7245,=4.1647,=4.6532,=5.6967,=6.9421,=7.8218,=0.6277,=0.5990,=0.4381,=0.4967,=0.5930,=0.6844,=0.7455,=1.0606,=0.9922,=0.5323,=0.5972,=0.7480,=0.9460,=1.0875,=0.0526,=0.0660,=0.0487,=0.0569,=0.0691,=0.0864,=0.0936,,=0.0921,,=260
="930792",HK银行,2016-04-22,=0.0192,=5001.7200,=0.1356,=6.8830,=0.8222,=3.2659,=4.4645,=5.8965,=6.7909,=9.5632,=0.6705,=0.6184,=0.3905,=0.4964,=0.6240,=0.8010,=1.0771,=2.6211,=0.9460,=1.0519,=1.5167,=1.8782,=2.4153,=3.1066,=0.0458,=0.0706,=0.0355,=0.0500,=0.0563,=0.0743,=0.1045,,=0.0901,,=753
="399986",中证银行,2013-07-15,=0.0056,=7191.6300,=-0.0541,=6.9471,=0.8248,=4.1183,=5.2599,=6.3031,=6.8560,=9.0846,=0.6674,=0.3842,=0.4848,=0.5836,=0.7146,=0.8948,=1.2416,=2.6078,=0.8677,=1.4134,=1.7842,=2.1634,=2.5211,=3.3016,=0.0424,=0.2613,=0.0285,=0.0411,=0.0460,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9619
="H30106",H300金融服务,2013-05-21,=0.0187,=1623.2000,=0.0727,=7.0669,=0.5318,=4.0175,=5.3642,=6.9764,=7.7688,=11.1922,=0.7572,=0.5391,=0.4470,=0.5777,=0.7402,=0.9083,=1.2489,=2.0181,=0.8837,=0.8557,=1.1816,=1.4738,=1.8970,=2.3593,=0.0440,=0.2452,=0.0288,=0.0433,=0.0472,=0.0664,=0.0918,,=0.1014,,=19
="931233",港股通央企红利,2017-06-28,=0.0153,=1163.4900,=-0.0020,=7.2584,=0.7341,=3.6988,=4.9656,=6.3747,=7.4434,=14.0775,=0.6828,=0.5884,=0.3929,=0.5230,=0.6451,=0.8592,=1.8161,=0.9855,=0.5496,=0.4645,=0.6246,=0.9472,=1.3888,=1.7583,=0.0515,=0.1793,=0.0394,=0.0519,=0.0571,=0.0797,=0.1038,,=0.0906,,=469
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0151,=2948.9300,=0.0597,=7.3854,=0.9093,=3.7550,=5.0512,=5.8356,=6.8330,=7.9027,=0.7408,=0.8044,=0.4590,=0.5793,=0.6416,=0.7390,=0.8175,=1.1238,=0.9104,=0.5101,=0.6885,=0.7991,=0.9220,=1.2126,=0.0506,=0.0619,=0.0478,=0.0537,=0.0621,=0.0791,=0.1052,,=0.0995,,=281
="H11140",香港红利,2009-07-23,=0.0166,=3921.6900,=0.0740,=7.4397,=0.7593,=3.0693,=4.4554,=5.9842,=7.7889,=13.9623,=0.7023,=0.5843,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.1836,=0.6811,=0.5431,=0.7464,=0.9724,=1.3469,=2.1349,=0.0529,=0.1370,=0.0382,=0.0560,=0.0634,=0.0876,=0.1281,,=0.0912,,=48
