指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=0.0008,=11542.4400,=-0.0971,=5.3828,=0.5505,=3.2016,=4.0788,=5.2275,=5.9035,=7.9938,=0.5080,=0.3190,=0.3790,=0.4573,=0.5659,=0.7127,=1.0569,=2.0204,=0.7340,=1.0856,=1.4328,=1.7497,=2.1400,=2.9053,=0.0542,=0.4781,=0.0324,=0.0492,=0.0547,=0.0738,=0.0997,,=0.0881,,=99
="932584",智选港股通红利低波,2026-06-11,=0.0251,=1690.4900,,=5.6036,=0.1429,=5.4959,=5.6119,=5.8849,=6.1204,=6.2685,=0.5724,=0.1429,=0.5614,=0.5732,=0.6011,=0.6252,=0.6403,=0.8609,=0.1429,=0.8444,=0.8622,=0.9041,=0.9403,=0.9631,=0.0608,=0.8571,=0.0544,=0.0557,=0.0579,=0.0608,=0.0620,,,,=7
="H11146",港股通内地金融,2010-06-02,=0.0044,=1036.5700,=-0.0583,=5.6087,=0.4032,=3.2759,=4.5181,=6.0258,=6.7473,=9.2347,=0.5695,=0.3290,=0.3797,=0.4941,=0.6650,=0.8760,=1.1859,=1.4528,=0.6491,=0.6692,=0.9479,=1.3064,=1.5982,=2.1885,=0.0514,=0.5263,=0.0302,=0.0445,=0.0504,=0.0726,=0.0994,,=0.0970,,=40
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0155,=3784.3500,=-0.0588,=6.1531,=0.6258,=4.1647,=4.6457,=5.6734,=6.9681,=7.8218,=0.5709,=0.3979,=0.4381,=0.4951,=0.5917,=0.6860,=0.7455,=0.9647,=0.8419,=0.5323,=0.5964,=0.7465,=0.9406,=1.0875,=0.0578,=0.2622,=0.0487,=0.0571,=0.0700,=0.0865,=0.0936,,=0.0921,,=247
="930792",HK银行,2016-04-22,=0.0067,=4573.2300,=0.0383,=6.2757,=0.6189,=3.2659,=4.4645,=5.8789,=6.7890,=9.5632,=0.6114,=0.4740,=0.3905,=0.4964,=0.6242,=0.8010,=1.0771,=2.3898,=0.7922,=1.0519,=1.5167,=1.8685,=2.4022,=3.1066,=0.0503,=0.2059,=0.0355,=0.0502,=0.0564,=0.0743,=0.1045,,=0.0901,,=751
="399986",中证银行,2013-07-15,=-0.0004,=6756.5600,=-0.1114,=6.4453,=0.5781,=4.1183,=5.2599,=6.2926,=6.8536,=9.0846,=0.6144,=0.2493,=0.4848,=0.5836,=0.7170,=0.8984,=1.2416,=2.4195,=0.7503,=1.4134,=1.7842,=2.1531,=2.5119,=3.3016,=0.0457,=0.4804,=0.0285,=0.0411,=0.0461,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9585
="H30106",H300金融服务,2013-05-21,=0.0073,=1496.5100,=-0.0111,=6.5148,=0.4109,=4.0175,=5.3653,=6.9710,=7.7687,=11.1922,=0.6980,=0.4088,=0.4470,=0.5779,=0.7418,=0.9081,=1.2489,=1.8604,=0.7804,=0.8557,=1.1817,=1.4680,=1.8897,=2.3593,=0.0477,=0.5190,=0.0288,=0.0433,=0.0473,=0.0664,=0.0918,,=0.1014,,=20
="931233",港股通央企红利,2017-06-28,=0.0145,=1072.0900,=-0.0804,=6.5785,=0.5442,=3.6988,=4.9618,=6.3547,=7.4456,=14.0775,=0.6188,=0.4436,=0.3929,=0.5225,=0.6451,=0.8599,=1.8161,=0.8932,=0.4458,=0.4645,=0.6229,=0.9481,=1.3896,=1.7583,=0.0569,=0.4866,=0.0394,=0.0519,=0.0571,=0.0798,=0.1038,,=0.0906,,=460
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0118,=2709.2700,=-0.0264,=6.7143,=0.7861,=3.7550,=5.0505,=5.8308,=6.7930,=7.9027,=0.6735,=0.6637,=0.4590,=0.5789,=0.6408,=0.7393,=0.8175,=1.0216,=0.8455,=0.5101,=0.6884,=0.7986,=0.9147,=1.2126,=0.0557,=0.2846,=0.0478,=0.0537,=0.0622,=0.0791,=0.1052,,=0.0995,,=281
="H11140",香港红利,2009-07-23,=0.0099,=3543.5500,=-0.0295,=6.7160,=0.6241,=3.0693,=4.4554,=5.9843,=7.8761,=13.9623,=0.6340,=0.5043,=0.3833,=0.5103,=0.6298,=0.8659,=1.1652,=1.0684,=0.5699,=0.5431,=0.7464,=0.9726,=1.3823,=2.1349,=0.0586,=0.2819,=0.0382,=0.0561,=0.0636,=0.0876,=0.1281,,=0.0912,,=46
="987016",港股通红利低波,2021-11-18,=0.0168,=1484.0447,=-0.0052,=6.7934,=0.7954,=3.4544,=4.3048,=4.9528,=6.8181,=8.0054,=0.6512,=0.7829,=0.4152,=0.4881,=0.5398,=0.6625,=0.7529,=1.0078,=0.7580,=0.5827,=0.6602,=0.7962,=1.1086,=1.3012,=0.0592,=0.1948,=0.0488,=0.0594,=0.0820,=0.0925,=0.1160,,=0.0893,,=163
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0164,=3977.2700,=-0.1098,=6.8639,=0.7323,=3.5572,=4.6525,=5.9973,=7.2248,=9.5068,=0.6185,=0.5629,=0.3828,=0.4856,=0.5818,=0.8148,=1.1073,=0.8282,=0.4685,=0.4386,=0.6561,=0.8495,=1.4136,=2.0623,=0.0587,=0.3963,=0.0385,=0.0531,=0.0643,=0.0819,=0.1103,,=0.0873,,=1527
="399809",保险主题,2015-02-13,=0.0016,=2095.2800,=-0.2146,=6.9178,=0.2208,=5.4537,=6.8114,=10.4139,=15.0245,=22.8725,=0.7421,=0.1290,=0.6352,=0.7652,=1.2248,=1.4858,=1.9794,=2.0149,=0.8714,=0.5239,=0.8688,=1.0978,=1.7227,=2.3772,=0.0419,=0.7132,=0.0120,=0.0209,=0.0297,=0.0488,=0.0686,=0.0227,=0.1015,=0.0246,=1496
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0175,=1204.4400,=-0.0557,=6.9186,=0.5739,=3.6777,=4.8612,=6.6084,=7.8179,=10.6953,=0.6351,=0.4805,=0.4041,=0.5046,=0.6474,=0.9078,=1.1746,=1.0057,=0.4273,=0.5013,=0.7008,=1.0639,=1.5005,=1.9871,=0.0589,=0.4415,=0.0423,=0.0526,=0.0604,=0.0808,=0.1102,,=0.0903,,=917
="000018",180金融,2007-12-10,=0.0025,=5153.0600,=-0.1325,=6.9744,=0.3094,=5.2016,=6.4287,=7.4973,=8.3012,=10.8609,=0.7136,=0.2270,=0.5902,=0.6965,=0.8692,=1.0696,=1.4199,=2.0949,=0.6972,=1.2355,=1.5824,=1.9546,=2.2073,=2.8772,=0.0417,=0.6251,=0.0246,=0.0353,=0.0392,=0.0493,=0.0636,=0.0229,=0.0959,=0.0245,=775
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0174,=2456.8700,=-0.0084,=7.0828,=0.7605,=3.8979,=4.9498,=5.9065,=7.2399,=8.4533,=0.6321,=0.6502,=0.4277,=0.5173,=0.5792,=0.6846,=0.8197,=1.1025,=0.7605,=0.5333,=0.6974,=0.8789,=1.1238,=1.3442,=0.0568,=0.2157,=0.0482,=0.0565,=0.0672,=0.0840,=0.1067,,=0.0894,,=495
="H30270",红利价值,2013-12-19,=0.0019,=8994.9600,=-0.0564,=7.1367,=0.6281,=4.4543,=5.4380,=6.7713,=8.7041,=13.0955,=0.7192,=0.3710,=0.5256,=0.6490,=0.7628,=1.2437,=1.7317,=1.4464,=0.9293,=0.5854,=0.8133,=1.0005,=1.3009,=1.6637,=0.0465,=0.4313,=0.0269,=0.0419,=0.0505,=0.0631,=0.0726,=0.0235,=0.0936,=0.0240,=196
="000818",细分金融,2012-04-11,=0.0032,=6465.8000,=-0.1243,=7.1443,=0.3127,=5.2356,=6.4974,=7.6839,=8.4810,=10.9951,=0.7290,=0.2344,=0.5930,=0.7010,=0.8852,=1.0928,=1.4303,=2.1630,=0.7046,=1.2689,=1.6354,=1.9911,=2.2623,=2.9111,=0.0406,=0.6720,=0.0239,=0.0331,=0.0375,=0.0471,=0.0625,=0.0231,=0.0956,=0.0246,=7
="HSSCHYS",恒生港股通红利优选指数,2023-06-01,=0.0175,=4641.8100,=-0.0005,=7.2245,=0.6627,=4.2457,=4.7375,=5.8047,=7.8507,=9.0746,=0.6762,=0.6574,=0.4429,=0.4998,=0.5852,=0.7380,=0.8283,=1.1069,=0.9289,=0.6036,=0.6759,=0.8782,=1.0409,=1.2314,=0.0642,=0.3518,=0.0497,=0.0610,=0.0726,=0.0878,=0.0947,,=0.0899,,=86
="932596",港股通红利低波,2016-02-04,=0.0097,=3783.5700,=-0.0246,=7.2246,=0.0105,=7.1791,=7.7980,=8.0328,=8.2721,=8.5745,=0.6667,=0.0890,=0.6528,=0.6952,=0.7271,=0.7575,=0.7956,=1.2468,=0.0942,=1.2161,=1.2786,=1.3261,=1.3602,=1.4099,=0.0543,=0.6963,=0.0473,=0.0494,=0.0527,=0.0550,=0.0579,,=0.0894,,=95
="931024",港股通非银,2017-11-06,=0.0150,=3783.2100,=-0.1189,=7.2297,=0.0080,=6.7549,=8.5658,=11.0555,=13.3320,=22.4310,=0.9837,=0.3821,=0.6237,=0.8497,=1.0450,=1.2219,=1.7592,=1.2113,=0.7881,=0.5870,=0.8759,=1.0155,=1.2288,=2.2002,=0.0405,=0.7745,=0.0165,=0.0266,=0.0345,=0.0414,=0.0611,,=0.1344,,=195
="930914",港股通高股息,2016-11-25,=0.0144,=4750.9300,=-0.0339,=7.2492,=0.6942,=3.4280,=4.4234,=5.9358,=7.8213,=11.1979,=0.6985,=0.5850,=0.3979,=0.5027,=0.6178,=0.8521,=1.1764,=1.1486,=0.7310,=0.5144,=0.7050,=0.9233,=1.2560,=2.2126,=0.0555,=0.2098,=0.0387,=0.0550,=0.0659,=0.0865,=0.1194,,=0.0918,,=719
="931157",SHS红利成长LV,2019-04-25,=0.0073,=6863.4400,=-0.0793,=7.2606,=0.5626,=4.1261,=5.5997,=6.9363,=8.3300,=11.5318,=0.7154,=0.3016,=0.5154,=0.6268,=0.8071,=0.9227,=1.5888,=1.5604,=0.9335,=0.5018,=0.7117,=1.0397,=1.4163,=1.6968,=0.0502,=0.5995,=0.0259,=0.0418,=0.0482,=0.0557,=0.0761,,=0.0964,,=341
="931130",红利成长低波,2018-12-04,=0.0016,=21786.9200,=-0.0813,=7.2875,=0.4058,=4.4465,=5.5810,=7.8000,=8.7167,=11.5512,=0.7266,=0.3159,=0.5279,=0.6251,=0.8996,=1.0285,=1.5803,=2.4885,=0.9488,=0.3109,=0.8147,=1.3209,=1.9249,=2.6815,=0.0432,=0.5517,=0.0246,=0.0322,=0.0424,=0.0533,=0.0639,=0.0231,=0.0934,=0.0229,=146
="930992",沪港深红利低波,2017-06-28,=0.0082,=5130.2300,=-0.0785,=7.3494,=0.7461,=4.0130,=5.1776,=5.9122,=7.7635,=8.5109,=0.6866,=0.7280,=0.4277,=0.5379,=0.5914,=0.7256,=0.7950,=1.0873,=0.7108,=0.4496,=0.6009,=0.8656,=1.1840,=1.3912,=0.0540,=0.1976,=0.0478,=0.0542,=0.0716,=0.0767,=0.0949,,=0.0878,,=50
="HSCSOE",恒生中国央企指数,2023-01-01,=0.0075,=3566.6100,=-0.0079,=7.4052,=0.7191,=4.9972,=5.5550,=6.1956,=7.7509,=8.5526,=0.7101,=0.6946,=0.5264,=0.5927,=0.6342,=0.7570,=0.8375,=0.8801,=0.8077,=0.5404,=0.5948,=0.6700,=0.8706,=1.0234,=0.0516,=0.1678,=0.0450,=0.0523,=0.0698,=0.0774,=0.0871,,=0.0956,,=115
