指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=0.0073,=12240.7207,=-0.0427,=5.7863,=0.7397,=3.2016,=4.0862,=5.2351,=5.9014,=7.9938,=0.5477,=0.4120,=0.3790,=0.4576,=0.5652,=0.7121,=1.0569,=2.1719,=0.8126,=1.0856,=1.4345,=1.7510,=2.1410,=2.9053,=0.0504,=0.3144,=0.0324,=0.0492,=0.0546,=0.0738,=0.0997,,=0.0881,,=102
="H11146",港股通内地金融,2010-06-02,=0.0015,=1108.1341,=0.0056,=5.9839,=0.4899,=3.2759,=4.5177,=6.0271,=6.7500,=9.2347,=0.6076,=0.3982,=0.3797,=0.4938,=0.6628,=0.8765,=1.1859,=1.5500,=0.7482,=0.6692,=0.9478,=1.3149,=1.5984,=2.1885,=0.0481,=0.4412,=0.0302,=0.0445,=0.0502,=0.0726,=0.0994,,=0.0970,,=41
="932584",智选港股通红利低波,2026-06-11,,,,=6.0497,=0.7778,=5.4952,=5.6374,=5.8557,=6.0632,=6.2685,=0.6179,=0.7778,=0.5613,=0.5758,=0.5981,=0.6193,=0.6403,=0.9294,=0.7778,=0.8443,=0.8661,=0.8996,=0.9315,=0.9631,=0.0564,=0.2222,=0.0544,=0.0562,=0.0582,=0.0600,=0.0621,,,,=11
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0045,=4049.3400,=0.0071,=6.6334,=0.6930,=4.1647,=4.6493,=5.6954,=6.9483,=7.8218,=0.6154,=0.5712,=0.4381,=0.4957,=0.5925,=0.6846,=0.7455,=1.0400,=0.9870,=0.5323,=0.5969,=0.7479,=0.9460,=1.0875,=0.0537,=0.0881,=0.0487,=0.0569,=0.0692,=0.0865,=0.0936,,=0.0921,,=260
="930792",HK银行,2016-04-22,=0.0038,=4907.7075,=0.1120,=6.7489,=0.7908,=3.2659,=4.4606,=5.8963,=6.7909,=9.5632,=0.6575,=0.5938,=0.3905,=0.4962,=0.6240,=0.8015,=1.0771,=2.5700,=0.9070,=1.0519,=1.5163,=1.8773,=2.4153,=3.1066,=0.0468,=0.0917,=0.0355,=0.0500,=0.0563,=0.0743,=0.1045,,=0.0901,,=752
="399986",中证银行,2013-07-15,=0.0114,=7151.5200,=-0.0594,=6.9055,=0.8153,=4.1183,=5.2599,=6.3029,=6.8558,=9.0846,=0.6634,=0.3728,=0.4848,=0.5836,=0.7147,=0.8948,=1.2416,=2.5922,=0.8594,=1.4134,=1.7842,=2.1634,=2.5195,=3.3016,=0.0427,=0.2788,=0.0285,=0.0411,=0.0460,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9617
="H30106",H300金融服务,2013-05-21,=0.0036,=1593.3530,=0.0508,=6.9330,=0.4899,=4.0175,=5.3642,=6.9740,=7.7688,=11.1922,=0.7428,=0.5081,=0.4470,=0.5777,=0.7401,=0.9083,=1.2489,=1.9799,=0.8573,=0.8557,=1.1816,=1.4735,=1.8969,=2.3593,=0.0448,=0.3244,=0.0288,=0.0433,=0.0472,=0.0664,=0.0918,,=0.1014,,=19
="931233",港股通央企红利,2017-06-28,=0.0050,=1145.9742,=-0.0183,=7.1429,=0.7059,=3.6988,=4.9656,=6.3747,=7.4434,=14.0775,=0.6719,=0.5653,=0.3929,=0.5230,=0.6451,=0.8592,=1.8161,=0.9698,=0.5313,=0.4645,=0.6246,=0.9469,=1.3888,=1.7583,=0.0524,=0.2281,=0.0394,=0.0519,=0.0571,=0.0797,=0.1038,,=0.0906,,=469
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0022,=2905.0200,=0.0439,=7.2652,=0.8797,=3.7550,=5.0512,=5.8338,=6.8292,=7.9027,=0.7287,=0.7789,=0.4590,=0.5793,=0.6416,=0.7390,=0.8175,=1.1055,=0.8986,=0.5101,=0.6885,=0.7991,=0.9219,=1.2126,=0.0515,=0.0855,=0.0478,=0.0537,=0.0621,=0.0791,=0.1052,,=0.0995,,=281
="H11140",香港红利,2009-07-23,=0.0071,=3857.7887,=0.0547,=7.3157,=0.7471,=3.0693,=4.4494,=5.9820,=7.7917,=13.9623,=0.6906,=0.5659,=0.3833,=0.5103,=0.6294,=0.8661,=1.1652,=1.1638,=0.6656,=0.5431,=0.7455,=0.9723,=1.3475,=2.1349,=0.0538,=0.1500,=0.0382,=0.0560,=0.0634,=0.0876,=0.1281,,=0.0912,,=48
