指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q2),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q2),关注度
="950125",科创半导体材料设备,2024-07-26,=-0.0098,=4345.5400,=1.0228,=187.6364,=0.8604,=70.4245,=117.5178,=136.4137,=171.9828,=348.7588,=11.1804,=0.9044,=2.8469,=4.8056,=5.6926,=7.2708,=17.6268,=25.1626,=0.9101,=7.2923,=11.0319,=13.1153,=16.1195,=37.4011,=0.0010,=0.4226,=0.0006,=0.0008,=0.0011,=0.0016,=0.0028,=0.0401,=0.0371,=0.0180,=157
="931743",半导体材料设备,2012-12-21,=-0.0069,=9746.1600,=0.8928,=137.4654,=0.9152,=30.1973,=40.5636,=62.1020,=94.7888,=224.0742,=10.9520,=0.9227,=2.5588,=3.4570,=4.3532,=7.4440,=17.1334,=17.4188,=0.9364,=2.5903,=3.1902,=3.8800,=11.7505,=25.3851,=0.0012,=0.0623,=0.0009,=0.0019,=0.0028,=0.0045,=0.0073,=0.0498,=0.0706,=0.0390,=311
="931144",通信技术,2019-05-30,=0.0088,=4028.9200,=0.7305,=66.6857,=0.9195,=22.8153,=30.6505,=37.4584,=53.1105,=113.1406,=11.2765,=0.9673,=2.5671,=3.1157,=3.7552,=4.8710,=15.3977,=6.8184,=0.9640,=1.6428,=2.1101,=2.5145,=3.4401,=9.4991,=0.0030,=0.0360,=0.0021,=0.0043,=0.0064,=0.0099,=0.0166,=0.1157,=0.1354,=0.0739,=263
="931865",中证半导,2019-03-20,=-0.0038,=8470.7400,=0.7117,=149.7675,=0.8923,=32.8138,=46.7400,=74.5328,=132.7728,=255.0466,=11.0236,=0.9298,=3.3892,=4.1559,=5.3436,=8.6918,=15.8034,=19.5068,=0.9308,=6.4190,=7.7212,=8.8739,=15.5314,=28.9040,=0.0009,=0.0952,=0.0006,=0.0010,=0.0020,=0.0024,=0.0032,=0.0432,=0.0580,=0.0301,=227
="000685",科创芯片,2022-06-13,=0.0022,=3986.5600,=0.5254,=160.2158,=0.6240,=42.1555,=72.0202,=120.3823,=181.2372,=335.4323,=10.7063,=0.9394,=3.1235,=4.1113,=5.2568,=7.8992,=15.4697,=21.3438,=0.9481,=7.4796,=10.1354,=12.3743,=16.2499,=31.9311,=0.0008,=0.0510,=0.0005,=0.0010,=0.0015,=0.0021,=0.0026,=0.0456,=0.0415,=0.0173,=524
="H30184",半导体,2013-07-15,=0.0022,=13163.3700,=0.4304,=92.2902,=0.6127,=33.2056,=52.5104,=79.5240,=107.9511,=186.6477,=8.4473,=0.8871,=2.5082,=3.4763,=4.9466,=7.5422,=12.7528,=13.1223,=0.9637,=1.3963,=2.6456,=7.0982,=9.7493,=20.0377,=0.0015,=0.0874,=0.0010,=0.0017,=0.0024,=0.0033,=0.0070,=0.0588,=0.0527,=0.0230,=3425
="931079",5G通信,2019-04-25,=0.0110,=2752.7600,=0.4279,=48.3822,=0.8799,=21.0709,=27.7595,=33.9067,=44.8752,=103.6981,=7.7362,=0.9627,=2.3623,=3.0536,=3.6691,=5.4185,=10.5199,=3.0343,=0.9572,=1.1916,=1.4952,=1.8959,=2.3848,=4.2354,=0.0060,=0.2408,=0.0036,=0.0056,=0.0081,=0.0121,=0.0152,=0.0942,=0.1398,=0.0637,=2296
="932066",半导体行业精选,2023-11-10,=0.0028,=5679.8800,=0.3983,=76.1549,=0.3496,=50.1901,=65.6095,=83.0489,=99.2786,=142.8699,=8.2743,=0.7655,=3.1655,=4.1876,=6.8747,=8.4263,=12.2533,=12.3805,=0.7712,=6.6489,=8.4339,=11.0360,=12.5983,=18.4956,=0.0017,=0.2662,=0.0012,=0.0017,=0.0022,=0.0028,=0.0034,=0.0665,=0.0794,=0.0376,=8
="H30318",科技传媒通信150,2014-04-15,=0.0080,=4282.3500,=0.3928,=55.6046,=0.8752,=19.8534,=28.8631,=38.1497,=50.3390,=90.7292,=9.1886,=0.9703,=2.0037,=2.4801,=3.5091,=4.4592,=13.0479,=4.8540,=0.9707,=1.2409,=1.8640,=2.3043,=2.8759,=6.8164,=0.0043,=0.0288,=0.0031,=0.0058,=0.0072,=0.0165,=0.0244,=0.1033,=0.1091,=0.0497,=50
="931160",通信设备,2013-07-15,=0.0119,=21483.0500,=0.3896,=49.7567,=0.7573,=19.3231,=27.7990,=36.6977,=54.9602,=91.1971,=9.2242,=0.9782,=2.1520,=2.8712,=3.4267,=3.9748,=12.1269,=3.1175,=0.9699,=0.9706,=1.2833,=1.5072,=2.4413,=4.3558,=0.0065,=0.3395,=0.0028,=0.0054,=0.0077,=0.0150,=0.0221,=0.1127,=0.1280,=0.0660,=1328
