指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0067,=12153.9054,=-0.0493,=5.8111,=0.7696,=3.2016,=4.0487,=5.1631,=5.8836,=7.9938,=0.5497,=0.4258,=0.3790,=0.4551,=0.5670,=0.7167,=1.0569,=2.2146,=0.8539,=1.0856,=1.4278,=1.7352,=2.0767,=2.9053,,=0.0932,,=0.0546,=75
="H11146",港股通内地金融,2010-06-02,=-0.0124,=1078.1396,=-0.0205,=6.1703,=0.5638,=3.2759,=4.5177,=5.8619,=6.7500,=9.2347,=0.6274,=0.4037,=0.3797,=0.4938,=0.6830,=0.8774,=1.1859,=1.5949,=0.8075,=0.6692,=0.9478,=1.2624,=1.5860,=2.1885,,=0.0962,,=0.0482,=30
="399986",中证银行,2013-07-15,=-0.0066,=7115.8500,=-0.0641,=6.6932,=0.7481,=4.1183,=5.2599,=6.2142,=6.8066,=9.0846,=0.6566,=0.3306,=0.4848,=0.5836,=0.7255,=0.9073,=1.2416,=2.5510,=0.8487,=1.4134,=1.7842,=2.1164,=2.4414,=3.3016,=0.0685,=0.0932,=0.0729,=0.0464,=9407
="930792",HK银行,2016-04-22,=-0.0168,=4386.7830,=-0.0041,=6.7501,=0.8041,=3.2659,=4.4504,=5.7783,=6.7186,=9.5632,=0.6376,=0.5277,=0.3905,=0.4958,=0.6224,=0.8034,=1.0771,=2.5402,=0.8916,=1.0519,=1.5148,=1.8302,=2.3150,=3.1066,,=0.0964,,=0.0519,=736
="H30106",H300金融服务,2013-05-21,=-0.0214,=1520.5634,=0.0048,=7.0625,=0.5411,=4.0175,=5.3642,=6.8904,=7.7688,=11.1922,=0.7515,=0.5047,=0.4470,=0.5777,=0.7482,=0.9083,=1.2489,=1.9914,=0.8772,=0.8557,=1.1816,=1.4535,=1.8363,=2.3593,,=0.1014,,=0.0462,=16
="399809",保险主题,2015-02-13,=-0.0182,=2467.3100,=-0.0752,=7.1994,=0.2712,=5.4537,=6.8114,=10.6490,=15.0245,=22.8725,=0.8104,=0.2947,=0.6352,=0.7667,=1.2295,=1.4858,=1.9794,=2.1161,=0.9291,=0.5239,=0.8688,=1.0978,=1.3700,=2.3772,=0.0826,=0.1040,=0.0824,=0.0403,=1458
="000018",180金融,2007-12-10,=-0.0124,=5435.2300,=-0.0850,=7.2354,=0.4023,=5.2016,=6.4287,=7.4964,=8.3012,=10.8609,=0.7714,=0.2885,=0.5902,=0.6965,=0.8948,=1.0745,=1.4199,=2.1934,=0.8063,=1.2355,=1.5824,=1.9251,=2.1849,=2.8772,=0.0783,=0.0973,=0.0761,=0.0405,=763
="000818",细分金融,2012-04-11,,,=-0.0696,=7.3663,=0.3945,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7848,=0.2861,=0.5930,=0.7010,=0.9105,=1.1005,=1.4303,=2.2491,=0.8071,=1.2689,=1.6354,=1.9714,=2.2399,=2.9111,=0.0780,=0.0969,=0.0769,=0.0396,=6
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0163,=4382.0600,=0.0899,=7.4002,=0.9736,=4.1647,=4.6046,=5.5463,=6.8243,=7.6037,=0.7033,=0.9575,=0.4381,=0.4911,=0.5804,=0.6705,=0.7227,=0.9922,=0.9736,=0.5323,=0.5911,=0.7254,=0.9081,=1.0190,,=0.0980,,=0.0548,=194
="931233",港股通央企红利,2017-06-28,=-0.0139,=1246.2406,=0.0690,=7.4074,=0.7972,=3.6988,=4.9350,=6.2700,=7.4168,=14.0775,=0.7106,=0.6568,=0.3929,=0.5213,=0.6404,=0.8683,=1.8161,=1.0201,=0.5868,=0.4645,=0.6185,=0.9343,=1.3960,=1.7583,,=0.0974,,=0.0551,=383
="987016",港股通红利低波,2021-11-18,,,=0.1304,=7.5999,=0.9895,=3.4544,=4.2814,=4.8484,=6.2324,=7.7483,=0.7080,=0.9856,=0.4152,=0.4834,=0.5349,=0.6252,=0.7226,=1.2472,=0.9875,=0.5827,=0.6570,=0.7843,=0.9645,=1.2728,,=0.0953,,=0.0549,=96
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0108,=2986.5000,=0.0732,=7.6375,=0.9826,=3.7550,=5.0360,=5.7623,=6.6231,=7.8951,=0.7778,=0.9577,=0.4590,=0.5768,=0.6366,=0.7240,=0.8175,=1.1721,=0.9819,=0.5101,=0.6868,=0.7896,=0.8944,=1.2116,,=0.1004,,=0.0524,=259
="000914",300金融,2007-07-02,=-0.0129,=6181.8300,=-0.0798,=7.6407,=0.4386,=5.2769,=6.6022,=7.8155,=8.6017,=11.3863,=0.7814,=0.2803,=0.5962,=0.7048,=0.9352,=1.1403,=1.4919,=2.1019,=0.8252,=1.1210,=1.4310,=1.8123,=2.0638,=2.7052,=0.0748,=0.0919,=0.0740,=0.0391,=338
="H11140",香港红利,2009-07-23,=-0.0012,=3932.1433,=0.0769,=7.6570,=0.7727,=3.0693,=4.4554,=5.9842,=8.4154,=13.9623,=0.7347,=0.6361,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.2345,=0.7099,=0.5431,=0.7464,=0.9724,=1.6060,=2.1349,,=0.0974,,=0.0553,=18
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0126,=4817.1000,=0.0781,=7.8001,=0.8834,=3.5572,=4.6252,=5.9364,=7.0876,=9.5068,=0.7117,=0.7168,=0.3828,=0.4841,=0.5741,=0.8190,=1.1073,=0.9475,=0.5897,=0.4386,=0.6476,=0.8384,=1.4262,=2.0623,,=0.0887,,=0.0560,=1370
="000934",中证金融,2009-07-03,=-0.0127,=5807.3500,=-0.0737,=7.9454,=0.4584,=5.7083,=6.8944,=8.0594,=8.8714,=11.5527,=0.7937,=0.2778,=0.6117,=0.7181,=0.9402,=1.1561,=1.5017,=2.0950,=0.8302,=1.1467,=1.4503,=1.8024,=2.0534,=2.6696,=0.0732,=0.0889,=0.0723,=0.0380,=1144
="931024",港股通非银,2017-11-06,=-0.0250,=4183.4484,=-0.0257,=7.9724,=0.0676,=6.7549,=8.7894,=11.4074,=13.3961,=22.4310,=1.1346,=0.6119,=0.6237,=0.8449,=1.0429,=1.2272,=1.7592,=1.3472,=0.8769,=0.5870,=0.8712,=1.0051,=1.1939,=2.2002,,=0.1136,,=0.0325,=170
="H30270",红利价值,2013-12-19,=-0.0018,=9824.5800,=0.0307,=8.0115,=0.7756,=4.4543,=5.4181,=6.7209,=8.7984,=13.0955,=0.8349,=0.6580,=0.5256,=0.6474,=0.7568,=1.2608,=1.7317,=1.6161,=0.9991,=0.5854,=0.8077,=0.9923,=1.2489,=1.6240,=0.0710,=0.0975,=0.0748,=0.0427,=154
="HSHDYI",恒生高股息率指数,2012-12-10,=-0.0131,=1399.7200,=0.0974,=8.0196,=0.8525,=3.6777,=4.8612,=6.6069,=7.7104,=10.6953,=0.7489,=0.6249,=0.4041,=0.5046,=0.6482,=0.9078,=1.1746,=1.1791,=0.6355,=0.5013,=0.7008,=1.0658,=1.5005,=1.9871,,=0.0935,,=0.0549,=895
="930914",港股通高股息,2016-11-25,=-0.0113,=5322.6968,=0.0824,=8.0516,=0.8435,=3.4280,=4.4077,=5.8448,=7.7104,=11.1979,=0.7744,=0.7333,=0.3979,=0.5002,=0.6086,=0.8563,=1.1764,=1.2702,=0.8199,=0.5144,=0.6945,=0.9170,=1.2296,=2.2126,,=0.1000,,=0.0549,=637
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=-0.0103,=2771.4200,=0.1185,=8.0649,=0.9885,=3.8979,=4.9406,=5.8042,=7.0932,=8.2464,=0.7267,=0.9284,=0.4277,=0.5151,=0.5729,=0.6676,=0.8197,=1.2597,=0.9661,=0.5333,=0.6944,=0.8644,=1.1059,=1.3442,,=0.0916,,=0.0533,=462
="931157",SHS红利成长LV,2019-04-25,=-0.0090,=7608.8270,=0.0207,=8.0985,=0.7274,=4.1261,=5.5606,=6.8560,=8.3550,=11.5318,=0.8268,=0.5831,=0.5154,=0.6234,=0.8054,=0.9315,=1.5888,=1.5989,=0.9862,=0.5018,=0.7025,=1.0121,=1.3643,=1.6333,,=0.0965,,=0.0489,=275
="932596",港股通红利低波,2016-02-04,,,=0.0908,=8.1368,=0.5965,=7.4451,=7.7716,=8.0191,=8.3001,=8.5745,=0.7518,=0.8684,=0.6528,=0.6824,=0.7094,=0.7458,=0.7672,=1.3435,=0.6228,=1.2161,=1.2690,=1.3152,=1.3627,=1.4099,,,,=0.0532,=66
="000992",全指金融,2011-08-02,=-0.0124,=5565.4800,=-0.0706,=8.1391,=0.4720,=5.9310,=7.1022,=8.2292,=9.0288,=11.6339,=0.7964,=0.2828,=0.6188,=0.7234,=0.9499,=1.1708,=1.5107,=2.0736,=0.8162,=1.1568,=1.4432,=1.8065,=2.0588,=2.6668,=0.0720,=0.0851,=0.0697,=0.0374,=2689
="930992",沪港深红利低波,2017-06-28,,,=0.0415,=8.1728,=0.9579,=4.0130,=5.1004,=5.8092,=7.3288,=8.5012,=0.7656,=0.9736,=0.4277,=0.5354,=0.5869,=0.6977,=0.7825,=1.1947,=0.8366,=0.4496,=0.5973,=0.8052,=1.1564,=1.3912,,=0.0942,,=0.0530,=6
="HSCSOE",恒生中国央企指数,2023-01-01,=-0.0046,=3762.5500,=0.0466,=8.2711,=0.9782,=4.9972,=5.5252,=6.0212,=7.4944,=8.5137,=0.8041,=0.9834,=0.5264,=0.5886,=0.6263,=0.7322,=0.8235,=0.9947,=0.9834,=0.5404,=0.5919,=0.6579,=0.8341,=1.0198,,=0.0966,,=0.0493,=105
="931446",东证红利低波,2020-04-21,=-0.0056,=3486.4800,=0.0127,=8.3486,=0.7686,=5.1478,=6.1517,=7.0515,=8.5384,=11.0216,=0.8271,=0.7195,=0.5884,=0.6929,=0.7581,=0.8771,=1.2481,=1.5147,=0.9776,=0.5909,=0.7501,=0.8770,=1.2779,=1.5979,=0.0725,=0.0941,=0.0749,=0.0449,=704
="000151",上国红利,2012-07-20,=0.0081,=1653.5800,=0.0824,=8.3776,=0.9542,=4.5075,=5.3657,=6.8838,=7.5684,=10.0345,=0.7935,=0.5672,=0.5268,=0.6189,=0.7557,=0.9681,=1.3272,=1.0689,=0.4662,=0.6026,=0.8953,=1.1078,=1.3121,=1.6854,=0.0643,=0.0931,=0.0685,=0.0504,=187
="H30269",红利低波,2013-12-19,=0.0005,=11373.3800,=0.0119,=8.4076,=0.7795,=4.5638,=5.5488,=6.7795,=9.4786,=14.4342,=0.8824,=0.6076,=0.5386,=0.6570,=0.8017,=1.3872,=1.9670,=1.6263,=0.9967,=0.6111,=0.8850,=1.0977,=1.4134,=1.6442,=0.0719,=0.0970,=0.0686,=0.0438,=3640
="H50040",上红低波,2014-03-21,=-0.0003,=11334.5400,=0.0279,=8.4504,=0.7906,=4.6938,=5.9512,=7.0037,=9.6645,=14.3118,=0.8748,=0.5899,=0.5647,=0.6911,=0.8375,=1.3609,=1.8756,=1.6454,=0.9975,=0.6380,=0.8684,=1.2018,=1.3912,=1.6603,=0.0726,=0.0983,=0.0721,=0.0432,=334
="931130",红利成长低波,2018-12-04,,,=0.0132,=8.4936,=0.7359,=4.4465,=5.5604,=7.6657,=8.7405,=11.5512,=0.8684,=0.3808,=0.5279,=0.6228,=0.9049,=1.0350,=1.5803,=1.8936,=0.7985,=0.3109,=0.8106,=1.3119,=1.9108,=2.5957,=0.0726,=0.0980,=0.0458,=0.0439,=128
="000029",180价值,2009-01-09,=-0.0065,=4313.3100,=-0.0314,=8.5083,=0.8104,=5.6894,=6.9075,=7.8817,=8.4865,=10.8138,=0.8608,=0.4773,=0.6666,=0.8069,=0.8667,=1.0679,=1.4433,=1.1072,=0.8978,=0.6198,=0.7825,=0.9448,=1.0604,=1.4032,=0.0717,=0.0955,=0.0779,=0.0421,=554
="HSSCHYS",恒生港股通红利优选指数,2023-06-01,=-0.0157,=5147.3100,=0.1083,=8.6408,=0.9927,=4.2457,=4.7000,=5.7087,=7.4792,=8.7334,=0.7924,=0.9927,=0.4429,=0.4960,=0.5733,=0.7222,=0.8009,=1.1137,=0.9927,=0.6036,=0.6696,=0.8658,=0.9915,=1.1256,,=0.0936,,=0.0562,=76
="000922",中证红利,2008-05-26,=0.0007,=5864.5076,=0.0655,=8.6679,=0.8219,=5.1762,=6.0245,=7.6568,=8.5458,=11.2156,=0.8804,=0.5280,=0.5911,=0.7110,=0.8584,=1.1100,=1.4999,=1.2936,=0.9143,=0.6332,=0.7726,=1.0438,=1.2107,=1.7101,=0.0685,=0.0937,=0.0683,=0.0446,=19620
="000821",300红利,2012-07-20,=-0.0004,=6860.6061,=0.0282,=8.7827,=0.8858,=4.9998,=6.1944,=7.5608,=8.3613,=10.9286,=0.8954,=0.5453,=0.5725,=0.7140,=0.8783,=1.0813,=1.4919,=1.4300,=0.9489,=0.6098,=0.7993,=1.0607,=1.3008,=1.6963,=0.0718,=0.0964,=0.0719,=0.0449,=970
="000015",红利指数,2005-01-04,=0.0083,=3304.6700,=0.0879,=8.8388,=0.9732,=4.6646,=5.5108,=7.0876,=7.9579,=10.4439,=0.8799,=0.6146,=0.5525,=0.6398,=0.7661,=1.0209,=1.3875,=1.5035,=0.9749,=0.7277,=0.8913,=1.1198,=1.3168,=1.6890,=0.0663,=0.0940,=0.0675,=0.0431,=14042
="000824",国企红利,2012-07-20,=0.0037,=2256.0746,=0.0636,=9.0141,=0.9617,=4.8847,=5.9406,=7.3386,=8.2796,=10.7823,=0.9044,=0.6084,=0.5610,=0.6880,=0.8278,=1.0599,=1.4469,=1.3269,=0.9048,=0.5370,=0.7016,=0.9865,=1.2245,=1.6834,=0.0683,=0.0944,=0.0718,=0.0448,=907
="931644",800红利,2024-03-15,=0.0009,=2717.3500,=0.0647,=9.0712,=0.8407,=6.4729,=7.2599,=8.1422,=9.0212,=9.4757,=0.9215,=0.8931,=0.7001,=0.7658,=0.8550,=0.9074,=0.9431,=1.3331,=0.9979,=0.8423,=0.9195,=1.1028,=1.2666,=1.3425,=0.0715,=0.0955,=0.0722,=0.0448,=28
="399373",大盘价值,2010-01-04,=-0.0067,=8356.7200,=-0.0253,=9.0929,=0.8001,=5.4746,=6.8623,=8.3387,=9.0929,=11.9914,=0.9673,=0.5470,=0.6410,=0.8033,=0.9513,=1.1408,=1.5001,=1.1690,=0.8702,=0.5920,=0.7817,=0.9284,=1.1304,=1.4541,=0.0758,=0.0969,=0.0766,=0.0436,=321
="930740",300红利LV,2018-12-04,=0.0058,=7454.2162,=0.0398,=9.1859,=0.9266,=5.4153,=6.8024,=7.4774,=8.5010,=9.6903,=0.9607,=0.8520,=0.6159,=0.7674,=0.8531,=0.9451,=1.0604,=1.3997,=0.7564,=0.6725,=0.8536,=1.0742,=1.5151,=1.9253,=0.0708,=0.0943,=0.0707,=0.0437,=572
="000919",300价值,2008-01-21,=-0.0081,=5271.4738,=-0.0088,=9.2067,=0.7927,=5.9577,=7.3283,=8.4410,=9.2297,=12.2376,=0.9624,=0.5585,=0.6917,=0.8497,=0.9451,=1.1521,=1.5388,=1.1385,=0.8842,=0.6314,=0.7861,=0.9060,=1.0989,=1.3421,=0.0752,=0.0968,=0.0773,=0.0403,=4286
="000063",上证周期,2010-02-03,=-0.0083,=3953.2200,=-0.0257,=9.2110,=0.7403,=5.4761,=7.1362,=8.5377,=9.4385,=12.4946,=0.9854,=0.5429,=0.6668,=0.8368,=0.9675,=1.1084,=1.4831,=1.6463,=0.9876,=0.8113,=1.0636,=1.2494,=1.4163,=1.7571,=0.0796,=0.1019,=0.0808,=0.0378,=206
="931479",证券保险,2020-05-06,=-0.0194,=966.7900,=-0.0902,=9.3146,=0,=9.3146,=12.0330,=13.6455,=15.5713,=21.1012,=1.3714,=0.4700,=1.0296,=1.2276,=1.3880,=1.5788,=2.2844,=1.7312,=0.7244,=1.0318,=1.2666,=1.4405,=1.7974,=2.2879,=0.1242,=0.1142,=0.0972,=0.0242,=3
="399995",基建工程,2015-03-12,=-0.0087,=4169.1500,=0.0672,=9.3164,=0.6871,=5.8673,=7.3439,=8.2792,=12.6538,=18.8590,=0.7394,=0.2040,=0.5815,=0.7369,=0.9128,=1.4879,=2.1834,=0.1995,=0.4196,=0.1368,=0.1788,=0.2069,=0.3610,=0.5478,=0.0443,=0.0704,=0.0520,=0.0279,=2679
="000825",央企红利,2012-07-20,=-0.0022,=3690.9388,=0.0688,=9.4532,=0.9872,=4.7369,=6.0940,=7.3075,=8.2890,=10.5687,=0.9426,=0.6941,=0.5507,=0.6915,=0.8600,=1.0039,=1.3929,=1.2558,=0.8854,=0.6009,=0.8548,=1.0494,=1.2067,=1.7357,=0.0699,=0.0951,=0.0705,=0.0431,=274
="931848",800红利低波,2024-05-21,=0.0016,=3322.0900,=0.0495,=9.5195,=0.8713,=7.4155,=8.1206,=8.9248,=9.4224,=9.7854,=0.9892,=0.9540,=0.7315,=0.8574,=0.9158,=0.9679,=1.0001,=1.3883,=0.8644,=1.1714,=1.2274,=1.3296,=1.3777,=1.5428,=0.0731,=0.0933,=0.0737,=0.0430,=120
="H30035",300非银,2012-12-21,=-0.0195,=10092.4600,=-0.0951,=9.5689,=0,=9.5689,=13.1246,=15.1688,=19.3628,=26.3489,=1.3969,=0.2700,=1.0544,=1.3279,=1.6504,=2.0510,=2.4387,=1.7680,=0.5363,=1.0410,=1.4185,=1.7299,=1.9729,=2.3917,=0.1224,=0.1128,=0.0964,=0.0235,=1151
="931069",中金300,2018-02-14,=-0.0111,=5010.6870,=0.0013,=9.6512,=0.5928,=5.9518,=7.4826,=9.2529,=10.5276,=13.6164,=1.0154,=0.3718,=0.7377,=0.9192,=1.1087,=1.3597,=1.8328,=1.4075,=0.8713,=0.6656,=0.8587,=1.1102,=1.3063,=1.7542,=0.0767,=0.1056,=0.0771,=0.0399,=82
="399550",央视50,2012-06-06,=-0.0074,=8086.7800,=-0.0006,=9.7231,=0.6908,=6.8960,=8.2499,=9.2261,=10.1362,=13.0561,=1.0185,=0.2028,=0.8649,=1.0177,=1.2408,=1.4261,=1.8564,=2.0314,=0.7960,=1.3448,=1.6461,=1.7960,=2.0343,=2.5217,=0.0768,=0.1002,=0.0803,=0.0433,=2256
="930955",红利低波100,2017-05-26,=-0.0003,=12107.1697,=0.0268,=9.7390,=0.9038,=5.0805,=6.0507,=7.3768,=8.5106,=11.5013,=1.0287,=0.8695,=0.5792,=0.6653,=0.8218,=0.9923,=1.3722,=1.2442,=0.7742,=0.5888,=0.7750,=0.9847,=1.2840,=1.7525,=0.0742,=0.0936,=0.0714,=0.0455,=1808
="HSCCI",恒生香港中资企业指数,1997-06-16,=-0.0104,=4311.7400,=0.0738,=9.7681,=0.6497,=4.8859,=6.8728,=8.8773,=12.1601,=16.1208,=0.9150,=0.5835,=0.5567,=0.7305,=0.8673,=1.1842,=1.3660,=1.0287,=0.5685,=0.5555,=0.7802,=0.9894,=1.3645,=1.5178,,=0.0950,,=0.0544,=31
="000925",基本面50,2009-02-26,=-0.0065,=4459.0892,=-0.0345,=9.8402,=0.7312,=6.2635,=7.9688,=9.0380,=10.0524,=12.7955,=1.0244,=0.4118,=0.7306,=0.9013,=1.0643,=1.1921,=1.5728,=1.0809,=0.7638,=0.6037,=0.7864,=0.9667,=1.1028,=1.4866,=0.0747,=0.0947,=0.0771,=0.0393,=4528
="932305",智选高股息,2024-09-30,=-0.0019,=12140.9700,=0.0879,=9.8742,=1,=7.0143,=7.4557,=8.2916,=9.1603,=9.8742,=1.1379,=1,=0.8750,=0.9199,=1.0420,=1.0785,=1.1379,=0.8167,=0.5785,=0.7106,=0.7289,=0.7768,=1.2793,=1.3342,=0.0813,=0.1049,=0.0838,=0.0660,=225
="000968",300周期,2010-05-28,,,=-0.0063,=9.9382,=0.7362,=6.1174,=7.8172,=9.1551,=10.2896,=13.3562,=1.0213,=0.5148,=0.7021,=0.8484,=1.0148,=1.1854,=1.5550,=1.6528,=0.9872,=0.8459,=1.0834,=1.2645,=1.4595,=1.8297,=0.0765,=0.0962,=0.0777,=0.0356,=98
="H30356",800价值,2014-06-09,=-0.0088,=6721.4700,=0.0113,=9.9806,=0.8088,=6.4024,=7.6831,=9.0175,=9.9426,=13.4784,=1.0320,=0.6140,=0.7030,=0.8606,=0.9880,=1.1804,=1.6287,=1.1186,=0.8577,=0.5868,=0.7368,=0.8793,=1.0658,=1.3738,=0.0737,=0.0946,=0.0754,=0.0382,=27
="930723",沪港深F100,2015-08-05,=-0.0019,=5126.9986,=0.0069,=10.0166,=0.7570,=5.4557,=7.5706,=8.9304,=10.1395,=13.1279,=1.0268,=0.5568,=0.6469,=0.8476,=1.0099,=1.1160,=1.4626,=1.3135,=0.8567,=0.6039,=0.8632,=1.0710,=1.2766,=1.6654,,=0.1086,,=0.0398,=151
="HSML25",恒生中国(香港上市)30指数,2003-01-20,=-0.0042,=9018.9800,=-0.0469,=10.0315,=0.7424,=5.7712,=7.8732,=8.9523,=10.2828,=13.0207,=1.1145,=0.6176,=0.7256,=0.9399,=1.0738,=1.2097,=1.5098,=1.8089,=0.8818,=0.9123,=1.1393,=1.3923,=1.7096,=2.4187,,=0.1056,,=0.0352,=262
="399966",800证保,2012-12-21,=-0.0181,=6048.4200,=-0.0854,=10.0454,=0,=10.0454,=13.7118,=15.9950,=19.7375,=27.1945,=1.4019,=0.2758,=1.0619,=1.3308,=1.6310,=2.0433,=2.4366,=1.9043,=0.6303,=1.1634,=1.5249,=1.7799,=2.0457,=2.5211,=0.1174,=0.1076,=0.0911,=0.0227,=165
="H30588",中证证保,2015-02-02,=-0.0181,=1027.1100,=-0.0853,=10.0532,=0,=10.0532,=13.6597,=16.0874,=19.5891,=27.6808,=1.4004,=0.2733,=1.0752,=1.3326,=1.6397,=2.0375,=2.4238,=1.9068,=0.6608,=1.1673,=1.5178,=1.7569,=2.0128,=2.5500,=0.1176,=0.1081,=0.0914,=0.0226,=453
