指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),股息率,关注度
="931039",银行AH,2017-12-06,,,=-0.0174,=5.8947,=0.7940,=3.2016,=4.0644,=5.1857,=5.9014,=7.9938,=0.5555,=0.4384,=0.3790,=0.4560,=0.5675,=0.7148,=1.0569,=2.2125,=0.8391,=1.0856,=1.4295,=1.7410,=2.1143,=2.9053,,=0.0881,,=0.0495,=89
="H11146",港股通内地金融,2010-06-02,,,=0.0340,=6.1464,=0.5440,=3.2759,=4.5177,=5.9517,=6.7500,=9.2347,=0.6237,=0.4013,=0.3797,=0.4938,=0.6757,=0.8765,=1.1859,=1.5876,=0.7908,=0.6692,=0.9478,=1.2775,=1.5959,=2.1885,,=0.0970,,=0.0470,=36
="930792",HK银行,2016-04-22,,,=0.0857,=6.8533,=0.8145,=3.2659,=4.4645,=5.8131,=6.7741,=9.5632,=0.6549,=0.5708,=0.3905,=0.4964,=0.6253,=0.8010,=1.0771,=2.5508,=0.8928,=1.0519,=1.5167,=1.8371,=2.3652,=3.1066,,=0.0901,,=0.0472,=749
="399986",中证银行,2013-07-15,=-0.0073,=7268.7600,=-0.0440,=6.9365,=0.8257,=4.1183,=5.2599,=6.2608,=6.8450,=9.0846,=0.6567,=0.3321,=0.4848,=0.5836,=0.7225,=0.8984,=1.2416,=2.6038,=0.8677,=1.4134,=1.7842,=2.1235,=2.4685,=3.3016,=0.0226,=0.0881,=0.0236,=0.0425,=9519
="H30106",H300金融服务,2013-05-21,,,=0.0630,=7.1111,=0.5545,=4.0175,=5.3642,=6.9468,=7.7688,=11.1922,=0.7519,=0.5087,=0.4470,=0.5777,=0.7469,=0.9083,=1.2489,=1.9972,=0.8731,=0.8557,=1.1816,=1.4570,=1.8662,=2.3593,,=0.1014,,=0.0445,=17
="000018",180金融,2007-12-10,=-0.0046,=5405.3700,=-0.0901,=7.3975,=0.4549,=5.2016,=6.4287,=7.4968,=8.3012,=10.8609,=0.7493,=0.2579,=0.5902,=0.6965,=0.8813,=1.0696,=1.4199,=2.2209,=0.8138,=1.2355,=1.5824,=1.9337,=2.2042,=2.8772,=0.0229,=0.0959,=0.0245,=0.0393,=768
="399809",保险主题,2015-02-13,=-0.0032,=2352.3300,=-0.1183,=7.4346,=0.3193,=5.4537,=6.8114,=10.6422,=15.0245,=22.8725,=0.7915,=0.2588,=0.6352,=0.7667,=1.2248,=1.4858,=1.9794,=2.1654,=0.9337,=0.5239,=0.8688,=1.0978,=1.4069,=2.3772,=0.0227,=0.1015,=0.0246,=0.0390,=1477
="931233",港股通央企红利,2017-06-28,,,=0.0679,=7.5118,=0.8199,=3.6988,=4.9460,=6.3145,=7.4413,=14.0775,=0.7066,=0.6375,=0.3929,=0.5218,=0.6441,=0.8652,=1.8161,=1.0199,=0.5854,=0.4645,=0.6197,=0.9422,=1.3926,=1.7583,,=0.0906,,=0.0498,=436
="000818",细分金融,2012-04-11,=-0.0044,=6755.0900,=-0.0851,=7.5202,=0.4504,=5.2356,=6.4974,=7.6839,=8.4810,=10.9951,=0.7619,=0.2567,=0.5930,=0.7010,=0.8992,=1.0928,=1.4303,=2.2773,=0.8166,=1.2689,=1.6354,=1.9736,=2.2574,=2.9111,=0.0231,=0.0956,=0.0246,=0.0385,=6
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0012,=4421.1700,=0.0996,=7.5684,=0.9763,=4.1647,=4.6136,=5.6279,=6.9077,=7.8218,=0.7072,=0.9331,=0.4381,=0.4934,=0.5853,=0.6804,=0.7455,=1.0057,=0.9805,=0.5323,=0.5929,=0.7351,=0.9205,=1.0366,,=0.0921,,=0.0499,=228
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0016,=3003.9100,=0.0795,=7.6759,=0.9738,=3.7550,=5.0440,=5.8014,=6.6700,=7.9027,=0.7686,=0.9166,=0.4590,=0.5777,=0.6387,=0.7335,=0.8175,=1.1680,=0.9671,=0.5101,=0.6873,=0.7949,=0.9037,=1.2126,,,,=0.0488,=277
="987016",港股通红利低波,2021-11-18,,,=0.1500,=7.7049,=0.9787,=3.4544,=4.2904,=4.8801,=6.6212,=8.0054,=0.7119,=0.9639,=0.4152,=0.4846,=0.5371,=0.6385,=0.7529,=1.2551,=0.9769,=0.5827,=0.6584,=0.7892,=1.0780,=1.3012,,=0.0893,,=0.0501,=132
="H11140",香港红利,2009-07-23,,,=0.1462,=7.7969,=0.7792,=3.0693,=4.4554,=5.9842,=8.2995,=13.9623,=0.7361,=0.6398,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.2405,=0.7204,=0.5431,=0.7464,=0.9724,=1.5347,=2.1349,,=0.0912,,=0.0504,=33
="931024",港股通非银,2017-11-06,,,=-0.0306,=7.8581,=0.0598,=6.7549,=8.6898,=11.3336,=13.3764,=22.4310,=1.0695,=0.5272,=0.6237,=0.8463,=1.0483,=1.2260,=1.7592,=1.3159,=0.8599,=0.5870,=0.8743,=1.0095,=1.2119,=2.2002,,=0.1344,,=0.0373,=187
="000914",300金融,2007-07-02,=-0.0043,=6143.1000,=-0.0856,=7.8815,=0.5196,=5.2769,=6.6022,=7.8330,=8.6017,=11.3863,=0.7599,=0.2497,=0.5962,=0.7048,=0.9211,=1.1328,=1.4919,=2.1468,=0.8475,=1.1210,=1.4310,=1.8124,=2.0830,=2.7052,=0.0223,=0.0897,=0.0236,=0.0381,=339
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0016,=4716.6700,=0.0556,=7.9114,=0.8898,=3.5572,=4.6369,=5.9676,=7.1746,=9.5068,=0.7125,=0.7074,=0.3828,=0.4847,=0.5776,=0.8165,=1.1073,=0.9539,=0.5919,=0.4386,=0.6528,=0.8441,=1.4182,=2.0623,,,,=0.0510,=1472
="H30270",红利价值,2013-12-19,=-0.0056,=9891.0500,=0.0376,=8.1421,=0.7859,=4.4543,=5.4266,=6.7421,=8.7393,=13.0955,=0.8130,=0.6247,=0.5256,=0.6483,=0.7615,=1.2545,=1.7317,=1.6501,=0.9987,=0.5854,=0.8106,=0.9957,=1.2807,=1.6637,=0.0235,=0.0936,=0.0240,=0.0408,=182
