指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q2),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q2),关注度
="931024",港股通非银,2017-11-06,=0.0051,=3916.3252,=-0.0877,=5.6129,=0.0014,=5.5654,=8.4152,=10.8803,=13.2858,=22.4310,=0.9706,=0.3533,=0.6237,=0.8538,=1.0384,=1.2203,=1.7592,=1.0995,=0.6389,=0.5870,=0.8781,=1.0212,=1.2306,=2.2002,=0.0441,=0.8953,=0.0165,=0.0270,=0.0347,=0.0415,=0.0611,,=0.1345,=0.0629,=219
="H11146",港股通内地金融,2010-06-02,=0.0012,=1173.6160,=0.0648,=5.8116,=0.4585,=3.2759,=4.5181,=6.0213,=6.7412,=9.2347,=0.6314,=0.4382,=0.3797,=0.4941,=0.6565,=0.8694,=1.1859,=1.5397,=0.7230,=0.6692,=0.9479,=1.3193,=1.6008,=2.1885,=0.0483,=0.4569,=0.0302,=0.0445,=0.0499,=0.0726,=0.0994,,=0.0970,=0.0476,=52
="932584",智选港股通红利低波,2026-06-11,,,,=5.9495,=0.3043,=5.4952,=5.8714,=6.0657,=6.1973,=6.4396,=0.6290,=0.5217,=0.5613,=0.5997,=0.6284,=0.6413,=0.6578,=0.9405,=0.4493,=0.8443,=0.9021,=0.9436,=0.9607,=0.9893,=0.0574,=0.7246,=0.0530,=0.0550,=0.0561,=0.0581,=0.0621,,,,=19
="931039",银行AH,2017-12-06,=-0.0026,=12859.1112,=0.0048,=6.1923,=0.8966,=3.2016,=4.1043,=5.2660,=5.9144,=7.9938,=0.5810,=0.5522,=0.3790,=0.4599,=0.5660,=0.7101,=1.0569,=2.2972,=0.9042,=1.0856,=1.4370,=1.7603,=2.1797,=2.9053,=0.0489,=0.1871,=0.0324,=0.0491,=0.0544,=0.0735,=0.0997,=0.0438,=0.0881,=0.0451,=112
="H30106",H300金融服务,2013-05-21,=0.0007,=1659.8642,=0.0974,=6.7241,=0.4431,=4.0175,=5.3653,=6.9788,=7.7494,=11.1922,=0.7659,=0.5581,=0.4470,=0.5779,=0.7403,=0.9057,=1.2489,=1.9432,=0.8153,=0.8557,=1.1817,=1.4774,=1.9269,=2.3593,=0.0453,=0.3832,=0.0288,=0.0433,=0.0471,=0.0664,=0.0918,,=0.1014,=0.0500,=26
="931479",证券保险,2020-05-06,=0.0109,=890.1574,=-0.1623,=6.8764,=0.0019,=6.7976,=11.5747,=13.2889,=15.4259,=21.1012,=1.1928,=0.1734,=1.0296,=1.2180,=1.3658,=1.5565,=2.2844,=1.4508,=0.4700,=1.0318,=1.2786,=1.4710,=1.7780,=2.2879,=0.0329,=0.9716,=0.0162,=0.0225,=0.0252,=0.0291,=0.0357,=0.0884,=0.1317,=0.0613,=63
="HSMCHYI",恒生港股通中国内地企业红利指数,2019-09-01,=0.0010,=2929.0800,=0.0526,=6.9402,=0.7963,=3.7550,=5.0593,=5.8753,=6.9521,=7.9027,=0.7539,=0.8498,=0.4590,=0.5808,=0.6438,=0.7434,=0.8175,=1.1108,=0.8930,=0.5101,=0.6898,=0.8041,=0.9429,=1.2126,=0.0515,=0.1133,=0.0474,=0.0533,=0.0617,=0.0790,=0.1052,,=0.0995,=0.0500,=287
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0029,=4110.9400,=0.0224,=6.9481,=0.7789,=4.1647,=4.6790,=5.7572,=6.9947,=7.8218,=0.6421,=0.6314,=0.4381,=0.4982,=0.6005,=0.6818,=0.7455,=1.0868,=0.9705,=0.5323,=0.5997,=0.7619,=0.9727,=1.1223,=0.0521,=0.0909,=0.0487,=0.0556,=0.0674,=0.0860,=0.0936,=0.0453,=0.0921,=0.0475,=275
="H30035",300非银,2012-12-21,=0.0097,=9191.6720,=-0.1758,=6.9671,=0.0012,=6.8873,=12.6161,=15.1131,=19.3163,=26.3489,=1.2063,=0.1062,=1.0544,=1.2916,=1.5954,=2.0357,=2.4387,=1.4601,=0.2338,=1.0410,=1.4193,=1.6883,=1.9685,=2.3917,=0.0324,=0.9881,=0.0124,=0.0165,=0.0222,=0.0261,=0.0352,=0.0873,=0.1294,=0.0605,=1274
="000018",180金融,2007-12-10,=0.0003,=5396.7800,=-0.0915,=7.0865,=0.3236,=5.2016,=6.4321,=7.4925,=8.3000,=10.8609,=0.7718,=0.3294,=0.5902,=0.6966,=0.8522,=1.0574,=1.4199,=2.1551,=0.7369,=1.2355,=1.5826,=1.9639,=2.2156,=2.8772,=0.0399,=0.5513,=0.0246,=0.0353,=0.0392,=0.0493,=0.0636,=0.0529,=0.0959,=0.0477,=780
="399809",保险主题,2015-02-13,=0.0048,=2214.2900,=-0.1700,=7.1218,=0.2655,=5.4537,=6.8119,=10.0976,=15.0228,=22.8725,=0.8232,=0.3565,=0.6352,=0.7648,=1.1929,=1.4853,=1.9794,=2.1117,=0.8893,=0.5239,=0.8689,=1.0979,=1.8616,=2.3772,=0.0392,=0.6525,=0.0120,=0.0209,=0.0309,=0.0488,=0.0686,=0.0540,=0.1015,=0.0485,=1527
="000818",细分金融,2012-04-11,,,=-0.0942,=7.2073,=0.3219,=5.2356,=6.4985,=7.6640,=8.4792,=10.9951,=0.7827,=0.3203,=0.5930,=0.7010,=0.8686,=1.0791,=1.4303,=2.2107,=0.7373,=1.2689,=1.6360,=2.0046,=2.2666,=2.9111,=0.0392,=0.5879,=0.0239,=0.0331,=0.0376,=0.0471,=0.0625,=0.0528,=0.0956,=0.0477,=12
="931233",港股通央企红利,2017-06-28,=-0.0058,=1182.7513,=0.0142,=7.2387,=0.7205,=3.6988,=4.9833,=6.4197,=7.4444,=14.0775,=0.6899,=0.6023,=0.3929,=0.5246,=0.6483,=0.8545,=1.8161,=0.9910,=0.5485,=0.4645,=0.6271,=0.9545,=1.3859,=1.7583,=0.0527,=0.2605,=0.0394,=0.0518,=0.0569,=0.0794,=0.1038,=0.0452,=0.0906,=0.0470,=498
="399986",中证银行,2013-07-15,=-0.0037,=7465.3000,=-0.0181,=7.2603,=0.9057,=4.1183,=5.2645,=6.3342,=6.9007,=9.0846,=0.6907,=0.4574,=0.4848,=0.5838,=0.7094,=0.8874,=1.2416,=2.6955,=0.9131,=1.4134,=1.7845,=2.1901,=2.5449,=3.3016,=0.0415,=0.2235,=0.0285,=0.0411,=0.0458,=0.0572,=0.0756,=0.0449,=0.0881,=0.0451,=9703
="930792",HK银行,2016-04-22,=-0.0007,=5332.4695,=0.2102,=7.2653,=0.9006,=3.2659,=4.4645,=5.8969,=6.8713,=9.5632,=0.6973,=0.6669,=0.3905,=0.4964,=0.6241,=0.7978,=1.0771,=2.6974,=0.9684,=1.0519,=1.5167,=1.8854,=2.4525,=3.1066,=0.0453,=0.0758,=0.0355,=0.0496,=0.0562,=0.0742,=0.1045,,=0.0901,=0.0459,=769
