指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0029,=12449.8500,=-0.0261,=5.9078,=0.8055,=3.2016,=4.0674,=5.1864,=5.9017,=7.9938,=0.5568,=0.4425,=0.3790,=0.4563,=0.5672,=0.7145,=1.0569,=2.2175,=0.8422,=1.0856,=1.4299,=1.7413,=2.1184,=2.9053,,=0.0881,,=0.0494,=89
="H11146",港股通内地金融,2010-06-02,=0.0114,=1163.5900,=0.0571,=6.2504,=0.5859,=3.2759,=4.5181,=5.9661,=6.7473,=9.2347,=0.6342,=0.4173,=0.3797,=0.4941,=0.6752,=0.8760,=1.1859,=1.6145,=0.8173,=0.6692,=0.9479,=1.2796,=1.5963,=2.1885,,=0.0970,,=0.0462,=36
="930792",HK银行,2016-04-22,=0.0064,=4860.7300,=0.1036,=6.7546,=0.7967,=3.2659,=4.4645,=5.8134,=6.7741,=9.5632,=0.6573,=0.5779,=0.3905,=0.4964,=0.6259,=0.8010,=1.0771,=2.5695,=0.9083,=1.0519,=1.5167,=1.8391,=2.3673,=3.1066,,=0.0901,,=0.0468,=748
="399986",中证银行,2013-07-15,=-0.0032,=7183.3200,=-0.0552,=6.8499,=0.8029,=4.1183,=5.2599,=6.2629,=6.8473,=9.0846,=0.6485,=0.3105,=0.4848,=0.5836,=0.7220,=0.8984,=1.2416,=2.5713,=0.8474,=1.4134,=1.7842,=2.1249,=2.4735,=3.3016,=0.0226,=0.0881,=0.0236,=0.0430,=9520
="H30106",H300金融服务,2013-05-21,=0.0129,=1649.8700,=0.0903,=7.0914,=0.5454,=4.0175,=5.3653,=6.9525,=7.7687,=11.1922,=0.7605,=0.5243,=0.4470,=0.5779,=0.7467,=0.9081,=1.2489,=2.0270,=0.8934,=0.8557,=1.1817,=1.4574,=1.8681,=2.3593,,=0.1014,,=0.0438,=17
="000018",180金融,2007-12-10,=0.0001,=5389.0200,=-0.0928,=7.3505,=0.4359,=5.2016,=6.4287,=7.4973,=8.3012,=10.8609,=0.7445,=0.2540,=0.5902,=0.6965,=0.8807,=1.0696,=1.4199,=2.2072,=0.8021,=1.2355,=1.5824,=1.9356,=2.2055,=2.8772,=0.0229,=0.0959,=0.0245,=0.0396,=768
="399809",保险主题,2015-02-13,=0.0088,=2367.9500,=-0.1124,=7.3842,=0.3142,=5.4537,=6.8114,=10.6280,=15.0245,=22.8725,=0.7861,=0.2491,=0.6352,=0.7667,=1.2252,=1.4858,=1.9794,=2.1508,=0.9266,=0.5239,=0.8688,=1.0970,=1.4078,=2.3772,=0.0227,=0.1015,=0.0246,=0.0393,=1478
="000818",细分金融,2012-04-11,=-0.0005,=6738.6500,=-0.0874,=7.4749,=0.4313,=5.2356,=6.4974,=7.6851,=8.4810,=10.9951,=0.7573,=0.2536,=0.5930,=0.7010,=0.8983,=1.0928,=1.4303,=2.2641,=0.8049,=1.2689,=1.6354,=1.9746,=2.2583,=2.9111,=0.0231,=0.0956,=0.0246,=0.0388,=6
="931233",港股通央企红利,2017-06-28,=0.0008,=1252.3100,=0.0742,=7.4820,=0.8113,=3.6988,=4.9509,=6.3168,=7.4439,=14.0775,=0.7038,=0.6314,=0.3929,=0.5219,=0.6443,=0.8649,=1.8161,=1.0159,=0.5807,=0.4645,=0.6199,=0.9428,=1.3923,=1.7583,,=0.0906,,=0.0500,=438
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0019,=4470.8500,=0.1119,=7.5212,=0.9667,=4.1647,=4.6136,=5.6297,=6.9155,=7.8218,=0.7028,=0.9015,=0.4381,=0.4934,=0.5856,=0.6818,=0.7455,=0.9994,=0.9612,=0.5323,=0.5929,=0.7358,=0.9210,=1.0366,,=0.0921,,=0.0502,=230
