指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=-0.0130,=11790.2100,=-0.0777,=5.5400,=0.6263,=3.2016,=4.0862,=5.2306,=5.9017,=7.9938,=0.5229,=0.3373,=0.3790,=0.4576,=0.5656,=0.7124,=1.0569,=2.0794,=0.7745,=1.0856,=1.4330,=1.7504,=2.1394,=2.9053,=0.0527,=0.4110,=0.0324,=0.0492,=0.0547,=0.0738,=0.0997,,=0.0881,,=100
="932584",智选港股通红利低波,2026-06-11,=-0.0107,=1684.9700,,=5.6861,=0.4444,=5.4952,=5.6356,=5.7598,=6.0802,=6.2685,=0.5808,=0.4444,=0.5613,=0.5756,=0.5883,=0.6211,=0.6403,=0.8736,=0.4444,=0.8443,=0.8658,=0.8849,=0.9341,=0.9631,=0.0600,=0.7222,=0.0544,=0.0561,=0.0587,=0.0603,=0.0621,,,,=8
="H11146",港股通内地金融,2010-06-02,=-0.0175,=1059.0500,=-0.0378,=5.7350,=0.4455,=3.2759,=4.5177,=6.0264,=6.7500,=9.2347,=0.5823,=0.3563,=0.3797,=0.4938,=0.6643,=0.8765,=1.1859,=1.4855,=0.6956,=0.6692,=0.9478,=1.3101,=1.5984,=2.1885,=0.0503,=0.5002,=0.0302,=0.0445,=0.0503,=0.0726,=0.0994,,=0.0970,,=40
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0145,=3802.8200,=-0.0542,=6.3258,=0.6448,=4.1647,=4.6476,=5.6806,=6.9532,=7.8218,=0.5869,=0.4889,=0.4381,=0.4951,=0.5910,=0.6854,=0.7455,=0.9917,=0.9148,=0.5323,=0.5965,=0.7471,=0.9434,=1.0875,=0.0563,=0.1638,=0.0487,=0.0570,=0.0697,=0.0865,=0.0936,,=0.0921,,=247
="930792",HK银行,2016-04-22,=-0.0145,=4684.6100,=0.0636,=6.4361,=0.6914,=3.2659,=4.4645,=5.8901,=6.7890,=9.5632,=0.6270,=0.5063,=0.3905,=0.4964,=0.6240,=0.8010,=1.0771,=2.4509,=0.8201,=1.0519,=1.5167,=1.8709,=2.4045,=3.1066,=0.0490,=0.1545,=0.0355,=0.0501,=0.0564,=0.0743,=0.1045,,=0.0901,,=752
="H30106",H300金融服务,2013-05-21,=-0.0133,=1520.3300,=0.0047,=6.6427,=0.4329,=4.0175,=5.3642,=6.9725,=7.7688,=11.1922,=0.7117,=0.4305,=0.4470,=0.5777,=0.7412,=0.9083,=1.2489,=1.8970,=0.8042,=0.8557,=1.1816,=1.4698,=1.8920,=2.3593,=0.0468,=0.4739,=0.0288,=0.0433,=0.0473,=0.0664,=0.0918,,=0.1014,,=20
="399986",中证银行,2013-07-15,=-0.0090,=6895.4300,=-0.0931,=6.6457,=0.6941,=4.1183,=5.2599,=6.2945,=6.8536,=9.0846,=0.6335,=0.2807,=0.4848,=0.5836,=0.7165,=0.8975,=1.2416,=2.4947,=0.7931,=1.4134,=1.7842,=2.1553,=2.5120,=3.3016,=0.0443,=0.3998,=0.0285,=0.0411,=0.0460,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9589
="931233",港股通央企红利,2017-06-28,=-0.0120,=1079.7300,=-0.0739,=6.7514,=0.5788,=3.6988,=4.9626,=6.3630,=7.4456,=14.0775,=0.6351,=0.4792,=0.3929,=0.5226,=0.6449,=0.8599,=1.8161,=0.9167,=0.4706,=0.4645,=0.6240,=0.9473,=1.3893,=1.7583,=0.0554,=0.4113,=0.0394,=0.0519,=0.0571,=0.0798,=0.1038,,=0.0906,,=461
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0092,=2757.2800,=-0.0091,=6.8820,=0.8139,=3.7550,=5.0505,=5.8318,=6.7974,=7.9027,=0.6903,=0.7125,=0.4590,=0.5789,=0.6410,=0.7393,=0.8175,=1.0472,=0.8518,=0.5101,=0.6884,=0.7987,=0.9171,=1.2126,=0.0543,=0.2318,=0.0478,=0.0537,=0.0622,=0.0791,=0.1052,,=0.0995,,=281
="H11140",香港红利,2009-07-23,=-0.0142,=3621.1200,=-0.0083,=6.8993,=0.6609,=3.0693,=4.4554,=5.9842,=7.8593,=13.9623,=0.6513,=0.5219,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.0976,=0.5993,=0.5431,=0.7464,=0.9724,=1.3737,=2.1349,=0.0570,=0.2135,=0.0382,=0.0561,=0.0635,=0.0876,=0.1281,,=0.0912,,=46
="987016",港股通红利低波,2021-11-18,,,=0.0142,=6.9729,=0.8413,=3.4544,=4.3049,=4.9594,=6.8343,=8.0054,=0.6684,=0.8165,=0.4152,=0.4882,=0.5399,=0.6627,=0.7529,=1.0345,=0.7668,=0.5827,=0.6602,=0.7965,=1.1076,=1.3012,=0.0576,=0.1188,=0.0488,=0.0593,=0.0819,=0.0925,=0.1160,,=0.0893,,=164
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0084,=4012.1300,=-0.1020,=7.0446,=0.7664,=3.5572,=4.6525,=5.9995,=7.2222,=9.5068,=0.6348,=0.5779,=0.3828,=0.4856,=0.5822,=0.8146,=1.1073,=0.8500,=0.5027,=0.4386,=0.6563,=0.8495,=1.4133,=2.0623,=0.0571,=0.3226,=0.0385,=0.0532,=0.0643,=0.0819,=0.1103,,=0.0873,,=1528
="HSHDYI",恒生高股息率指数,2012-12-10,=-0.0085,=1206.6100,=-0.0540,=7.0811,=0.6180,=3.6777,=4.8612,=6.6082,=7.8179,=10.6953,=0.6500,=0.5047,=0.4041,=0.5046,=0.6464,=0.9078,=1.1746,=1.0293,=0.4502,=0.5013,=0.7008,=1.0624,=1.5005,=1.9871,=0.0575,=0.3685,=0.0423,=0.0526,=0.0604,=0.0808,=0.1102,,=0.0903,,=917
