指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="950125",科创半导体材料设备,2024-07-26,=-0.0265,=4346.9300,=1.0234,=237.1071,=0.9294,=70.4245,=117.4082,=132.1594,=167.5380,=348.7588,=12.3887,=0.9375,=2.8469,=4.7886,=5.4224,=7.0101,=17.6268,=26.8481,=0.9415,=7.2923,=10.9751,=12.9591,=15.6426,=37.4011,=0.0009,=0.3004,=0.0006,=0.0008,=0.0013,=0.0016,=0.0028,=0.0075,=0.0371,=0.0094,=143
="931743",半导体材料设备,2012-12-21,=-0.0277,=9909.4200,=0.9245,=160.9139,=0.9600,=30.1973,=39.8789,=61.0775,=89.1964,=224.0742,=12.1728,=0.9561,=2.5588,=3.4295,=4.3081,=7.0479,=17.1334,=18.7308,=0.9626,=2.5903,=3.1703,=3.8527,=11.1656,=25.3851,=0.0012,=0.0374,=0.0009,=0.0020,=0.0029,=0.0045,=0.0073,=0.0198,=0.0706,=0.0130,=289
="931865",中证半导,2019-03-20,=-0.0216,=8707.4800,=0.7595,=183.8802,=0.9576,=32.8138,=45.7023,=73.8099,=128.8890,=255.0466,=11.5854,=0.9477,=3.3892,=4.1499,=5.2775,=8.4870,=15.8034,=21.5387,=0.9635,=6.4190,=7.7047,=8.7930,=15.1606,=28.9040,=0.0009,=0.0395,=0.0006,=0.0011,=0.0021,=0.0024,=0.0032,=0.0168,=0.0580,=0.0153,=219
="931144",通信技术,2019-05-30,=0.0069,=3774.0400,=0.6211,=77.2037,=0.9497,=22.8153,=30.4694,=37.1070,=52.0217,=113.1406,=11.5043,=0.9743,=2.5671,=3.1131,=3.7298,=4.8111,=15.3977,=7.0225,=0.9714,=1.6428,=2.1082,=2.4992,=3.4180,=9.4991,=0.0029,=0.0292,=0.0021,=0.0043,=0.0065,=0.0100,=0.0166,=0.0432,=0.1354,=0.0299,=257
="000685",科创芯片,2022-06-13,=-0.0114,=4053.9300,=0.5512,=237.4611,=0.9635,=42.1555,=70.3641,=118.9838,=180.9601,=335.4323,=11.3520,=0.9615,=3.1235,=4.0895,=5.1764,=7.6815,=15.4697,=23.4694,=0.9674,=7.4796,=10.0758,=12.2928,=15.8184,=31.9311,=0.0007,=0.0326,=0.0005,=0.0011,=0.0015,=0.0021,=0.0026,=0.0152,=0.0415,=0.0074,=507
="H30184",半导体,2013-07-15,=-0.0168,=13484.2900,=0.4653,=134.1503,=0.9613,=33.2056,=51.7038,=78.6486,=107.7458,=186.6477,=9.2777,=0.9456,=2.5082,=3.4337,=4.8808,=7.4760,=12.7528,=14.6794,=0.9843,=1.3963,=2.6456,=7.0238,=9.4927,=20.0377,=0.0013,=0.0247,=0.0010,=0.0017,=0.0024,=0.0035,=0.0070,=0.0203,=0.0527,=0.0094,=3393
="932066",半导体行业精选,2023-11-10,=-0.0183,=5869.0800,=0.4449,=106.7939,=0.8757,=50.1901,=65.3279,=83.3844,=99.6683,=142.8699,=9.1220,=0.8877,=3.1655,=4.1490,=6.7530,=8.4034,=12.2533,=13.9294,=0.9087,=6.6489,=8.4035,=10.8066,=12.5741,=18.4956,=0.0016,=0.1497,=0.0012,=0.0017,=0.0022,=0.0028,=0.0034,=0.0207,=0.0794,=0.0157,=6
="990001",中华半导体芯片,2019-03-18,=-0.0157,=17109.9400,=0.4154,=135.7407,=0.9321,=33.1780,=61.5415,=86.0387,=116.8362,=187.5449,=9.1668,=0.9461,=3.1429,=4.2841,=5.3478,=7.4898,=12.4905,=14.4151,=0.9778,=3.3238,=6.0957,=7.1251,=9.5488,=19.5120,=0.0011,=0.0200,=0.0008,=0.0016,=0.0021,=0.0028,=0.0056,=0.0177,=0.0410,=0.0101,=1384
="H30007",芯片产业,2012-12-20,=-0.0168,=4455.7400,=0.4071,=116.8453,=0.8331,=24.2382,=40.3144,=71.4773,=113.2925,=186.5687,=9.3060,=0.9625,=1.9412,=3.6288,=4.5347,=7.2669,=12.9184,=14.0857,=0.9819,=1.5871,=3.6957,=6.5575,=8.3534,=19.5328,=0.0011,=0.0148,=0.0008,=0.0017,=0.0023,=0.0046,=0.0105,=0.0230,=0.0446,=0.0109,=541
="980017",国证芯片,2015-02-17,=-0.0140,=17551.6200,=0.3835,=130.3234,=0.8920,=30.3742,=55.8379,=81.2541,=108.5591,=227.4136,=9.8114,=0.9723,=3.1638,=4.1025,=5.7767,=7.5076,=13.5798,=15.2742,=0.9776,=3.6283,=5.7944,=6.6770,=8.1320,=20.9165,=0.0011,=0.0224,=0.0008,=0.0016,=0.0020,=0.0027,=0.0044,=0.0146,=0.0397,=0.0130,=2618
="000682",科创信息,2021-08-16,=-0.0111,=2758.0900,=0.3833,=186.3853,=0.9680,=41.6131,=61.4143,=93.3791,=135.3893,=255.5918,=10.4445,=0.9647,=3.3247,=4.3580,=5.3959,=6.6806,=13.8809,=16.3634,=0.9722,=5.5790,=7.3236,=8.9155,=11.5180,=21.7670,=0.0014,=0.0227,=0.0011,=0.0020,=0.0030,=0.0038,=0.0070,=0.0200,=0.0432,=0.0072,=106
="931079",5G通信,2019-04-25,=-0.0013,=2661.3800,=0.3805,=53.1071,=0.9509,=21.0709,=27.6767,=33.6222,=44.6397,=103.6981,=7.9859,=0.9701,=2.3623,=3.0445,=3.6310,=5.3305,=10.5199,=3.0686,=0.9599,=1.1916,=1.4912,=1.8816,=2.3615,=4.2354,=0.0051,=0.1383,=0.0036,=0.0056,=0.0082,=0.0121,=0.0152,=0.0389,=0.1398,=0.0276,=2284
