指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=0.0104,=12075.5014,=-0.0554,=5.6429,=0.6734,=3.2016,=4.0862,=5.2333,=5.9017,=7.9938,=0.5336,=0.3647,=0.3790,=0.4576,=0.5653,=0.7124,=1.0569,=2.1180,=0.7882,=1.0856,=1.4330,=1.7506,=2.1394,=2.9053,=0.0517,=0.3762,=0.0324,=0.0492,=0.0547,=0.0738,=0.0997,,=0.0881,,=101
="H11146",港股通内地金融,2010-06-02,=0.0043,=1074.8352,=-0.0232,=5.8150,=0.4643,=3.2759,=4.5177,=6.0271,=6.7500,=9.2347,=0.5904,=0.3759,=0.3797,=0.4938,=0.6637,=0.8765,=1.1859,=1.5063,=0.7137,=0.6692,=0.9478,=1.3123,=1.5984,=2.1885,=0.0496,=0.4891,=0.0302,=0.0445,=0.0502,=0.0726,=0.0994,,=0.0970,,=41
="932584",智选港股通红利低波,2026-06-11,,,,=5.8714,=0.6364,=5.4952,=5.6356,=5.7737,=6.0802,=6.2685,=0.5997,=0.6364,=0.5613,=0.5756,=0.5897,=0.6211,=0.6403,=0.9021,=0.6364,=0.8443,=0.8658,=0.8870,=0.9341,=0.9631,=0.0581,=0.3636,=0.0544,=0.0561,=0.0587,=0.0603,=0.0621,,,,=10
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0093,=3912.4300,=-0.0269,=6.4292,=0.6571,=4.1647,=4.6476,=5.6881,=6.9532,=7.8218,=0.5965,=0.5189,=0.4381,=0.4951,=0.5917,=0.6854,=0.7455,=1.0079,=0.9596,=0.5323,=0.5965,=0.7475,=0.9452,=1.0875,=0.0554,=0.1447,=0.0487,=0.0570,=0.0695,=0.0865,=0.0936,,=0.0921,,=251
="930792",HK银行,2016-04-22,=0.0056,=4777.0740,=0.0840,=6.5531,=0.7348,=3.2659,=4.4606,=5.8909,=6.7902,=9.5632,=0.6384,=0.5317,=0.3905,=0.4962,=0.6240,=0.8015,=1.0771,=2.4955,=0.8416,=1.0519,=1.5163,=1.8755,=2.4096,=3.1066,=0.0481,=0.1335,=0.0355,=0.0501,=0.0563,=0.0743,=0.1045,,=0.0901,,=751
="H30106",H300金融服务,2013-05-21,=0.0099,=1552.9570,=0.0260,=6.7523,=0.4509,=4.0175,=5.3642,=6.9740,=7.7688,=11.1922,=0.7234,=0.4574,=0.4470,=0.5777,=0.7403,=0.9083,=1.2489,=1.9283,=0.8204,=0.8557,=1.1816,=1.4708,=1.8943,=2.3593,=0.0460,=0.4319,=0.0288,=0.0433,=0.0473,=0.0664,=0.0918,,=0.1014,,=19
="399986",中证银行,2013-07-15,=0.0118,=7089.0100,=-0.0676,=6.8145,=0.7839,=4.1183,=5.2599,=6.2976,=6.8536,=9.0846,=0.6541,=0.3419,=0.4848,=0.5836,=0.7154,=0.8962,=1.2416,=2.5581,=0.8318,=1.4134,=1.7842,=2.1572,=2.5142,=3.3016,=0.0432,=0.3229,=0.0285,=0.0411,=0.0460,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9597
="931233",港股通央企红利,2017-06-28,=0.0082,=1110.1869,=-0.0485,=6.9091,=0.6184,=3.6988,=4.9633,=6.3677,=7.4439,=14.0775,=0.6499,=0.5160,=0.3929,=0.5227,=0.6449,=0.8598,=1.8161,=0.9381,=0.4914,=0.4645,=0.6243,=0.9465,=1.3892,=1.7583,=0.0541,=0.3254,=0.0394,=0.0519,=0.0571,=0.0798,=0.1038,,=0.0906,,=464
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0080,=2826.3800,=0.0157,=7.0396,=0.8439,=3.7550,=5.0509,=5.8321,=6.8213,=7.9027,=0.7061,=0.7428,=0.4590,=0.5790,=0.6414,=0.7390,=0.8175,=1.0711,=0.8687,=0.5101,=0.6884,=0.7989,=0.9180,=1.2126,=0.0531,=0.1650,=0.0478,=0.0537,=0.0621,=0.0791,=0.1052,,=0.0995,,=280
="H11140",香港红利,2009-07-23,=0.0006,=3729.7666,=0.0223,=7.0728,=0.7025,=3.0693,=4.4494,=5.9820,=7.8220,=13.9623,=0.6677,=0.5367,=0.3833,=0.5103,=0.6294,=0.8661,=1.1652,=1.1252,=0.6295,=0.5431,=0.7455,=0.9723,=1.3615,=2.1349,=0.0556,=0.1901,=0.0382,=0.0561,=0.0634,=0.0876,=0.1281,,=0.0912,,=47
