指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=0.0145,=11921.2600,=-0.0675,=5.6269,=0.6676,=3.2016,=4.0862,=5.2325,=5.9017,=7.9938,=0.5321,=0.3609,=0.3790,=0.4576,=0.5653,=0.7124,=1.0569,=2.1120,=0.7857,=1.0856,=1.4330,=1.7506,=2.1394,=2.9053,=0.0518,=0.3825,=0.0324,=0.0492,=0.0547,=0.0738,=0.0997,,=0.0881,,=101
="H11146",港股通内地金融,2010-06-02,=0.0040,=1063.8100,=-0.0335,=5.7682,=0.4534,=3.2759,=4.5177,=6.0271,=6.7500,=9.2347,=0.5857,=0.3629,=0.3797,=0.4938,=0.6638,=0.8765,=1.1859,=1.4941,=0.7036,=0.6692,=0.9478,=1.3118,=1.5984,=2.1885,=0.0500,=0.4923,=0.0302,=0.0445,=0.0502,=0.0726,=0.0994,,=0.0970,,=43
="932584",智选港股通红利低波,2026-06-11,=-0.0007,=1692.9400,,=5.7737,=0.5500,=5.4952,=5.6356,=5.7598,=6.0802,=6.2685,=0.5897,=0.5500,=0.5613,=0.5756,=0.5883,=0.6211,=0.6403,=0.8870,=0.5500,=0.8443,=0.8658,=0.8849,=0.9341,=0.9631,=0.0591,=0.5000,=0.0544,=0.0561,=0.0591,=0.0603,=0.0621,,,,=9
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0019,=3821.0700,=-0.0497,=6.4153,=0.6562,=4.1647,=4.6476,=5.6854,=6.9532,=7.8218,=0.5952,=0.5111,=0.4381,=0.4951,=0.5910,=0.6854,=0.7455,=1.0058,=0.9582,=0.5323,=0.5965,=0.7472,=0.9438,=1.0875,=0.0555,=0.1477,=0.0487,=0.0570,=0.0697,=0.0865,=0.0936,,=0.0921,,=249
="930792",HK银行,2016-04-22,=0.0099,=4760.5200,=0.0808,=6.5444,=0.7311,=3.2659,=4.4606,=5.8909,=6.7902,=9.5632,=0.6375,=0.5272,=0.3905,=0.4962,=0.6240,=0.8015,=1.0771,=2.4922,=0.8400,=1.0519,=1.5163,=1.8745,=2.4069,=3.1066,=0.0482,=0.1359,=0.0355,=0.0501,=0.0564,=0.0743,=0.1045,,=0.0901,,=752
="H30106",H300金融服务,2013-05-21,=0.0035,=1531.0600,=0.0118,=6.6873,=0.4384,=4.0175,=5.3642,=6.9740,=7.7688,=11.1922,=0.7165,=0.4412,=0.4470,=0.5777,=0.7404,=0.9083,=1.2489,=1.9097,=0.8082,=0.8557,=1.1816,=1.4704,=1.8931,=2.3593,=0.0465,=0.4615,=0.0288,=0.0433,=0.0473,=0.0664,=0.0918,,=0.1014,,=20
="399986",中证银行,2013-07-15,=0.0168,=6995.2100,=-0.0800,=6.8051,=0.7781,=4.1183,=5.2599,=6.2961,=6.8536,=9.0846,=0.6532,=0.3386,=0.4848,=0.5836,=0.7158,=0.8971,=1.2416,=2.5545,=0.8289,=1.4134,=1.7842,=2.1569,=2.5129,=3.3016,=0.0433,=0.3270,=0.0285,=0.0411,=0.0460,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9596
="931233",港股通央企红利,2017-06-28,=0.0039,=1087.0400,=-0.0676,=6.8529,=0.6012,=3.6988,=4.9626,=6.3644,=7.4456,=14.0775,=0.6446,=0.4961,=0.3929,=0.5226,=0.6448,=0.8599,=1.8161,=0.9304,=0.4827,=0.4645,=0.6240,=0.9472,=1.3893,=1.7583,=0.0546,=0.3586,=0.0394,=0.0519,=0.0571,=0.0798,=0.1038,,=0.0906,,=464
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0025,=2780.8600,=-0.0007,=6.9713,=0.8247,=3.7550,=5.0509,=5.8320,=6.7992,=7.9027,=0.6993,=0.7276,=0.4590,=0.5790,=0.6412,=0.7390,=0.8175,=1.0607,=0.8609,=0.5101,=0.6884,=0.7987,=0.9172,=1.2126,=0.0536,=0.1936,=0.0478,=0.0537,=0.0622,=0.0791,=0.1052,,=0.0995,,=281
="H11140",香港红利,2009-07-23,=0.0123,=3676.3200,=0.0068,=7.0093,=0.6883,=3.0693,=4.4494,=5.9820,=7.8552,=13.9623,=0.6617,=0.5322,=0.3833,=0.5103,=0.6294,=0.8661,=1.1652,=1.1151,=0.6230,=0.5431,=0.7455,=0.9723,=1.3644,=2.1349,=0.0561,=0.1994,=0.0382,=0.0561,=0.0634,=0.0876,=0.1281,,=0.0912,,=46
