指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0006,=12740.4300,=-0.0034,=6.1261,=0.8837,=3.2016,=4.0644,=5.1857,=5.9007,=7.9938,=0.5875,=0.5556,=0.3790,=0.4560,=0.5676,=0.7148,=1.0569,=2.3239,=0.9233,=1.0856,=1.4295,=1.7406,=2.1134,=2.9053,,=0.0932,,=0.0484,=88
="H11146",港股通内地金融,2010-06-02,=0.0173,=1156.9751,=0.0511,=6.3273,=0.6263,=3.2759,=4.5177,=5.9444,=6.7500,=9.2347,=0.6562,=0.4593,=0.3797,=0.4938,=0.6758,=0.8765,=1.1859,=1.6398,=0.8464,=0.6692,=0.9478,=1.2757,=1.5959,=2.1885,,=0.0962,,=0.0462,=36
="399986",中证银行,2013-07-15,=-0.0036,=7322.3900,=-0.0369,=6.9930,=0.8351,=4.1183,=5.2599,=6.2605,=6.8446,=9.0846,=0.6704,=0.3739,=0.4848,=0.5836,=0.7226,=0.8984,=1.2416,=2.6532,=0.8974,=1.4134,=1.7842,=2.1235,=2.4676,=3.3016,=0.0685,=0.0932,=0.0729,=0.0424,=9508
="930792",HK银行,2016-04-22,=0.0028,=4846.7109,=0.1004,=7.0884,=0.8705,=3.2659,=4.4645,=5.8108,=6.7681,=9.5632,=0.6893,=0.6346,=0.3905,=0.4964,=0.6253,=0.8010,=1.0771,=2.6660,=0.9671,=1.0519,=1.5167,=1.8367,=2.3599,=3.1066,,=0.0964,,=0.0465,=747
="H30106",H300金融服务,2013-05-21,=0.0158,=1627.6638,=0.0756,=7.2609,=0.6145,=4.0175,=5.3642,=6.9449,=7.7688,=11.1922,=0.7849,=0.5719,=0.4470,=0.5777,=0.7469,=0.9083,=1.2489,=2.0504,=0.9181,=0.8557,=1.1816,=1.4567,=1.8657,=2.3593,,=0.1014,,=0.0440,=17
="000018",180金融,2007-12-10,=0.0026,=5430.4400,=-0.0858,=7.4274,=0.4711,=5.2016,=6.4287,=7.4972,=8.3012,=10.8609,=0.7642,=0.2791,=0.5902,=0.6965,=0.8813,=1.0696,=1.4199,=2.2425,=0.8298,=1.2355,=1.5824,=1.9334,=2.2036,=2.8772,=0.0781,=0.0973,=0.0761,=0.0392,=768
="399809",保险主题,2015-02-13,=0.0203,=2359.8100,=-0.1155,=7.4384,=0.3195,=5.4537,=6.8114,=10.6431,=15.0245,=22.8725,=0.8061,=0.2935,=0.6352,=0.7667,=1.2249,=1.4858,=1.9794,=2.1798,=0.9402,=0.5239,=0.8688,=1.0978,=1.4063,=2.3772,=0.0826,=0.1040,=0.0824,=0.0390,=1477
="000818",细分金融,2012-04-11,=0.0032,=6784.7300,=-0.0811,=7.5517,=0.4621,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7767,=0.2791,=0.5930,=0.7010,=0.8994,=1.0928,=1.4303,=2.2993,=0.8355,=1.2689,=1.6354,=1.9731,=2.2567,=2.9111,=0.0780,=0.0969,=0.0769,=0.0385,=6
="931233",港股通央企红利,2017-06-28,=0.0150,=1262.0300,=0.0825,=7.7540,=0.8661,=3.6988,=4.9460,=6.3120,=7.4360,=14.0775,=0.7442,=0.6907,=0.3929,=0.5218,=0.6439,=0.8652,=1.8161,=1.0517,=0.6023,=0.4645,=0.6197,=0.9417,=1.3926,=1.7583,,=0.0974,,=0.0487,=434
="931024",港股通非银,2017-11-06,=0.0368,=4181.8351,=-0.0260,=7.7714,=0.0431,=6.7549,=8.6971,=11.3339,=13.3764,=22.4310,=1.0832,=0.5416,=0.6237,=0.8463,=1.0479,=1.2260,=1.7592,=1.3079,=0.8541,=0.5870,=0.8743,=1.0095,=1.2109,=2.2002,,=0.1136,,=0.0376,=187
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0211,=4474.9300,=0.1130,=7.8218,=1,=4.1647,=4.6135,=5.6258,=6.9048,=7.8218,=0.7455,=1,=0.4381,=0.4931,=0.5850,=0.6796,=0.7455,=1.0366,=1,=0.5323,=0.5929,=0.7348,=0.9203,=1.0366,,=0.0980,,=0.0487,=227
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0152,=3045.3400,=0.0944,=7.8879,=0.9994,=3.7550,=5.0440,=5.7991,=6.6650,=7.9027,=0.8052,=0.9927,=0.4590,=0.5777,=0.6384,=0.7332,=0.8175,=1.2010,=0.9957,=0.5101,=0.6873,=0.7947,=0.9028,=1.2126,,=0.1004,,=0.0478,=277
="000914",300金融,2007-07-02,=0.0036,=6169.4000,=-0.0816,=7.9148,=0.5330,=5.2769,=6.6022,=7.8327,=8.6017,=11.3863,=0.7743,=0.2745,=0.5962,=0.7048,=0.9213,=1.1328,=1.4919,=2.1651,=0.8574,=1.1210,=1.4310,=1.8123,=2.0822,=2.7052,=0.0748,=0.0919,=0.0740,=0.0380,=339
="987016",港股通红利低波,2021-11-18,,,=0.1470,=8.0054,=1,=3.4544,=4.2904,=4.8780,=6.6155,=8.0054,=0.7529,=1,=0.4152,=0.4846,=0.5370,=0.6380,=0.7529,=1.3012,=1,=0.5827,=0.6584,=0.7891,=1.0713,=1.3012,,=0.0953,,=0.0488,=129
="H11140",香港红利,2009-07-23,=0.0148,=4245.5344,=0.1627,=8.1010,=0.7897,=3.0693,=4.4554,=5.9842,=8.3102,=13.9623,=0.7788,=0.7160,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.2847,=0.7573,=0.5431,=0.7464,=0.9724,=1.5380,=2.1349,,=0.0985,,=0.0492,=31
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0091,=4778.0300,=0.0694,=8.1891,=0.9259,=3.5572,=4.6369,=5.9666,=7.1648,=9.5068,=0.7485,=0.7573,=0.3828,=0.4847,=0.5775,=0.8165,=1.1073,=0.9822,=0.6069,=0.4386,=0.6528,=0.8431,=1.4182,=2.0623,,=0.0887,,=0.0499,=1465
="H30270",红利价值,2013-12-19,=0.0037,=9946.9300,=0.0435,=8.2034,=0.7880,=4.4543,=5.4266,=6.7411,=8.7393,=13.0955,=0.8277,=0.6475,=0.5256,=0.6483,=0.7612,=1.2545,=1.7317,=1.6637,=1,=0.5854,=0.8106,=0.9954,=1.2772,=1.6637,=0.0717,=0.0975,=0.0748,=0.0407,=181
