指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q2),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q2),关注度
="950125",科创半导体材料设备,2024-07-26,=-0.0375,=3865.9600,=0.7996,=167.9191,=0.7793,=70.4245,=117.4341,=134.9452,=171.4152,=348.7588,=10.0132,=0.8867,=2.8469,=4.8039,=5.5687,=7.1399,=17.6268,=22.5185,=0.8887,=7.2923,=10.9939,=13.0650,=15.8979,=37.4011,=0.0011,=0.4824,=0.0006,=0.0008,=0.0013,=0.0016,=0.0028,=0.0401,=0.0371,=0.0180,=154
="931743",半导体材料设备,2012-12-21,=-0.0344,=8810.2500,=0.7110,=124.4324,=0.8963,=30.1973,=40.3366,=61.5542,=91.6631,=224.0742,=9.9170,=0.9014,=2.5588,=3.4564,=4.3421,=7.2599,=17.1334,=15.7673,=0.9115,=2.5903,=3.1826,=3.8676,=11.4502,=25.3851,=0.0014,=0.0885,=0.0009,=0.0020,=0.0028,=0.0045,=0.0073,=0.0498,=0.0706,=0.0390,=307
="931865",中证半导,2019-03-20,=-0.0311,=7800.6100,=0.5762,=140.8355,=0.8542,=32.8138,=46.1432,=74.1656,=132.2718,=255.0466,=10.3686,=0.9164,=3.3892,=4.1537,=5.3118,=8.6242,=15.8034,=18.3434,=0.9135,=6.4190,=7.7170,=8.8352,=15.3578,=28.9040,=0.0010,=0.1574,=0.0006,=0.0010,=0.0020,=0.0024,=0.0032,=0.0432,=0.0580,=0.0301,=221
="931144",通信技术,2019-05-30,=-0.0227,=3543.5200,=0.5220,=58.5491,=0.8601,=22.8153,=30.5283,=37.2423,=52.7638,=113.1406,=9.9385,=0.9484,=2.5671,=3.1138,=3.7500,=4.8400,=15.3977,=5.9864,=0.9433,=1.6428,=2.1096,=2.5103,=3.4285,=9.4991,=0.0034,=0.0635,=0.0021,=0.0043,=0.0064,=0.0100,=0.0166,=0.1157,=0.1354,=0.0739,=259
="000685",科创芯片,2022-06-13,=-0.0286,=3704.8000,=0.4176,=146.8309,=0.5637,=42.1555,=71.3843,=119.8296,=181.3574,=335.4323,=10.0272,=0.9184,=3.1235,=4.1011,=5.2138,=7.8306,=15.4697,=19.4593,=0.9174,=7.4796,=10.1020,=12.3500,=15.9829,=31.9311,=0.0009,=0.1497,=0.0005,=0.0010,=0.0015,=0.0021,=0.0026,=0.0456,=0.0415,=0.0173,=521
="H30184",半导体,2013-07-15,=-0.0297,=12284.2000,=0.3349,=86.3985,=0.5591,=33.2056,=51.8287,=79.2528,=107.9511,=186.6477,=8.0111,=0.8583,=2.5082,=3.4441,=4.9203,=7.5109,=12.7528,=12.2846,=0.9403,=1.3963,=2.6456,=7.0552,=9.6838,=20.0377,=0.0016,=0.1319,=0.0010,=0.0017,=0.0024,=0.0034,=0.0070,=0.0588,=0.0527,=0.0230,=3411
="932066",半导体行业精选,2023-11-10,=-0.0274,=5319.1800,=0.3095,=71.9623,=0.2909,=50.1901,=65.4730,=83.3676,=99.6683,=142.8699,=7.8763,=0.6915,=3.1655,=4.1687,=6.8226,=8.4332,=12.2533,=11.6990,=0.6389,=6.6489,=8.4255,=10.8900,=12.6126,=18.4956,=0.0018,=0.3187,=0.0012,=0.0017,=0.0022,=0.0028,=0.0034,=0.0665,=0.0794,=0.0376,=7
="931079",5G通信,2019-04-25,=-0.0169,=2510.3200,=0.3021,=44.4543,=0.7868,=21.0709,=27.7358,=33.8263,=44.7756,=103.6981,=7.1030,=0.9468,=2.3623,=3.0521,=3.6475,=5.3937,=10.5199,=2.7879,=0.9217,=1.1916,=1.4931,=1.8912,=2.3749,=4.2354,=0.0065,=0.3274,=0.0036,=0.0056,=0.0081,=0.0121,=0.0152,=0.0942,=0.1398,=0.0637,=2291
="990001",中华半导体芯片,2019-03-18,=-0.0286,=15502.5300,=0.2824,=89.1548,=0.5320,=33.1780,=61.6190,=86.4960,=116.8442,=187.5449,=7.9516,=0.8484,=3.1429,=4.2935,=5.3670,=7.5268,=12.4905,=12.0390,=0.9493,=3.3238,=6.1004,=7.1387,=9.6298,=19.5120,=0.0014,=0.0910,=0.0008,=0.0016,=0.0021,=0.0028,=0.0056,=0.0564,=0.0410,=0.0254,=1389
="H30318",科技传媒通信150,2014-04-15,=-0.0211,=3938.8800,=0.2811,=51.1886,=0.8166,=19.8534,=28.8631,=38.1497,=50.1319,=90.7292,=8.5123,=0.9629,=2.0037,=2.4801,=3.5091,=4.4266,=13.0479,=4.4685,=0.9436,=1.2409,=1.8640,=2.3043,=2.8554,=6.8164,=0.0047,=0.0560,=0.0031,=0.0058,=0.0072,=0.0165,=0.0244,=0.1033,=0.1091,=0.0497,=49
