指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q2),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q2),关注度
="931024",港股通非银,2017-11-06,=0.0028,=3952.5500,=-0.0794,=5.6645,=0.0032,=5.5654,=8.4131,=10.8683,=13.2858,=22.4310,=0.9796,=0.3699,=0.6237,=0.8538,=1.0381,=1.2203,=1.7592,=1.1096,=0.6516,=0.5870,=0.8781,=1.0213,=1.2306,=2.2002,=0.0437,=0.8799,=0.0165,=0.0270,=0.0347,=0.0415,=0.0611,,=0.1345,=0.0629,=219
="H11146",港股通内地金融,2010-06-02,=-0.0013,=1186.7200,=0.0782,=5.8826,=0.4743,=3.2759,=4.5177,=6.0183,=6.7387,=9.2347,=0.6391,=0.4605,=0.3797,=0.4938,=0.6562,=0.8675,=1.1859,=1.5586,=0.7414,=0.6692,=0.9478,=1.3188,=1.6010,=2.1885,=0.0477,=0.4220,=0.0302,=0.0445,=0.0500,=0.0726,=0.0994,,=0.0970,=0.0476,=51
="932584",智选港股通红利低波,2026-06-11,=-0.0091,=1696.3800,,=5.9758,=0.3239,=5.4952,=5.8714,=6.0636,=6.1973,=6.4396,=0.6317,=0.5634,=0.5613,=0.5997,=0.6288,=0.6413,=0.6578,=0.9447,=0.5352,=0.8443,=0.9021,=0.9439,=0.9607,=0.9893,=0.0571,=0.7042,=0.0530,=0.0550,=0.0562,=0.0581,=0.0621,,,,=20
="931039",银行AH,2017-12-06,=-0.0026,=12931.3200,=0.0115,=6.2562,=0.9169,=3.2016,=4.1043,=5.2680,=5.9157,=7.9938,=0.5871,=0.5714,=0.3790,=0.4599,=0.5660,=0.7101,=1.0569,=2.3209,=0.9205,=1.0856,=1.4370,=1.7610,=2.1802,=2.9053,=0.0484,=0.1604,=0.0324,=0.0491,=0.0544,=0.0735,=0.0997,=0.0438,=0.0881,=0.0451,=112
="H30106",H300金融服务,2013-05-21,=-0.0033,=1669.8600,=0.1035,=6.7794,=0.4528,=4.0175,=5.3642,=6.9700,=7.7406,=11.1922,=0.7722,=0.5788,=0.4470,=0.5777,=0.7402,=0.9052,=1.2489,=1.9592,=0.8277,=0.8557,=1.1816,=1.4771,=1.9278,=2.3593,=0.0449,=0.3413,=0.0288,=0.0433,=0.0472,=0.0664,=0.0918,,=0.1014,=0.0500,=26
="HSMCHYI",恒生港股通中国内地企业红利指数,2019-09-01,=-0.0056,=2927.3700,=0.0520,=6.9930,=0.8080,=3.7550,=5.0593,=5.8759,=6.9529,=7.9027,=0.7597,=0.8793,=0.4590,=0.5808,=0.6440,=0.7439,=0.8175,=1.1192,=0.9023,=0.5101,=0.6898,=0.8042,=0.9439,=1.2126,=0.0511,=0.1017,=0.0474,=0.0532,=0.0616,=0.0790,=0.1052,,=0.0995,=0.0500,=288
="931479",证券保险,2020-05-06,=0.0048,=903.1500,=-0.1501,=6.9954,=0.0045,=6.7976,=11.5701,=13.2858,=15.4243,=21.1012,=1.2135,=0.1964,=1.0296,=1.2180,=1.3651,=1.5564,=2.2844,=1.4759,=0.5074,=1.0318,=1.2792,=1.4710,=1.7769,=2.2879,=0.0323,=0.9549,=0.0162,=0.0225,=0.0252,=0.0291,=0.0357,=0.0884,=0.1317,=0.0613,=64
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0067,=4111.4200,=0.0226,=7.0165,=0.8125,=4.1647,=4.6790,=5.7591,=6.9953,=7.8218,=0.6484,=0.6642,=0.4381,=0.4982,=0.6007,=0.6818,=0.7455,=1.0975,=0.9853,=0.5323,=0.5997,=0.7625,=0.9732,=1.1223,=0.0516,=0.0760,=0.0487,=0.0554,=0.0674,=0.0860,=0.0936,=0.0453,=0.0921,=0.0475,=276
="H30035",300非银,2012-12-21,=0.0052,=9331.6200,=-0.1633,=7.0860,=0.0029,=6.8873,=12.6079,=15.1019,=19.3203,=26.3489,=1.2269,=0.1244,=1.0544,=1.2901,=1.5938,=2.0351,=2.4387,=1.4851,=0.2678,=1.0410,=1.4185,=1.6871,=1.9685,=2.3917,=0.0319,=0.9790,=0.0124,=0.0164,=0.0222,=0.0261,=0.0352,=0.0873,=0.1294,=0.0605,=1275
="000018",180金融,2007-12-10,=0.0018,=5442.1400,=-0.0839,=7.1602,=0.3453,=5.2016,=6.4287,=7.4929,=8.3012,=10.8609,=0.7798,=0.3646,=0.5902,=0.6965,=0.8517,=1.0563,=1.4199,=2.1775,=0.7585,=1.2355,=1.5824,=1.9642,=2.2159,=2.8772,=0.0395,=0.5208,=0.0246,=0.0353,=0.0392,=0.0493,=0.0636,=0.0529,=0.0959,=0.0477,=780
