指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="399809",保险主题,2015-02-13,=-0.0141,=2156.3300,=-0.1918,=7.1873,=0.2786,=5.4537,=6.8114,=10.3809,=15.0245,=22.8725,=0.7776,=0.2420,=0.6352,=0.7647,=1.2234,=1.4858,=1.9794,=2.0934,=0.9011,=0.5239,=0.8688,=1.0978,=1.7459,=2.3772,=0.0403,=0.6863,=0.0120,=0.0209,=0.0298,=0.0488,=0.0686,=0.0227,=0.1015,=0.0246,=1499
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0049,=4163.8800,=-0.0681,=7.2497,=0.8040,=3.5572,=4.6528,=6.0016,=7.2236,=9.5068,=0.6533,=0.5907,=0.3828,=0.4856,=0.5830,=0.8129,=1.1073,=0.8747,=0.5351,=0.4386,=0.6575,=0.8499,=1.4129,=2.0623,=0.0555,=0.2539,=0.0385,=0.0534,=0.0642,=0.0818,=0.1103,,=0.0873,,=1535
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0069,=1248.2500,=-0.0213,=7.2716,=0.6753,=3.6777,=4.8612,=6.6082,=7.8179,=10.6953,=0.6675,=0.5278,=0.4041,=0.5046,=0.6464,=0.9078,=1.1746,=1.0570,=0.4933,=0.5013,=0.7008,=1.0616,=1.5005,=1.9871,=0.0560,=0.3129,=0.0423,=0.0526,=0.0604,=0.0808,=0.1102,,=0.0903,,=918
="931024",港股通非银,2017-11-06,=-0.0003,=3868.0925,=-0.0979,=7.3083,=0.0159,=6.7549,=8.5481,=11.0260,=13.3320,=22.4310,=0.9944,=0.4029,=0.6237,=0.8507,=1.0443,=1.2217,=1.7592,=1.2244,=0.7965,=0.5870,=0.8760,=1.0161,=1.2288,=2.2002,=0.0399,=0.7591,=0.0165,=0.0266,=0.0345,=0.0414,=0.0611,,=0.1344,,=197
="000818",细分金融,2012-04-11,,,=-0.1017,=7.3372,=0.3619,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7543,=0.2663,=0.5930,=0.7010,=0.8808,=1.0910,=1.4303,=2.2214,=0.7675,=1.2689,=1.6354,=1.9959,=2.2623,=2.9111,=0.0395,=0.6113,=0.0239,=0.0331,=0.0375,=0.0471,=0.0625,=0.0231,=0.0956,=0.0246,=7
="H30270",红利价值,2013-12-19,=-0.0155,=9134.1154,=-0.0418,=7.4728,=0.6805,=4.4543,=5.4383,=6.7734,=8.6785,=13.0955,=0.7590,=0.4909,=0.5256,=0.6490,=0.7625,=1.2418,=1.7317,=1.5145,=0.9452,=0.5854,=0.8134,=1.0017,=1.3029,=1.6637,=0.0444,=0.3756,=0.0269,=0.0419,=0.0504,=0.0630,=0.0726,=0.0235,=0.0936,=0.0240,=200
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0040,=2578.7000,=0.0408,=7.4851,=0.8745,=3.8979,=4.9503,=5.9205,=7.2450,=8.4533,=0.6680,=0.7697,=0.4277,=0.5174,=0.5800,=0.6836,=0.8197,=1.1651,=0.8521,=0.5333,=0.6978,=0.8824,=1.1256,=1.3442,=0.0537,=0.0867,=0.0482,=0.0564,=0.0671,=0.0839,=0.1067,,=0.0894,,=498
="HSSCHYS",恒生港股通红利优选指数,2023-06-01,=0.0071,=4806.4300,=0.0349,=7.5166,=0.7448,=4.2457,=4.7397,=5.8131,=7.7978,=9.0746,=0.7035,=0.6888,=0.4429,=0.5002,=0.5862,=0.7377,=0.8283,=1.1516,=0.9844,=0.6036,=0.6762,=0.8809,=1.0462,=1.2314,=0.0616,=0.2409,=0.0497,=0.0610,=0.0720,=0.0878,=0.0947,,=0.0899,,=86
="931157",SHS红利成长LV,2019-04-25,=-0.0027,=7066.1107,=-0.0519,=7.5790,=0.6113,=4.1261,=5.6081,=6.9594,=8.3278,=11.5318,=0.7483,=0.3576,=0.5154,=0.6276,=0.8057,=0.9222,=1.5888,=1.6288,=0.9940,=0.5018,=0.7132,=1.0408,=1.4196,=1.6968,=0.0481,=0.4921,=0.0259,=0.0418,=0.0482,=0.0557,=0.0761,,=0.0964,,=344
="931130",红利成长低波,2018-12-04,,,=-0.0399,=7.5829,=0.4715,=4.4465,=5.5848,=7.7898,=8.7097,=11.5512,=0.7623,=0.3355,=0.5279,=0.6254,=0.8979,=1.0280,=1.5803,=2.5893,=0.9951,=0.3109,=0.8148,=1.3220,=1.9365,=2.6815,=0.0415,=0.4336,=0.0246,=0.0322,=0.0424,=0.0533,=0.0639,=0.0231,=0.0934,=0.0229,=148
