指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),股息率,关注度
="931039",银行AH,2017-12-06,=0.0169,=12199.6200,=-0.0457,=5.7470,=0.7231,=3.2016,=4.0755,=5.1988,=5.9035,=7.9938,=0.5417,=0.3814,=0.3790,=0.4566,=0.5665,=0.7135,=1.0569,=2.1571,=0.8107,=1.0856,=1.4316,=1.7455,=2.1334,=2.9053,,=0.0881,,=0.0508,=97
="H11146",港股通内地金融,2010-06-02,=0.0111,=1106.4200,=0.0052,=5.9733,=0.4947,=3.2759,=4.5181,=6.0021,=6.7473,=9.2347,=0.6061,=0.3882,=0.3797,=0.4941,=0.6711,=0.8760,=1.1859,=1.5429,=0.7496,=0.6692,=0.9479,=1.2911,=1.5978,=2.1885,,=0.0970,,=0.0484,=40
="930792",HK银行,2016-04-22,=0.0092,=4790.8600,=0.0877,=6.6109,=0.7610,=3.2659,=4.4645,=5.8389,=6.7741,=9.5632,=0.6434,=0.5377,=0.3905,=0.4964,=0.6259,=0.8010,=1.0771,=2.5148,=0.8600,=1.0519,=1.5167,=1.8493,=2.3892,=3.1066,,=0.0901,,=0.0478,=751
="399986",中证银行,2013-07-15,=0.0180,=7081.0600,=-0.0687,=6.7465,=0.7564,=4.1183,=5.2599,=6.2771,=6.8477,=9.0846,=0.6417,=0.2988,=0.4848,=0.5836,=0.7201,=0.8984,=1.2416,=2.5325,=0.8166,=1.4134,=1.7842,=2.1351,=2.4921,=3.3016,=0.0226,=0.0881,=0.0236,=0.0437,=9550
="H30106",H300金融服务,2013-05-21,=0.0068,=1582.3000,=0.0456,=6.8185,=0.4664,=4.0175,=5.3653,=6.9681,=7.7687,=11.1922,=0.7313,=0.4684,=0.4470,=0.5779,=0.7452,=0.9081,=1.2489,=1.9489,=0.8404,=0.8557,=1.1817,=1.4617,=1.8825,=2.3593,,=0.1014,,=0.0456,=20
="000018",180金融,2007-12-10,=0.0179,=5193.4200,=-0.1257,=7.1325,=0.3450,=5.2016,=6.4287,=7.4972,=8.3012,=10.8609,=0.7254,=0.2411,=0.5902,=0.6965,=0.8759,=1.0696,=1.4199,=2.1418,=0.7523,=1.2355,=1.5824,=1.9450,=2.2066,=2.8772,=0.0229,=0.0959,=0.0245,=0.0408,=771
="399809",保险主题,2015-02-13,=0.0144,=2145.3500,=-0.1959,=7.1409,=0.2646,=5.4537,=6.8114,=10.5715,=15.0245,=22.8725,=0.7646,=0.1937,=0.6352,=0.7660,=1.2249,=1.4858,=1.9794,=2.0799,=0.9035,=0.5239,=0.8688,=1.0978,=1.4536,=2.3772,=0.0227,=0.1015,=0.0246,=0.0406,=1490
="000818",细分金融,2012-04-11,=0.0169,=6465.9500,=-0.1243,=7.2319,=0.3269,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7356,=0.2432,=0.5930,=0.7010,=0.8933,=1.0928,=1.4303,=2.1905,=0.7453,=1.2689,=1.6354,=1.9833,=2.2602,=2.9111,=0.0231,=0.0956,=0.0246,=0.0401,=6
="931233",港股通央企红利,2017-06-28,=0.0099,=1193.9600,=0.0241,=7.3056,=0.7486,=3.6988,=4.9518,=6.3273,=7.4512,=14.0775,=0.6872,=0.5979,=0.3929,=0.5221,=0.6448,=0.8636,=1.8161,=0.9919,=0.5515,=0.4645,=0.6212,=0.9461,=1.3910,=1.7583,,=0.0906,,=0.0512,=448
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0082,=4233.1700,=0.0528,=7.3425,=0.8886,=4.1647,=4.6252,=5.6476,=6.9681,=7.8218,=0.6860,=0.8003,=0.4381,=0.4942,=0.5877,=0.6860,=0.7455,=0.9757,=0.8832,=0.5323,=0.5942,=0.7392,=0.9294,=1.0366,,=0.0921,,=0.0514,=235
="987016",港股通红利低波,2021-11-18,,,=0.0988,=7.4278,=0.9109,=3.4544,=4.2989,=4.9213,=6.7439,=8.0054,=0.6862,=0.8700,=0.4152,=0.4871,=0.5384,=0.6532,=0.7529,=1.2098,=0.9073,=0.5827,=0.6592,=0.7915,=1.1030,=1.3012,,=0.0893,,=0.0519,=146
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0209,=2987.2400,=0.0735,=7.4669,=0.9361,=3.7550,=5.0463,=5.8104,=6.7381,=7.9027,=0.7485,=0.8283,=0.4590,=0.5783,=0.6396,=0.7383,=0.8175,=1.1353,=0.9265,=0.5101,=0.6878,=0.7963,=0.9093,=1.2126,,,,=0.0501,=277
="H11140",香港红利,2009-07-23,=0.0082,=3988.2000,=0.0923,=7.5008,=0.7554,=3.0693,=4.4554,=5.9843,=8.1567,=13.9623,=0.7081,=0.5857,=0.3833,=0.5103,=0.6298,=0.8659,=1.1652,=1.1933,=0.6776,=0.5431,=0.7464,=0.9726,=1.5084,=2.1349,,=0.0912,,=0.0524,=42
="931024",港股通非银,2017-11-06,=0.0091,=4013.7600,=-0.0652,=7.5237,=0.0232,=6.7549,=8.6377,=11.1564,=13.3698,=22.4310,=1.0240,=0.4545,=0.6237,=0.8475,=1.0486,=1.2241,=1.7592,=1.2599,=0.8227,=0.5870,=0.8751,=1.0123,=1.2249,=2.2002,,=0.1344,,=0.0389,=191
="000914",300金融,2007-07-02,=0.0174,=5876.4700,=-0.1252,=7.5765,=0.3941,=5.2769,=6.6022,=7.8366,=8.6017,=11.3863,=0.7333,=0.2378,=0.5962,=0.7048,=0.9145,=1.1328,=1.4919,=2.0641,=0.7795,=1.1210,=1.4310,=1.8123,=2.0875,=2.7052,=0.0223,=0.0897,=0.0236,=0.0396,=342
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0102,=4566.5400,=0.0220,=7.6890,=0.8522,=3.5572,=4.6410,=5.9839,=7.1927,=9.5068,=0.6924,=0.6664,=0.3828,=0.4851,=0.5794,=0.8155,=1.1073,=0.9271,=0.5652,=0.4386,=0.6554,=0.8485,=1.4151,=2.0623,,,,=0.0525,=1502
="H30270",红利价值,2013-12-19,=0.0161,=9592.3100,=0.0063,=7.7112,=0.7210,=4.4543,=5.4295,=6.7522,=8.7221,=13.0955,=0.7735,=0.5261,=0.5256,=0.6487,=0.7628,=1.2483,=1.7317,=1.5628,=0.9641,=0.5854,=0.8115,=0.9982,=1.2953,=1.6637,=0.0235,=0.0936,=0.0240,=0.0430,=193
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0039,=1334.4800,=0.0463,=7.8156,=0.8010,=3.6777,=4.8612,=6.6084,=7.8125,=10.6953,=0.7176,=0.5743,=0.4041,=0.5046,=0.6483,=0.9078,=1.1746,=1.1385,=0.5682,=0.5013,=0.7008,=1.0661,=1.5005,=1.9871,,,,=0.0522,=911
="000934",中证金融,2009-07-03,=0.0160,=5510.7100,=-0.1210,=7.8632,=0.4031,=5.7083,=6.8944,=8.0849,=8.8714,=11.5527,=0.7436,=0.2321,=0.6117,=0.7181,=0.9214,=1.1488,=1.5017,=2.0727,=0.7972,=1.1467,=1.4503,=1.8024,=2.0757,=2.6696,=0.0220,=0.0873,=0.0231,=0.0385,=1151
="932596",港股通红利低波,2016-02-04,=0.0098,=4218.4200,=0.0875,=7.8758,=0.2381,=7.4451,=7.8406,=8.0723,=8.2874,=8.5745,=0.7387,=0.5476,=0.6528,=0.6976,=0.7258,=0.7597,=0.7956,=1.3157,=0.3750,=1.2161,=1.2815,=1.3306,=1.3627,=1.4099,,=0.0894,,=0.0494,=87
="931157",SHS红利成长LV,2019-04-25,=0.0129,=7257.4700,=-0.0264,=7.8760,=0.6576,=4.1261,=5.5871,=6.9074,=8.3407,=11.5318,=0.7884,=0.4449,=0.5154,=0.6253,=0.8089,=0.9266,=1.5888,=1.5407,=0.9271,=0.5018,=0.7112,=1.0367,=1.4061,=1.6439,,=0.0964,,=0.0482,=326
="930914",港股通高股息,2016-11-25,=0.0072,=5229.2400,=0.0634,=7.8952,=0.8138,=3.4280,=4.4190,=5.9087,=7.8108,=11.1979,=0.7607,=0.7048,=0.3979,=0.5021,=0.6149,=0.8527,=1.1764,=1.2509,=0.7979,=0.5144,=0.7034,=0.9221,=1.2553,=2.2126,,=0.0918,,=0.0509,=698
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0095,=2733.4300,=0.1032,=7.9217,=0.9450,=3.8979,=4.9488,=5.8709,=7.1865,=8.4533,=0.7069,=0.8572,=0.4277,=0.5171,=0.5774,=0.6822,=0.8197,=1.2327,=0.9110,=0.5333,=0.6966,=0.8736,=1.1188,=1.3442,,,,=0.0508,=490
="930992",沪港深红利低波,2017-06-28,=0.0129,=5635.6400,=0.0123,=7.9871,=0.8684,=4.0130,=5.1491,=5.8726,=7.7270,=8.5109,=0.7446,=0.8647,=0.4277,=0.5368,=0.5899,=0.7219,=0.7950,=1.1815,=0.7952,=0.4496,=0.6002,=0.8468,=1.1840,=1.3912,,=0.0878,,=0.0497,=46
="000992",全指金融,2011-08-02,=0.0149,=5285.3100,=-0.1174,=8.0977,=0.4316,=5.9310,=7.1022,=8.2655,=9.0288,=11.6339,=0.7471,=0.2284,=0.6188,=0.7234,=0.9300,=1.1610,=1.5107,=2.0604,=0.7819,=1.1568,=1.4432,=1.8065,=2.0759,=2.6668,=0.0217,=0.0846,=0.0227,=0.0379,=2701
="HSCSOE",恒生中国央企指数,2023-01-01,=0.0030,=3942.1300,=0.0966,=8.1498,=0.9078,=4.9972,=5.5474,=6.1266,=7.6987,=8.5526,=0.7837,=0.8970,=0.5264,=0.5921,=0.6326,=0.7540,=0.8375,=0.9753,=0.9138,=0.5404,=0.5944,=0.6657,=0.8607,=1.0234,,=0.0956,,=0.0468,=112
="000029",180价值,2009-01-09,=0.0179,=4059.9800,=-0.0883,=8.1687,=0.6480,=5.6894,=6.9075,=7.8873,=8.5069,=10.8138,=0.7820,=0.1204,=0.6666,=0.8042,=0.8614,=1.0653,=1.4433,=1.0613,=0.7815,=0.6198,=0.7825,=0.9448,=1.0677,=1.4032,=0.0228,=0.0896,=0.0243,=0.0417,=556
="H30269",红利低波,2013-12-19,=0.0199,=11082.6800,=-0.0140,=8.2147,=0.7275,=4.5638,=5.5488,=6.8688,=9.4786,=14.4342,=0.8271,=0.5338,=0.5386,=0.6570,=0.8017,=1.3872,=1.9670,=1.5876,=0.9658,=0.6111,=0.8850,=1.0977,=1.4163,=1.6703,=0.0236,=0.0946,=0.0236,=0.0440,=4254
="H50040",上红低波,2014-03-21,=0.0199,=11090.3800,=0.0057,=8.2159,=0.7383,=4.6938,=5.9512,=7.0817,=9.6645,=14.3118,=0.8182,=0.4460,=0.5647,=0.6911,=0.8356,=1.3609,=1.8756,=1.6008,=0.9633,=0.6380,=0.8684,=1.2018,=1.3993,=1.6845,=0.0234,=0.0936,=0.0244,=0.0433,=355
="931446",东证红利低波,2020-04-21,=0.0170,=3372,=-0.0206,=8.3317,=0.7427,=5.1478,=6.1727,=7.1239,=8.5375,=11.0216,=0.7874,=0.5707,=0.5884,=0.6951,=0.7640,=0.8731,=1.2481,=1.5103,=0.9431,=0.5909,=0.7532,=0.8862,=1.3215,=1.5979,=0.0224,=0.0895,=0.0240,=0.0429,=839
="000922",中证红利,2008-05-26,=0.0118,=5578.6900,=0.0136,=8.3975,=0.7560,=5.1762,=6.0245,=7.6568,=8.6145,=11.2156,=0.8080,=0.4052,=0.5911,=0.7110,=0.8539,=1.1086,=1.4999,=1.2417,=0.8228,=0.6332,=0.7726,=1.0442,=1.2265,=1.7101,=0.0233,=0.0895,=0.0228,=0.0431,=20042
="931130",红利成长低波,2018-12-04,=0.0160,=23103.0500,=-0.0258,=8.4176,=0.6948,=4.4465,=5.5763,=7.8087,=8.7298,=11.5512,=0.8322,=0.3361,=0.5279,=0.6239,=0.9009,=1.0310,=1.5803,=1.8566,=0.7621,=0.3109,=0.8133,=1.3183,=1.9167,=2.5957,=0.0231,=0.0934,=0.0229,=0.0433,=145
="HSSCHYS",恒生港股通红利优选指数,2023-06-01,=0.0008,=5195.7900,=0.1187,=8.4767,=0.9008,=4.2457,=4.7190,=5.7743,=7.6755,=9.0746,=0.7606,=0.8804,=0.4429,=0.4984,=0.5816,=0.7366,=0.8283,=1.0758,=0.8913,=0.6036,=0.6737,=0.8758,=1.0341,=1.1508,,,,=0.0527,=86
="000151",上国红利,2012-07-20,=0.0132,=1611.6000,=0.0549,=8.4855,=0.9472,=4.5075,=5.3657,=6.9397,=7.7056,=10.0345,=0.7408,=0.4629,=0.5268,=0.6189,=0.7535,=0.9661,=1.3272,=1.0486,=0.4386,=0.6026,=0.8953,=1.0849,=1.3107,=1.6854,=0.0218,=0.0803,=0.0258,=0.0441,=215
="000821",300红利,2012-07-20,=0.0128,=6533.0200,=-0.0209,=8.5447,=0.8186,=4.9998,=6.1944,=7.5608,=8.4442,=10.9286,=0.8277,=0.3557,=0.5725,=0.7140,=0.8706,=1.0796,=1.4919,=1.3866,=0.8932,=0.6098,=0.7993,=1.0654,=1.3189,=1.6963,=0.0235,=0.0916,=0.0239,=0.0439,=992
="000015",红利指数,2005-01-04,=0.0110,=3185.2900,=0.0486,=8.5695,=0.9130,=4.6646,=5.5108,=7.0876,=8.0342,=10.4439,=0.8120,=0.5758,=0.5525,=0.6398,=0.7661,=1.0179,=1.3875,=1.4422,=0.9106,=0.7277,=0.8913,=1.1333,=1.3325,=1.6890,=0.0233,=0.0885,=0.0212,=0.0416,=14178
="000063",上证周期,2010-02-03,=0.0114,=3614.7800,=-0.1091,=8.6092,=0.5070,=5.4761,=7.1362,=8.5900,=9.4385,=12.4946,=0.8798,=0.3026,=0.6668,=0.8368,=0.9619,=1.1068,=1.4831,=1.5313,=0.8941,=0.8113,=1.0636,=1.2494,=1.4433,=1.7571,=0.0245,=0.0975,=0.0256,=0.0385,=207
="931479",证券保险,2020-05-06,=0.0137,=875.0200,=-0.1766,=8.6831,=0.0014,=8.5535,=11.8908,=13.4922,=15.5366,=21.1012,=1.1586,=0.1298,=1.0296,=1.2263,=1.3804,=1.5719,=2.2844,=1.5793,=0.6230,=1.0318,=1.2719,=1.4554,=1.7902,=2.2879,=0.0256,=0.1317,=0.0302,=0.0309,=33
="000824",国企红利,2012-07-20,=0.0166,=2177.6200,=0.0266,=8.8326,=0.9052,=4.8847,=5.9406,=7.3386,=8.4067,=10.7823,=0.8403,=0.5173,=0.5610,=0.6880,=0.8278,=1.0592,=1.4469,=1.2853,=0.8401,=0.5370,=0.7016,=0.9865,=1.2505,=1.6834,=0.0232,=0.0892,=0.0226,=0.0425,=940
="931644",800红利,2024-03-15,=0.0123,=2605.1100,=0.0207,=8.8587,=0.6579,=6.4729,=7.3133,=8.2965,=9.0597,=9.4757,=0.8532,=0.4455,=0.7001,=0.7705,=0.8597,=0.9078,=0.9431,=1.2954,=0.8139,=0.8423,=0.9257,=1.1243,=1.2909,=1.3602,=0.0236,=0.0906,=0.0231,=0.0437,=30
="399373",大盘价值,2010-01-04,=0.0194,=7991,=-0.0680,=8.8920,=0.6950,=5.4746,=6.8623,=8.3615,=9.1146,=11.9914,=0.8873,=0.3957,=0.6410,=0.8033,=0.9458,=1.1408,=1.5001,=1.1356,=0.7877,=0.5920,=0.7817,=0.9284,=1.1419,=1.4541,=0.0236,=0.0939,=0.0248,=0.0429,=327
="H30035",300非银,2012-12-21,=0.0150,=9105.5600,=-0.1836,=8.8922,=0.0004,=8.7600,=12.9768,=15.1688,=19.3628,=26.3489,=1.1780,=0.0758,=1.0544,=1.3148,=1.6291,=2.0481,=2.4387,=1.6109,=0.4213,=1.0410,=1.4185,=1.7213,=1.9729,=2.3917,=0.0253,=0.1294,=0.0297,=0.0300,=1201
="000919",300价值,2008-01-21,=0.0117,=4994.6600,=-0.0609,=8.9259,=0.6896,=5.9577,=7.3283,=8.4471,=9.2438,=12.2376,=0.8768,=0.2840,=0.6917,=0.8497,=0.9405,=1.1480,=1.5388,=1.0916,=0.7667,=0.6314,=0.7861,=0.9060,=1.1062,=1.3421,=0.0228,=0.0921,=0.0242,=0.0408,=4320
="930740",300红利LV,2018-12-04,=0.0151,=7062.1600,=-0.0149,=8.9401,=0.8593,=5.4153,=6.8254,=7.5128,=8.6461,=9.6903,=0.8903,=0.6054,=0.6159,=0.7712,=0.8570,=0.9463,=1.0604,=1.3625,=0.7097,=0.6725,=0.8555,=1.0767,=1.5030,=1.9253,=0.0239,=0.0932,=0.0223,=0.0431,=617
="930955",红利低波100,2017-05-26,=0.0188,=11755.6800,=-0.0030,=8.9461,=0.8357,=5.0805,=6.0681,=7.4129,=8.6015,=11.5013,=0.8735,=0.6133,=0.5792,=0.6660,=0.8264,=0.9900,=1.3722,=1.3504,=0.7995,=0.5888,=0.7774,=0.9900,=1.3512,=1.7525,=0.0234,=0.0928,=0.0257,=0.0450,=2131
="000825",央企红利,2012-07-20,=0.0155,=3454.1000,=0.0002,=9.1567,=0.9406,=4.7369,=6.0940,=7.3075,=8.3745,=10.5687,=0.8740,=0.5371,=0.5507,=0.6915,=0.8600,=0.9983,=1.3929,=1.2184,=0.8042,=0.6009,=0.8548,=1.0623,=1.2166,=1.7357,=0.0224,=0.0902,=0.0228,=0.0419,=339
="931848",800红利低波,2024-05-21,=0.0164,=3234.3800,=0.0218,=9.2845,=0.6286,=7.4155,=8.2142,=9.0797,=9.4809,=9.7854,=0.9167,=0.4653,=0.7315,=0.8614,=0.9197,=0.9706,=1.0024,=1.3488,=0.5184,=1.1714,=1.2329,=1.3478,=1.3825,=1.5428,=0.0237,=0.0929,=0.0230,=0.0424,=143
="000968",300周期,2010-05-28,=0.0097,=4139.2700,=-0.0901,=9.3039,=0.5379,=6.1174,=7.8172,=9.1554,=10.2896,=13.3562,=0.9147,=0.3071,=0.7021,=0.8484,=1.0061,=1.1784,=1.5550,=1.5371,=0.8524,=0.8459,=1.0834,=1.2645,=1.4882,=1.8297,=0.0243,=0.0922,=0.0244,=0.0364,=98
="399805",互联金融,2015-02-10,=-0.0260,=3029.2600,=-0.2130,=9.3543,=0.1562,=7.5943,=9.7588,=11.4512,=13.1628,=16.5816,=0.9481,=0.0989,=0.7644,=1.0467,=1.4204,=1.7274,=2.0317,=1.7504,=0.7601,=1.1667,=1.4082,=1.6147,=1.7903,=2.2175,=0.0238,=0.0940,=0.0248,=0.0350,=328
="399966",800证保,2012-12-21,=0.0120,=5497.1500,=-0.1687,=9.3823,=0.0004,=9.2571,=13.7060,=15.9950,=19.7375,=27.1945,=1.1881,=0.0758,=1.0619,=1.3135,=1.6110,=2.0408,=2.4366,=1.7442,=0.4650,=1.1634,=1.5249,=1.7822,=2.0457,=2.5211,=0.0247,=0.1256,=0.0286,=0.0288,=173
="H30588",中证证保,2015-02-02,=0.0120,=933.5500,=-0.1687,=9.3871,=0.0004,=9.2618,=13.6522,=16.0874,=19.5891,=27.6808,=1.1870,=0.0680,=1.0752,=1.3138,=1.6183,=2.0366,=2.4238,=1.7471,=0.4815,=1.1673,=1.5178,=1.7651,=2.0128,=2.5500,=0.0246,=0.1254,=0.0286,=0.0288,=467
