指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="950125",科创半导体材料设备,2024-07-26,=-0.0059,=4349.3553,=1.0246,=196.4394,=0.8805,=70.4245,=117.4285,=132.5398,=168.4644,=348.7588,=11.5312,=0.9143,=2.8469,=4.7915,=5.5130,=7.0477,=17.6268,=25.8347,=0.9183,=7.2923,=10.9919,=12.9886,=15.7408,=37.4011,=0.0009,=0.4183,=0.0006,=0.0008,=0.0013,=0.0016,=0.0028,=0.0075,=0.0371,=0.0094,=151
="931743",半导体材料设备,2012-12-21,=-0.0042,=9817.0996,=0.9065,=144.7867,=0.9334,=30.1973,=40.0333,=61.2736,=89.9090,=224.0742,=11.3793,=0.9411,=2.5588,=3.4348,=4.3149,=7.0838,=17.1334,=18.1413,=0.9513,=2.5903,=3.1786,=3.8571,=11.2164,=25.3851,=0.0012,=0.0551,=0.0009,=0.0020,=0.0029,=0.0045,=0.0073,=0.0198,=0.0706,=0.0130,=294
="931865",中证半导,2019-03-20,=-0.0021,=8478.6457,=0.7132,=164.3059,=0.9274,=32.8138,=45.7278,=73.9009,=129.6972,=255.0466,=10.7591,=0.9274,=3.3892,=4.1525,=5.2962,=8.5336,=15.8034,=20.2743,=0.9470,=6.4190,=7.7153,=8.8222,=15.2593,=28.9040,=0.0009,=0.0922,=0.0006,=0.0011,=0.0021,=0.0024,=0.0032,=0.0168,=0.0580,=0.0153,=219
="931144",通信技术,2019-05-30,=0.0227,=3800.9060,=0.6326,=76.1886,=0.9453,=22.8153,=30.4745,=37.1299,=52.2658,=113.1406,=11.4682,=0.9709,=2.5671,=3.1132,=3.7439,=4.8284,=15.3977,=7.0075,=0.9687,=1.6428,=2.1083,=2.5060,=3.4220,=9.4991,=0.0029,=0.0313,=0.0021,=0.0043,=0.0064,=0.0100,=0.0166,=0.0432,=0.1354,=0.0299,=257
="000685",科创芯片,2022-06-13,=0.0013,=3941.8600,=0.5083,=199.6491,=0.9009,=42.1555,=70.8736,=119.4037,=181.3776,=335.4323,=10.5801,=0.9352,=3.1235,=4.0945,=5.1863,=7.7058,=15.4697,=21.8339,=0.9529,=7.4796,=10.0843,=12.3267,=15.8710,=31.9311,=0.0008,=0.0451,=0.0005,=0.0010,=0.0015,=0.0021,=0.0026,=0.0152,=0.0415,=0.0074,=512
="H30184",半导体,2013-07-15,=0.0034,=13157.8802,=0.4298,=112.8643,=0.8393,=33.2056,=51.7038,=78.9026,=107.9511,=186.6477,=8.6483,=0.9007,=2.5082,=3.4337,=4.8900,=7.4889,=12.7528,=13.8092,=0.9745,=1.3963,=2.6456,=7.0396,=9.5588,=20.0377,=0.0014,=0.0499,=0.0010,=0.0017,=0.0024,=0.0035,=0.0070,=0.0203,=0.0527,=0.0094,=3399
="932066",半导体行业精选,2023-11-10,=0.0008,=5717.2263,=0.4075,=88.5004,=0.5920,=50.1901,=65.3857,=83.6012,=99.8792,=142.8699,=8.4263,=0.7982,=3.1655,=4.1541,=6.7703,=8.4332,=12.2533,=13.0815,=0.8398,=6.6489,=8.4103,=10.8576,=12.6041,=18.4956,=0.0017,=0.2374,=0.0012,=0.0016,=0.0022,=0.0028,=0.0034,=0.0207,=0.0794,=0.0157,=6
="931079",5G通信,2019-04-25,=0.0250,=2666.8542,=0.3833,=50.5290,=0.9139,=21.0709,=27.7203,=33.6873,=44.6890,=103.6981,=7.7945,=0.9634,=2.3623,=3.0455,=3.6343,=5.3558,=10.5199,=3.0427,=0.9578,=1.1916,=1.4915,=1.8848,=2.3715,=4.2354,=0.0050,=0.1367,=0.0036,=0.0056,=0.0082,=0.0121,=0.0152,=0.0389,=0.1398,=0.0276,=2284
="990001",中华半导体芯片,2019-03-18,=0.0044,=16535.1296,=0.3678,=112.7038,=0.7600,=33.1780,=61.6060,=86.2090,=116.8936,=187.5449,=8.4743,=0.8969,=3.1429,=4.2876,=5.3558,=7.5069,=12.4905,=13.4516,=0.9629,=3.3238,=6.0972,=7.1287,=9.5763,=19.5120,=0.0012,=0.0410,=0.0008,=0.0016,=0.0021,=0.0028,=0.0056,=0.0177,=0.0410,=0.0101,=1386
="H30007",芯片产业,2012-12-20,=0.0038,=4310.8854,=0.3613,=99.7864,=0.7462,=24.2382,=40.3144,=71.5923,=113.4115,=186.5687,=8.5813,=0.9349,=1.9412,=3.6288,=4.5465,=7.2939,=12.9184,=13.1913,=0.9720,=1.5871,=3.6957,=6.5605,=8.3763,=19.5328,=0.0012,=0.0272,=0.0008,=0.0017,=0.0023,=0.0046,=0.0105,=0.0230,=0.0446,=0.0109,=544
="H30318",科技传媒通信150,2014-04-15,=0.0143,=4167.5780,=0.3554,=61.3931,=0.9143,=19.8534,=28.8631,=38.1497,=50.1002,=90.7292,=9.4990,=0.9757,=2.0037,=2.4801,=3.5091,=4.4166,=13.0479,=4.9080,=0.9720,=1.2409,=1.8640,=2.3043,=2.8463,=6.8164,=0.0037,=0.0111,=0.0031,=0.0058,=0.0072,=0.0165,=0.0244,=0.0368,=0.1091,=0.0211,=49
="980017",国证芯片,2015-02-17,=0.0066,=17056.7300,=0.3445,=108.8988,=0.7976,=30.3742,=55.8843,=81.5057,=109.2544,=227.4136,=9.0813,=0.9441,=3.1638,=4.1038,=5.7878,=7.5250,=13.5798,=14.3333,=0.9682,=3.6283,=5.7952,=6.6945,=8.1790,=20.9165,=0.0011,=0.0353,=0.0008,=0.0016,=0.0020,=0.0027,=0.0044,=0.0146,=0.0397,=0.0130,=2619
="000682",科创信息,2021-08-16,=0.0017,=2657.8100,=0.3330,=160.9349,=0.9213,=41.6131,=61.4635,=93.4407,=136.0080,=255.5918,=9.6986,=0.9406,=3.3247,=4.3590,=5.4029,=6.9948,=13.8809,=15.1958,=0.9582,=5.5790,=7.3277,=8.9243,=11.5310,=21.7670,=0.0014,=0.0360,=0.0011,=0.0020,=0.0030,=0.0038,=0.0070,=0.0200,=0.0432,=0.0072,=106
="931160",通信设备,2013-07-15,=0.0208,=20436.6327,=0.3219,=52.7676,=0.7845,=19.3231,=27.7990,=36.6977,=54.9602,=91.1971,=9.0862,=0.9773,=2.1520,=2.8712,=3.4267,=3.9748,=12.1269,=3.0552,=0.9683,=0.9706,=1.2833,=1.5072,=2.4413,=4.3558,=0.0052,=0.2027,=0.0028,=0.0052,=0.0077,=0.0150,=0.0221,=0.0428,=0.1280,=0.0276,=1306
="931406",5G 50,2020-02-20,=0.0232,=2812.1937,=0.3212,=32.6176,=0.7277,=15.2657,=20.6145,=24.0624,=34.6385,=51.5506,=3.5892,=0.6960,=1.5292,=1.9707,=2.5717,=3.8293,=5.3757,=2.3747,=0.9595,=0.9155,=1.4065,=1.5870,=1.9217,=2.9469,=0.0156,=0.3787,=0.0042,=0.0067,=0.0205,=0.0276,=0.0387,=0.0252,=0.1023,=0.0236,=705
="000690",科创成长,2022-11-04,=-0.0028,=2472.5900,=0.3188,=103.4505,=0.5689,=26.4295,=46.3146,=83.4954,=154.6490,=288.8500,=12.7555,=0.8198,=3.7827,=4.8585,=5.6170,=12.3588,=18.2315,=13.4808,=0.7448,=2.7510,=4.0147,=6.8859,=14.5466,=20.0971,=0.0015,=0.0532,=0.0011,=0.0021,=0.0034,=0.0053,=0.0127,=0.0188,=0.1043,=0.0143,=149
="399363",云科技,2009-08-03,=0.0205,=12296.9900,=0.3161,=36.1539,=0.2068,=25.0041,=36.0449,=41.5442,=48.7831,=74.9161,=4.1170,=0.2588,=3.0187,=3.9515,=4.6437,=5.5540,=10.4646,=2.8306,=0.4462,=1.6015,=2.2265,=3.0465,=3.7052,=4.3638,=0.0136,=0.9679,=0.0046,=0.0055,=0.0070,=0.0104,=0.0160,=0.0491,=0.1469,=0.0254,=287
