指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0004,=12431.8355,=-0.0275,=5.9389,=0.8210,=3.2016,=4.0692,=5.1941,=5.9046,=7.9938,=0.5598,=0.4616,=0.3790,=0.4564,=0.5669,=0.7140,=1.0569,=2.2291,=0.8519,=1.0856,=1.4310,=1.7425,=2.1241,=2.9053,,=0.0881,,=0.0491,=91
="H11146",港股通内地金融,2010-06-02,=-0.0010,=1155.6000,=0.0499,=6.2291,=0.5758,=3.2759,=4.5181,=5.9844,=6.7473,=9.2347,=0.6321,=0.4153,=0.3797,=0.4941,=0.6738,=0.8760,=1.1859,=1.6091,=0.8112,=0.6692,=0.9479,=1.2819,=1.5978,=2.1885,,=0.0970,,=0.0464,=36
="930792",HK银行,2016-04-22,=0.0015,=4856.7000,=0.1026,=6.7720,=0.7991,=3.2659,=4.4645,=5.8242,=6.7741,=9.5632,=0.6590,=0.5828,=0.3905,=0.4964,=0.6259,=0.8010,=1.0771,=2.5761,=0.9172,=1.0519,=1.5167,=1.8409,=2.3767,=3.1066,,=0.0901,,=0.0467,=750
="399986",中证银行,2013-07-15,=0.0025,=7142.0400,=-0.0607,=6.8179,=0.7893,=4.1183,=5.2599,=6.2676,=6.8477,=9.0846,=0.6485,=0.3113,=0.4848,=0.5836,=0.7215,=0.8984,=1.2416,=2.5593,=0.8379,=1.4134,=1.7842,=2.1281,=2.4828,=3.3016,=0.0226,=0.0881,=0.0236,=0.0432,=9527
="H30106",H300金融服务,2013-05-21,=-0.0005,=1634.1500,=0.0799,=7.0510,=0.5280,=4.0175,=5.3653,=6.9595,=7.7687,=11.1922,=0.7562,=0.5194,=0.4470,=0.5779,=0.7467,=0.9081,=1.2489,=2.0154,=0.8821,=0.8557,=1.1817,=1.4596,=1.8741,=2.3593,,=0.1014,,=0.0441,=17
="000018",180金融,2007-12-10,=-0.0055,=5300.8700,=-0.1077,=7.2655,=0.3984,=5.2016,=6.4287,=7.4973,=8.3012,=10.8609,=0.7390,=0.2503,=0.5902,=0.6965,=0.8793,=1.0696,=1.4199,=2.1817,=0.7810,=1.2355,=1.5824,=1.9403,=2.2066,=2.8772,=0.0229,=0.0959,=0.0245,=0.0400,=770
="399809",保险主题,2015-02-13,=-0.0141,=2271.9300,=-0.1484,=7.2923,=0.3014,=5.4537,=6.8114,=10.6206,=15.0245,=22.8725,=0.7809,=0.2367,=0.6352,=0.7667,=1.2252,=1.4858,=1.9794,=2.1240,=0.9151,=0.5239,=0.8688,=1.0970,=1.4168,=2.3772,=0.0227,=0.1015,=0.0246,=0.0398,=1483
="000818",细分金融,2012-04-11,=-0.0079,=6620.2500,=-0.1034,=7.3812,=0.3860,=5.2356,=6.4974,=7.6851,=8.4810,=10.9951,=0.7508,=0.2495,=0.5930,=0.7010,=0.8962,=1.0928,=1.4303,=2.2357,=0.7819,=1.2689,=1.6354,=1.9768,=2.2602,=2.9111,=0.0231,=0.0956,=0.0246,=0.0393,=6
="931233",港股通央企红利,2017-06-28,=-0.0016,=1249.5324,=0.0718,=7.5369,=0.8267,=3.6988,=4.9512,=6.3176,=7.4458,=14.0775,=0.7090,=0.6436,=0.3929,=0.5220,=0.6447,=0.8647,=1.8161,=1.0233,=0.5878,=0.4645,=0.6203,=0.9442,=1.3922,=1.7583,,=0.0906,,=0.0496,=440
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0033,=4466.5800,=0.1109,=7.5838,=0.9766,=4.1647,=4.6230,=5.6359,=6.9218,=7.8218,=0.7086,=0.9353,=0.4381,=0.4938,=0.5862,=0.6834,=0.7455,=1.0078,=0.9766,=0.5323,=0.5931,=0.7365,=0.9217,=1.0366,,=0.0921,,=0.0498,=235
="987016",港股通红利低波,2021-11-18,,,=0.1349,=7.6815,=0.9715,=3.4544,=4.2968,=4.8998,=6.6543,=8.0054,=0.7098,=0.9568,=0.4152,=0.4849,=0.5376,=0.6481,=0.7529,=1.2513,=0.9688,=0.5827,=0.6590,=0.7897,=1.0859,=1.3012,,=0.0893,,=0.0502,=144
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0026,=3062.9000,=0.1007,=7.7036,=0.9752,=3.7550,=5.0448,=5.8063,=6.7043,=7.9027,=0.7714,=0.9218,=0.4590,=0.5780,=0.6391,=0.7355,=0.8175,=1.1723,=0.9709,=0.5101,=0.6875,=0.7953,=0.9063,=1.2126,,,,=0.0486,=277
="000914",300金融,2007-07-02,=-0.0085,=6025.2600,=-0.1031,=7.7389,=0.4598,=5.2769,=6.6022,=7.8371,=8.6017,=11.3863,=0.7490,=0.2449,=0.5962,=0.7048,=0.9178,=1.1328,=1.4919,=2.1083,=0.8140,=1.1210,=1.4310,=1.8122,=2.0860,=2.7052,=0.0223,=0.0897,=0.0236,=0.0388,=341
="H11140",香港红利,2009-07-23,=-0.0018,=4126.5500,=0.1302,=7.7647,=0.7780,=3.0693,=4.4554,=5.9843,=8.2195,=13.9623,=0.7331,=0.6335,=0.3833,=0.5103,=0.6298,=0.8659,=1.1652,=1.2354,=0.7165,=0.5431,=0.7464,=0.9726,=1.5227,=2.1349,,=0.0912,,=0.0507,=39
="H30270",红利价值,2013-12-19,=-0.0053,=9686.4500,=0.0162,=7.8664,=0.7482,=4.4543,=5.4275,=6.7476,=8.7354,=13.0955,=0.7889,=0.5700,=0.5256,=0.6484,=0.7621,=1.2533,=1.7317,=1.5942,=0.9762,=0.5854,=0.8107,=0.9962,=1.2852,=1.6637,=0.0235,=0.0936,=0.0240,=0.0422,=186
="931024",港股通非银,2017-11-06,=-0.0061,=4242.9100,=-0.0118,=7.9117,=0.0695,=6.7549,=8.6614,=11.2724,=13.3704,=22.4310,=1.0768,=0.5352,=0.6237,=0.8469,=1.0489,=1.2246,=1.7592,=1.3250,=0.8610,=0.5870,=0.8745,=1.0104,=1.2176,=2.2002,,=0.1344,,=0.0371,=187
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0004,=4773.9900,=0.0685,=7.9126,=0.8889,=3.5572,=4.6387,=5.9757,=7.1817,=9.5068,=0.7126,=0.7072,=0.3828,=0.4849,=0.5786,=0.8165,=1.1073,=0.9540,=0.5920,=0.4386,=0.6536,=0.8452,=1.4164,=2.0623,,,,=0.0510,=1490
="000934",中证金融,2009-07-03,=-0.0097,=5674.4000,=-0.0949,=8.0523,=0.4866,=5.7083,=6.8944,=8.0854,=8.8714,=11.5527,=0.7615,=0.2445,=0.6117,=0.7181,=0.9237,=1.1488,=1.5017,=2.1225,=0.8363,=1.1467,=1.4503,=1.8023,=2.0721,=2.6696,=0.0220,=0.0873,=0.0231,=0.0376,=1151
="932596",港股通红利低波,2016-02-04,,,=0.1250,=8.0706,=0.4620,=7.4451,=7.8279,=8.0983,=8.2936,=8.5745,=0.7570,=0.7468,=0.6528,=0.6957,=0.7218,=0.7604,=0.7956,=1.3483,=0.6582,=1.2161,=1.2786,=1.3306,=1.3642,=1.4099,,=0.0894,,=0.0482,=87
="930914",港股通高股息,2016-11-25,=-0.0017,=5412.5100,=0.1006,=8.0866,=0.8348,=3.4280,=4.4181,=5.8967,=7.7840,=11.1979,=0.7793,=0.7267,=0.3979,=0.5020,=0.6144,=0.8532,=1.1764,=1.2814,=0.8198,=0.5144,=0.7031,=0.9214,=1.2500,=2.2126,,=0.0918,,=0.0497,=694
="HSHDYI",恒生高股息率指数,2012-12-10,=-0.0013,=1408.9100,=0.1046,=8.1039,=0.8526,=3.6777,=4.8612,=6.6084,=7.7930,=10.6953,=0.7442,=0.6194,=0.4041,=0.5046,=0.6483,=0.9078,=1.1746,=1.1806,=0.6373,=0.5013,=0.7008,=1.0661,=1.5005,=1.9871,,,,=0.0504,=909
="931157",SHS红利成长LV,2019-04-25,=-0.0053,=7460.2266,=0.0008,=8.1394,=0.7367,=4.1261,=5.5821,=6.9012,=8.3416,=11.5318,=0.8146,=0.5193,=0.5154,=0.6252,=0.8094,=0.9283,=1.5888,=1.5924,=0.9709,=0.5018,=0.7095,=1.0338,=1.3989,=1.6439,,=0.0964,,=0.0467,=320
="930992",沪港深红利低波,2017-06-28,,,=0.0436,=8.1833,=0.9326,=4.0130,=5.1383,=5.8516,=7.6667,=8.5109,=0.7628,=0.9345,=0.4277,=0.5368,=0.5895,=0.7157,=0.7950,=1.2106,=0.8464,=0.4496,=0.5997,=0.8297,=1.1804,=1.3912,,=0.0878,,=0.0485,=42
