指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0219,=12284.4451,=-0.0391,=5.9144,=0.8152,=3.2016,=4.0506,=5.1680,=5.8880,=7.9938,=0.5599,=0.4650,=0.3790,=0.4555,=0.5666,=0.7158,=1.0569,=2.2532,=0.8795,=1.0856,=1.4282,=1.7373,=2.0874,=2.9053,,=0.0932,,=0.0536,=80
="H11146",港股通内地金融,2010-06-02,=0.0256,=1073.9731,=-0.0243,=6.1580,=0.5565,=3.2759,=4.5177,=5.8806,=6.7500,=9.2347,=0.6267,=0.4041,=0.3797,=0.4938,=0.6801,=0.8770,=1.1859,=1.5917,=0.8018,=0.6692,=0.9478,=1.2666,=1.5902,=2.1885,,=0.0962,,=0.0481,=32
="930792",HK银行,2016-04-22,=0.0296,=4389.0561,=-0.0035,=6.6933,=0.7956,=3.2659,=4.4520,=5.7861,=6.7247,=9.5632,=0.6406,=0.5348,=0.3905,=0.4959,=0.6239,=0.8026,=1.0771,=2.4991,=0.8671,=1.0519,=1.5154,=1.8314,=2.3222,=3.1066,,=0.0964,,=0.0506,=740
="399986",中证银行,2013-07-15,=0.0211,=7201.7100,=-0.0528,=6.7992,=0.7943,=4.1183,=5.2599,=6.2260,=6.8105,=9.0846,=0.6663,=0.3582,=0.4848,=0.5836,=0.7248,=0.9057,=1.2416,=2.5913,=0.8726,=1.4134,=1.7842,=2.1184,=2.4464,=3.3016,=0.0685,=0.0932,=0.0729,=0.0458,=9446
="H30106",H300金融服务,2013-05-21,=0.0340,=1507.8700,=-0.0036,=6.9488,=0.5095,=4.0175,=5.3642,=6.9025,=7.7688,=11.1922,=0.7460,=0.4974,=0.4470,=0.5777,=0.7475,=0.9083,=1.2489,=1.9439,=0.8557,=0.8557,=1.1816,=1.4551,=1.8458,=2.3593,,=0.1014,,=0.0457,=17
="399809",保险主题,2015-02-13,=0.0079,=2371.0400,=-0.1113,=7.1844,=0.2679,=5.4537,=6.8114,=10.6490,=15.0245,=22.8725,=0.8087,=0.2939,=0.6352,=0.7667,=1.2272,=1.4858,=1.9794,=2.1117,=0.9254,=0.5239,=0.8688,=1.0978,=1.3746,=2.3772,=0.0826,=0.1040,=0.0824,=0.0404,=1465
="000018",180金融,2007-12-10,=0.0149,=5363.7800,=-0.0971,=7.2128,=0.3912,=5.2016,=6.4287,=7.4964,=8.3012,=10.8609,=0.7686,=0.2840,=0.5902,=0.6965,=0.8894,=1.0727,=1.4199,=2.1858,=0.7968,=1.2355,=1.5824,=1.9271,=2.1891,=2.8772,=0.0781,=0.0973,=0.0761,=0.0407,=766
="000818",细分金融,2012-04-11,,,=-0.1097,=7.3382,=0.3776,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7809,=0.2791,=0.5930,=0.7010,=0.9072,=1.0981,=1.4303,=2.2400,=0.7964,=1.2689,=1.6354,=1.9719,=2.2459,=2.9111,=0.0780,=0.0969,=0.0769,=0.0398,=6
="931233",港股通央企红利,2017-06-28,=0.0154,=1228.0349,=0.0534,=7.4701,=0.8143,=3.6988,=4.9387,=6.2861,=7.4208,=14.0775,=0.7170,=0.6656,=0.3929,=0.5213,=0.6416,=0.8673,=1.8161,=1.0062,=0.5737,=0.4645,=0.6185,=0.9361,=1.3937,=1.7583,,=0.0974,,=0.0530,=404
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0197,=4338.0700,=0.0789,=7.4918,=0.9841,=4.1647,=4.6086,=5.5714,=6.8418,=7.6113,=0.7117,=0.9812,=0.4381,=0.4921,=0.5816,=0.6730,=0.7230,=0.9790,=0.9509,=0.5323,=0.5913,=0.7285,=0.9111,=1.0190,,=0.0980,,=0.0524,=205
="000914",300金融,2007-07-02,=0.0152,=6073.2500,=-0.0960,=7.6128,=0.4229,=5.2769,=6.6022,=7.8181,=8.6017,=11.3863,=0.7768,=0.2733,=0.5962,=0.7048,=0.9312,=1.1372,=1.4919,=2.0992,=0.8199,=1.1210,=1.4310,=1.8123,=2.0693,=2.7052,=0.0748,=0.0919,=0.0740,=0.0394,=338
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0195,=2932.9500,=0.0540,=7.6822,=0.9814,=3.7550,=5.0384,=5.7738,=6.6371,=7.9027,=0.7789,=0.9561,=0.4590,=0.5769,=0.6370,=0.7278,=0.8175,=1.1672,=0.9709,=0.5101,=0.6869,=0.7915,=0.8963,=1.2126,,=0.1004,,=0.0515,=267
="931024",港股通非银,2017-11-06,=0.0340,=4060.9841,=-0.0542,=7.6939,=0.0295,=6.7549,=8.7461,=11.3793,=13.3914,=22.4310,=1.0932,=0.5525,=0.6237,=0.8455,=1.0445,=1.2269,=1.7592,=1.3022,=0.8524,=0.5870,=0.8715,=1.0056,=1.1979,=2.2002,,=0.1136,,=0.0338,=174
="987016",港股通红利低波,2021-11-18,,,=0.1287,=7.7762,=0.9953,=3.4544,=4.2823,=4.8584,=6.4298,=7.8983,=0.7182,=0.9934,=0.4152,=0.4836,=0.5358,=0.6299,=0.7308,=1.2549,=0.9877,=0.5827,=0.6577,=0.7853,=0.9987,=1.2881,,=0.0953,,=0.0530,=112
="H11140",香港红利,2009-07-23,=0.0077,=3971.3461,=0.0876,=7.8220,=0.7755,=3.0693,=4.4554,=5.9842,=8.4154,=13.9623,=0.7434,=0.6536,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.2378,=0.7127,=0.5431,=0.7464,=0.9724,=1.5635,=2.1349,,=0.0974,,=0.0534,=27
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0151,=4694.0700,=0.0506,=7.8739,=0.8922,=3.5572,=4.6317,=5.9504,=7.1120,=9.5068,=0.7191,=0.7265,=0.3828,=0.4842,=0.5756,=0.8178,=1.1073,=0.9313,=0.5808,=0.4386,=0.6492,=0.8396,=1.4252,=2.0623,,=0.0887,,=0.0537,=1410
="000934",中证金融,2009-07-03,=0.0159,=5684.7700,=-0.0932,=7.8948,=0.4320,=5.7083,=6.8944,=8.0625,=8.8714,=11.5527,=0.7870,=0.2683,=0.6117,=0.7181,=0.9370,=1.1527,=1.5017,=2.0862,=0.8228,=1.1467,=1.4503,=1.8024,=2.0590,=2.6696,=0.0732,=0.0889,=0.0723,=0.0383,=1147
="H30270",红利价值,2013-12-19,=0.0193,=9701,=0.0177,=7.9712,=0.7713,=4.4543,=5.4191,=6.7246,=8.7856,=13.0955,=0.8297,=0.6507,=0.5256,=0.6478,=0.7583,=1.2599,=1.7317,=1.6082,=0.9946,=0.5854,=0.8083,=0.9930,=1.2560,=1.6417,=0.0717,=0.0975,=0.0748,=0.0429,=167
="931157",SHS红利成长LV,2019-04-25,=0.0192,=7407.2159,=-0.0063,=7.9799,=0.6937,=4.1261,=5.5645,=6.8671,=8.3533,=11.5318,=0.8199,=0.5469,=0.5154,=0.6235,=0.8070,=0.9309,=1.5888,=1.5593,=0.9589,=0.5018,=0.7027,=1.0210,=1.3717,=1.6333,,=0.0965,,=0.0485,=294
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0176,=1362.2400,=0.0680,=8.0761,=0.8562,=3.6777,=4.8612,=6.6082,=7.7261,=10.6953,=0.7524,=0.6315,=0.4041,=0.5046,=0.6482,=0.9078,=1.1746,=1.1546,=0.6030,=0.5013,=0.7008,=1.0658,=1.5005,=1.9871,,=0.0935,,=0.0527,=897
="000992",全指金融,2011-08-02,=0.0165,=5440.8100,=-0.0914,=8.0784,=0.4419,=5.9310,=7.1022,=8.2366,=9.0288,=11.6339,=0.7888,=0.2679,=0.6188,=0.7234,=0.9465,=1.1676,=1.5107,=2.0622,=0.8013,=1.1568,=1.4432,=1.8065,=2.0610,=2.6668,=0.0720,=0.0851,=0.0697,=0.0377,=2694
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0127,=2742.8700,=0.1070,=8.1150,=0.9892,=3.8979,=4.9411,=5.8188,=7.1112,=8.2467,=0.7297,=0.9295,=0.4277,=0.5158,=0.5738,=0.6706,=0.8197,=1.2378,=0.9429,=0.5333,=0.6947,=0.8662,=1.1082,=1.3442,,=0.0916,,=0.0514,=470
="930914",港股通高股息,2016-11-25,=0.0156,=5278.8588,=0.0735,=8.1160,=0.8486,=3.4280,=4.4103,=5.8547,=7.7254,=11.1979,=0.7800,=0.7363,=0.3979,=0.5004,=0.6105,=0.8548,=1.1764,=1.2458,=0.8068,=0.5144,=0.6963,=0.9180,=1.2382,=2.2126,,=0.1000,,=0.0527,=647
="932596",港股通红利低波,2016-02-04,,,=0.0549,=8.1475,=0.6000,=7.4451,=7.7788,=8.0515,=8.2874,=8.5745,=0.7554,=0.8400,=0.6528,=0.6838,=0.7124,=0.7518,=0.7672,=1.3194,=0.5040,=1.2161,=1.2706,=1.3192,=1.3602,=1.4099,,,,=0.0522,=73
="930992",沪港深红利低波,2017-06-28,,,=0.0073,=8.1485,=0.9477,=4.0130,=5.1069,=5.8195,=7.4093,=8.5012,=0.7658,=0.9652,=0.4277,=0.5361,=0.5873,=0.7010,=0.7825,=1.1762,=0.8190,=0.4496,=0.5975,=0.8072,=1.1604,=1.3912,,=0.0942,,=0.0524,=12
="HSCSOE",恒生中国央企指数,2023-01-01,=0.0124,=3717.0100,=0.0340,=8.3135,=0.9722,=4.9972,=5.5292,=6.0476,=7.5305,=8.5137,=0.8030,=0.9722,=0.5264,=0.5901,=0.6268,=0.7363,=0.8235,=0.9870,=0.9621,=0.5404,=0.5921,=0.6593,=0.8392,=1.0198,,=0.0966,,=0.0486,=107
="H30269",红利低波,2013-12-19,=0.0202,=11278.0100,=0.0034,=8.3586,=0.7655,=4.5638,=5.5488,=6.7952,=9.4786,=14.4342,=0.8764,=0.6039,=0.5386,=0.6570,=0.8017,=1.3872,=1.9670,=1.6169,=0.9893,=0.6111,=0.8850,=1.0977,=1.4134,=1.6556,=0.0718,=0.0970,=0.0686,=0.0441,=3784
="931446",东证红利低波,2020-04-21,=0.0224,=3437.0477,=-0.0017,=8.3593,=0.7668,=5.1478,=6.1558,=7.0674,=8.5363,=11.0216,=0.8254,=0.7124,=0.5884,=0.6932,=0.7591,=0.8757,=1.2481,=1.5178,=0.9728,=0.5909,=0.7511,=0.8799,=1.2885,=1.5979,=0.0725,=0.0941,=0.0749,=0.0448,=749
="H50040",上红低波,2014-03-21,=0.0198,=11181.4400,=0.0140,=8.3961,=0.7799,=4.6938,=5.9512,=7.0201,=9.6645,=14.3118,=0.8688,=0.5829,=0.5647,=0.6911,=0.8375,=1.3609,=1.8756,=1.6347,=0.9905,=0.6380,=0.8684,=1.2018,=1.3922,=1.6750,=0.0737,=0.0983,=0.0721,=0.0435,=340
="000029",180价值,2009-01-09,=0.0120,=4238.7800,=-0.0481,=8.4456,=0.7828,=5.6894,=6.9075,=7.8865,=8.4903,=10.8138,=0.8497,=0.4180,=0.6666,=0.8069,=0.8655,=1.0667,=1.4433,=1.0967,=0.8825,=0.6198,=0.7825,=0.9448,=1.0624,=1.4032,=0.0720,=0.0955,=0.0779,=0.0421,=554
="931130",红利成长低波,2018-12-04,,,=-0.0118,=8.4576,=0.7217,=4.4465,=5.5645,=7.7011,=8.7340,=11.5512,=0.8646,=0.3710,=0.5279,=0.6230,=0.9040,=1.0348,=1.5803,=1.8854,=0.7919,=0.3109,=0.8112,=1.3129,=1.9112,=2.5957,=0.0647,=0.0980,=0.0458,=0.0442,=135
