指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0079,=12550.3300,=-0.0183,=5.9750,=0.8400,=3.2016,=4.0525,=5.1789,=5.8959,=7.9938,=0.5778,=0.5343,=0.3790,=0.4560,=0.5669,=0.7156,=1.0569,=2.2743,=0.8935,=1.0856,=1.4287,=1.7391,=2.1054,=2.9053,,=0.0932,,=0.0495,=86
="H11146",港股通内地金融,2010-06-02,=0.0123,=1135.4300,=0.0316,=6.2143,=0.5752,=3.2759,=4.5177,=5.9043,=6.7500,=9.2347,=0.6481,=0.4414,=0.3797,=0.4938,=0.6788,=0.8770,=1.1859,=1.6123,=0.8200,=0.6692,=0.9478,=1.2723,=1.5914,=2.1885,,=0.0962,,=0.0472,=35
="399986",中证银行,2013-07-15,=0.0087,=7266.9800,=-0.0442,=6.8866,=0.8186,=4.1183,=5.2599,=6.2487,=6.8250,=9.0846,=0.6657,=0.3586,=0.4848,=0.5836,=0.7237,=0.9022,=1.2416,=2.6212,=0.8833,=1.4134,=1.7842,=2.1203,=2.4592,=3.3016,=0.0685,=0.0932,=0.0729,=0.0430,=9485
="930792",HK银行,2016-04-22,=0.0137,=4760.9300,=0.0809,=6.9559,=0.8401,=3.2659,=4.4606,=5.7975,=6.7494,=9.5632,=0.6778,=0.6107,=0.3905,=0.4962,=0.6243,=0.8015,=1.0771,=2.6167,=0.9479,=1.0519,=1.5163,=1.8341,=2.3373,=3.1066,,=0.0964,,=0.0474,=744
="H30106",H300金融服务,2013-05-21,=0.0099,=1607.3600,=0.0622,=7.1609,=0.5797,=4.0175,=5.3642,=6.9264,=7.7688,=11.1922,=0.7783,=0.5586,=0.4470,=0.5777,=0.7469,=0.9083,=1.2489,=2.0251,=0.8966,=0.8557,=1.1816,=1.4567,=1.8573,=2.3593,,=0.1014,,=0.0447,=17
="399809",保险主题,2015-02-13,=0.0153,=2369.4100,=-0.1119,=7.3422,=0.3067,=5.4537,=6.8114,=10.6490,=15.0245,=22.8725,=0.8026,=0.2840,=0.6352,=0.7667,=1.2256,=1.4858,=1.9794,=2.1513,=0.9320,=0.5239,=0.8688,=1.0978,=1.3865,=2.3772,=0.0826,=0.1040,=0.0824,=0.0393,=1473
="000018",180金融,2007-12-10,=0.0092,=5429.7800,=-0.0860,=7.3517,=0.4415,=5.2016,=6.4287,=7.4964,=8.3012,=10.8609,=0.7639,=0.2782,=0.5902,=0.6965,=0.8848,=1.0710,=1.4199,=2.2261,=0.8223,=1.2355,=1.5824,=1.9297,=2.1980,=2.8772,=0.0781,=0.0973,=0.0761,=0.0394,=768
="000818",细分金融,2012-04-11,=0.0090,=6765.0900,=-0.0838,=7.4799,=0.4382,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7769,=0.2786,=0.5930,=0.7010,=0.9021,=1.0952,=1.4303,=2.2820,=0.8256,=1.2689,=1.6354,=1.9719,=2.2500,=2.9111,=0.0780,=0.0969,=0.0769,=0.0387,=6
="931233",港股通央企红利,2017-06-28,=0.0051,=1235.7900,=0.0600,=7.5049,=0.8219,=3.6988,=4.9426,=6.2931,=7.4253,=14.0775,=0.7249,=0.6803,=0.3929,=0.5215,=0.6421,=0.8664,=1.8161,=1.0166,=0.5848,=0.4645,=0.6188,=0.9387,=1.3927,=1.7583,,=0.0974,,=0.0505,=427
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0071,=4379.6700,=0.0893,=7.5178,=0.9844,=4.1647,=4.6122,=5.5987,=6.8907,=7.6535,=0.7208,=0.9957,=0.4381,=0.4927,=0.5832,=0.6764,=0.7230,=0.9959,=0.9702,=0.5323,=0.5919,=0.7319,=0.9180,=1.0198,,=0.0980,,=0.0509,=221
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0073,=2984.8100,=0.0726,=7.6606,=0.9767,=3.7550,=5.0434,=5.7925,=6.6478,=7.9027,=0.7892,=0.9754,=0.4590,=0.5774,=0.6376,=0.7296,=0.8175,=1.1659,=0.9693,=0.5101,=0.6871,=0.7925,=0.9003,=1.2126,,=0.1004,,=0.0494,=273
="987016",港股通红利低波,2021-11-18,,,=0.1365,=7.6993,=0.9869,=3.4544,=4.2844,=4.8708,=6.5291,=7.8983,=0.7285,=0.9991,=0.4152,=0.4842,=0.5366,=0.6347,=0.7308,=1.2514,=0.9831,=0.5827,=0.6578,=0.7878,=1.0280,=1.2881,,=0.0953,,=0.0510,=122
="931024",港股通非银,2017-11-06,=0.0089,=4167.7150,=-0.0293,=7.7614,=0.0375,=6.7549,=8.7232,=11.3604,=13.3787,=22.4310,=1.1016,=0.5676,=0.6237,=0.8458,=1.0453,=1.2262,=1.7592,=1.3093,=0.8547,=0.5870,=0.8730,=1.0075,=1.2027,=2.2002,,=0.1136,,=0.0377,=182
="H11140",香港红利,2009-07-23,=0.0068,=4088.1300,=0.1196,=7.7876,=0.7771,=3.0693,=4.4554,=5.9842,=8.3884,=13.9623,=0.7544,=0.6844,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.2366,=0.7152,=0.5431,=0.7464,=0.9724,=1.5473,=2.1349,,=0.0974,,=0.0514,=29
="000914",300金融,2007-07-02,=0.0095,=6151.6100,=-0.0843,=7.8425,=0.5074,=5.2769,=6.6022,=7.8206,=8.6017,=11.3863,=0.7745,=0.2741,=0.5962,=0.7048,=0.9234,=1.1343,=1.4919,=2.1483,=0.8520,=1.1210,=1.4310,=1.8123,=2.0784,=2.7052,=0.0748,=0.0919,=0.0740,=0.0382,=339
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0034,=4695.3100,=0.0509,=7.8634,=0.8869,=3.5572,=4.6342,=5.9592,=7.1276,=9.5068,=0.7237,=0.7325,=0.3828,=0.4844,=0.5765,=0.8173,=1.1073,=0.9433,=0.5867,=0.4386,=0.6504,=0.8411,=1.4243,=2.0623,,=0.0887,,=0.0521,=1449
="H30270",红利价值,2013-12-19,=0.0046,=9725.0700,=0.0202,=7.9731,=0.7692,=4.4543,=5.4229,=6.7343,=8.7547,=13.0955,=0.8169,=0.6343,=0.5256,=0.6480,=0.7607,=1.2548,=1.7317,=1.6134,=0.9929,=0.5854,=0.8103,=0.9949,=1.2644,=1.6504,=0.0717,=0.0975,=0.0748,=0.0417,=173
="931157",SHS红利成长LV,2019-04-25,=0.0029,=7539.4397,=0.0114,=8.1159,=0.7336,=4.1261,=5.5727,=6.8797,=8.3496,=11.5318,=0.8374,=0.6168,=0.5154,=0.6248,=0.8080,=0.9297,=1.5888,=1.5988,=0.9836,=0.5018,=0.7069,=1.0299,=1.3813,=1.6333,,=0.0965,,=0.0472,=303
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0075,=1395.1000,=0.0938,=8.1185,=0.8614,=3.6777,=4.8612,=6.6082,=7.7646,=10.6953,=0.7631,=0.6538,=0.4041,=0.5046,=0.6482,=0.9078,=1.1746,=1.1797,=0.6355,=0.5013,=0.7008,=1.0658,=1.5005,=1.9871,,=0.0935,,=0.0511,=906
="000934",中证金融,2009-07-03,=0.0093,=5768.0200,=-0.0799,=8.1382,=0.5264,=5.7083,=6.8944,=8.0675,=8.8714,=11.5527,=0.7858,=0.2708,=0.6117,=0.7181,=0.9298,=1.1500,=1.5017,=2.1409,=0.8524,=1.1467,=1.4503,=1.8024,=2.0660,=2.6696,=0.0733,=0.0889,=0.0723,=0.0372,=1150
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0049,=2787.6800,=0.1251,=8.1609,=0.9931,=3.8979,=4.9412,=5.8273,=7.1290,=8.2754,=0.7430,=0.9471,=0.4277,=0.5163,=0.5748,=0.6748,=0.8197,=1.2659,=0.9679,=0.5333,=0.6959,=0.8686,=1.1122,=1.3442,,=0.0916,,=0.0501,=477
="932596",港股通红利低波,2016-02-04,=0.0060,=4294.6100,=0.1072,=8.2219,=0.6642,=7.4451,=7.7927,=8.0710,=8.2851,=8.5745,=0.7765,=1,=0.6528,=0.6875,=0.7166,=0.7559,=0.7765,=1.3476,=0.6861,=1.2161,=1.2724,=1.3219,=1.3627,=1.4099,,,,=0.0490,=76
="930914",港股通高股息,2016-11-25,=0.0024,=5420.0200,=0.1022,=8.2348,=0.8632,=3.4280,=4.4114,=5.8734,=7.7499,=11.1979,=0.8012,=0.7489,=0.3979,=0.5008,=0.6117,=0.8539,=1.1764,=1.2811,=0.8242,=0.5144,=0.6973,=0.9203,=1.2423,=2.2126,,=0.1000,,=0.0505,=670
="HSCSOE",恒生中国央企指数,2023-01-01,=0.0076,=3851.1400,=0.0713,=8.2362,=0.9552,=4.9972,=5.5321,=6.0694,=7.5720,=8.5137,=0.8114,=0.9838,=0.5264,=0.5911,=0.6283,=0.7403,=0.8235,=0.9834,=0.9590,=0.5404,=0.5925,=0.6612,=0.8442,=1.0198,,=0.0966,,=0.0470,=108
="930992",沪港深红利低波,2017-06-28,=0.0046,=5728.9500,=0.0290,=8.2433,=0.9628,=4.0130,=5.1110,=5.8290,=7.5238,=8.5012,=0.7807,=0.9981,=0.4277,=0.5362,=0.5884,=0.7025,=0.7825,=1.2016,=0.8472,=0.4496,=0.5982,=0.8118,=1.1682,=1.3912,,=0.0942,,=0.0495,=23
="000992",全指金融,2011-08-02,=0.0096,=5522.2400,=-0.0778,=8.3577,=0.5449,=5.9310,=7.1022,=8.2429,=9.0288,=11.6339,=0.7884,=0.2712,=0.6188,=0.7234,=0.9399,=1.1650,=1.5107,=2.1215,=0.8409,=1.1568,=1.4432,=1.8065,=2.0649,=2.6668,=0.0720,=0.0851,=0.0697,=0.0366,=2698
="H30269",红利低波,2013-12-19,=0.0043,=11319.7600,=0.0071,=8.3911,=0.7712,=4.5638,=5.5488,=6.8265,=9.4786,=14.4342,=0.8636,=0.5919,=0.5386,=0.6570,=0.8017,=1.3872,=1.9670,=1.6212,=0.9885,=0.6111,=0.8850,=1.0977,=1.4134,=1.6556,=0.0718,=0.0970,=0.0686,=0.0431,=3957
="H50040",上红低波,2014-03-21,=0.0051,=11181.9900,=0.0141,=8.4207,=0.7807,=4.6938,=5.9512,=7.0381,=9.6645,=14.3118,=0.8550,=0.5532,=0.5647,=0.6911,=0.8375,=1.3609,=1.8756,=1.6379,=0.9889,=0.6380,=0.8684,=1.2018,=1.3949,=1.6750,=0.0737,=0.0983,=0.0721,=0.0423,=344
="931446",东证红利低波,2020-04-21,=0.0026,=3430.0500,=-0.0037,=8.4405,=0.7797,=5.1478,=6.1588,=7.0807,=8.5361,=11.0216,=0.8159,=0.6813,=0.5884,=0.6934,=0.7614,=0.8754,=1.2481,=1.5297,=0.9745,=0.5909,=0.7519,=0.8816,=1.3023,=1.5979,=0.0725,=0.0941,=0.0749,=0.0422,=784
="000029",180价值,2009-01-09,=0.0067,=4251.3800,=-0.0453,=8.4734,=0.7918,=5.6894,=6.9075,=7.8865,=8.4943,=10.8138,=0.8318,=0.3166,=0.6666,=0.8069,=0.8641,=1.0659,=1.4433,=1.0986,=0.8825,=0.6198,=0.7825,=0.9448,=1.0650,=1.4032,=0.0720,=0.0955,=0.0779,=0.0400,=554
="000151",上国红利,2012-07-20,=0.0001,=1600.5300,=0.0477,=8.5044,=0.9567,=4.5075,=5.3657,=6.9133,=7.6268,=10.0345,=0.7748,=0.5387,=0.5268,=0.6189,=0.7557,=0.9661,=1.3272,=1.0768,=0.4777,=0.6026,=0.8953,=1.0975,=1.3110,=1.6854,=0.0766,=0.0931,=0.0685,=0.0431,=200
="931130",红利成长低波,2018-12-04,=0.0043,=23923.9400,=0.0088,=8.5639,=0.7548,=4.4465,=5.5687,=7.7216,=8.7339,=11.5512,=0.8607,=0.3670,=0.5279,=0.6231,=0.9035,=1.0339,=1.5803,=1.8999,=0.7957,=0.3109,=0.8121,=1.3148,=1.9140,=2.5957,=0.0647,=0.0980,=0.0458,=0.0428,=138
="000922",中证红利,2008-05-26,=0.0021,=5700.2400,=0.0357,=8.6158,=0.8063,=5.1762,=6.0245,=7.6568,=8.5912,=11.2156,=0.8539,=0.4918,=0.5911,=0.7110,=0.8580,=1.1086,=1.4999,=1.2837,=0.8969,=0.6332,=0.7726,=1.0442,=1.2170,=1.7101,=0.0673,=0.0937,=0.0683,=0.0420,=19842
="HSSCHYS",恒生港股通红利优选指数,2023-06-01,=0.0078,=5150.4200,=0.1090,=8.7337,=0.9830,=4.2457,=4.7052,=5.7373,=7.5577,=8.9197,=0.8016,=0.9915,=0.4429,=0.4973,=0.5757,=0.7309,=0.8114,=1.1051,=0.9674,=0.6036,=0.6711,=0.8696,=0.9987,=1.1417,,=0.0936,,=0.0519,=81
="000821",300红利,2012-07-20,=0.0030,=6768.8400,=0.0145,=8.7582,=0.8751,=4.9998,=6.1944,=7.5608,=8.3968,=10.9286,=0.8689,=0.4876,=0.5725,=0.7140,=0.8759,=1.0796,=1.4919,=1.4211,=0.9332,=0.6098,=0.7993,=1.0625,=1.3098,=1.6963,=0.0719,=0.0964,=0.0719,=0.0427,=982
="000015",红利指数,2005-01-04,=0,=3218.2700,=0.0595,=8.7954,=0.9621,=4.6646,=5.5108,=7.0876,=7.9896,=10.4439,=0.8527,=0.6092,=0.5525,=0.6398,=0.7661,=1.0179,=1.3875,=1.4915,=0.9625,=0.7277,=0.8913,=1.1274,=1.3226,=1.6890,=0.0627,=0.0940,=0.0675,=0.0407,=14112
="000824",国企红利,2012-07-20,=0.0016,=2194.0700,=0.0344,=8.9605,=0.9464,=4.8847,=5.9406,=7.3386,=8.3502,=10.7823,=0.8772,=0.5804,=0.5610,=0.6880,=0.8278,=1.0592,=1.4469,=1.3145,=0.8846,=0.5370,=0.7016,=0.9865,=1.2344,=1.6834,=0.0686,=0.0944,=0.0718,=0.0419,=934
