指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=0.0055,=12154.6300,=-0.0492,=5.8000,=0.7436,=3.2016,=4.0769,=5.2174,=5.9046,=7.9938,=0.5474,=0.4054,=0.3790,=0.4571,=0.5660,=0.7129,=1.0569,=2.1770,=0.8130,=1.0856,=1.4324,=1.7481,=2.1416,=2.9053,=0.0503,=0.3068,=0.0324,=0.0492,=0.0547,=0.0739,=0.0997,,=0.0881,,=99
="H11146",港股通内地金融,2010-06-02,=-0.0067,=1105.6500,=0.0045,=6.0065,=0.4951,=3.2759,=4.5177,=6.0271,=6.7500,=9.2347,=0.6098,=0.3929,=0.3797,=0.4938,=0.6662,=0.8765,=1.1859,=1.5558,=0.7526,=0.6692,=0.9478,=1.3017,=1.5984,=2.1885,=0.0480,=0.4307,=0.0302,=0.0445,=0.0505,=0.0726,=0.0994,,=0.0970,,=40
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0120,=3924.5000,=-0.0239,=6.5937,=0.6809,=4.1647,=4.6400,=5.6669,=6.9753,=7.8218,=0.6117,=0.5505,=0.4381,=0.4947,=0.5925,=0.6871,=0.7455,=1.0337,=0.9854,=0.5323,=0.5960,=0.7428,=0.9388,=1.0875,=0.0540,=0.0957,=0.0487,=0.0571,=0.0704,=0.0865,=0.0936,,=0.0921,,=244
="930792",HK银行,2016-04-22,=0.0051,=4843.4500,=0.0996,=6.6889,=0.7778,=3.2659,=4.4606,=5.8697,=6.7902,=9.5632,=0.6516,=0.5678,=0.3905,=0.4962,=0.6246,=0.8015,=1.0771,=2.5472,=0.8826,=1.0519,=1.5163,=1.8617,=2.3995,=3.1066,=0.0472,=0.1022,=0.0355,=0.0502,=0.0564,=0.0743,=0.1045,,=0.0901,,=754
="H30106",H300金融服务,2013-05-21,=-0.0068,=1554.7300,=0.0274,=6.8542,=0.4716,=4.0175,=5.3642,=6.9740,=7.7688,=11.1922,=0.7350,=0.4830,=0.4470,=0.5777,=0.7423,=0.9083,=1.2489,=1.9589,=0.8443,=0.8557,=1.1816,=1.4667,=1.8897,=2.3593,=0.0453,=0.3735,=0.0288,=0.0433,=0.0473,=0.0664,=0.0918,,=0.1014,,=21
="399986",中证银行,2013-07-15,=0.0107,=7067.5000,=-0.0705,=6.8591,=0.8037,=4.1183,=5.2599,=6.2871,=6.8536,=9.0846,=0.6535,=0.3332,=0.4848,=0.5836,=0.7180,=0.8984,=1.2416,=2.5748,=0.8462,=1.4134,=1.7842,=2.1470,=2.5106,=3.3016,=0.0429,=0.3006,=0.0285,=0.0411,=0.0462,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9574
="931233",港股通央企红利,2017-06-28,=-0.0103,=1117.7000,=-0.0413,=6.9995,=0.6455,=3.6988,=4.9591,=6.3483,=7.4458,=14.0775,=0.6584,=0.5359,=0.3929,=0.5225,=0.6453,=0.8600,=1.8161,=0.9503,=0.5015,=0.4645,=0.6222,=0.9484,=1.3900,=1.7583,=0.0534,=0.2880,=0.0394,=0.0519,=0.0571,=0.0799,=0.1038,,=0.0906,,=454
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0136,=2770.1900,=-0.0045,=7.0912,=0.8473,=3.7550,=5.0477,=5.8269,=6.7855,=7.9027,=0.7112,=0.7494,=0.4590,=0.5786,=0.6402,=0.7401,=0.8175,=1.0787,=0.8741,=0.5101,=0.6883,=0.7981,=0.9134,=1.2126,=0.0528,=0.1486,=0.0478,=0.0537,=0.0623,=0.0792,=0.1052,,=0.0994,,=281
="H11140",香港红利,2009-07-23,=-0.0080,=3736.5700,=0.0233,=7.1301,=0.7065,=3.0693,=4.4494,=5.9820,=7.9463,=13.9623,=0.6731,=0.5343,=0.3833,=0.5103,=0.6294,=0.8661,=1.1652,=1.1343,=0.6303,=0.5431,=0.7455,=0.9723,=1.4097,=2.1349,=0.0552,=0.1747,=0.0382,=0.0561,=0.0637,=0.0876,=0.1281,,=0.0912,,=46
="987016",港股通红利低波,2021-11-18,,,=0.0263,=7.1772,=0.8728,=3.4544,=4.3025,=4.9413,=6.8072,=8.0054,=0.6880,=0.8683,=0.4152,=0.4879,=0.5392,=0.6625,=0.7529,=1.0644,=0.7715,=0.5827,=0.6600,=0.7948,=1.1099,=1.3012,=0.0560,=0.0968,=0.0488,=0.0595,=0.0821,=0.0927,=0.1160,,=0.0893,,=158
