指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q2),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q2),关注度
="950125",科创半导体材料设备,2024-07-26,=-0.0002,=3922.9800,=0.8261,=170.1539,=0.7907,=70.4245,=117.4508,=135.9709,=171.4152,=348.7588,=10.1465,=0.8818,=2.8469,=4.8039,=5.6005,=7.1733,=17.6268,=22.8182,=0.8837,=7.2923,=10.9960,=13.0876,=15.9771,=37.4011,=0.0011,=0.4826,=0.0006,=0.0008,=0.0013,=0.0016,=0.0028,=0.0401,=0.0371,=0.0180,=156
="931743",半导体材料设备,2012-12-21,=-0.0004,=8954.3500,=0.7390,=126.3051,=0.8943,=30.1973,=40.3452,=61.8809,=93.0713,=224.0742,=10.0684,=0.8981,=2.5588,=3.4568,=4.3477,=7.3449,=17.1334,=16.0046,=0.9119,=2.5903,=3.1891,=3.8761,=11.4886,=25.3851,=0.0014,=0.0918,=0.0009,=0.0019,=0.0028,=0.0045,=0.0073,=0.0498,=0.0706,=0.0390,=308
="931144",通信技术,2019-05-30,=-0.0049,=3810.7000,=0.6368,=63.0505,=0.8977,=22.8153,=30.5794,=37.3108,=52.8353,=113.1406,=10.7033,=0.9576,=2.5671,=3.1147,=3.7519,=4.8505,=15.3977,=6.4467,=0.9536,=1.6428,=2.1098,=2.5112,=3.4343,=9.4991,=0.0031,=0.0458,=0.0021,=0.0043,=0.0064,=0.0100,=0.0166,=0.1157,=0.1354,=0.0739,=261
="931865",中证半导,2019-03-20,=-0.0022,=7838.9000,=0.5840,=140.1867,=0.8470,=32.8138,=46.5105,=74.2633,=132.3396,=255.0466,=10.3216,=0.9129,=3.3892,=4.1538,=5.3195,=8.6402,=15.8034,=18.2589,=0.9080,=6.4190,=7.7198,=8.8465,=15.3849,=28.9040,=0.0010,=0.1646,=0.0006,=0.0010,=0.0020,=0.0024,=0.0032,=0.0432,=0.0580,=0.0301,=224
="000685",科创芯片,2022-06-13,=-0.0064,=3717.2500,=0.4224,=143.4502,=0.5489,=42.1555,=71.7516,=120.0829,=181.2900,=335.4323,=9.7955,=0.9129,=3.1235,=4.1027,=5.2324,=7.8545,=15.4697,=19.0113,=0.9061,=7.4796,=10.1172,=12.3566,=16.1750,=31.9311,=0.0010,=0.1694,=0.0005,=0.0010,=0.0015,=0.0021,=0.0026,=0.0456,=0.0415,=0.0173,=523
="931079",5G通信,2019-04-25,=-0.0073,=2654.0900,=0.3767,=46.8837,=0.8498,=21.0709,=27.7474,=33.8342,=44.7885,=103.6981,=7.4926,=0.9542,=2.3623,=3.0521,=3.6493,=5.4018,=10.5199,=2.9403,=0.9497,=1.1916,=1.4940,=1.8931,=2.3769,=4.2354,=0.0062,=0.2781,=0.0036,=0.0056,=0.0081,=0.0121,=0.0152,=0.0942,=0.1398,=0.0637,=2293
="H30184",半导体,2013-07-15,=-0.0059,=12314.8600,=0.3382,=86.1580,=0.5544,=33.2056,=51.9628,=79.4104,=107.9511,=186.6477,=7.9806,=0.8545,=2.5082,=3.4563,=4.9315,=7.5226,=12.7528,=12.2504,=0.9373,=1.3963,=2.6456,=7.0646,=9.7084,=20.0377,=0.0016,=0.1356,=0.0010,=0.0017,=0.0024,=0.0033,=0.0070,=0.0588,=0.0527,=0.0230,=3418
="H30318",科技传媒通信150,2014-04-15,=-0.0057,=4064.3600,=0.3219,=52.7896,=0.8388,=19.8534,=28.8631,=38.1374,=50.1319,=90.7292,=8.7808,=0.9650,=2.0037,=2.4801,=3.5091,=4.4387,=13.0479,=4.6083,=0.9501,=1.2409,=1.8640,=2.3043,=2.8634,=6.8164,=0.0046,=0.0437,=0.0031,=0.0058,=0.0072,=0.0165,=0.0244,=0.1033,=0.1091,=0.0497,=50
="932066",半导体行业精选,2023-11-10,=-0.0058,=5334.2400,=0.3132,=71.7714,=0.2863,=50.1901,=65.5790,=83.2218,=99.6334,=142.8699,=7.8432,=0.6788,=3.1655,=4.1854,=6.8295,=8.4330,=12.2533,=11.6679,=0.6294,=6.6489,=8.4292,=10.9793,=12.6041,=18.4956,=0.0018,=0.3241,=0.0012,=0.0017,=0.0022,=0.0028,=0.0034,=0.0665,=0.0794,=0.0376,=8
="931160",通信设备,2013-07-15,=-0.0082,=20237.0700,=0.3090,=47.3860,=0.7007,=19.3231,=27.7990,=36.6969,=54.9602,=91.1971,=8.7679,=0.9699,=2.1520,=2.8712,=3.4261,=3.9737,=12.1269,=2.9690,=0.9608,=0.9706,=1.2833,=1.5072,=2.4410,=4.3558,=0.0068,=0.4068,=0.0028,=0.0053,=0.0077,=0.0150,=0.0221,=0.1127,=0.1280,=0.0660,=1320
