指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0010,=12436.7542,=-0.0271,=5.9293,=0.8158,=3.2016,=4.0692,=5.1907,=5.9045,=7.9938,=0.5588,=0.4585,=0.3790,=0.4564,=0.5670,=0.7140,=1.0569,=2.2255,=0.8490,=1.0856,=1.4310,=1.7424,=2.1236,=2.9053,,=0.0881,,=0.0492,=91
="H11146",港股通内地金融,2010-06-02,=-0.0080,=1156.7807,=0.0510,=6.2355,=0.5788,=3.2759,=4.5177,=5.9816,=6.7500,=9.2347,=0.6327,=0.4155,=0.3797,=0.4938,=0.6738,=0.8765,=1.1859,=1.6107,=0.8123,=0.6692,=0.9478,=1.2819,=1.5978,=2.1885,,=0.0970,,=0.0463,=36
="930792",HK银行,2016-04-22,=0.0035,=4849.5779,=0.1010,=6.7614,=0.7974,=3.2659,=4.4645,=5.8237,=6.7741,=9.5632,=0.6580,=0.5798,=0.3905,=0.4964,=0.6253,=0.8010,=1.0771,=2.5721,=0.9123,=1.0519,=1.5167,=1.8409,=2.3742,=3.1066,,=0.0901,,=0.0468,=750
="399986",中证银行,2013-07-15,=-0.0047,=7124.3300,=-0.0630,=6.7679,=0.7669,=4.1183,=5.2599,=6.2671,=6.8477,=9.0846,=0.6437,=0.2999,=0.4848,=0.5836,=0.7216,=0.8984,=1.2416,=2.5406,=0.8234,=1.4134,=1.7842,=2.1274,=2.4804,=3.3016,=0.0226,=0.0881,=0.0236,=0.0435,=9524
="H30106",H300金融服务,2013-05-21,=-0.0004,=1634.9518,=0.0804,=7.0596,=0.5302,=4.0175,=5.3642,=6.9594,=7.7688,=11.1922,=0.7571,=0.5205,=0.4470,=0.5777,=0.7466,=0.9083,=1.2489,=2.0179,=0.8841,=0.8557,=1.1816,=1.4592,=1.8741,=2.3593,,=0.1014,,=0.0440,=17
="000018",180金融,2007-12-10,=-0.0092,=5330.1700,=-0.1027,=7.2556,=0.3936,=5.2016,=6.4287,=7.4973,=8.3012,=10.8609,=0.7380,=0.2479,=0.5902,=0.6965,=0.8793,=1.0696,=1.4199,=2.1787,=0.7789,=1.2355,=1.5824,=1.9401,=2.2066,=2.8772,=0.0229,=0.0959,=0.0245,=0.0401,=770
="399809",保险主题,2015-02-13,=-0.0240,=2304.4200,=-0.1362,=7.2657,=0.2962,=5.4537,=6.8114,=10.6228,=15.0245,=22.8725,=0.7780,=0.2306,=0.6352,=0.7667,=1.2256,=1.4858,=1.9794,=2.1162,=0.9130,=0.5239,=0.8688,=1.0963,=1.4148,=2.3772,=0.0227,=0.1015,=0.0246,=0.0399,=1483
="000818",细分金融,2012-04-11,,,=-0.0881,=7.3819,=0.3861,=5.2356,=6.4974,=7.6854,=8.4810,=10.9951,=0.7508,=0.2496,=0.5930,=0.7010,=0.8962,=1.0928,=1.4303,=2.2359,=0.7822,=1.2689,=1.6354,=1.9767,=2.2602,=2.9111,=0.0231,=0.0956,=0.0246,=0.0393,=6
="931233",港股通央企红利,2017-06-28,=-0.0051,=1251.5584,=0.0735,=7.5403,=0.8279,=3.6988,=4.9509,=6.3175,=7.4458,=14.0775,=0.7093,=0.6452,=0.3929,=0.5219,=0.6446,=0.8649,=1.8161,=1.0238,=0.5885,=0.4645,=0.6199,=0.9441,=1.3923,=1.7583,,=0.0906,,=0.0496,=440
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0025,=4481.4100,=0.1146,=7.5919,=0.9807,=4.1647,=4.6230,=5.6358,=6.9217,=7.8218,=0.7094,=0.9421,=0.4381,=0.4938,=0.5861,=0.6833,=0.7455,=1.0088,=0.9779,=0.5323,=0.5931,=0.7364,=0.9216,=1.0366,,=0.0921,,=0.0497,=235
