指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),股息率,关注度
="931039",银行AH,2017-12-06,=0.0136,=12599.9200,=-0.0144,=5.9354,=0.8207,=3.2016,=4.0768,=5.2076,=5.9017,=7.9938,=0.5596,=0.4654,=0.3790,=0.4568,=0.5662,=0.7134,=1.0569,=2.2278,=0.8514,=1.0856,=1.4321,=1.7462,=2.1349,=2.9053,,=0.0881,,=0.0492,=98
="H11146",港股通内地金融,2010-06-02,=0.0098,=1126.1700,=0.0231,=6.0974,=0.5245,=3.2759,=4.5177,=6.0140,=6.7500,=9.2347,=0.6187,=0.4009,=0.3797,=0.4938,=0.6695,=0.8765,=1.1859,=1.5750,=0.7742,=0.6692,=0.9478,=1.2966,=1.5980,=2.1885,,=0.0970,,=0.0474,=41
="930792",HK银行,2016-04-22,=-0.0107,=4781.2100,=0.0855,=6.6777,=0.7751,=3.2659,=4.4645,=5.8507,=6.7741,=9.5632,=0.6499,=0.5611,=0.3905,=0.4964,=0.6253,=0.8010,=1.0771,=2.5403,=0.8766,=1.0519,=1.5167,=1.8542,=2.3935,=3.1066,,=0.0901,,=0.0474,=755
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0016,=4186.0300,=0.0411,=6.7937,=0.7298,=4.1647,=4.6318,=5.6501,=6.9850,=7.8218,=0.6303,=0.5995,=0.4381,=0.4946,=0.5910,=0.6872,=0.7455,=1.0651,=1,=0.5323,=0.5950,=0.7414,=0.9345,=1.0651,,=0.0921,,=0.0524,=239
="H30106",H300金融服务,2013-05-21,=-0.0049,=1543.8600,=0.0202,=6.8183,=0.4641,=4.0175,=5.3642,=6.9684,=7.7688,=11.1922,=0.7313,=0.4698,=0.4470,=0.5777,=0.7432,=0.9083,=1.2489,=1.9489,=0.8383,=0.8557,=1.1816,=1.4641,=1.8855,=2.3593,,=0.1014,,=0.0456,=21
="399986",中证银行,2013-07-15,=0.0156,=7343.8700,=-0.0341,=7.0804,=0.8533,=4.1183,=5.2599,=6.2814,=6.8491,=9.0846,=0.6739,=0.3945,=0.4848,=0.5836,=0.7192,=0.8984,=1.2416,=2.6579,=0.9011,=1.4134,=1.7842,=2.1417,=2.5021,=3.3016,=0.0226,=0.0881,=0.0236,=0.0416,=9560
="931024",港股通非银,2017-11-06,=0.0118,=3871.4100,=-0.0983,=7.3082,=0.0090,=6.7549,=8.6217,=11.0935,=13.3596,=22.4310,=0.9946,=0.4013,=0.6237,=0.8485,=1.0474,=1.2233,=1.7592,=1.2238,=0.7979,=0.5870,=0.8754,=1.0138,=1.2276,=2.2002,,=0.1344,,=0.0401,=192
="931233",港股通央企红利,2017-06-28,=-0.0050,=1174.5600,=0.0075,=7.3195,=0.7512,=3.6988,=4.9551,=6.3354,=7.4458,=14.0775,=0.6885,=0.5980,=0.3929,=0.5222,=0.6449,=0.8612,=1.8161,=0.9938,=0.5526,=0.4645,=0.6218,=0.9478,=1.3906,=1.7583,,=0.0906,,=0.0511,=451
="000018",180金融,2007-12-10,=0.0126,=5325.9700,=-0.1034,=7.4121,=0.4637,=5.2016,=6.4287,=7.4972,=8.3012,=10.8609,=0.7554,=0.2758,=0.5902,=0.6965,=0.8737,=1.0696,=1.4199,=2.2257,=0.8174,=1.2355,=1.5824,=1.9485,=2.2067,=2.8772,=0.0229,=0.0959,=0.0245,=0.0392,=777
="987016",港股通红利低波,2021-11-18,,,=0.1034,=7.4267,=0.9043,=3.4544,=4.3013,=4.9254,=6.7742,=8.0054,=0.6861,=0.8637,=0.4152,=0.4876,=0.5386,=0.6594,=0.7529,=1.2096,=0.9007,=0.5827,=0.6595,=0.7933,=1.1076,=1.3012,,=0.0893,,=0.0520,=153
="399809",保险主题,2015-02-13,=0.0157,=2162.0700,=-0.1896,=7.4530,=0.3326,=5.4537,=6.8114,=10.5309,=15.0245,=22.8725,=0.7995,=0.2885,=0.6352,=0.7658,=1.2249,=1.4858,=1.9794,=2.1708,=0.9353,=0.5239,=0.8688,=1.0978,=1.5091,=2.3772,=0.0227,=0.1015,=0.0246,=0.0389,=1494
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0032,=2973.5500,=0.0686,=7.4660,=0.9323,=3.7550,=5.0475,=5.8184,=6.7563,=7.9027,=0.7483,=0.8249,=0.4590,=0.5786,=0.6401,=0.7390,=0.8175,=1.1349,=0.9227,=0.5101,=0.6879,=0.7970,=0.9106,=1.2126,,,,=0.0501,=279
="000818",细分金融,2012-04-11,=0.0120,=6598.2200,=-0.1064,=7.4945,=0.4390,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7637,=0.2700,=0.5930,=0.7010,=0.8906,=1.0928,=1.4303,=2.2700,=0.8108,=1.2689,=1.6354,=1.9852,=2.2605,=2.9111,=0.0231,=0.0956,=0.0246,=0.0387,=7
="H11140",香港红利,2009-07-23,=-0.0033,=3974.6100,=0.0885,=7.5043,=0.7565,=3.0693,=4.4554,=5.9842,=8.0587,=13.9623,=0.7084,=0.5871,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.1938,=0.6791,=0.5431,=0.7464,=0.9724,=1.4901,=2.1349,,=0.0912,,=0.0524,=48
="HSHDYI",恒生高股息率指数,2012-12-10,=-0.0062,=1297.6100,=0.0174,=7.6073,=0.7586,=3.6777,=4.8612,=6.6082,=7.8179,=10.6953,=0.6982,=0.5416,=0.4041,=0.5046,=0.6482,=0.9078,=1.1746,=1.1054,=0.5347,=0.5013,=0.7008,=1.0658,=1.5005,=1.9871,,,,=0.0535,=915
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0061,=4496.7100,=0.0064,=7.6797,=0.8483,=3.5572,=4.6435,=5.9876,=7.2076,=9.5068,=0.6916,=0.6622,=0.3828,=0.4851,=0.5806,=0.8153,=1.1073,=0.9259,=0.5609,=0.4386,=0.6557,=0.8494,=1.4148,=2.0623,,,,=0.0525,=1511
="932596",港股通红利低波,2016-02-04,=-0.0073,=4137.8700,=0.0668,=7.8144,=0.1761,=7.4451,=7.8406,=8.0672,=8.2851,=8.5745,=0.7330,=0.5057,=0.6528,=0.6978,=0.7315,=0.7596,=0.7956,=1.3055,=0.3182,=1.2161,=1.2816,=1.3270,=1.3605,=1.4099,,=0.0894,,=0.0498,=93
