指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=0.0038,=12452.3794,=-0.0262,=5.9801,=0.8421,=3.2016,=4.0872,=5.2368,=5.9017,=7.9938,=0.5660,=0.5048,=0.3790,=0.4581,=0.5650,=0.7119,=1.0569,=2.2446,=0.8654,=1.0856,=1.4348,=1.7521,=2.1440,=2.9053,=0.0488,=0.1757,=0.0324,=0.0492,=0.0546,=0.0738,=0.0997,,=0.0881,,=103
="H11146",港股通内地金融,2010-06-02,=0.0095,=1138.7811,=0.0349,=6.1686,=0.5499,=3.2759,=4.5177,=6.0293,=6.7500,=9.2347,=0.6263,=0.4234,=0.3797,=0.4938,=0.6624,=0.8765,=1.1859,=1.5978,=0.7985,=0.6692,=0.9478,=1.3158,=1.5984,=2.1885,=0.0467,=0.3524,=0.0302,=0.0445,=0.0501,=0.0726,=0.0994,,=0.0970,,=41
="932584",智选港股通红利低波,2026-06-11,,,,=6.1986,=0.9333,=5.4952,=5.6520,=5.8849,=6.1204,=6.2685,=0.6331,=0.9333,=0.5613,=0.5773,=0.6011,=0.6252,=0.6403,=0.9523,=0.9333,=0.8443,=0.8683,=0.9041,=0.9403,=0.9631,=0.0550,=0.1000,=0.0544,=0.0557,=0.0579,=0.0600,=0.0621,,,,=13
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0032,=4087.3800,=0.0166,=6.8725,=0.7613,=4.1647,=4.6532,=5.6990,=6.9421,=7.8218,=0.6376,=0.6323,=0.4381,=0.4967,=0.5936,=0.6844,=0.7455,=1.0774,=0.9961,=0.5323,=0.5972,=0.7481,=0.9461,=1.0875,=0.0518,=0.0568,=0.0487,=0.0569,=0.0690,=0.0864,=0.0936,,=0.0921,,=260
="399986",中证银行,2013-07-15,=0.0001,=7214.3200,=-0.0511,=7.0011,=0.8346,=4.1183,=5.2599,=6.3039,=6.8563,=9.0846,=0.6726,=0.4037,=0.4848,=0.5836,=0.7144,=0.8942,=1.2416,=2.6281,=0.8812,=1.4134,=1.7842,=2.1663,=2.5214,=3.3016,=0.0421,=0.2429,=0.0285,=0.0411,=0.0459,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9625
="930792",HK银行,2016-04-22,=0.0132,=5101.3295,=0.1583,=7.0103,=0.8513,=3.2659,=4.4606,=5.8963,=6.7958,=9.5632,=0.6829,=0.6348,=0.3905,=0.4962,=0.6240,=0.8015,=1.0771,=2.6696,=0.9683,=1.0519,=1.5163,=1.8793,=2.4167,=3.1066,=0.0450,=0.0629,=0.0355,=0.0500,=0.0563,=0.0743,=0.1045,,=0.0901,,=753
="H30106",H300金融服务,2013-05-21,=0.0082,=1635.2347,=0.0814,=7.1422,=0.5673,=4.0175,=5.3642,=6.9808,=7.7688,=11.1922,=0.7652,=0.5523,=0.4470,=0.5777,=0.7401,=0.9083,=1.2489,=2.0396,=0.9071,=0.8557,=1.1816,=1.4748,=1.8988,=2.3593,=0.0435,=0.2133,=0.0288,=0.0433,=0.0472,=0.0664,=0.0918,,=0.1014,,=19
="931233",港股通央企红利,2017-06-28,=0.0028,=1159.6156,=-0.0059,=7.3037,=0.7468,=3.6988,=4.9656,=6.3755,=7.4434,=14.0775,=0.6870,=0.5991,=0.3929,=0.5230,=0.6452,=0.8592,=1.8161,=0.9916,=0.5534,=0.4645,=0.6246,=0.9473,=1.3888,=1.7583,=0.0512,=0.1667,=0.0394,=0.0519,=0.0570,=0.0797,=0.1038,,=0.0906,,=470
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0052,=2939.6600,=0.0564,=7.4108,=0.9147,=3.7550,=5.0519,=5.8376,=6.8357,=7.9027,=0.7434,=0.8117,=0.4590,=0.5795,=0.6416,=0.7392,=0.8175,=1.1276,=0.9123,=0.5101,=0.6885,=0.7993,=0.9222,=1.2126,=0.0504,=0.0571,=0.0478,=0.0536,=0.0620,=0.0791,=0.1052,,=0.0995,,=281
="000018",180金融,2007-12-10,=-0.0020,=5377.1200,=-0.0948,=7.4389,=0.4734,=5.2016,=6.4287,=7.4973,=8.3012,=10.8609,=0.7673,=0.3101,=0.5902,=0.6965,=0.8634,=1.0660,=1.4199,=2.2344,=0.8214,=1.2355,=1.5824,=1.9602,=2.2086,=2.8772,=0.0391,=0.4887,=0.0246,=0.0353,=0.0392,=0.0493,=0.0636,=0.0229,=0.0959,=0.0245,=776
