指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=-0.0059,=11627.3592,=-0.0908,=5.5169,=0.6109,=3.2016,=4.0770,=5.2211,=5.9045,=7.9938,=0.5206,=0.3318,=0.3790,=0.4572,=0.5660,=0.7128,=1.0569,=2.0707,=0.7680,=1.0856,=1.4324,=1.7486,=2.1410,=2.9053,=0.0529,=0.4164,=0.0324,=0.0492,=0.0547,=0.0739,=0.0997,,=0.0881,,=99
="932584",智选港股通红利低波,2026-06-11,,,,=5.6119,=0,=5.6119,=5.7598,=5.9203,=6.1973,=6.2685,=0.5732,=0,=0.5732,=0.5883,=0.6047,=0.6330,=0.6403,=0.8622,=0,=0.8622,=0.8849,=0.9096,=0.9521,=0.9631,=0.0608,=1,=0.0544,=0.0550,=0.0576,=0.0592,=0.0608,,,,=4
="H11146",港股通内地金融,2010-06-02,=-0.0127,=1046.8138,=-0.0506,=5.6875,=0.4242,=3.2759,=4.5181,=6.0258,=6.7473,=9.2347,=0.5775,=0.3452,=0.3797,=0.4941,=0.6656,=0.8760,=1.1859,=1.4732,=0.6848,=0.6692,=0.9479,=1.3030,=1.5982,=2.1885,=0.0507,=0.5053,=0.0302,=0.0445,=0.0504,=0.0726,=0.0994,,=0.0970,,=40
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0125,=3768.6800,=-0.0627,=6.3146,=0.6411,=4.1647,=4.6419,=5.6717,=6.9733,=7.8218,=0.5859,=0.4795,=0.4381,=0.4947,=0.5925,=0.6864,=0.7455,=0.9900,=0.9113,=0.5323,=0.5963,=0.7436,=0.9393,=1.0875,=0.0564,=0.1656,=0.0487,=0.0571,=0.0703,=0.0865,=0.0936,,=0.0921,,=247
="930792",HK银行,2016-04-22,=-0.0035,=4656.1298,=0.0576,=6.4072,=0.6782,=3.2659,=4.4645,=5.8701,=6.7890,=9.5632,=0.6242,=0.4984,=0.3905,=0.4964,=0.6246,=0.8010,=1.0771,=2.4399,=0.8121,=1.0519,=1.5167,=1.8637,=2.4017,=3.1066,=0.0492,=0.1621,=0.0355,=0.0502,=0.0564,=0.0743,=0.1045,,=0.0901,,=752
="H30106",H300金融服务,2013-05-21,=-0.0120,=1493.0587,=-0.0138,=6.5384,=0.4161,=4.0175,=5.3653,=6.9710,=7.7687,=11.1922,=0.7012,=0.4105,=0.4470,=0.5779,=0.7422,=0.9081,=1.2489,=1.8687,=0.7865,=0.8557,=1.1817,=1.4673,=1.8897,=2.3593,=0.0475,=0.5118,=0.0288,=0.0433,=0.0473,=0.0664,=0.0918,,=0.1014,,=20
="399986",中证银行,2013-07-15,=-0.0093,=6765.9100,=-0.1101,=6.5657,=0.6448,=4.1183,=5.2599,=6.2898,=6.8536,=9.0846,=0.6257,=0.2579,=0.4848,=0.5836,=0.7175,=0.8984,=1.2416,=2.4646,=0.7824,=1.4134,=1.7842,=2.1477,=2.5119,=3.3016,=0.0449,=0.4256,=0.0285,=0.0411,=0.0462,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9577
="931233",港股通央企红利,2017-06-28,=-0.0139,=1079.2487,=-0.0749,=6.7165,=0.5717,=3.6988,=4.9591,=6.3538,=7.4458,=14.0775,=0.6318,=0.4700,=0.3929,=0.5225,=0.6452,=0.8600,=1.8161,=0.9119,=0.4657,=0.4645,=0.6222,=0.9482,=1.3900,=1.7583,=0.0557,=0.4288,=0.0394,=0.0519,=0.0571,=0.0799,=0.1038,,=0.0906,,=453
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0062,=2695.8500,=-0.0312,=6.8007,=0.8017,=3.7550,=5.0505,=5.8281,=6.7930,=7.9027,=0.6821,=0.6921,=0.4590,=0.5787,=0.6405,=0.7396,=0.8175,=1.0345,=0.8481,=0.5101,=0.6884,=0.7984,=0.9142,=1.2126,=0.0550,=0.2579,=0.0478,=0.0537,=0.0622,=0.0792,=0.1052,,=0.0994,,=280
="H11140",香港红利,2009-07-23,=-0.0055,=3590.2041,=-0.0168,=6.8400,=0.6472,=3.0693,=4.4554,=5.9843,=7.9319,=13.9623,=0.6457,=0.5132,=0.3833,=0.5103,=0.6298,=0.8659,=1.1652,=1.0882,=0.5873,=0.5431,=0.7464,=0.9726,=1.3918,=2.1349,=0.0575,=0.2276,=0.0382,=0.0561,=0.0636,=0.0876,=0.1281,,=0.0912,,=46
="987016",港股通红利低波,2021-11-18,,,=-0.0056,=6.8985,=0.8204,=3.4544,=4.3030,=4.9449,=6.8181,=8.0054,=0.6613,=0.7945,=0.4152,=0.4880,=0.5394,=0.6627,=0.7529,=1.0231,=0.7623,=0.5827,=0.6601,=0.7954,=1.1099,=1.3012,=0.0582,=0.1546,=0.0488,=0.0594,=0.0821,=0.0926,=0.1160,,=0.0893,,=160
="931024",港股通非银,2017-11-06,=-0.0283,=3642.5654,=-0.1537,=6.9507,=0.0014,=6.7549,=8.5815,=11.0633,=13.3357,=22.4310,=0.9457,=0.3124,=0.6237,=0.8490,=1.0452,=1.2221,=1.7592,=1.1645,=0.7271,=0.5870,=0.8758,=1.0150,=1.2289,=2.2002,=0.0421,=0.8215,=0.0165,=0.0266,=0.0345,=0.0414,=0.0611,,=0.1344,,=191
="399809",保险主题,2015-02-13,=-0.0429,=2007.8600,=-0.2474,=6.9578,=0.2311,=5.4537,=6.8114,=10.4444,=15.0245,=22.8725,=0.7464,=0.1335,=0.6352,=0.7654,=1.2248,=1.4858,=1.9794,=2.0265,=0.8764,=0.5239,=0.8688,=1.0978,=1.7027,=2.3772,=0.0417,=0.7132,=0.0120,=0.0209,=0.0295,=0.0488,=0.0686,=0.0227,=0.1015,=0.0246,=1494
="000018",180金融,2007-12-10,=-0.0218,=5054.5500,=-0.1491,=6.9758,=0.3090,=5.2016,=6.4287,=7.4973,=8.3012,=10.8609,=0.7136,=0.2266,=0.5902,=0.6965,=0.8706,=1.0696,=1.4199,=2.0953,=0.6992,=1.2355,=1.5824,=1.9526,=2.2073,=2.8772,=0.0417,=0.6246,=0.0246,=0.0353,=0.0392,=0.0493,=0.0636,=0.0229,=0.0959,=0.0245,=776
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0100,=4043.3500,=-0.0951,=7.0204,=0.7615,=3.5572,=4.6524,=5.9941,=7.2266,=9.5068,=0.6322,=0.5733,=0.3828,=0.4855,=0.5817,=0.8150,=1.1073,=0.8464,=0.4956,=0.4386,=0.6559,=0.8499,=1.4141,=2.0623,=0.0575,=0.3406,=0.0385,=0.0531,=0.0644,=0.0819,=0.1103,,,,=1518
