指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0079,=12302.2600,=-0.0377,=5.8574,=0.7886,=3.2016,=4.0487,=5.1649,=5.8836,=7.9938,=0.5542,=0.4395,=0.3790,=0.4551,=0.5670,=0.7167,=1.0569,=2.2322,=0.8661,=1.0856,=1.4278,=1.7363,=2.0774,=2.9053,,=0.0932,,=0.0542,=76
="H11146",港股通内地金融,2010-06-02,=0.0021,=1081.3045,=-0.0176,=6.1823,=0.5660,=3.2759,=4.5181,=5.8675,=6.7473,=9.2347,=0.6287,=0.4060,=0.3797,=0.4941,=0.6821,=0.8770,=1.1859,=1.5980,=0.8104,=0.6692,=0.9479,=1.2633,=1.5863,=2.1885,,=0.0962,,=0.0481,=30
="399986",中证银行,2013-07-15,=0.0062,=7239.7300,=-0.0478,=6.7569,=0.7792,=4.1183,=5.2599,=6.2172,=6.8066,=9.0846,=0.6629,=0.3469,=0.4848,=0.5836,=0.7254,=0.9071,=1.2416,=2.5753,=0.8649,=1.4134,=1.7842,=2.1169,=2.4437,=3.3016,=0.0685,=0.0932,=0.0729,=0.0460,=9421
="930792",HK银行,2016-04-22,=-0.0014,=4402.2170,=-0.0005,=6.7633,=0.8060,=3.2659,=4.4511,=5.7810,=6.7308,=9.5632,=0.6388,=0.5312,=0.3905,=0.4958,=0.6233,=0.8028,=1.0771,=2.5452,=0.8958,=1.0519,=1.5153,=1.8306,=2.3196,=3.1066,,=0.0964,,=0.0518,=736
="H30106",H300金融服务,2013-05-21,=-0.0081,=1526.2898,=0.0086,=7.0718,=0.5442,=4.0175,=5.3653,=6.8943,=7.7687,=11.1922,=0.7525,=0.5061,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=1.9940,=0.8784,=0.8557,=1.1817,=1.4539,=1.8406,=2.3593,,=0.1014,,=0.0461,=16
="399809",保险主题,2015-02-13,=-0.0056,=2495.5800,=-0.0646,=7.2374,=0.2818,=5.4537,=6.8114,=10.6460,=15.0245,=22.8725,=0.8147,=0.3033,=0.6352,=0.7667,=1.2295,=1.4858,=1.9794,=2.1273,=0.9312,=0.5239,=0.8688,=1.0978,=1.3724,=2.3772,=0.0826,=0.1040,=0.0824,=0.0401,=1460
="000018",180金融,2007-12-10,=0,=5506.1600,=-0.0731,=7.2967,=0.4277,=5.2016,=6.4287,=7.4960,=8.3012,=10.8609,=0.7779,=0.3119,=0.5902,=0.6965,=0.8937,=1.0744,=1.4199,=2.2119,=0.8154,=1.2355,=1.5824,=1.9254,=2.1867,=2.8772,=0.0783,=0.0973,=0.0761,=0.0402,=763
="000818",细分金融,2012-04-11,=0.0002,=6868.2800,=-0.0698,=7.4293,=0.4223,=5.2356,=6.4974,=7.6839,=8.4810,=10.9951,=0.7916,=0.3045,=0.5930,=0.7010,=0.9099,=1.1003,=1.4303,=2.2683,=0.8191,=1.2689,=1.6354,=1.9718,=2.2423,=2.9111,=0.0780,=0.0969,=0.0769,=0.0392,=6
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0012,=4451.6000,=0.1072,=7.4653,=0.9898,=4.1647,=4.6080,=5.5487,=6.8265,=7.6037,=0.7095,=0.9839,=0.4381,=0.4915,=0.5806,=0.6707,=0.7227,=1.0009,=0.9898,=0.5323,=0.5912,=0.7260,=0.9086,=1.0190,,=0.0980,,=0.0543,=197
="931233",港股通央企红利,2017-06-28,=0.0046,=1268.1698,=0.0878,=7.4766,=0.8172,=3.6988,=4.9350,=6.2804,=7.4176,=14.0775,=0.7173,=0.6676,=0.3929,=0.5213,=0.6405,=0.8683,=1.8161,=1.0296,=0.5918,=0.4645,=0.6185,=0.9344,=1.3960,=1.7583,,=0.0974,,=0.0546,=390
="987016",港股通红利低波,2021-11-18,,,=0.1478,=7.6931,=0.9981,=3.4544,=4.2814,=4.8496,=6.2770,=7.7483,=0.7164,=0.9981,=0.4152,=0.4834,=0.5351,=0.6276,=0.7226,=1.2619,=0.9981,=0.5827,=0.6570,=0.7845,=0.9750,=1.2728,,=0.0953,,=0.0543,=100
="000914",300金融,2007-07-02,=0.0001,=6258.0500,=-0.0684,=7.7057,=0.4615,=5.2769,=6.6022,=7.8138,=8.6017,=11.3863,=0.7880,=0.2958,=0.5962,=0.7048,=0.9342,=1.1394,=1.4919,=2.1198,=0.8381,=1.1210,=1.4310,=1.8124,=2.0644,=2.7052,=0.0748,=0.0919,=0.0740,=0.0388,=338
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0005,=3004.5900,=0.0797,=7.7136,=0.9901,=3.7550,=5.0362,=5.7660,=6.6251,=7.8951,=0.7854,=0.9727,=0.4590,=0.5769,=0.6368,=0.7251,=0.8175,=1.1836,=0.9882,=0.5101,=0.6868,=0.7899,=0.8948,=1.2116,,=0.1004,,=0.0519,=260
="H11140",香港红利,2009-07-23,=0.0127,=4001.8524,=0.0960,=7.7494,=0.7768,=3.0693,=4.4554,=5.9843,=8.4154,=13.9623,=0.7432,=0.6521,=0.3833,=0.5103,=0.6298,=0.8659,=1.1652,=1.2488,=0.7193,=0.5431,=0.7464,=0.9726,=1.5749,=2.1349,,=0.0974,,=0.0547,=22
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0002,=4866.5200,=0.0892,=7.8765,=0.8923,=3.5572,=4.6252,=5.9374,=7.0954,=9.5068,=0.7187,=0.7259,=0.3828,=0.4841,=0.5745,=0.8190,=1.1073,=0.9568,=0.5930,=0.4386,=0.6476,=0.8388,=1.4262,=2.0623,,=0.0887,,=0.0555,=1377
="931024",港股通非银,2017-11-06,=-0.0136,=4208.3938,=-0.0198,=8.0019,=0.0772,=6.7549,=8.7818,=11.3952,=13.3945,=22.4310,=1.1391,=0.6168,=0.6237,=0.8450,=1.0432,=1.2272,=1.7592,=1.3523,=0.8810,=0.5870,=0.8712,=1.0052,=1.1960,=2.2002,,=0.1136,,=0.0325,=171
="H30270",红利价值,2013-12-19,=0.0100,=9989.7400,=0.0480,=8.0090,=0.7754,=4.4543,=5.4181,=6.7213,=8.7984,=13.0955,=0.8346,=0.6580,=0.5256,=0.6474,=0.7575,=1.2608,=1.7317,=1.6156,=0.9987,=0.5854,=0.8077,=0.9927,=1.2529,=1.6240,=0.0710,=0.0975,=0.0748,=0.0427,=157
="000934",中证金融,2009-07-03,=0.0006,=5881.3900,=-0.0619,=8.0156,=0.4870,=5.7083,=6.8944,=8.0589,=8.8714,=11.5527,=0.8007,=0.2979,=0.6117,=0.7181,=0.9393,=1.1557,=1.5017,=2.1135,=0.8410,=1.1467,=1.4503,=1.8025,=2.0551,=2.6696,=0.0732,=0.0889,=0.0723,=0.0377,=1144
="HSHDYI",恒生高股息率指数,2012-12-10,=0,=1417.8300,=0.1116,=8.1029,=0.8627,=3.6777,=4.8612,=6.6084,=7.7147,=10.6953,=0.7563,=0.6385,=0.4041,=0.5046,=0.6483,=0.9078,=1.1746,=1.1907,=0.6523,=0.5013,=0.7008,=1.0661,=1.5005,=1.9871,,=0.0935,,=0.0544,=897
="930914",港股通高股息,2016-11-25,=0.0003,=5391.6577,=0.0964,=8.1119,=0.8502,=3.4280,=4.4084,=5.8468,=7.7143,=11.1979,=0.7801,=0.7376,=0.3979,=0.5002,=0.6088,=0.8559,=1.1764,=1.2794,=0.8245,=0.5144,=0.6945,=0.9172,=1.2305,=2.2126,,=0.1000,,=0.0545,=639
