指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q2),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q2),关注度
="950125",科创半导体材料设备,2024-07-26,=0.0065,=4312.3799,=1.0074,=186.1180,=0.8552,=70.4245,=117.5178,=136.7240,=172.9737,=348.7588,=11.0899,=0.8971,=2.8469,=4.8056,=5.7074,=7.3123,=17.6268,=24.9590,=0.9029,=7.2923,=11.0319,=13.1277,=16.2486,=37.4011,=0.0010,=0.4267,=0.0006,=0.0008,=0.0011,=0.0016,=0.0028,=0.0401,=0.0371,=0.0180,=157
="931743",半导体材料设备,2012-12-21,=0.0051,=9660.4870,=0.8761,=136.1421,=0.9104,=30.1973,=40.7191,=62.1251,=95.0580,=224.0742,=10.8535,=0.9179,=2.5588,=3.4621,=4.3562,=7.4478,=17.1334,=17.2511,=0.9341,=2.5903,=3.1948,=3.8819,=11.7585,=25.3851,=0.0013,=0.0684,=0.0009,=0.0019,=0.0028,=0.0045,=0.0073,=0.0498,=0.0706,=0.0390,=311
="931144",通信技术,2019-05-30,=-0.0068,=3971.4346,=0.7058,=65.8241,=0.9128,=22.8153,=30.6525,=37.4939,=53.2190,=113.1406,=11.1308,=0.9646,=2.5671,=3.1158,=3.7589,=4.8756,=15.3977,=6.7303,=0.9589,=1.6428,=2.1103,=2.5155,=3.4411,=9.4991,=0.0030,=0.0399,=0.0021,=0.0043,=0.0064,=0.0099,=0.0166,=0.1157,=0.1354,=0.0739,=263
="931865",中证半导,2019-03-20,=-0.0013,=8398.2281,=0.6970,=148.9625,=0.8887,=32.8138,=46.7400,=74.5958,=132.9664,=255.0466,=10.9682,=0.9271,=3.3892,=4.1559,=5.3574,=8.7152,=15.8034,=19.4020,=0.9280,=6.4190,=7.7212,=8.8797,=15.5506,=28.9040,=0.0009,=0.0998,=0.0006,=0.0010,=0.0020,=0.0024,=0.0032,=0.0432,=0.0580,=0.0301,=227
="000685",科创芯片,2022-06-13,=-0.0026,=3992.8900,=0.5278,=160.1648,=0.6219,=42.1555,=72.0202,=120.4655,=181.2372,=335.4323,=10.7029,=0.9376,=3.1235,=4.1113,=5.2605,=7.9504,=15.4697,=21.3370,=0.9463,=7.4796,=10.1354,=12.3752,=16.2590,=31.9311,=0.0008,=0.0537,=0.0005,=0.0010,=0.0015,=0.0021,=0.0026,=0.0456,=0.0415,=0.0173,=524
="H30184",半导体,2013-07-15,=-0.0011,=13241.9923,=0.4390,=92.6286,=0.6172,=33.2056,=52.7494,=79.6345,=107.9511,=186.6477,=8.4796,=0.8900,=2.5082,=3.4822,=4.9511,=7.5513,=12.7528,=13.1704,=0.9654,=1.3963,=2.6456,=7.1095,=9.7538,=20.0377,=0.0015,=0.0861,=0.0010,=0.0017,=0.0024,=0.0033,=0.0070,=0.0588,=0.0527,=0.0230,=3426
="931079",5G通信,2019-04-25,=-0.0069,=2723.9751,=0.4130,=47.8846,=0.8683,=21.0709,=27.7595,=33.9207,=44.9325,=103.6981,=7.6567,=0.9589,=2.3623,=3.0536,=3.6691,=5.4341,=10.5199,=3.0031,=0.9550,=1.1916,=1.4952,=1.8988,=2.3876,=4.2354,=0.0060,=0.2500,=0.0036,=0.0056,=0.0081,=0.0121,=0.0152,=0.0942,=0.1398,=0.0637,=2296
="932066",半导体行业精选,2023-11-10,=-0.0019,=5734.5966,=0.4118,=76.7365,=0.3601,=50.1901,=65.6095,=82.9178,=99.2786,=142.8699,=8.3374,=0.7791,=3.1655,=4.1876,=6.8819,=8.4263,=12.2533,=12.4751,=0.7805,=6.6489,=8.4339,=11.0450,=12.5983,=18.4956,=0.0017,=0.2539,=0.0012,=0.0017,=0.0022,=0.0028,=0.0034,=0.0665,=0.0794,=0.0376,=8
="H30318",科技传媒通信150,2014-04-15,=-0.0040,=4269.7633,=0.3887,=55.4064,=0.8731,=19.8534,=28.8631,=38.1497,=50.4034,=90.7292,=9.1639,=0.9695,=2.0037,=2.4801,=3.5091,=4.4610,=13.0479,=4.8367,=0.9670,=1.2409,=1.8640,=2.3043,=2.8796,=6.8164,=0.0044,=0.0301,=0.0031,=0.0058,=0.0072,=0.0165,=0.0244,=0.1033,=0.1091,=0.0497,=50
="990001",中华半导体芯片,2019-03-18,=-0.0026,=16595.4948,=0.3728,=95.0191,=0.6196,=33.1780,=61.7179,=87.0753,=116.7688,=187.5449,=8.3589,=0.8812,=3.1429,=4.2969,=5.3922,=7.5486,=12.4905,=12.8309,=0.9562,=3.3238,=6.1025,=7.1514,=9.6982,=19.5120,=0.0013,=0.0602,=0.0008,=0.0016,=0.0020,=0.0028,=0.0056,=0.0564,=0.0410,=0.0254,=1394
="931688",中证算力,2022-07-21,,,=0.3690,=36.0469,=0.8940,=18.0036,=20.8604,=24.1443,=32.8402,=44.9092,=3.9342,=0.9160,=1.6529,=1.9047,=2.2986,=3.4037,=4.7747,=2.7334,=0.9026,=1.3731,=1.5974,=1.8288,=2.5284,=3.3716,=0.0152,=0.0719,=0.0131,=0.0189,=0.0260,=0.0299,=0.0338,=0.0631,=0.1011,=0.0578,=113
="931160",通信设备,2013-07-15,=-0.0093,=21120.8888,=0.3661,=49.0343,=0.7474,=19.3231,=27.7990,=36.6977,=54.9602,=91.1971,=9.0903,=0.9761,=2.1520,=2.8712,=3.4267,=3.9748,=12.1269,=3.0722,=0.9670,=0.9706,=1.2833,=1.5072,=2.4413,=4.3558,=0.0066,=0.3626,=0.0028,=0.0054,=0.0077,=0.0150,=0.0221,=0.1127,=0.1280,=0.0660,=1329
="H30007",芯片产业,2012-12-20,=-0.0028,=4308.8211,=0.3607,=85.7400,=0.6288,=24.2382,=40.3144,=72.8632,=113.4115,=186.5687,=8.4498,=0.9234,=1.9412,=3.6288,=4.5891,=7.3766,=12.9184,=12.5855,=0.9670,=1.5871,=3.7386,=6.5957,=8.4768,=19.5328,=0.0013,=0.0490,=0.0008,=0.0017,=0.0023,=0.0046,=0.0105,=0.0667,=0.0446,=0.0267,=549
="931406",5G 50,2020-02-20,=-0.0048,=2875.4647,=0.3509,=31.6771,=0.7085,=15.2657,=20.6460,=24.2898,=34.6117,=51.5506,=3.5942,=0.7029,=1.5292,=1.9738,=2.6284,=3.8166,=5.3757,=2.3773,=0.9588,=0.9155,=1.4127,=1.5901,=1.9494,=2.9469,=0.0161,=0.4032,=0.0042,=0.0068,=0.0204,=0.0275,=0.0387,=0.0653,=0.1023,=0.0580,=708
