指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0097,=12258.4199,=-0.0411,=5.8496,=0.7687,=3.2016,=4.0692,=5.1943,=5.9046,=7.9938,=0.5513,=0.4209,=0.3790,=0.4564,=0.5669,=0.7140,=1.0569,=2.1956,=0.8263,=1.0856,=1.4310,=1.7432,=2.1251,=2.9053,,=0.0881,,=0.0499,=92
="H11146",港股通内地金融,2010-06-02,=-0.0068,=1133.4536,=0.0298,=6.1180,=0.5318,=3.2759,=4.5177,=5.9888,=6.7500,=9.2347,=0.6208,=0.3972,=0.3797,=0.4938,=0.6735,=0.8765,=1.1859,=1.5804,=0.7807,=0.6692,=0.9478,=1.2841,=1.5980,=2.1885,,=0.0970,,=0.0472,=36
="930792",HK银行,2016-04-22,=-0.0065,=4780.5719,=0.0854,=6.6660,=0.7747,=3.2659,=4.4645,=5.8292,=6.7741,=9.5632,=0.6487,=0.5526,=0.3905,=0.4964,=0.6253,=0.8010,=1.0771,=2.5358,=0.8758,=1.0519,=1.5167,=1.8448,=2.3771,=3.1066,,=0.0901,,=0.0475,=749
="399986",中证银行,2013-07-15,=-0.0096,=7041.8800,=-0.0738,=6.7450,=0.7578,=4.1183,=5.2599,=6.2687,=6.8477,=9.0846,=0.6415,=0.2966,=0.4848,=0.5836,=0.7214,=0.8984,=1.2416,=2.5320,=0.8177,=1.4134,=1.7842,=2.1291,=2.4845,=3.3016,=0.0226,=0.0881,=0.0236,=0.0437,=9530
="H30106",H300金融服务,2013-05-21,=-0.0080,=1604.8461,=0.0605,=6.9292,=0.4913,=4.0175,=5.3642,=6.9643,=7.7688,=11.1922,=0.7431,=0.4937,=0.4470,=0.5777,=0.7465,=0.9083,=1.2489,=1.9806,=0.8602,=0.8557,=1.1816,=1.4600,=1.8772,=2.3593,,=0.1014,,=0.0448,=17
="000018",180金融,2007-12-10,=-0.0087,=5200.4100,=-0.1246,=7.1547,=0.3544,=5.2016,=6.4287,=7.4973,=8.3012,=10.8609,=0.7277,=0.2417,=0.5902,=0.6965,=0.8787,=1.0696,=1.4199,=2.1484,=0.7591,=1.2355,=1.5824,=1.9409,=2.2066,=2.8772,=0.0229,=0.0959,=0.0245,=0.0406,=769
="399809",保险主题,2015-02-13,=-0.0139,=2199.7800,=-0.1755,=7.1860,=0.2690,=5.4537,=6.8114,=10.6104,=15.0245,=22.8725,=0.7695,=0.2096,=0.6352,=0.7667,=1.2256,=1.4858,=1.9794,=2.0930,=0.9084,=0.5239,=0.8688,=1.0963,=1.4217,=2.3772,=0.0227,=0.1015,=0.0246,=0.0403,=1482
="000818",细分金融,2012-04-11,=-0.0085,=6491.0500,=-0.1209,=7.2647,=0.3350,=5.2356,=6.4974,=7.6854,=8.4810,=10.9951,=0.7389,=0.2430,=0.5930,=0.7010,=0.8959,=1.0928,=1.4303,=2.2004,=0.7533,=1.2689,=1.6354,=1.9770,=2.2602,=2.9111,=0.0231,=0.0956,=0.0246,=0.0399,=6
="931233",港股通央企红利,2017-06-28,=-0.0071,=1227.3229,=0.0527,=7.4630,=0.8031,=3.6988,=4.9512,=6.3193,=7.4512,=14.0775,=0.7020,=0.6268,=0.3929,=0.5220,=0.6447,=0.8647,=1.8161,=1.0133,=0.5736,=0.4645,=0.6203,=0.9445,=1.3922,=1.7583,,=0.0906,,=0.0501,=442
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0090,=4365.4500,=0.0857,=7.5119,=0.9574,=4.1647,=4.6248,=5.6368,=6.9241,=7.8218,=0.7019,=0.8929,=0.4381,=0.4941,=0.5863,=0.6834,=0.7455,=0.9982,=0.9505,=0.5323,=0.5933,=0.7370,=0.9218,=1.0366,,=0.0921,,=0.0502,=235
="000914",300金融,2007-07-02,=-0.0089,=5903.8700,=-0.1212,=7.6138,=0.4101,=5.2769,=6.6022,=7.8376,=8.6017,=11.3863,=0.7369,=0.2384,=0.5962,=0.7048,=0.9174,=1.1328,=1.4919,=2.0743,=0.7892,=1.1210,=1.4310,=1.8121,=2.0875,=2.7052,=0.0223,=0.0897,=0.0236,=0.0394,=341
="987016",港股通红利低波,2021-11-18,,,=0.1320,=7.6160,=0.9569,=3.4544,=4.2968,=4.9023,=6.6839,=8.0054,=0.7036,=0.9368,=0.4152,=0.4849,=0.5378,=0.6489,=0.7529,=1.2404,=0.9496,=0.5827,=0.6590,=0.7898,=1.0865,=1.3012,,=0.0893,,=0.0507,=143
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0100,=2999.5800,=0.0779,=7.6171,=0.9594,=3.7550,=5.0448,=5.8079,=6.7187,=7.9027,=0.7627,=0.8929,=0.4590,=0.5780,=0.6392,=0.7361,=0.8175,=1.1591,=0.9498,=0.5101,=0.6875,=0.7953,=0.9075,=1.2126,,,,=0.0491,=277
="H11140",香港红利,2009-07-23,=0.0014,=4090.1344,=0.1202,=7.7039,=0.7731,=3.0693,=4.4554,=5.9842,=8.2037,=13.9623,=0.7272,=0.6248,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.2256,=0.7058,=0.5431,=0.7464,=0.9724,=1.5180,=2.1349,,=0.0912,,=0.0511,=42
="931024",港股通非银,2017-11-06,=-0.0112,=4146.4656,=-0.0343,=7.7439,=0.0404,=6.7549,=8.6589,=11.2603,=13.3704,=22.4310,=1.0540,=0.5033,=0.6237,=0.8469,=1.0500,=1.2246,=1.7592,=1.2969,=0.8440,=0.5870,=0.8745,=1.0104,=1.2195,=2.2002,,=0.1344,,=0.0379,=187
="H30270",红利价值,2013-12-19,=-0.0003,=9654.0400,=0.0128,=7.8366,=0.7458,=4.4543,=5.4279,=6.7479,=8.7331,=13.0955,=0.7859,=0.5629,=0.5256,=0.6485,=0.7621,=1.2504,=1.7317,=1.5882,=0.9732,=0.5854,=0.8110,=0.9967,=1.2903,=1.6637,=0.0235,=0.0936,=0.0240,=0.0424,=188
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0080,=4692.8000,=0.0503,=7.8377,=0.8769,=3.5572,=4.6387,=5.9772,=7.1833,=9.5068,=0.7058,=0.6948,=0.3828,=0.4849,=0.5787,=0.8165,=1.1073,=0.9450,=0.5834,=0.4386,=0.6536,=0.8455,=1.4164,=2.0623,,,,=0.0515,=1489
="000934",中证金融,2009-07-03,=-0.0088,=5553.1600,=-0.1142,=7.9140,=0.4295,=5.7083,=6.8944,=8.0859,=8.8714,=11.5527,=0.7484,=0.2356,=0.6117,=0.7181,=0.9232,=1.1488,=1.5017,=2.0860,=0.8082,=1.1467,=1.4503,=1.8022,=2.0730,=2.6696,=0.0220,=0.0873,=0.0231,=0.0382,=1150
="932596",港股通红利低波,2016-02-04,=-0.0054,=4311.2000,=0.1115,=7.9888,=0.3500,=7.4451,=7.8279,=8.0973,=8.2936,=8.5745,=0.7493,=0.6000,=0.6528,=0.6957,=0.7219,=0.7604,=0.7956,=1.3346,=0.5125,=1.2161,=1.2786,=1.3321,=1.3642,=1.4099,,=0.0894,,=0.0487,=85
