指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=-0.0235,=12028.6161,=-0.0604,=5.7469,=0.7184,=3.2016,=4.0769,=5.2134,=5.9046,=7.9938,=0.5424,=0.3821,=0.3790,=0.4571,=0.5661,=0.7129,=1.0569,=2.1571,=0.8055,=1.0856,=1.4324,=1.7474,=2.1400,=2.9053,=0.0508,=0.3386,=0.0324,=0.0492,=0.0547,=0.0739,=0.0997,,=0.0881,,=99
="H11146",港股通内地金融,2010-06-02,=-0.0291,=1097.5855,=-0.0071,=5.9536,=0.4878,=3.2759,=4.5181,=6.0205,=6.7473,=9.2347,=0.6045,=0.3857,=0.3797,=0.4941,=0.6674,=0.8760,=1.1859,=1.5421,=0.7435,=0.6692,=0.9479,=1.3012,=1.5982,=2.1885,=0.0484,=0.4526,=0.0302,=0.0445,=0.0505,=0.0726,=0.0994,,=0.0970,,=40
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0293,=3979.6800,=-0.0102,=6.6075,=0.6840,=4.1647,=4.6400,=5.6557,=6.9753,=7.8218,=0.6130,=0.5560,=0.4381,=0.4947,=0.5925,=0.6871,=0.7455,=1.0359,=0.9880,=0.5323,=0.5960,=0.7424,=0.9372,=1.0875,=0.0539,=0.0933,=0.0487,=0.0572,=0.0705,=0.0865,=0.0936,,=0.0921,,=246
="930792",HK银行,2016-04-22,=-0.0123,=4832.0141,=0.0932,=6.6616,=0.7679,=3.2659,=4.4645,=5.8593,=6.7890,=9.5632,=0.6490,=0.5568,=0.3905,=0.4964,=0.6259,=0.8010,=1.0771,=2.5368,=0.8705,=1.0519,=1.5167,=1.8589,=2.3959,=3.1066,=0.0474,=0.1094,=0.0355,=0.0502,=0.0565,=0.0743,=0.1045,,=0.0901,,=754
="399986",中证银行,2013-07-15,=-0.0260,=6939.8500,=-0.0872,=6.6747,=0.7087,=4.1183,=5.2599,=6.2851,=6.8529,=9.0846,=0.6360,=0.2822,=0.4848,=0.5836,=0.7184,=0.8984,=1.2416,=2.5056,=0.7989,=1.4134,=1.7842,=2.1452,=2.5080,=3.3016,=0.0441,=0.3865,=0.0285,=0.0411,=0.0462,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9567
="H30106",H300金融服务,2013-05-21,=-0.0197,=1552.6285,=0.0217,=6.8135,=0.4611,=4.0175,=5.3653,=6.9710,=7.7687,=11.1922,=0.7307,=0.4684,=0.4470,=0.5779,=0.7430,=0.9081,=1.2489,=1.9473,=0.8351,=0.8557,=1.1817,=1.4663,=1.8877,=2.3593,=0.0456,=0.3918,=0.0288,=0.0433,=0.0473,=0.0664,=0.0918,,=0.1014,,=21
="000018",180金融,2007-12-10,=-0.0340,=5111.6500,=-0.1395,=7.0181,=0.3164,=5.2016,=6.4287,=7.4973,=8.3012,=10.8609,=0.7177,=0.2307,=0.5902,=0.6965,=0.8717,=1.0696,=1.4199,=2.1080,=0.7157,=1.2355,=1.5824,=1.9501,=2.2073,=2.8772,=0.0414,=0.6148,=0.0246,=0.0353,=0.0392,=0.0493,=0.0636,=0.0229,=0.0959,=0.0245,=777
="931233",港股通央企红利,2017-06-28,=-0.0272,=1132.4343,=-0.0313,=7.0394,=0.6596,=3.6988,=4.9580,=6.3406,=7.4458,=14.0775,=0.6622,=0.5438,=0.3929,=0.5224,=0.6452,=0.8603,=1.8161,=0.9558,=0.5081,=0.4645,=0.6222,=0.9483,=1.3904,=1.7583,=0.0531,=0.2699,=0.0394,=0.0519,=0.0572,=0.0799,=0.1038,,=0.0906,,=452
="399809",保险主题,2015-02-13,=-0.0574,=2044.3000,=-0.2337,=7.0434,=0.2493,=5.4537,=6.8114,=10.4833,=15.0245,=22.8725,=0.7555,=0.1607,=0.6352,=0.7657,=1.2248,=1.4858,=1.9794,=2.0515,=0.8855,=0.5239,=0.8688,=1.0978,=1.6764,=2.3772,=0.0412,=0.7079,=0.0120,=0.0209,=0.0294,=0.0488,=0.0686,=0.0227,=0.1015,=0.0246,=1494
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0275,=2828.1400,=0.0163,=7.1335,=0.8530,=3.7550,=5.0477,=5.8258,=6.7800,=7.9027,=0.7155,=0.7533,=0.4590,=0.5786,=0.6402,=0.7401,=0.8175,=1.0851,=0.8793,=0.5101,=0.6883,=0.7977,=0.9132,=1.2126,=0.0524,=0.1320,=0.0478,=0.0538,=0.0623,=0.0792,=0.1052,,=0.0994,,=281
="000818",细分金融,2012-04-11,,,=-0.1080,=7.1627,=0.3164,=5.2356,=6.4974,=7.6839,=8.4810,=10.9951,=0.7304,=0.2353,=0.5930,=0.7010,=0.8885,=1.0928,=1.4303,=2.1686,=0.7153,=1.2689,=1.6354,=1.9873,=2.2623,=2.9111,=0.0405,=0.6671,=0.0239,=0.0331,=0.0375,=0.0471,=0.0625,=0.0231,=0.0956,=0.0246,=7
="H11140",香港红利,2009-07-23,=-0.0245,=3770.9106,=0.0286,=7.1681,=0.7112,=3.0693,=4.4554,=5.9843,=8.0098,=13.9623,=0.6767,=0.5358,=0.3833,=0.5103,=0.6298,=0.8659,=1.1652,=1.1404,=0.6355,=0.5431,=0.7464,=0.9726,=1.4650,=2.1349,=0.0549,=0.1681,=0.0382,=0.0562,=0.0637,=0.0876,=0.1281,,=0.0912,,=46
="987016",港股通红利低波,2021-11-18,,,=0.0589,=7.2276,=0.8842,=3.4544,=4.3025,=4.9362,=6.8017,=8.0054,=0.6929,=0.8824,=0.4152,=0.4879,=0.5392,=0.6616,=0.7529,=1.0719,=0.7756,=0.5827,=0.6600,=0.7947,=1.1099,=1.3012,=0.0556,=0.0844,=0.0488,=0.0596,=0.0823,=0.0927,=0.1160,,=0.0893,,=156
="931024",港股通非银,2017-11-06,=-0.0399,=3822.3796,=-0.1130,=7.2635,=0.0066,=6.7549,=8.5969,=11.0768,=13.3392,=22.4310,=0.9883,=0.3894,=0.6237,=0.8489,=1.0465,=1.2229,=1.7592,=1.2169,=0.7914,=0.5870,=0.8754,=1.0145,=1.2288,=2.2002,=0.0403,=0.7726,=0.0165,=0.0265,=0.0345,=0.0414,=0.0611,,=0.1344,,=194
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0242,=4258.9800,=-0.0468,=7.3386,=0.8082,=3.5572,=4.6455,=5.9927,=7.2248,=9.5068,=0.6609,=0.5995,=0.3828,=0.4851,=0.5814,=0.8151,=1.1073,=0.8848,=0.5372,=0.4386,=0.6557,=0.8498,=1.4147,=2.0623,=0.0550,=0.2421,=0.0385,=0.0531,=0.0644,=0.0819,=0.1103,,,,=1517
="HSHDYI",恒生高股息率指数,2012-12-10,=-0.0219,=1237.9500,=-0.0294,=7.3506,=0.7031,=3.6777,=4.8612,=6.6084,=7.8179,=10.6953,=0.6747,=0.5288,=0.4041,=0.5046,=0.6483,=0.9078,=1.1746,=1.0681,=0.5041,=0.5013,=0.7008,=1.0661,=1.5005,=1.9871,=0.0554,=0.2977,=0.0423,=0.0526,=0.0604,=0.0808,=0.1102,,,,=913
="H30270",红利价值,2013-12-19,=-0.0304,=9161.6390,=-0.0389,=7.4312,=0.6752,=4.4543,=5.4322,=6.7650,=8.7114,=13.0955,=0.7473,=0.4580,=0.5256,=0.6488,=0.7639,=1.2450,=1.7317,=1.5061,=0.9460,=0.5854,=0.8117,=0.9996,=1.2974,=1.6637,=0.0447,=0.3879,=0.0269,=0.0419,=0.0507,=0.0632,=0.0726,=0.0235,=0.0936,=0.0240,=194
="000914",300金融,2007-07-02,=-0.0329,=5769.4400,=-0.1412,=7.4658,=0.3531,=5.2769,=6.6022,=7.8389,=8.6017,=11.3863,=0.7255,=0.2266,=0.5962,=0.7048,=0.9090,=1.1328,=1.4919,=2.0344,=0.7429,=1.1210,=1.4310,=1.8124,=2.0939,=2.7052,=0.0401,=0.6288,=0.0235,=0.0340,=0.0376,=0.0467,=0.0618,=0.0223,=0.0897,=0.0236,=344
="931130",红利成长低波,2018-12-04,,,=-0.0400,=7.4804,=0.4441,=4.4465,=5.5781,=7.8239,=8.7186,=11.5512,=0.7457,=0.3291,=0.5279,=0.6246,=0.9000,=1.0301,=1.5803,=2.5543,=0.9863,=0.3109,=0.8140,=1.3203,=1.9180,=2.6815,=0.0421,=0.4803,=0.0246,=0.0322,=0.0424,=0.0533,=0.0639,=0.0231,=0.0934,=0.0229,=147
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=-0.0233,=2544.8100,=0.0271,=7.5257,=0.8848,=3.8979,=4.9492,=5.8989,=7.2294,=8.4533,=0.6716,=0.7745,=0.4277,=0.5172,=0.5786,=0.6850,=0.8197,=1.1711,=0.8585,=0.5333,=0.6968,=0.8763,=1.1231,=1.3442,=0.0534,=0.0815,=0.0482,=0.0565,=0.0673,=0.0840,=0.1067,,,,=494
="931157",SHS红利成长LV,2019-04-25,=-0.0211,=6950.5811,=-0.0688,=7.5572,=0.6055,=4.1261,=5.5951,=6.9158,=8.3347,=11.5318,=0.7444,=0.3464,=0.5154,=0.6262,=0.8076,=0.9238,=1.5888,=1.6242,=0.9917,=0.5018,=0.7114,=1.0390,=1.4117,=1.6968,=0.0483,=0.5133,=0.0259,=0.0417,=0.0482,=0.0558,=0.0761,,=0.0964,,=336
="930914",港股通高股息,2016-11-25,=-0.0253,=4957.5032,=0.0056,=7.6477,=0.7694,=3.4280,=4.4208,=5.9266,=7.8302,=11.1979,=0.7369,=0.6671,=0.3979,=0.5024,=0.6161,=0.8525,=1.1764,=1.2117,=0.7631,=0.5144,=0.7043,=0.9229,=1.2585,=2.2126,=0.0526,=0.1355,=0.0387,=0.0551,=0.0659,=0.0866,=0.1194,,=0.0918,,=707
="932596",港股通红利低波,2016-02-04,,,=0.0526,=7.6485,=0.0989,=7.4451,=7.8265,=8.0512,=8.2767,=8.5745,=0.7058,=0.2527,=0.6528,=0.6979,=0.7315,=0.7595,=0.7956,=1.3200,=0.4066,=1.2161,=1.2848,=1.3282,=1.3627,=1.4099,=0.0513,=0.2967,=0.0473,=0.0493,=0.0527,=0.0551,=0.0579,,=0.0894,,=90
="930992",沪港深红利低波,2017-06-28,,,=-0.0281,=7.6847,=0.7850,=4.0130,=5.1749,=5.8922,=7.7691,=8.5109,=0.7172,=0.7823,=0.4277,=0.5370,=0.5909,=0.7277,=0.7950,=1.1367,=0.7392,=0.4496,=0.6005,=0.8579,=1.1856,=1.3912,=0.0517,=0.0595,=0.0478,=0.0542,=0.0717,=0.0768,=0.0949,,=0.0878,,=48
