指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=-0.0033,=11750.7900,=-0.0808,=5.5521,=0.6320,=3.2016,=4.0862,=5.2322,=5.9017,=7.9938,=0.5249,=0.3395,=0.3790,=0.4576,=0.5654,=0.7124,=1.0569,=2.0840,=0.7760,=1.0856,=1.4330,=1.7506,=2.1394,=2.9053,=0.0525,=0.4066,=0.0324,=0.0492,=0.0547,=0.0738,=0.0997,,=0.0881,,=100
="932584",智选港股通红利低波,2026-06-11,=0.0054,=1694.1000,,=5.6979,=0.4737,=5.4952,=5.6356,=5.7289,=6.0802,=6.2685,=0.5820,=0.4737,=0.5613,=0.5756,=0.5852,=0.6211,=0.6403,=0.8754,=0.4737,=0.8443,=0.8658,=0.8801,=0.9341,=0.9631,=0.0599,=0.6316,=0.0544,=0.0561,=0.0590,=0.0603,=0.0621,,,,=8
="H11146",港股通内地金融,2010-06-02,=0.0005,=1059.5400,=-0.0374,=5.7383,=0.4469,=3.2759,=4.5181,=6.0258,=6.7473,=9.2347,=0.5826,=0.3574,=0.3797,=0.4941,=0.6642,=0.8760,=1.1859,=1.4864,=0.6969,=0.6692,=0.9479,=1.3104,=1.5982,=2.1885,=0.0502,=0.4984,=0.0302,=0.0445,=0.0503,=0.0726,=0.0994,,=0.0970,,=41
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0029,=3813.8400,=-0.0515,=6.3518,=0.6479,=4.1647,=4.6476,=5.6840,=6.9532,=7.8218,=0.5893,=0.4961,=0.4381,=0.4951,=0.5910,=0.6854,=0.7455,=0.9958,=0.9254,=0.5323,=0.5965,=0.7472,=0.9437,=1.0875,=0.0560,=0.1584,=0.0487,=0.0570,=0.0697,=0.0865,=0.0936,,=0.0921,,=248
="930792",HK银行,2016-04-22,=0.0063,=4713.9500,=0.0702,=6.4782,=0.7062,=3.2659,=4.4645,=5.8903,=6.7890,=9.5632,=0.6311,=0.5110,=0.3905,=0.4964,=0.6241,=0.8010,=1.0771,=2.4670,=0.8263,=1.0519,=1.5167,=1.8712,=2.4047,=3.1066,=0.0487,=0.1459,=0.0355,=0.0501,=0.0564,=0.0743,=0.1045,,=0.0901,,=751
="H30106",H300金融服务,2013-05-21,=0.0035,=1525.6800,=0.0082,=6.6567,=0.4360,=4.0175,=5.3653,=6.9710,=7.7687,=11.1922,=0.7132,=0.4331,=0.4470,=0.5779,=0.7410,=0.9081,=1.2489,=1.9010,=0.8059,=0.8557,=1.1817,=1.4698,=1.8920,=2.3593,=0.0467,=0.4700,=0.0288,=0.0433,=0.0473,=0.0664,=0.0918,,=0.1014,,=20
="399986",中证银行,2013-07-15,=-0.0023,=6879.4400,=-0.0952,=6.6763,=0.7083,=4.1183,=5.2599,=6.2948,=6.8536,=9.0846,=0.6389,=0.2963,=0.4848,=0.5836,=0.7164,=0.8975,=1.2416,=2.5062,=0.7973,=1.4134,=1.7842,=2.1559,=2.5120,=3.3016,=0.0441,=0.3877,=0.0285,=0.0411,=0.0460,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9593
="931233",港股通央企红利,2017-06-28,=0.0028,=1082.8000,=-0.0712,=6.7757,=0.5833,=3.6988,=4.9626,=6.3637,=7.4456,=14.0775,=0.6374,=0.4825,=0.3929,=0.5226,=0.6449,=0.8599,=1.8161,=0.9200,=0.4747,=0.4645,=0.6240,=0.9473,=1.3893,=1.7583,=0.0552,=0.3959,=0.0394,=0.0519,=0.0571,=0.0798,=0.1038,,=0.0906,,=463
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0061,=2773.9700,=-0.0032,=6.9089,=0.8175,=3.7550,=5.0509,=5.8320,=6.7974,=7.9027,=0.6930,=0.7174,=0.4590,=0.5790,=0.6411,=0.7390,=0.8175,=1.0512,=0.8537,=0.5101,=0.6884,=0.7987,=0.9171,=1.2126,=0.0541,=0.2233,=0.0478,=0.0537,=0.0622,=0.0791,=0.1052,,=0.0995,,=281
="H11140",香港红利,2009-07-23,=0.0029,=3631.4800,=-0.0054,=6.9189,=0.6659,=3.0693,=4.4554,=5.9843,=7.8593,=13.9623,=0.6531,=0.5245,=0.3833,=0.5103,=0.6298,=0.8659,=1.1652,=1.1007,=0.6027,=0.5431,=0.7464,=0.9726,=1.3737,=2.1349,=0.0569,=0.2114,=0.0382,=0.0561,=0.0635,=0.0876,=0.1281,,=0.0912,,=46
