指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0089,=12684.4732,=-0.0078,=6.0754,=0.8745,=3.2016,=4.0627,=5.1827,=5.8994,=7.9938,=0.5876,=0.5569,=0.3790,=0.4560,=0.5672,=0.7150,=1.0569,=2.3125,=0.9160,=1.0856,=1.4295,=1.7396,=2.1091,=2.9053,,=0.0932,,=0.0487,=87
="H11146",港股通内地金融,2010-06-02,=-0.0129,=1142.9700,=0.0384,=6.2864,=0.6056,=3.2759,=4.5177,=5.9261,=6.7500,=9.2347,=0.6556,=0.4556,=0.3797,=0.4938,=0.6771,=0.8765,=1.1859,=1.6310,=0.8354,=0.6692,=0.9478,=1.2738,=1.5941,=2.1885,,=0.0962,,=0.0466,=36
="399986",中证银行,2013-07-15,=-0.0068,=7339.9400,=-0.0346,=7.0332,=0.8425,=4.1183,=5.2599,=6.2557,=6.8383,=9.0846,=0.6799,=0.4044,=0.4848,=0.5836,=0.7230,=0.8987,=1.2416,=2.6770,=0.9089,=1.4134,=1.7842,=2.1211,=2.4647,=3.3016,=0.0685,=0.0932,=0.0729,=0.0421,=9499
="930792",HK银行,2016-04-22,=-0.0113,=4859.1976,=0.1032,=7.1007,=0.8741,=3.2659,=4.4645,=5.8059,=6.7528,=9.5632,=0.6919,=0.6415,=0.3905,=0.4964,=0.6253,=0.8010,=1.0771,=2.6712,=0.9704,=1.0519,=1.5167,=1.8353,=2.3468,=3.1066,,=0.0964,,=0.0465,=746
="H30106",H300金融服务,2013-05-21,=-0.0077,=1616,=0.0679,=7.2395,=0.6044,=4.0175,=5.3642,=6.9396,=7.7688,=11.1922,=0.7868,=0.5740,=0.4470,=0.5777,=0.7469,=0.9083,=1.2489,=2.0473,=0.9153,=0.8557,=1.1816,=1.4567,=1.8627,=2.3593,,=0.1014,,=0.0442,=17
="000018",180金融,2007-12-10,=-0.0031,=5436.0700,=-0.0849,=7.4448,=0.4773,=5.2016,=6.4287,=7.4972,=8.3012,=10.8609,=0.7735,=0.3017,=0.5902,=0.6965,=0.8828,=1.0696,=1.4199,=2.2547,=0.8425,=1.2355,=1.5824,=1.9304,=2.2005,=2.8772,=0.0781,=0.0973,=0.0761,=0.0389,=768
="399809",保险主题,2015-02-13,=-0.0028,=2342.8400,=-0.1218,=7.4653,=0.3219,=5.4537,=6.8114,=10.6490,=15.0245,=22.8725,=0.8161,=0.3137,=0.6352,=0.7667,=1.2249,=1.4858,=1.9794,=2.1881,=0.9427,=0.5239,=0.8688,=1.0978,=1.3940,=2.3772,=0.0826,=0.1040,=0.0824,=0.0386,=1475
="000818",细分金融,2012-04-11,,,=-0.0807,=7.5701,=0.4678,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7859,=0.2972,=0.5930,=0.7010,=0.9007,=1.0931,=1.4303,=2.3094,=0.8450,=1.2689,=1.6354,=1.9719,=2.2544,=2.9111,=0.0780,=0.0969,=0.0769,=0.0382,=6
="931233",港股通央企红利,2017-06-28,=-0.0078,=1236.5000,=0.0606,=7.5830,=0.8415,=3.6988,=4.9459,=6.3111,=7.4289,=14.0775,=0.7311,=0.6860,=0.3929,=0.5217,=0.6433,=0.8652,=1.8161,=1.0268,=0.5917,=0.4645,=0.6195,=0.9404,=1.3927,=1.7583,,=0.0974,,=0.0500,=430
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0087,=4372.1700,=0.0874,=7.5969,=0.9930,=4.1647,=4.6123,=5.6184,=6.9006,=7.6589,=0.7268,=0.9986,=0.4381,=0.4928,=0.5839,=0.6782,=0.7327,=1.0055,=0.9873,=0.5323,=0.5919,=0.7334,=0.9191,=1.0198,,=0.0980,,=0.0504,=225
