指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0049,=12460.4526,=-0.0253,=5.8970,=0.8019,=3.2016,=4.0509,=5.1779,=5.8954,=7.9938,=0.5703,=0.5123,=0.3790,=0.4559,=0.5669,=0.7157,=1.0569,=2.2446,=0.8687,=1.0856,=1.4286,=1.7379,=2.1022,=2.9053,,=0.0932,,=0.0502,=84
="H11146",港股通内地金融,2010-06-02,=-0.0011,=1116.4200,=0.0143,=6.0932,=0.5348,=3.2759,=4.5181,=5.8977,=6.7473,=9.2347,=0.6354,=0.4173,=0.3797,=0.4941,=0.6790,=0.8765,=1.1859,=1.5807,=0.7917,=0.6692,=0.9479,=1.2710,=1.5902,=2.1885,,=0.0962,,=0.0481,=35
="399986",中证银行,2013-07-15,=-0.0084,=7213.1200,=-0.0513,=6.8085,=0.7944,=4.1183,=5.2599,=6.2448,=6.8227,=9.0846,=0.6581,=0.3358,=0.4848,=0.5836,=0.7239,=0.9034,=1.2416,=2.5914,=0.8686,=1.4134,=1.7842,=2.1195,=2.4576,=3.3016,=0.0685,=0.0932,=0.0729,=0.0434,=9482
="930792",HK银行,2016-04-22,=0.0029,=4695.7300,=0.0661,=6.8545,=0.8208,=3.2659,=4.4605,=5.7936,=6.7446,=9.5632,=0.6679,=0.5992,=0.3905,=0.4961,=0.6242,=0.8020,=1.0771,=2.5786,=0.9242,=1.0519,=1.5160,=1.8329,=2.3294,=3.1066,,=0.0964,,=0.0481,=743
="H30106",H300金融服务,2013-05-21,=-0.0013,=1592.5300,=0.0524,=7.0454,=0.5344,=4.0175,=5.3653,=6.9174,=7.7687,=11.1922,=0.7657,=0.5288,=0.4470,=0.5779,=0.7470,=0.9081,=1.2489,=1.9924,=0.8768,=0.8557,=1.1817,=1.4566,=1.8515,=2.3593,,=0.1014,,=0.0454,=17
="000018",180金融,2007-12-10,=-0.0124,=5348.4200,=-0.0997,=7.2450,=0.3984,=5.2016,=6.4287,=7.4960,=8.3012,=10.8609,=0.7528,=0.2608,=0.5902,=0.6965,=0.8863,=1.0717,=1.4199,=2.1938,=0.7998,=1.2355,=1.5824,=1.9295,=2.1950,=2.8772,=0.0781,=0.0973,=0.0761,=0.0400,=768
="399809",保险主题,2015-02-13,=-0.0216,=2349.9700,=-0.1192,=7.2542,=0.2913,=5.4537,=6.8114,=10.6460,=15.0245,=22.8725,=0.7930,=0.2629,=0.6352,=0.7667,=1.2259,=1.4858,=1.9794,=2.1255,=0.9246,=0.5239,=0.8688,=1.0978,=1.3840,=2.3772,=0.0826,=0.1040,=0.0824,=0.0397,=1472
="000818",细分金融,2012-04-11,=-0.0133,=6643.6200,=-0.1002,=7.3633,=0.3852,=5.2356,=6.4974,=7.6839,=8.4810,=10.9951,=0.7648,=0.2616,=0.5930,=0.7010,=0.9038,=1.0962,=1.4303,=2.2464,=0.7969,=1.2689,=1.6354,=1.9720,=2.2491,=2.9111,=0.0780,=0.0969,=0.0769,=0.0393,=6
="931233",港股通央企红利,2017-06-28,=-0.0011,=1229.4200,=0.0545,=7.4120,=0.7941,=3.6988,=4.9426,=6.2897,=7.4213,=14.0775,=0.7159,=0.6630,=0.3929,=0.5215,=0.6419,=0.8664,=1.8161,=1.0040,=0.5700,=0.4645,=0.6188,=0.9385,=1.3927,=1.7583,,=0.0974,,=0.0512,=424
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0002,=4357.9100,=0.0839,=7.4185,=0.9601,=4.1647,=4.6091,=5.5961,=6.8903,=7.6535,=0.7113,=0.9758,=0.4381,=0.4925,=0.5827,=0.6757,=0.7230,=0.9827,=0.9402,=0.5323,=0.5918,=0.7311,=0.9169,=1.0198,,=0.0980,,=0.0516,=218
