指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=-0.0011,=11703.5800,=-0.0845,=5.4392,=0.5725,=3.2016,=4.0788,=5.2289,=5.9035,=7.9938,=0.5134,=0.3284,=0.3790,=0.4573,=0.5659,=0.7127,=1.0569,=2.0415,=0.7577,=1.0856,=1.4328,=1.7500,=2.1400,=2.9053,=0.0536,=0.4486,=0.0324,=0.0492,=0.0547,=0.0738,=0.0997,,=0.0881,,=99
="H11146",港股通内地金融,2010-06-02,=-0.0077,=1040.9200,=-0.0543,=5.6321,=0.4055,=3.2759,=4.5177,=6.0271,=6.7500,=9.2347,=0.5718,=0.3354,=0.3797,=0.4938,=0.6644,=0.8765,=1.1859,=1.4589,=0.6586,=0.6692,=0.9478,=1.3079,=1.5984,=2.1885,=0.0512,=0.5207,=0.0302,=0.0445,=0.0503,=0.0726,=0.0994,,=0.0970,,=40
="932584",智选港股通红利低波,2026-06-11,=-0.0101,=1690.6200,,=5.6381,=0.3125,=5.4959,=5.6119,=5.7598,=6.1204,=6.2685,=0.5759,=0.3125,=0.5614,=0.5732,=0.5883,=0.6252,=0.6403,=0.8662,=0.3125,=0.8444,=0.8622,=0.8849,=0.9403,=0.9631,=0.0605,=0.8125,=0.0544,=0.0557,=0.0584,=0.0605,=0.0621,,,,=7
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0100,=3778.8900,=-0.0602,=6.1896,=0.6321,=4.1647,=4.6457,=5.6756,=6.9681,=7.8218,=0.5742,=0.4113,=0.4381,=0.4951,=0.5910,=0.6860,=0.7455,=0.9704,=0.8515,=0.5323,=0.5964,=0.7470,=0.9426,=1.0875,=0.0575,=0.2300,=0.0487,=0.0571,=0.0698,=0.0865,=0.0936,,=0.0921,,=247
="930792",HK银行,2016-04-22,=0.0043,=4613.0200,=0.0473,=6.3291,=0.6446,=3.2659,=4.4606,=5.8894,=6.7902,=9.5632,=0.6166,=0.4874,=0.3905,=0.4962,=0.6240,=0.8015,=1.0771,=2.4102,=0.8030,=1.0519,=1.5163,=1.8703,=2.4038,=3.1066,=0.0499,=0.1882,=0.0355,=0.0501,=0.0564,=0.0743,=0.1045,,=0.0901,,=751
="H30106",H300金融服务,2013-05-21,=-0.0049,=1502.0800,=-0.0074,=6.5470,=0.4169,=4.0175,=5.3642,=6.9740,=7.7688,=11.1922,=0.7014,=0.4128,=0.4470,=0.5777,=0.7415,=0.9083,=1.2489,=1.8696,=0.7859,=0.8557,=1.1816,=1.4693,=1.8898,=2.3593,=0.0475,=0.5114,=0.0288,=0.0433,=0.0473,=0.0664,=0.0918,,=0.1014,,=20
="931233",港股通央企红利,2017-06-28,=-0.0097,=1069.5400,=-0.0826,=6.6239,=0.5511,=3.6988,=4.9626,=6.3630,=7.4456,=14.0775,=0.6231,=0.4519,=0.3929,=0.5226,=0.6449,=0.8599,=1.8161,=0.8993,=0.4502,=0.4645,=0.6240,=0.9475,=1.3893,=1.7583,=0.0565,=0.4666,=0.0394,=0.0519,=0.0571,=0.0798,=0.1038,,=0.0906,,=460
="399986",中证银行,2013-07-15,=0.0014,=6894.9400,=-0.0932,=6.6335,=0.6854,=4.1183,=5.2599,=6.2940,=6.8536,=9.0846,=0.6323,=0.2759,=0.4848,=0.5836,=0.7166,=0.8978,=1.2416,=2.4901,=0.7922,=1.4134,=1.7842,=2.1545,=2.5119,=3.3016,=0.0444,=0.4037,=0.0285,=0.0411,=0.0460,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9587
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0080,=2717.1000,=-0.0236,=6.7547,=0.7935,=3.7550,=5.0505,=5.8313,=6.7930,=7.9027,=0.6775,=0.6789,=0.4590,=0.5789,=0.6410,=0.7393,=0.8175,=1.0278,=0.8457,=0.5101,=0.6884,=0.7986,=0.9164,=1.2126,=0.0554,=0.2712,=0.0478,=0.0537,=0.0622,=0.0791,=0.1052,,=0.0995,,=281
="H11140",香港红利,2009-07-23,=-0.0027,=3556.6700,=-0.0259,=6.7592,=0.6384,=3.0693,=4.4494,=5.9820,=7.8698,=13.9623,=0.6381,=0.5083,=0.3833,=0.5103,=0.6294,=0.8661,=1.1652,=1.0753,=0.5772,=0.5431,=0.7455,=0.9723,=1.3772,=2.1349,=0.0582,=0.2586,=0.0382,=0.0561,=0.0635,=0.0876,=0.1281,,=0.0912,,=46
