指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0041,=12521.3131,=-0.0205,=5.8574,=0.7847,=3.2016,=4.0507,=5.1734,=5.8911,=7.9938,=0.5663,=0.4986,=0.3790,=0.4558,=0.5665,=0.7157,=1.0569,=2.2295,=0.8598,=1.0856,=1.4283,=1.7377,=2.0941,=2.9053,,=0.0932,,=0.0492,=82
="H11146",港股通内地金融,2010-06-02,=0.0078,=1091.3100,=-0.0085,=5.9596,=0.5091,=3.2759,=4.5181,=5.8865,=6.7473,=9.2347,=0.6221,=0.3981,=0.3797,=0.4941,=0.6796,=0.8765,=1.1859,=1.5493,=0.7679,=0.6692,=0.9479,=1.2685,=1.5902,=2.1885,,=0.0962,,=0.0489,=34
="930792",HK银行,2016-04-22,=0.0150,=4526.2841,=0.0276,=6.6577,=0.7850,=3.2659,=4.4558,=5.7879,=6.7344,=9.5632,=0.6491,=0.5561,=0.3905,=0.4960,=0.6240,=0.8023,=1.0771,=2.5045,=0.8674,=1.0519,=1.5156,=1.8321,=2.3256,=3.1066,,=0.0964,,=0.0500,=741
="H30106",H300金融服务,2013-05-21,=0.0112,=1530.2600,=0.0112,=6.8165,=0.4812,=4.0175,=5.3653,=6.9058,=7.7687,=11.1922,=0.7419,=0.4897,=0.4470,=0.5779,=0.7472,=0.9081,=1.2489,=1.9318,=0.8453,=0.8557,=1.1817,=1.4557,=1.8480,=2.3593,,=0.1014,,=0.0470,=17
="399986",中证银行,2013-07-15,=0.0065,=7320.8700,=-0.0371,=6.9782,=0.8368,=4.1183,=5.2599,=6.2398,=6.8202,=9.0846,=0.6745,=0.3796,=0.4848,=0.5836,=0.7245,=0.9052,=1.2416,=2.6560,=0.9031,=1.4134,=1.7842,=2.1188,=2.4522,=3.3016,=0.0685,=0.0932,=0.0729,=0.0424,=9465
="931024",港股通非银,2017-11-06,=0.0010,=3945.4775,=-0.0811,=7.2736,=0.0058,=6.7549,=8.7365,=11.3727,=13.3897,=22.4310,=1.0362,=0.4831,=0.6237,=0.8456,=1.0446,=1.2267,=1.7592,=1.2336,=0.8214,=0.5870,=0.8718,=1.0066,=1.2006,=2.2002,,=0.1136,,=0.0387,=179
="931233",港股通央企红利,2017-06-28,=-0.0118,=1197.9400,=0.0275,=7.2919,=0.7568,=3.6988,=4.9417,=6.2884,=7.4223,=14.0775,=0.7081,=0.6477,=0.3929,=0.5215,=0.6417,=0.8669,=1.8161,=0.9952,=0.5621,=0.4645,=0.6185,=0.9380,=1.3934,=1.7583,,=0.0974,,=0.0533,=410
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0113,=4219.9600,=0.0495,=7.3347,=0.9312,=4.1647,=4.6091,=5.5828,=6.8600,=7.6535,=0.7038,=0.9427,=0.4381,=0.4925,=0.5823,=0.6740,=0.7230,=0.9720,=0.9226,=0.5323,=0.5918,=0.7295,=0.9129,=1.0198,,=0.0980,,=0.0525,=212
="000018",180金融,2007-12-10,=0.0034,=5366.5700,=-0.0966,=7.3570,=0.4444,=5.2016,=6.4287,=7.4964,=8.3012,=10.8609,=0.7646,=0.2762,=0.5902,=0.6965,=0.8879,=1.0720,=1.4199,=2.2274,=0.8248,=1.2355,=1.5824,=1.9281,=2.1916,=2.8772,=0.0781,=0.0973,=0.0761,=0.0394,=767
="399809",保险主题,2015-02-13,=0.0052,=2312.4800,=-0.1332,=7.3828,=0.3096,=5.4537,=6.8114,=10.6490,=15.0245,=22.8725,=0.8071,=0.2910,=0.6352,=0.7667,=1.2268,=1.4858,=1.9794,=2.1632,=0.9386,=0.5239,=0.8688,=1.0978,=1.3766,=2.3772,=0.0826,=0.1040,=0.0824,=0.0391,=1468
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0043,=2883.5200,=0.0362,=7.4259,=0.9445,=3.7550,=5.0396,=5.7794,=6.6444,=7.9027,=0.7658,=0.9199,=0.4590,=0.5769,=0.6373,=0.7283,=0.8175,=1.1343,=0.9457,=0.5101,=0.6869,=0.7916,=0.8979,=1.2126,,=0.1004,,=0.0521,=268
="000818",细分金融,2012-04-11,,,=-0.1002,=7.4691,=0.4357,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7759,=0.2745,=0.5930,=0.7010,=0.9060,=1.0971,=1.4303,=2.2783,=0.8244,=1.2689,=1.6354,=1.9719,=2.2480,=2.9111,=0.0780,=0.0969,=0.0769,=0.0387,=6
="987016",港股通红利低波,2021-11-18,,,=0.1342,=7.5215,=0.9632,=3.4544,=4.2830,=4.8625,=6.4789,=7.8983,=0.7119,=0.9821,=0.4152,=0.4838,=0.5361,=0.6328,=0.7308,=1.2227,=0.9471,=0.5827,=0.6577,=0.7861,=1.0063,=1.2881,,=0.0953,,=0.0525,=116
="H11140",香港红利,2009-07-23,=-0.0038,=4004.5400,=0.0967,=7.5750,=0.7611,=3.0693,=4.4554,=5.9845,=8.4143,=13.9623,=0.7367,=0.6397,=0.3833,=0.5103,=0.6299,=0.8659,=1.1652,=1.2088,=0.6874,=0.5431,=0.7464,=0.9728,=1.5553,=2.1349,,=0.0974,,=0.0530,=28
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0109,=4570.8100,=0.0230,=7.7131,=0.8674,=3.5572,=4.6329,=5.9551,=7.1148,=9.5068,=0.7105,=0.7107,=0.3828,=0.4843,=0.5761,=0.8174,=1.1073,=0.9255,=0.5708,=0.4386,=0.6495,=0.8400,=1.4243,=2.0623,,=0.0887,,=0.0540,=1423
="000914",300金融,2007-07-02,=0.0024,=6058.4000,=-0.0982,=7.7450,=0.4720,=5.2769,=6.6022,=7.8181,=8.6017,=11.3863,=0.7716,=0.2655,=0.5962,=0.7048,=0.9283,=1.1363,=1.4919,=2.1332,=0.8450,=1.1210,=1.4310,=1.8123,=2.0713,=2.7052,=0.0748,=0.0919,=0.0740,=0.0383,=339
="HSHDYI",恒生高股息率指数,2012-12-10,=-0.0117,=1336.7500,=0.0480,=7.8980,=0.8299,=3.6777,=4.8617,=6.6099,=7.7340,=10.6953,=0.7430,=0.6155,=0.4041,=0.5047,=0.6486,=0.9071,=1.1746,=1.1480,=0.5855,=0.5013,=0.7009,=1.0665,=1.4996,=1.9871,,=0.0935,,=0.0532,=901
