指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0006,=12436.5400,=-0.0272,=5.9796,=0.8429,=3.2016,=4.0506,=5.1700,=5.8904,=7.9938,=0.5661,=0.4974,=0.3790,=0.4555,=0.5666,=0.7158,=1.0569,=2.2773,=0.8967,=1.0856,=1.4282,=1.7375,=2.0913,=2.9053,,=0.0932,,=0.0530,=81
="H11146",港股通内地金融,2010-06-02,=-0.0170,=1072.7000,=-0.0254,=6.1841,=0.5646,=3.2759,=4.5181,=5.8810,=6.7473,=9.2347,=0.6277,=0.4062,=0.3797,=0.4941,=0.6799,=0.8765,=1.1859,=1.5905,=0.7999,=0.6692,=0.9479,=1.2671,=1.5905,=2.1885,,=0.0962,,=0.0481,=33
="930792",HK银行,2016-04-22,=-0.0046,=4438.8700,=0.0078,=6.7703,=0.8080,=3.2659,=4.4558,=5.7861,=6.7249,=9.5632,=0.6479,=0.5531,=0.3905,=0.4960,=0.6239,=0.8023,=1.0771,=2.5269,=0.8828,=1.0519,=1.5156,=1.8320,=2.3223,=3.1066,,=0.0964,,=0.0500,=740
="399986",中证银行,2013-07-15,=0.0038,=7274.3800,=-0.0432,=6.8754,=0.8183,=4.1183,=5.2599,=6.2279,=6.8116,=9.0846,=0.6738,=0.3770,=0.4848,=0.5836,=0.7247,=0.9056,=1.2416,=2.6205,=0.8850,=1.4134,=1.7842,=2.1185,=2.4477,=3.3016,=0.0685,=0.0932,=0.0729,=0.0453,=9453
="H30106",H300金融服务,2013-05-21,=-0.0112,=1513.9100,=0.0004,=6.9923,=0.5176,=4.0175,=5.3653,=6.9036,=7.7687,=11.1922,=0.7485,=0.5014,=0.4470,=0.5779,=0.7478,=0.9081,=1.2489,=1.9470,=0.8558,=0.8557,=1.1817,=1.4553,=1.8467,=2.3593,,=0.1014,,=0.0456,=17
="399809",保险主题,2015-02-13,=-0.0297,=2330.2400,=-0.1266,=7.2569,=0.2921,=5.4537,=6.8114,=10.6460,=15.0245,=22.8725,=0.8113,=0.2975,=0.6352,=0.7667,=1.2270,=1.4858,=1.9794,=2.1230,=0.9271,=0.5239,=0.8688,=1.0978,=1.3754,=2.3772,=0.0826,=0.1040,=0.0824,=0.0407,=1466
="000018",180金融,2007-12-10,=-0.0091,=5358.6400,=-0.0979,=7.2777,=0.4153,=5.2016,=6.4287,=7.4960,=8.3012,=10.8609,=0.7715,=0.2901,=0.5902,=0.6965,=0.8890,=1.0726,=1.4199,=2.1980,=0.8043,=1.2355,=1.5824,=1.9273,=2.1902,=2.8772,=0.0781,=0.0973,=0.0761,=0.0408,=766
="000818",细分金融,2012-04-11,=-0.0107,=6656.6700,=-0.0985,=7.3947,=0.4026,=5.2356,=6.4974,=7.6839,=8.4810,=10.9951,=0.7830,=0.2835,=0.5930,=0.7010,=0.9070,=1.0978,=1.4303,=2.2500,=0.8043,=1.2689,=1.6354,=1.9720,=2.2469,=2.9111,=0.0780,=0.0969,=0.0769,=0.0400,=6
="931233",港股通央企红利,2017-06-28,=-0.0138,=1220.0900,=0.0465,=7.4975,=0.8202,=3.6988,=4.9387,=6.2869,=7.4213,=14.0775,=0.7195,=0.6704,=0.3929,=0.5213,=0.6416,=0.8673,=1.8161,=1.0081,=0.5745,=0.4645,=0.6185,=0.9364,=1.3937,=1.7583,,=0.0974,,=0.0528,=404
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0185,=4292.3400,=0.0675,=7.5198,=0.9885,=4.1647,=4.6086,=5.5765,=6.8468,=7.6113,=0.7143,=0.9871,=0.4381,=0.4921,=0.5817,=0.6734,=0.7230,=0.9812,=0.9597,=0.5323,=0.5913,=0.7292,=0.9118,=1.0190,,=0.0980,,=0.0522,=208
