指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931159",创新100,2019-05-16,=-0.0025,=3560.6000,=0.0470,=42.9246,=0.7229,=24.8309,=32.2278,=35.8189,=46.2735,=59.7307,=5.3359,=0.7592,=2.9189,=3.6755,=4.3224,=5.4764,=7.4325,=4.0861,=0.6025,=2.3351,=3.1467,=3.7160,=4.8688,=6.6085,=0.0984,=0.1232,=0.0933,=0.0104,=226
="H30597",新材料,2015-02-13,=0.0167,=4605.4000,=0.1102,=42.9846,=0.7415,=14.0729,=21.7626,=33.2776,=45.7368,=105.5581,=3.9184,=0.6282,=2.1817,=2.8826,=3.6414,=5.2685,=8.9168,=2.8772,=0.5515,=1.2938,=2.0086,=2.7641,=3.7927,=7.1680,=0.0713,=0.0685,=0.0564,=0.0126,=299
="399441",生物医药,2015-01-20,=-0.0067,=2113.3900,=-0.0152,=43.9755,=0.3838,=21.8350,=32.3563,=48.5416,=65.7573,=119.0737,=3.1664,=0.1377,=2.3073,=3.6077,=6.4541,=7.8455,=13.6606,=6.4010,=0.2325,=3.6424,=5.9229,=9.8285,=14.1756,=21.5399,=0.0597,=0.0743,=0.0645,=0.0113,=1639
="931783",智能驾驶,2022-02-21,=-0.0067,=1524.0400,=0.0154,=44.7220,=0.3731,=31.9944,=40.0833,=47.5453,=71.5551,=98.5983,=3.7967,=0.7105,=2.5981,=3.3246,=3.5814,=3.9848,=4.9384,=2.0283,=0.6534,=1.3276,=1.7142,=1.9447,=2.1357,=2.7953,=0.0689,=0.0933,=0.0711,=0.0079,=5
="931994",电网设备主题,2022-10-11,=-0.0048,=3593.3300,=0.4243,=44.7422,=0.9988,=15.6741,=19.6313,=22.4580,=25.4499,=44.9300,=4.1904,=0.9988,=1.9713,=2.2801,=2.4289,=2.6380,=4.2080,=2.6777,=0.9988,=1.2895,=1.4694,=1.5957,=1.7730,=2.6890,=0.0798,=0.0873,=0.0728,=0.0089,=142
="399806",环境治理,2014-07-21,=0.0034,=1579.2400,=0.1387,=44.9557,=0.9291,=17.0172,=24.4003,=29.3796,=37.7378,=50.8764,=2.0857,=0.7296,=1.1727,=1.6053,=1.7760,=2.9697,=4.4901,=2.3269,=0.7160,=1.3064,=1.8397,=2.0908,=3.6276,=5.9378,=0.0524,=0.0541,=0.0519,=0.0143,=843
="H30178",医疗保健,2013-07-15,=0.0034,=14159.0800,=0.0431,=45.0063,=0.4654,=19.5848,=32.8016,=46.1226,=68.0596,=123.2936,=3.0863,=0.0647,=2.6575,=3.5320,=5.6894,=7.5186,=12.4381,=5.3107,=0.1331,=4.3601,=5.4836,=6.6318,=8.1023,=14.2518,=0.0616,=0.0784,=0.0751,=0.0149,=542
="H30217",医疗器械,2013-07-15,=0.0033,=10168.9500,=0.0357,=45.0490,=0.6270,=17.1055,=29.5762,=39.4631,=59.2857,=82.8778,=2.9887,=0.0709,=2.5693,=3.3436,=4.9682,=6.8157,=11.6091,=5.6917,=0.3318,=4.1030,=5.3999,=6.1803,=8.3317,=13.3528,=0.0587,=0.0759,=0.0723,=0.0150,=1281
="931165",新兴科技100,2019-04-25,=0.0008,=8728.4300,=0.0257,=45.3745,=0.9538,=17.0055,=22.9636,=28.7645,=38.3259,=52.7007,=7.9974,=0.9045,=3.5721,=4.3168,=5.1552,=7.4017,=9.3841,=6.8428,=0.9021,=3.0368,=3.6412,=4.6922,=6.1813,=8.1977,=0.1375,=0.1658,=0.1324,=0.0082,=522
="399610",TMT50,2010-11-08,=0.0019,=10048.5100,=0.0487,=45.6501,=0.7770,=21.0331,=30.1605,=38.0629,=46.2406,=64.7172,=5.5394,=0.8998,=2.4071,=3.2240,=4.0368,=5.0368,=6.7747,=3.1224,=0.6055,=1.5843,=2.0120,=2.7294,=3.7486,=4.9386,=0.0827,=0.0824,=0.0632,=0.0081,=505
