指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="950125",科创半导体材料设备,2024-07-26,=0.0067,=4326.4021,=1.0139,=187.2356,=0.8563,=70.4245,=117.4341,=134.0511,=169.9304,=348.7588,=11.1734,=0.9016,=2.8469,=4.8039,=5.5581,=7.0852,=17.6268,=25.1089,=0.9075,=7.2923,=10.9939,=13.0244,=15.8076,=37.4011,=0.0010,=0.4331,=0.0006,=0.0008,=0.0013,=0.0016,=0.0028,=0.0075,=0.0371,=0.0094,=153
="931743",半导体材料设备,2012-12-21,=0.0037,=9745.9943,=0.8927,=137.6458,=0.9161,=30.1973,=40.1666,=61.4309,=91.1222,=224.0742,=10.9760,=0.9238,=2.5588,=3.4436,=4.3331,=7.2046,=17.1334,=17.4416,=0.9390,=2.5903,=3.1786,=3.8625,=11.2923,=25.3851,=0.0012,=0.0610,=0.0009,=0.0020,=0.0028,=0.0045,=0.0073,=0.0198,=0.0706,=0.0130,=302
="931865",中证半导,2019-03-20,=0.0111,=8517.0395,=0.7210,=152.0518,=0.9044,=32.8138,=46.1226,=74.0748,=130.6637,=255.0466,=11.1977,=0.9337,=3.3892,=4.1536,=5.3072,=8.5717,=15.8034,=19.8043,=0.9385,=6.4190,=7.7157,=8.8307,=15.3339,=28.9040,=0.0009,=0.0849,=0.0006,=0.0011,=0.0020,=0.0024,=0.0032,=0.0168,=0.0580,=0.0153,=219
="931144",通信技术,2019-05-30,=0.0135,=3798.6103,=0.6316,=62.6457,=0.8949,=22.8153,=30.4954,=37.1708,=52.5793,=113.1406,=10.6339,=0.9574,=2.5671,=3.1135,=3.7468,=4.8365,=15.3977,=6.4053,=0.9534,=1.6428,=2.1085,=2.5084,=3.4249,=9.4991,=0.0032,=0.0454,=0.0021,=0.0043,=0.0064,=0.0100,=0.0166,=0.0432,=0.1354,=0.0299,=258
="000685",科创芯片,2022-06-13,=0.0192,=4018.4700,=0.5376,=159.0428,=0.6088,=42.1555,=70.8841,=119.6376,=181.3776,=335.4323,=10.8636,=0.9434,=3.1235,=4.1005,=5.2027,=7.7709,=15.4697,=21.0777,=0.9454,=7.4796,=10.0910,=12.3444,=15.9403,=31.9311,=0.0009,=0.0829,=0.0005,=0.0010,=0.0015,=0.0021,=0.0026,=0.0152,=0.0415,=0.0074,=517
="H30184",半导体,2013-07-15,=0.0193,=13347.9911,=0.4505,=93.7609,=0.6305,=33.2056,=51.7413,=79.1590,=107.9511,=186.6477,=8.6966,=0.9043,=2.5082,=3.4416,=4.9101,=7.5026,=12.7528,=13.3314,=0.9682,=1.3963,=2.6456,=7.0518,=9.6523,=20.0377,=0.0015,=0.0763,=0.0010,=0.0017,=0.0024,=0.0034,=0.0070,=0.0203,=0.0527,=0.0094,=3404
="932066",半导体行业精选,2023-11-10,=0.0161,=5776.6704,=0.4221,=77.7903,=0.3735,=50.1901,=65.4144,=83.3927,=99.8752,=142.8699,=8.5184,=0.8118,=3.1655,=4.1680,=6.7975,=8.4395,=12.2533,=12.6464,=0.8044,=6.6489,=8.4227,=10.8780,=12.6198,=18.4956,=0.0017,=0.2412,=0.0012,=0.0017,=0.0022,=0.0028,=0.0034,=0.0207,=0.0794,=0.0157,=6
="990001",中华半导体芯片,2019-03-18,=0.0188,=16791.7238,=0.3891,=96.4787,=0.6320,=33.1780,=61.6100,=86.4014,=116.8886,=187.5449,=8.6081,=0.9099,=3.1429,=4.2882,=5.3624,=7.5154,=12.4905,=13.0280,=0.9591,=3.3238,=6.0989,=7.1374,=9.6070,=19.5120,=0.0013,=0.0503,=0.0008,=0.0016,=0.0021,=0.0028,=0.0056,=0.0177,=0.0410,=0.0101,=1388
="931079",5G通信,2019-04-25,=0.0158,=2672.1380,=0.3861,=47.0131,=0.8519,=21.0709,=27.7358,=33.7759,=44.7376,=103.6981,=7.5132,=0.9557,=2.3623,=3.0521,=3.6440,=5.3747,=10.5199,=2.9484,=0.9523,=1.1916,=1.4931,=1.8904,=2.3734,=4.2354,=0.0053,=0.1621,=0.0036,=0.0056,=0.0082,=0.0121,=0.0152,=0.0389,=0.1398,=0.0276,=2290
="H30007",芯片产业,2012-12-20,=0.0167,=4371.4589,=0.3805,=87.1362,=0.6474,=24.2382,=40.3144,=71.8887,=113.4115,=186.5687,=8.7117,=0.9423,=1.9412,=3.6288,=4.5554,=7.3031,=12.9184,=12.7905,=0.9695,=1.5871,=3.7078,=6.5666,=8.4087,=19.5328,=0.0012,=0.0408,=0.0008,=0.0017,=0.0023,=0.0046,=0.0105,=0.0230,=0.0446,=0.0109,=546
