指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="950125",科创半导体材料设备,2024-07-26,=0.0433,=3725.7700,=0.7343,=212.8088,=0.9243,=70.4245,=117.3661,=131.0439,=166.6430,=348.7588,=10.6565,=0.9305,=2.8469,=4.7878,=5.3744,=6.9383,=17.6268,=23.0465,=0.9305,=7.2923,=10.9606,=12.8967,=15.3540,=37.4011,=0.0010,=0.4519,=0.0006,=0.0008,=0.0013,=0.0016,=0.0028,=0.0075,=0.0371,=0.0094,=136
="931743",半导体材料设备,2012-12-21,=0.0512,=8594.1500,=0.6690,=143.9242,=0.9466,=30.1973,=39.8765,=60.7909,=88.7787,=224.0742,=10.9127,=0.9440,=2.5588,=3.4273,=4.2842,=6.9543,=17.1334,=16.3785,=0.9479,=2.5903,=3.1610,=3.8407,=10.9963,=25.3851,=0.0014,=0.0599,=0.0009,=0.0021,=0.0029,=0.0045,=0.0073,=0.0198,=0.0706,=0.0130,=277
="931865",中证半导,2019-03-20,=0.0492,=7798.6700,=0.5758,=173.8232,=0.9493,=32.8138,=45.5491,=73.5030,=127.5422,=255.0466,=10.7227,=0.9384,=3.3892,=4.1491,=5.2540,=8.3630,=15.8034,=19.7546,=0.9513,=6.4190,=7.7038,=8.7697,=15.0885,=28.9040,=0.0009,=0.1054,=0.0006,=0.0012,=0.0021,=0.0024,=0.0032,=0.0168,=0.0580,=0.0153,=214
="931144",通信技术,2019-05-30,=0.0996,=3505.1100,=0.5055,=73.6251,=0.9426,=22.8153,=30.4520,=37.0376,=51.7392,=113.1406,=10.9465,=0.9684,=2.5671,=3.1102,=3.7115,=4.7960,=15.3977,=6.6943,=0.9661,=1.6428,=2.1073,=2.4951,=3.4135,=9.4991,=0.0030,=0.0339,=0.0021,=0.0043,=0.0065,=0.0101,=0.0166,=0.0432,=0.1354,=0.0299,=252
="000685",科创芯片,2022-06-13,=0.0534,=3691.4000,=0.4125,=226.0481,=0.9642,=42.1555,=69.6767,=118.4516,=179.8876,=335.4323,=10.4404,=0.9443,=3.1235,=4.0777,=5.1585,=7.6475,=15.4697,=21.6299,=0.9622,=7.4796,=10.0569,=12.2759,=15.7203,=31.9311,=0.0008,=0.0328,=0.0005,=0.0011,=0.0015,=0.0021,=0.0026,=0.0152,=0.0415,=0.0074,=499
="H30184",半导体,2013-07-15,=0.0517,=12232.7900,=0.3293,=124.7357,=0.9303,=33.2056,=51.7038,=78.3414,=107.5355,=186.6477,=8.5139,=0.8977,=2.5082,=3.4286,=4.8723,=7.4498,=12.7528,=13.4112,=0.9757,=1.3963,=2.6456,=7.0073,=9.4354,=20.0377,=0.0015,=0.0660,=0.0010,=0.0018,=0.0024,=0.0036,=0.0070,=0.0203,=0.0527,=0.0094,=3378
="932066",半导体行业精选,2023-11-10,=0.0502,=5363.7800,=0.3205,=98.8302,=0.7943,=50.1901,=65.2050,=83.1555,=99.0942,=142.8699,=8.4331,=0.8139,=3.1655,=4.1407,=6.7362,=8.3722,=12.2533,=12.7972,=0.8366,=6.6489,=8.3950,=10.7229,=12.5216,=18.4956,=0.0017,=0.2587,=0.0012,=0.0017,=0.0023,=0.0028,=0.0034,=0.0207,=0.0794,=0.0157,=2
="990001",中华半导体芯片,2019-03-18,=0.0498,=15691.5200,=0.2981,=127.6824,=0.9034,=33.1780,=61.4521,=85.9708,=116.4632,=187.5449,=8.4704,=0.9023,=3.1429,=4.2745,=5.3375,=7.4758,=12.4905,=13.2839,=0.9682,=3.3238,=6.0900,=7.1234,=9.5254,=19.5120,=0.0012,=0.0385,=0.0008,=0.0016,=0.0021,=0.0028,=0.0056,=0.0177,=0.0410,=0.0101,=1383
="931079",5G通信,2019-04-25,=0.0842,=2499.1700,=0.2964,=52.7079,=0.9524,=21.0709,=27.6527,=33.6020,=44.5363,=103.6981,=7.6891,=0.9677,=2.3623,=3.0440,=3.6280,=5.3109,=10.5199,=3.0409,=0.9632,=1.1916,=1.4909,=1.8804,=2.3552,=4.2354,=0.0062,=0.2840,=0.0036,=0.0056,=0.0083,=0.0121,=0.0152,=0.0389,=0.1398,=0.0276,=2279
="H30007",芯片产业,2012-12-20,=0.0503,=4079.5400,=0.2883,=120.8819,=0.8639,=24.2382,=40.3144,=71.0227,=112.8002,=186.5687,=8.6528,=0.9431,=1.9412,=3.6288,=4.5270,=7.2360,=12.9184,=13.1373,=0.9765,=1.5871,=3.6900,=6.5484,=8.3348,=19.5328,=0.0012,=0.0330,=0.0008,=0.0017,=0.0023,=0.0046,=0.0105,=0.0230,=0.0446,=0.0109,=534
="931688",中证算力,2022-07-21,=0.0794,=4044.7600,=0.2869,=36.6398,=0.9146,=18.0036,=20.8095,=23.8978,=32.4782,=44.9092,=3.9241,=0.9274,=1.6529,=1.9017,=2.2756,=3.3625,=4.7747,=2.7518,=0.9197,=1.3731,=1.5930,=1.8138,=2.4935,=3.3716,=0.0160,=0.0739,=0.0131,=0.0191,=0.0261,=0.0299,=0.0338,=0.0245,=0.1011,=0.0224,=107
="000682",科创信息,2021-08-16,=0.0479,=2562.5100,=0.2852,=180.3545,=0.9704,=41.6131,=60.9992,=93.1824,=134.3177,=255.5918,=9.7574,=0.9509,=3.3247,=4.3573,=5.3878,=6.6531,=13.8809,=15.3778,=0.9679,=5.5790,=7.3186,=8.9070,=11.5054,=21.7670,=0.0015,=0.0279,=0.0011,=0.0020,=0.0030,=0.0038,=0.0070,=0.0200,=0.0432,=0.0072,=102
="399363",云科技,2009-08-03,=0.0752,=11949.3900,=0.2789,=36.7458,=0.2342,=25.0041,=36.0533,=41.6348,=48.8844,=74.9161,=4.1631,=0.2767,=3.0187,=3.9515,=4.6598,=5.5540,=10.4646,=2.8358,=0.4466,=1.6015,=2.2265,=3.0588,=3.7116,=4.3826,=0.0150,=0.9901,=0.0046,=0.0055,=0.0069,=0.0103,=0.0160,=0.0491,=0.1469,=0.0254,=285
="980017",国证芯片,2015-02-17,=0.0535,=16122.8100,=0.2709,=123.0100,=0.8595,=30.3742,=55.7503,=80.9667,=107.8982,=227.4136,=9.1409,=0.9532,=3.1638,=4.0969,=5.7590,=7.4843,=13.5798,=14.1596,=0.9745,=3.6283,=5.7907,=6.6686,=8.0736,=20.9165,=0.0011,=0.0314,=0.0008,=0.0016,=0.0021,=0.0027,=0.0044,=0.0146,=0.0397,=0.0130,=2613
="H30318",科技传媒通信150,2014-04-15,=0.0690,=3904.4000,=0.2699,=64.4662,=0.9344,=19.8534,=28.8631,=38.1291,=49.9885,=90.7292,=9.3483,=0.9781,=2.0037,=2.4801,=3.5037,=4.3773,=13.0479,=4.8471,=0.9744,=1.2409,=1.8640,=2.3034,=2.8129,=6.8164,=0.0044,=0.0247,=0.0031,=0.0058,=0.0072,=0.0165,=0.0244,=0.0368,=0.1091,=0.0211,=45
="931696",科技50策略,2021-07-12,=0.0608,=25192.4600,=0.2506,=52.1340,=0.8666,=23.0047,=27.8431,=33.9449,=46.8150,=71.4621,=8.3623,=0.9317,=3.0567,=3.9233,=4.4710,=7.1178,=11.2899,=4.7080,=0.8877,=1.9010,=2.3670,=2.6798,=4.2429,=6.7093,=0.0058,=0.1229,=0.0042,=0.0064,=0.0098,=0.0121,=0.0167,=0.0396,=0.1271,=0.0285,=13
