指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=0.0078,=11533.1773,=-0.0985,=5.3883,=0.5530,=3.2016,=4.0788,=5.2261,=5.9035,=7.9938,=0.5086,=0.3192,=0.3790,=0.4573,=0.5659,=0.7127,=1.0569,=2.0224,=0.7371,=1.0856,=1.4328,=1.7496,=2.1400,=2.9053,=0.0541,=0.4751,=0.0324,=0.0492,=0.0547,=0.0738,=0.0997,,=0.0881,,=99
="932584",智选港股通红利低波,2026-06-11,,,,=5.5336,=0.0769,=5.4959,=5.6356,=5.8929,=6.1204,=6.2685,=0.5652,=0.0769,=0.5614,=0.5756,=0.6019,=0.6252,=0.6403,=0.8502,=0.0769,=0.8444,=0.8658,=0.9053,=0.9403,=0.9631,=0.0616,=0.9231,=0.0544,=0.0557,=0.0579,=0.0605,=0.0620,,,,=6
="H11146",港股通内地金融,2010-06-02,=-0.0021,=1031.9902,=-0.0648,=5.5851,=0.3985,=3.2759,=4.5177,=6.0264,=6.7500,=9.2347,=0.5671,=0.3279,=0.3797,=0.4938,=0.6650,=0.8765,=1.1859,=1.4467,=0.6409,=0.6692,=0.9478,=1.3055,=1.5984,=2.1885,=0.0516,=0.5343,=0.0302,=0.0445,=0.0504,=0.0726,=0.0994,,=0.0970,,=40
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0047,=3726.7000,=-0.0731,=6.1311,=0.6253,=4.1647,=4.6457,=5.6727,=6.9681,=7.8218,=0.5688,=0.3905,=0.4381,=0.4951,=0.5924,=0.6860,=0.7455,=0.9612,=0.8364,=0.5323,=0.5964,=0.7459,=0.9405,=1.0875,=0.0581,=0.2784,=0.0487,=0.0571,=0.0702,=0.0865,=0.0936,,=0.0921,,=247
="930792",HK银行,2016-04-22,=-0.0068,=4542.9693,=0.0282,=6.2516,=0.6050,=3.2659,=4.4645,=5.8788,=6.7890,=9.5632,=0.6090,=0.4685,=0.3905,=0.4964,=0.6242,=0.8010,=1.0771,=2.3807,=0.7889,=1.0519,=1.5167,=1.8684,=2.4022,=3.1066,=0.0505,=0.2149,=0.0355,=0.0502,=0.0564,=0.0743,=0.1045,,=0.0901,,=751
="H30106",H300金融服务,2013-05-21,=0.0024,=1485.6788,=-0.0224,=6.4706,=0.4049,=4.0175,=5.3642,=6.9725,=7.7688,=11.1922,=0.6939,=0.4037,=0.4470,=0.5777,=0.7418,=0.9083,=1.2489,=1.8493,=0.7767,=0.8557,=1.1816,=1.4679,=1.8898,=2.3593,=0.0480,=0.5290,=0.0288,=0.0433,=0.0473,=0.0664,=0.0918,,=0.1014,,=20
="399986",中证银行,2013-07-15,=0.0116,=6759.1100,=-0.1110,=6.4731,=0.5965,=4.1183,=5.2599,=6.2922,=6.8536,=9.0846,=0.6170,=0.2527,=0.4848,=0.5836,=0.7171,=0.8984,=1.2416,=2.4299,=0.7593,=1.4134,=1.7842,=2.1524,=2.5119,=3.3016,=0.0455,=0.4646,=0.0285,=0.0411,=0.0461,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9584
="931233",港股通央企红利,2017-06-28,=0.0026,=1056.7368,=-0.0964,=6.5403,=0.5380,=3.6988,=4.9618,=6.3545,=7.4456,=14.0775,=0.6152,=0.4377,=0.3929,=0.5225,=0.6451,=0.8599,=1.8161,=0.8880,=0.4430,=0.4645,=0.6229,=0.9481,=1.3896,=1.7583,=0.0572,=0.5028,=0.0394,=0.0519,=0.0571,=0.0798,=0.1038,,=0.0906,,=459
="H11140",香港红利,2009-07-23,=-0.0030,=3508.8875,=-0.0414,=6.6780,=0.6151,=3.0693,=4.4554,=5.9842,=7.8761,=13.9623,=0.6304,=0.5008,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.0624,=0.5632,=0.5431,=0.7464,=0.9724,=1.3823,=2.1349,=0.0589,=0.3015,=0.0382,=0.0561,=0.0636,=0.0876,=0.1281,,=0.0912,,=46
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0075,=2677.7100,=-0.0377,=6.6781,=0.7824,=3.7550,=5.0505,=5.8305,=6.7968,=7.9027,=0.6699,=0.6492,=0.4590,=0.5787,=0.6406,=0.7396,=0.8175,=1.0161,=0.8448,=0.5101,=0.6884,=0.7985,=0.9147,=1.2126,=0.0560,=0.2979,=0.0478,=0.0537,=0.0622,=0.0792,=0.1052,,=0.0995,,=281
