指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0004,=12759.2100,=-0.0019,=6.1292,=0.8840,=3.2016,=4.0627,=5.1847,=5.9001,=7.9938,=0.5918,=0.5634,=0.3790,=0.4560,=0.5675,=0.7150,=1.0569,=2.3326,=0.9246,=1.0856,=1.4295,=1.7398,=2.1118,=2.9053,,=0.0932,,=0.0483,=87
="H11146",港股通内地金融,2010-06-02,=0.0055,=1148.2000,=0.0432,=6.3135,=0.6177,=3.2759,=4.5181,=5.9311,=6.7473,=9.2347,=0.6584,=0.4662,=0.3797,=0.4941,=0.6770,=0.8760,=1.1859,=1.6381,=0.8433,=0.6692,=0.9479,=1.2742,=1.5945,=2.1885,,=0.0962,,=0.0464,=36
="399986",中证银行,2013-07-15,=-0.0029,=7345.1700,=-0.0339,=7.0215,=0.8398,=4.1183,=5.2645,=6.2562,=6.8392,=9.0846,=0.6776,=0.3966,=0.4848,=0.5838,=0.7229,=0.8986,=1.2416,=2.6721,=0.9073,=1.4134,=1.7845,=2.1212,=2.4657,=3.3016,=0.0685,=0.0932,=0.0729,=0.0421,=9502
="930792",HK银行,2016-04-22,=0.0006,=4851.0100,=0.1013,=7.1218,=0.8791,=3.2659,=4.4645,=5.8070,=6.7622,=9.5632,=0.6939,=0.6442,=0.3905,=0.4964,=0.6260,=0.8010,=1.0771,=2.6791,=0.9732,=1.0519,=1.5167,=1.8359,=2.3521,=3.1066,,=0.0964,,=0.0463,=746
="H30106",H300金融服务,2013-05-21,=0.0022,=1608.1000,=0.0627,=7.2294,=0.6002,=4.0175,=5.3653,=6.9404,=7.7687,=11.1922,=0.7857,=0.5723,=0.4470,=0.5779,=0.7472,=0.9081,=1.2489,=2.0445,=0.9121,=0.8557,=1.1817,=1.4567,=1.8630,=2.3593,,=0.1014,,=0.0443,=17
="000018",180金融,2007-12-10,=-0.0039,=5410.7500,=-0.0892,=7.4133,=0.4662,=5.2016,=6.4321,=7.4964,=8.3000,=10.8609,=0.7693,=0.2904,=0.5902,=0.6966,=0.8823,=1.0695,=1.4199,=2.2452,=0.8336,=1.2355,=1.5826,=1.9313,=2.2010,=2.8772,=0.0781,=0.0973,=0.0761,=0.0391,=768
="399809",保险主题,2015-02-13,=-0.0045,=2324.4400,=-0.1287,=7.4416,=0.3192,=5.4537,=6.8119,=10.6431,=15.0228,=22.8725,=0.8135,=0.3081,=0.6352,=0.7669,=1.2248,=1.4853,=1.9794,=2.1820,=0.9411,=0.5239,=0.8689,=1.0979,=1.3983,=2.3772,=0.0826,=0.1040,=0.0824,=0.0387,=1477
="000818",细分金融,2012-04-11,=-0.0042,=6733.8900,=-0.0880,=7.5351,=0.4568,=5.2356,=6.4985,=7.6831,=8.4792,=10.9951,=0.7812,=0.2850,=0.5930,=0.7010,=0.9006,=1.0930,=1.4303,=2.2988,=0.8344,=1.2689,=1.6360,=1.9721,=2.2549,=2.9111,=0.0780,=0.0969,=0.0769,=0.0384,=6
="931024",港股通非银,2017-11-06,=0.0024,=4062.5300,=-0.0538,=7.5602,=0.0244,=6.7549,=8.7072,=11.3418,=13.3772,=22.4310,=1.0731,=0.5323,=0.6237,=0.8463,=1.0472,=1.2262,=1.7592,=1.2753,=0.8395,=0.5870,=0.8736,=1.0090,=1.2096,=2.2002,,=0.1136,,=0.0387,=186
="931233",港股通央企红利,2017-06-28,=0.0025,=1247.0900,=0.0697,=7.7042,=0.8597,=3.6988,=4.9459,=6.3115,=7.4329,=14.0775,=0.7420,=0.6894,=0.3929,=0.5217,=0.6434,=0.8652,=1.8161,=1.0425,=0.5991,=0.4645,=0.6195,=0.9409,=1.3927,=1.7583,,=0.0974,,=0.0493,=430
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0023,=4404.6300,=0.0955,=7.7339,=1,=4.1647,=4.6135,=5.6245,=6.9008,=7.7339,=0.7390,=1,=0.4381,=0.4931,=0.5842,=0.6785,=0.7390,=1.0230,=1,=0.5323,=0.5929,=0.7338,=0.9195,=1.0230,,=0.0980,,=0.0495,=225
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0019,=3017.3500,=0.0843,=7.8224,=0.9963,=3.7550,=5.0437,=5.7979,=6.6603,=7.9027,=0.8036,=0.9908,=0.4590,=0.5776,=0.6381,=0.7325,=0.8175,=1.1893,=0.9884,=0.5101,=0.6872,=0.7937,=0.9021,=1.2126,,=0.1004,,=0.0484,=276
="000914",300金融,2007-07-02,=-0.0045,=6116.9800,=-0.0894,=7.8894,=0.5239,=5.2769,=6.6035,=7.8281,=8.5959,=11.3863,=0.7783,=0.2809,=0.5962,=0.7048,=0.9219,=1.1335,=1.4919,=2.1614,=0.8554,=1.1210,=1.4313,=1.8124,=2.0810,=2.7052,=0.0748,=0.0919,=0.0740,=0.0380,=339
="987016",港股通红利低波,2021-11-18,,,=0.1422,=7.9201,=1,=3.4544,=4.2898,=4.8765,=6.6006,=7.9201,=0.7467,=1,=0.4152,=0.4845,=0.5369,=0.6380,=0.7467,=1.2848,=0.9991,=0.5827,=0.6583,=0.7887,=1.0657,=1.2881,,=0.0953,,=0.0496,=125
="H11140",香港红利,2009-07-23,=0.0063,=4174.0300,=0.1432,=8.0077,=0.7858,=3.0693,=4.4554,=5.9845,=8.3495,=13.9623,=0.7728,=0.7117,=0.3833,=0.5103,=0.6299,=0.8659,=1.1652,=1.2691,=0.7453,=0.5431,=0.7464,=0.9728,=1.5421,=2.1349,,=0.0985,,=0.0500,=29
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0004,=4741.4900,=0.0612,=8.0879,=0.9154,=3.5572,=4.6368,=5.9633,=7.1554,=9.5068,=0.7416,=0.7471,=0.3828,=0.4847,=0.5774,=0.8170,=1.1073,=0.9687,=0.6023,=0.4386,=0.6509,=0.8430,=1.4204,=2.0623,,=0.0887,,=0.0507,=1459
="H30270",红利价值,2013-12-19,=-0.0031,=9882.6300,=0.0367,=8.1287,=0.7842,=4.4543,=5.4259,=6.7399,=8.7414,=13.0955,=0.8294,=0.6510,=0.5256,=0.6480,=0.7610,=1.2546,=1.7317,=1.6460,=0.9991,=0.5854,=0.8105,=0.9952,=1.2730,=1.6504,=0.0717,=0.0975,=0.0748,=0.0409,=178
="000934",中证金融,2009-07-03,=-0.0050,=5735.4600,=-0.0851,=8.1820,=0.5391,=5.7083,=6.8952,=8.0735,=8.8699,=11.5527,=0.7886,=0.2759,=0.6117,=0.7182,=0.9283,=1.1494,=1.5017,=2.1579,=0.8567,=1.1467,=1.4503,=1.8026,=2.0688,=2.6696,=0.0733,=0.0889,=0.0723,=0.0369,=1150
="931157",SHS红利成长LV,2019-04-25,=-0.0043,=7610.8500,=0.0210,=8.3007,=0.7878,=4.1261,=5.5803,=6.8874,=8.3491,=11.5318,=0.8515,=0.6479,=0.5154,=0.6250,=0.8087,=0.9290,=1.5888,=1.6320,=0.9994,=0.5018,=0.7081,=1.0309,=1.3900,=1.6333,,=0.0965,,=0.0462,=306
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0027,=1393.7000,=0.0927,=8.3237,=0.8745,=3.6777,=4.8617,=6.6099,=7.7806,=10.6953,=0.7806,=0.6744,=0.4041,=0.5047,=0.6486,=0.9071,=1.1746,=1.2084,=0.6703,=0.5013,=0.7009,=1.0665,=1.4996,=1.9871,,=0.0935,,=0.0498,=911
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=-0.0003,=2803.6100,=0.1315,=8.3527,=1,=3.8979,=4.9448,=5.8364,=7.1450,=8.3527,=0.7582,=0.9561,=0.4277,=0.5163,=0.5750,=0.6771,=0.8197,=1.2937,=0.9818,=0.5333,=0.6960,=0.8699,=1.1136,=1.3442,,=0.0917,,=0.0490,=483
="000992",全指金融,2011-08-02,=-0.0052,=5495.2000,=-0.0823,=8.4004,=0.5548,=5.9310,=7.1035,=8.2465,=9.0286,=11.6339,=0.7911,=0.2764,=0.6188,=0.7236,=0.9370,=1.1615,=1.5107,=2.1393,=0.8484,=1.1568,=1.4434,=1.8068,=2.0672,=2.6668,=0.0720,=0.0851,=0.0697,=0.0364,=2698
="930992",沪港深红利低波,2017-06-28,=-0.0012,=5820.5800,=0.0455,=8.4155,=0.9962,=4.0130,=5.1287,=5.8345,=7.5507,=8.5012,=0.7930,=1,=0.4277,=0.5363,=0.5889,=0.7088,=0.7930,=1.2257,=0.8787,=0.4496,=0.5986,=0.8165,=1.1733,=1.3912,,=0.0942,,=0.0484,=27
="HSCSOE",恒生中国央企指数,2023-01-01,=0.0109,=3938.3100,=0.0955,=8.4314,=0.9963,=4.9972,=5.5345,=6.0801,=7.6152,=8.5137,=0.8279,=1,=0.5264,=0.5913,=0.6296,=0.7472,=0.8279,=1.0058,=0.9852,=0.5404,=0.5925,=0.6620,=0.8472,=1.0198,,=0.0966,,=0.0459,=108
="930914",港股通高股息,2016-11-25,=-0.0001,=5399.6400,=0.0980,=8.4315,=0.8770,=3.4280,=4.4136,=5.8833,=7.7621,=11.1979,=0.8175,=0.7554,=0.3979,=0.5015,=0.6126,=0.8534,=1.1764,=1.3094,=0.8343,=0.5144,=0.7004,=0.9204,=1.2458,=2.2126,,=0.1000,,=0.0494,=680
="932596",港股通红利低波,2016-02-04,=0.0021,=4372.7200,=0.1273,=8.4324,=0.9724,=7.4451,=7.8127,=8.0978,=8.2936,=8.5745,=0.7940,=1,=0.6528,=0.6877,=0.7175,=0.7602,=0.7940,=1.3798,=0.9586,=1.2161,=1.2762,=1.3252,=1.3642,=1.4099,,,,=0.0478,=80
="000029",180价值,2009-01-09,=-0.0029,=4240.4700,=-0.0478,=8.5524,=0.8217,=5.6894,=6.9094,=7.8866,=8.5007,=10.8138,=0.8376,=0.3501,=0.6666,=0.8069,=0.8638,=1.0650,=1.4433,=1.1095,=0.8979,=0.6198,=0.7826,=0.9448,=1.0660,=1.4032,=0.0720,=0.0955,=0.0779,=0.0396,=554
="H30269",红利低波,2013-12-19,=-0.0015,=11471.5600,=0.0206,=8.5644,=0.7941,=4.5638,=5.5488,=6.8323,=9.4763,=14.4342,=0.8765,=0.6108,=0.5386,=0.6570,=0.8017,=1.3862,=1.9670,=1.6543,=0.9992,=0.6111,=0.8850,=1.0984,=1.4136,=1.6585,=0.0718,=0.0970,=0.0686,=0.0423,=4015
="931446",东证红利低波,2020-04-21,=-0.0052,=3475.8100,=0.0096,=8.5674,=0.8120,=5.1478,=6.1610,=7.0901,=8.5384,=11.0216,=0.8237,=0.7063,=0.5884,=0.6943,=0.7622,=0.8748,=1.2481,=1.5521,=0.9817,=0.5909,=0.7522,=0.8821,=1.3093,=1.5979,=0.0725,=0.0941,=0.0749,=0.0417,=797
="000151",上国红利,2012-07-20,=-0.0016,=1631.7300,=0.0681,=8.5816,=0.9625,=4.5075,=5.3671,=6.9210,=7.6395,=10.0345,=0.7797,=0.5461,=0.5268,=0.6196,=0.7561,=0.9660,=1.3272,=1.0820,=0.4852,=0.6026,=0.8954,=1.0949,=1.3106,=1.6854,=0.0766,=0.0931,=0.0685,=0.0427,=204
="H50040",上红低波,2014-03-21,=-0.0024,=11373.6700,=0.0314,=8.5965,=0.7965,=4.6938,=5.9513,=7.0459,=9.6317,=14.3118,=0.8678,=0.5853,=0.5647,=0.6911,=0.8376,=1.3563,=1.8756,=1.6708,=0.9988,=0.6380,=0.8693,=1.2019,=1.3962,=1.6758,=0.0737,=0.0983,=0.0721,=0.0416,=346
="931130",红利成长低波,2018-12-04,=-0.0062,=24171.0300,=0.0192,=8.7437,=0.8028,=4.4465,=5.5704,=7.7606,=8.7340,=11.5512,=0.8752,=0.4022,=0.5279,=0.6233,=0.9025,=1.0337,=1.5803,=1.9378,=0.8084,=0.3109,=0.8125,=1.3161,=1.9173,=2.5957,=0.0647,=0.0980,=0.0458,=0.0419,=139
="000922",中证红利,2008-05-26,=-0.0009,=5776.3400,=0.0495,=8.7611,=0.8406,=5.1762,=6.0261,=7.6592,=8.6057,=11.2156,=0.8646,=0.5128,=0.5911,=0.7113,=0.8579,=1.1086,=1.4999,=1.3011,=0.9152,=0.6332,=0.7731,=1.0443,=1.2191,=1.7101,=0.0673,=0.0937,=0.0683,=0.0411,=19883
="000821",300红利,2012-07-20,=-0.0001,=6822.4100,=0.0225,=8.8917,=0.9119,=4.9998,=6.1945,=7.5631,=8.4095,=10.9286,=0.8785,=0.5062,=0.5725,=0.7149,=0.8750,=1.0795,=1.4919,=1.4429,=0.9588,=0.6098,=0.7997,=1.0626,=1.3120,=1.6963,=0.0719,=0.0964,=0.0719,=0.0422,=985
="000015",红利指数,2005-01-04,=-0.0031,=3274.3200,=0.0779,=8.9527,=0.9769,=4.6646,=5.5109,=7.0898,=7.9981,=10.4439,=0.8663,=0.6145,=0.5525,=0.6399,=0.7661,=1.0177,=1.3875,=1.5151,=0.9736,=0.7277,=0.8915,=1.1287,=1.3247,=1.6890,=0.0627,=0.0940,=0.0675,=0.0398,=14120
="HSSCHYS",恒生港股通红利优选指数,2023-06-01,=0.0022,=5222.2600,=0.1244,=8.9795,=1,=4.2457,=4.7091,=5.7450,=7.5921,=8.9795,=0.8216,=1,=0.4429,=0.4977,=0.5775,=0.7320,=0.8216,=1.1350,=0.9930,=0.6036,=0.6723,=0.8706,=1.0054,=1.1417,,=0.0936,,=0.0505,=82
="931479",证券保险,2020-05-06,=-0.0069,=913.8900,=-0.1400,=9.0293,=0.0083,=8.7385,=11.9601,=13.5300,=15.5485,=21.1012,=1.2513,=0.2327,=1.0296,=1.2299,=1.3835,=1.5756,=2.2844,=1.6453,=0.6602,=1.0318,=1.2709,=1.4485,=1.7923,=2.2879,=0.1244,=0.1142,=0.0972,=0.0293,=23
="000063",上证周期,2010-02-03,=-0.0023,=3809.1300,=-0.0612,=9.0680,=0.6857,=5.4761,=7.1368,=8.5674,=9.4369,=12.4946,=0.9461,=0.4498,=0.6668,=0.8369,=0.9640,=1.1068,=1.4831,=1.6173,=0.9613,=0.8113,=1.0639,=1.2497,=1.4312,=1.7571,=0.0797,=0.1019,=0.0808,=0.0364,=206
="000824",国企红利,2012-07-20,=-0.0027,=2230.5200,=0.0516,=9.1338,=0.9703,=4.8847,=5.9432,=7.3387,=8.3662,=10.7823,=0.8890,=0.6067,=0.5610,=0.6881,=0.8282,=1.0592,=1.4469,=1.3339,=0.9057,=0.5370,=0.7018,=0.9868,=1.2390,=1.6834,=0.0686,=0.0944,=0.0718,=0.0411,=936
