指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q2),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q2),关注度
="931024",港股通非银,2017-11-06,=0.0014,=3948.9892,=-0.0813,=5.6438,=0,=5.6438,=8.4353,=10.8872,=13.2896,=22.4310,=0.9760,=0.3626,=0.6237,=0.8536,=1.0388,=1.2203,=1.7592,=1.1055,=0.6456,=0.5870,=0.8777,=1.0208,=1.2306,=2.2002,=0.0439,=0.8883,=0.0165,=0.0270,=0.0347,=0.0414,=0.0611,,=0.1345,=0.0629,=219
="H11146",港股通内地金融,2010-06-02,=0.0041,=1193.9764,=0.0836,=5.9111,=0.4789,=3.2759,=4.5177,=6.0271,=6.7422,=9.2347,=0.6422,=0.4676,=0.3797,=0.4938,=0.6568,=0.8696,=1.1859,=1.5661,=0.7543,=0.6692,=0.9478,=1.3187,=1.6010,=2.1885,=0.0475,=0.4075,=0.0302,=0.0445,=0.0500,=0.0726,=0.0994,,=0.0970,=0.0476,=52
="932584",智选港股通红利低波,2026-06-11,,,,=6.0424,=0.3692,=5.4952,=5.8400,=6.0849,=6.1986,=6.4396,=0.6388,=0.7077,=0.5613,=0.5965,=0.6278,=0.6414,=0.6578,=0.9552,=0.6769,=0.8443,=0.8972,=0.9439,=0.9623,=0.9893,=0.0565,=0.6615,=0.0530,=0.0549,=0.0560,=0.0584,=0.0621,,,,=19
="931039",银行AH,2017-12-06,=0.0072,=13183.7907,=0.0307,=6.3274,=0.9360,=3.2016,=4.1016,=5.2642,=5.9121,=7.9938,=0.5936,=0.5869,=0.3790,=0.4593,=0.5659,=0.7102,=1.0569,=2.3473,=0.9338,=1.0856,=1.4362,=1.7599,=2.1739,=2.9053,=0.0478,=0.1347,=0.0324,=0.0491,=0.0544,=0.0736,=0.0997,=0.0438,=0.0881,=0.0451,=112
="H30106",H300金融服务,2013-05-21,=0.0077,=1686.2614,=0.1131,=6.8410,=0.4655,=4.0175,=5.3642,=6.9809,=7.7532,=11.1922,=0.7792,=0.5953,=0.4470,=0.5777,=0.7401,=0.9058,=1.2489,=1.9770,=0.8435,=0.8557,=1.1816,=1.4768,=1.9249,=2.3593,=0.0445,=0.3017,=0.0288,=0.0433,=0.0472,=0.0664,=0.0918,,=0.1014,=0.0500,=25
="931479",证券保险,2020-05-06,=-0.0032,=895.4868,=-0.1573,=6.9325,=0,=6.9325,=11.5907,=13.2916,=15.4418,=21.1012,=1.2022,=0.1823,=1.0296,=1.2199,=1.3667,=1.5576,=2.2844,=1.4626,=0.4867,=1.0318,=1.2784,=1.4722,=1.7790,=2.2879,=0.0326,=0.9677,=0.0162,=0.0225,=0.0252,=0.0290,=0.0357,=0.0884,=0.1317,=0.0613,=62
="H30035",300非银,2012-12-21,=-0.0037,=9263.2381,=-0.1694,=7.0218,=0,=7.0218,=12.6204,=15.1165,=19.3203,=26.3489,=1.2154,=0.1113,=1.0544,=1.2918,=1.5960,=2.0358,=2.4387,=1.4716,=0.2458,=1.0410,=1.4185,=1.6894,=1.9690,=2.3917,=0.0322,=0.9872,=0.0124,=0.0164,=0.0222,=0.0261,=0.0352,=0.0873,=0.1294,=0.0605,=1272
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0024,=4163.7300,=0.0356,=7.0818,=0.8494,=4.1647,=4.6778,=5.7491,=6.9948,=7.8218,=0.6544,=0.6938,=0.4381,=0.4982,=0.5999,=0.6831,=0.7455,=1.1077,=0.9975,=0.5323,=0.5995,=0.7613,=0.9703,=1.1223,=0.0511,=0.0543,=0.0487,=0.0558,=0.0675,=0.0860,=0.0936,=0.0453,=0.0921,=0.0475,=275
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0022,=2984.0400,=0.0723,=7.1841,=0.8495,=3.7550,=5.0590,=5.8728,=6.9427,=7.9027,=0.7552,=0.8558,=0.4590,=0.5806,=0.6437,=0.7426,=0.8175,=1.1173,=0.8945,=0.5101,=0.6897,=0.8040,=0.9342,=1.2126,=0.0509,=0.0813,=0.0478,=0.0533,=0.0618,=0.0790,=0.1052,,=0.0995,=0.0500,=287
="000018",180金融,2007-12-10,=0.0040,=5510.6900,=-0.0723,=7.2305,=0.3757,=5.2016,=6.4287,=7.4936,=8.3012,=10.8609,=0.7872,=0.3880,=0.5902,=0.6965,=0.8525,=1.0577,=1.4199,=2.1989,=0.7835,=1.2355,=1.5824,=1.9634,=2.2159,=2.8772,=0.0391,=0.4866,=0.0246,=0.0353,=0.0392,=0.0493,=0.0636,=0.0529,=0.0959,=0.0477,=780
