指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="950125",科创半导体材料设备,2024-07-26,=-0.0282,=4196,=0.9532,=189.0187,=0.8651,=70.4245,=117.4338,=133.6376,=169.2189,=348.7588,=11.1211,=0.9067,=2.8469,=4.7934,=5.5409,=7.0604,=17.6268,=24.8372,=0.9107,=7.2923,=10.9937,=13.0130,=15.7887,=37.4011,=0.0010,=0.4306,=0.0006,=0.0008,=0.0013,=0.0016,=0.0028,=0.0075,=0.0371,=0.0094,=154
="931743",半导体材料设备,2012-12-21,=-0.0240,=9504.7900,=0.8459,=139.4074,=0.9208,=30.1973,=40.1666,=61.3851,=90.0931,=224.0742,=11.0065,=0.9298,=2.5588,=3.4436,=4.3182,=7.1507,=17.1334,=17.5426,=0.9425,=2.5903,=3.1786,=3.8582,=11.2166,=25.3851,=0.0013,=0.0613,=0.0009,=0.0020,=0.0028,=0.0045,=0.0073,=0.0198,=0.0706,=0.0130,=300
="931865",中证半导,2019-03-20,=-0.0152,=8204.7400,=0.6579,=157.9956,=0.9216,=32.8138,=45.7278,=73.9300,=129.8337,=255.0466,=10.3774,=0.9236,=3.3892,=4.1525,=5.3007,=8.5483,=15.8034,=19.5493,=0.9354,=6.4190,=7.7153,=8.8240,=15.2845,=28.9040,=0.0010,=0.1283,=0.0006,=0.0011,=0.0021,=0.0024,=0.0032,=0.0168,=0.0580,=0.0153,=219
="931144",通信技术,2019-05-30,=0.0006,=3633.1300,=0.5605,=63.9761,=0.9067,=22.8153,=30.4745,=37.1315,=52.3703,=113.1406,=10.5055,=0.9579,=2.5671,=3.1132,=3.7452,=4.8306,=15.3977,=6.3562,=0.9539,=1.6428,=2.1083,=2.5063,=3.4228,=9.4991,=0.0033,=0.0529,=0.0021,=0.0043,=0.0064,=0.0100,=0.0166,=0.0432,=0.1354,=0.0299,=258
="000685",科创芯片,2022-06-13,=-0.0038,=3798.9500,=0.4536,=169.2938,=0.6964,=42.1555,=70.8736,=119.4427,=181.3925,=335.4323,=10.0749,=0.9256,=3.1235,=4.0945,=5.1937,=7.7502,=15.4697,=20.4270,=0.9354,=7.4796,=10.0843,=12.3340,=15.9117,=31.9311,=0.0009,=0.0813,=0.0005,=0.0010,=0.0015,=0.0021,=0.0026,=0.0152,=0.0415,=0.0074,=516
="H30184",半导体,2013-07-15,=-0.0031,=12698.8600,=0.3800,=102.3136,=0.7365,=33.2056,=51.7413,=79.0931,=107.9511,=186.6477,=8.2643,=0.8796,=2.5082,=3.4349,=4.8993,=7.4938,=12.7528,=13.0694,=0.9654,=1.3963,=2.6456,=7.0437,=9.6153,=20.0377,=0.0015,=0.0713,=0.0010,=0.0017,=0.0024,=0.0034,=0.0070,=0.0203,=0.0527,=0.0094,=3402
="932066",半导体行业精选,2023-11-10,=-0.0034,=5520.7900,=0.3592,=80.0850,=0.4423,=50.1901,=65.3857,=83.6012,=99.8792,=142.8699,=8.0471,=0.7263,=3.1655,=4.1541,=6.7718,=8.4332,=12.2533,=12.3674,=0.7678,=6.6489,=8.4103,=10.8627,=12.6126,=18.4956,=0.0017,=0.2530,=0.0012,=0.0016,=0.0022,=0.0028,=0.0034,=0.0207,=0.0794,=0.0157,=6
="931079",5G通信,2019-04-25,=0.0032,=2554.9700,=0.3253,=45.5787,=0.8286,=21.0709,=27.7329,=33.7018,=44.7062,=103.6981,=7.2783,=0.9539,=2.3623,=3.0512,=3.6351,=5.3614,=10.5199,=2.8321,=0.9410,=1.1916,=1.4919,=1.8879,=2.3719,=4.2354,=0.0056,=0.1973,=0.0036,=0.0056,=0.0082,=0.0121,=0.0152,=0.0389,=0.1398,=0.0276,=2287
="990001",中华半导体芯片,2019-03-18,=0.0002,=15977.9200,=0.3218,=102.0119,=0.6800,=33.1780,=61.6060,=86.2824,=116.8936,=187.5449,=8.1055,=0.8599,=3.1429,=4.2876,=5.3591,=7.5120,=12.4905,=12.7342,=0.9579,=3.3238,=6.0972,=7.1308,=9.5810,=19.5120,=0.0012,=0.0471,=0.0008,=0.0016,=0.0021,=0.0028,=0.0056,=0.0177,=0.0410,=0.0101,=1387
="H30007",芯片产业,2012-12-20,=0.0005,=4167.6700,=0.3161,=91.1327,=0.6899,=24.2382,=40.3144,=71.7353,=113.4115,=186.5687,=8.2154,=0.9068,=1.9412,=3.6288,=4.5513,=7.2965,=12.9184,=12.5124,=0.9687,=1.5871,=3.6985,=6.5621,=8.3878,=19.5328,=0.0013,=0.0404,=0.0008,=0.0017,=0.0023,=0.0046,=0.0105,=0.0230,=0.0446,=0.0109,=546
