指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="950125",科创半导体材料设备,2024-07-26,=0.0081,=4381.9447,=1.0397,=239.0439,=0.9316,=70.4245,=117.4082,=132.2206,=167.8069,=348.7588,=12.5170,=0.9437,=2.8469,=4.7886,=5.4288,=7.0117,=17.6268,=27.1142,=0.9477,=7.2923,=10.9751,=12.9666,=15.6707,=37.4011,=0.0009,=0.2777,=0.0006,=0.0008,=0.0013,=0.0016,=0.0028,=0.0075,=0.0371,=0.0094,=143
="931743",半导体材料设备,2012-12-21,=0.0074,=9983.0117,=0.9388,=161.9479,=0.9639,=30.1973,=39.8789,=61.1153,=89.2829,=224.0742,=12.2621,=0.9613,=2.5588,=3.4295,=4.3098,=7.0506,=17.1334,=18.8669,=0.9665,=2.5903,=3.1703,=3.8552,=11.1755,=25.3851,=0.0012,=0.0335,=0.0009,=0.0020,=0.0029,=0.0045,=0.0073,=0.0198,=0.0706,=0.0130,=289
="931865",中证半导,2019-03-20,=0.0024,=8727.9692,=0.7636,=182.2388,=0.9556,=32.8138,=45.7023,=73.8123,=129.0641,=255.0466,=11.5970,=0.9477,=3.3892,=4.1499,=5.2904,=8.5013,=15.8034,=21.4891,=0.9625,=6.4190,=7.7047,=8.7949,=15.1706,=28.9040,=0.0009,=0.0385,=0.0006,=0.0011,=0.0021,=0.0024,=0.0032,=0.0168,=0.0580,=0.0153,=219
="931144",通信技术,2019-05-30,=0.0299,=3886.7860,=0.6695,=79.3569,=0.9543,=22.8153,=30.4694,=37.1109,=52.0547,=113.1406,=11.8227,=0.9777,=2.5671,=3.1131,=3.7343,=4.8128,=15.3977,=7.2201,=0.9737,=1.6428,=2.1082,=2.5010,=3.4187,=9.4991,=0.0028,=0.0274,=0.0021,=0.0043,=0.0065,=0.0100,=0.0166,=0.0432,=0.1354,=0.0299,=257
="000685",科创芯片,2022-06-13,=0.0043,=4071.2900,=0.5578,=234.3882,=0.9615,=42.1555,=70.3641,=119.1255,=181.0139,=335.4323,=11.3202,=0.9606,=3.1235,=4.0895,=5.1776,=7.6910,=15.4697,=23.3328,=0.9655,=7.4796,=10.0758,=12.3013,=15.8294,=31.9311,=0.0007,=0.0325,=0.0005,=0.0011,=0.0015,=0.0021,=0.0026,=0.0152,=0.0415,=0.0074,=507
="H30184",半导体,2013-07-15,=0.0073,=13582.2663,=0.4760,=133.8030,=0.9592,=33.2056,=51.7038,=78.6503,=107.7511,=186.6477,=9.2971,=0.9460,=2.5082,=3.4337,=4.8814,=7.4763,=12.7528,=14.6878,=0.9848,=1.3963,=2.6456,=7.0245,=9.5055,=20.0377,=0.0013,=0.0247,=0.0010,=0.0017,=0.0024,=0.0035,=0.0070,=0.0203,=0.0527,=0.0094,=3393
="932066",半导体行业精选,2023-11-10,=0.0086,=5919.3027,=0.4573,=106.9153,=0.8759,=50.1901,=65.3279,=83.3886,=99.8752,=142.8699,=9.1769,=0.8939,=3.1655,=4.1490,=6.7562,=8.4156,=12.2533,=13.9843,=0.9118,=6.6489,=8.4035,=10.8107,=12.5803,=18.4956,=0.0016,=0.1390,=0.0012,=0.0017,=0.0022,=0.0028,=0.0034,=0.0207,=0.0794,=0.0157,=6
="990001",中华半导体芯片,2019-03-18,=0.0042,=17181.7555,=0.4213,=134.8322,=0.9261,=33.1780,=61.5415,=86.0876,=116.8442,=187.5449,=9.1536,=0.9455,=3.1429,=4.2841,=5.3498,=7.4918,=12.4905,=14.3699,=0.9767,=3.3238,=6.0957,=7.1262,=9.5588,=19.5120,=0.0011,=0.0200,=0.0008,=0.0016,=0.0021,=0.0028,=0.0056,=0.0177,=0.0410,=0.0101,=1384
="931079",5G通信,2019-04-25,=0.0247,=2727.0428,=0.4146,=54.2074,=0.9560,=21.0709,=27.6767,=33.6230,=44.6600,=103.6981,=8.1517,=0.9746,=2.3623,=3.0445,=3.6310,=5.3326,=10.5199,=3.1345,=0.9650,=1.1916,=1.4912,=1.8817,=2.3649,=4.2354,=0.0050,=0.1304,=0.0036,=0.0056,=0.0082,=0.0121,=0.0152,=0.0389,=0.1398,=0.0276,=2284
="H30007",芯片产业,2012-12-20,=0.0051,=4478.6779,=0.4143,=116.2791,=0.8286,=24.2382,=40.3144,=71.4784,=113.3316,=186.5687,=9.2998,=0.9617,=1.9412,=3.6288,=4.5353,=7.2747,=12.9184,=14.0542,=0.9810,=1.5871,=3.6957,=6.5585,=8.3637,=19.5328,=0.0011,=0.0148,=0.0008,=0.0017,=0.0023,=0.0046,=0.0105,=0.0230,=0.0446,=0.0109,=541
