指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0311,=12021.1900,=-0.0597,=5.7822,=0.7541,=3.2016,=4.0506,=5.1671,=5.8878,=7.9938,=0.5474,=0.4128,=0.3790,=0.4555,=0.5667,=0.7158,=1.0569,=2.2028,=0.8451,=1.0856,=1.4282,=1.7371,=2.0862,=2.9053,,=0.0932,,=0.0548,=80
="H11146",港股通内地金融,2010-06-02,=-0.0421,=1047.1800,=-0.0486,=6.0118,=0.5176,=3.2759,=4.5177,=5.8789,=6.7500,=9.2347,=0.6118,=0.3916,=0.3797,=0.4938,=0.6804,=0.8770,=1.1859,=1.5539,=0.7714,=0.6692,=0.9478,=1.2660,=1.5902,=2.1885,,=0.0962,,=0.0493,=32
="930792",HK银行,2016-04-22,=-0.0343,=4262.8300,=-0.0322,=6.5194,=0.7460,=3.2659,=4.4520,=5.7858,=6.7247,=9.5632,=0.6240,=0.5010,=0.3905,=0.4959,=0.6239,=0.8026,=1.0771,=2.4342,=0.8356,=1.0519,=1.5154,=1.8313,=2.3220,=3.1066,,=0.0964,,=0.0519,=740
="399986",中证银行,2013-07-15,=-0.0328,=7052.9100,=-0.0724,=6.6892,=0.7407,=4.1183,=5.2599,=6.2254,=6.8105,=9.0846,=0.6555,=0.3281,=0.4848,=0.5836,=0.7248,=0.9058,=1.2416,=2.5494,=0.8434,=1.4134,=1.7842,=2.1183,=2.4450,=3.3016,=0.0685,=0.0932,=0.0729,=0.0465,=9444
="H30106",H300金融服务,2013-05-21,=-0.0465,=1458.3200,=-0.0363,=6.7577,=0.4759,=4.0175,=5.3642,=6.9018,=7.7688,=11.1922,=0.7256,=0.4552,=0.4470,=0.5777,=0.7478,=0.9083,=1.2489,=1.8904,=0.8257,=0.8557,=1.1816,=1.4550,=1.8452,=2.3593,,=0.1014,,=0.0470,=17
="399809",保险主题,2015-02-13,=-0.0424,=2352.3900,=-0.1183,=7.1046,=0.2568,=5.4537,=6.8114,=10.6490,=15.0245,=22.8725,=0.7998,=0.2766,=0.6352,=0.7667,=1.2277,=1.4858,=1.9794,=2.0882,=0.9225,=0.5239,=0.8688,=1.0978,=1.3738,=2.3772,=0.0826,=0.1040,=0.0824,=0.0409,=1465
="000018",180金融,2007-12-10,=-0.0353,=5285.1700,=-0.1103,=7.1204,=0.3578,=5.2016,=6.4287,=7.4964,=8.3012,=10.8609,=0.7588,=0.2675,=0.5902,=0.6965,=0.8905,=1.0728,=1.4199,=2.1578,=0.7795,=1.2355,=1.5824,=1.9271,=2.1891,=2.8772,=0.0781,=0.0973,=0.0761,=0.0412,=766
="000818",细分金融,2012-04-11,=-0.0348,=6574.0300,=-0.1097,=7.2407,=0.3401,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7705,=0.2663,=0.5930,=0.7010,=0.9075,=1.0983,=1.4303,=2.2103,=0.7770,=1.2689,=1.6354,=1.9719,=2.2459,=2.9111,=0.0780,=0.0969,=0.0769,=0.0404,=6
="931233",港股通央企红利,2017-06-28,=-0.0250,=1209.3700,=0.0373,=7.3977,=0.7914,=3.6988,=4.9387,=6.2853,=7.4188,=14.0775,=0.7094,=0.6512,=0.3929,=0.5213,=0.6415,=0.8673,=1.8161,=0.9954,=0.5641,=0.4645,=0.6185,=0.9359,=1.3937,=1.7583,,=0.0974,,=0.0537,=402
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0257,=4254.2600,=0.0581,=7.4289,=0.9725,=4.1647,=4.6084,=5.5710,=6.8418,=7.6163,=0.7052,=0.9566,=0.4381,=0.4919,=0.5816,=0.6730,=0.7232,=0.9700,=0.9350,=0.5323,=0.5912,=0.7280,=0.9111,=1.0190,,=0.0980,,=0.0530,=204
="931024",港股通非银,2017-11-06,=-0.0585,=3927.4400,=-0.0853,=7.4554,=0.0140,=6.7549,=8.7514,=11.3820,=13.3914,=22.4310,=1.0593,=0.5174,=0.6237,=0.8455,=1.0445,=1.2269,=1.7592,=1.2619,=0.8393,=0.5870,=0.8715,=1.0056,=1.1978,=2.2002,,=0.1136,,=0.0349,=173
="000914",300金融,2007-07-02,=-0.0351,=5982.5800,=-0.1095,=7.5117,=0.3780,=5.2769,=6.6022,=7.8181,=8.6017,=11.3863,=0.7664,=0.2576,=0.5962,=0.7048,=0.9313,=1.1373,=1.4919,=2.0713,=0.8026,=1.1210,=1.4310,=1.8123,=2.0690,=2.7052,=0.0748,=0.0919,=0.0740,=0.0399,=338
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0303,=2876.9100,=0.0338,=7.5759,=0.9697,=3.7550,=5.0384,=5.7735,=6.6368,=7.9027,=0.7693,=0.9313,=0.4590,=0.5769,=0.6370,=0.7274,=0.8175,=1.1518,=0.9623,=0.5101,=0.6869,=0.7915,=0.8961,=1.2126,,=0.1004,,=0.0523,=266
="987016",港股通红利低波,2021-11-18,,,=0.1587,=7.6995,=0.9915,=3.4544,=4.2823,=4.8578,=6.4202,=7.8983,=0.7123,=0.9877,=0.4152,=0.4836,=0.5357,=0.6292,=0.7308,=1.2436,=0.9763,=0.5827,=0.6577,=0.7852,=0.9972,=1.2881,,=0.0953,,=0.0537,=110
="H11140",香港红利,2009-07-23,=-0.0237,=3941.1700,=0.0794,=7.7484,=0.7739,=3.0693,=4.4554,=5.9842,=8.4154,=13.9623,=0.7380,=0.6414,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.2278,=0.7046,=0.5431,=0.7464,=0.9724,=1.5669,=2.1349,,=0.0974,,=0.0541,=27
="000934",中证金融,2009-07-03,=-0.0363,=5595.5600,=-0.1075,=7.7864,=0.3945,=5.7083,=6.8944,=8.0625,=8.8714,=11.5527,=0.7762,=0.2552,=0.6117,=0.7181,=0.9373,=1.1527,=1.5017,=2.0576,=0.7997,=1.1467,=1.4503,=1.8024,=2.0577,=2.6696,=0.0732,=0.0889,=0.0723,=0.0388,=1147
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0252,=4624.1400,=0.0349,=7.8154,=0.8853,=3.5572,=4.6317,=5.9498,=7.1050,=9.5068,=0.7132,=0.7163,=0.3828,=0.4842,=0.5754,=0.8178,=1.1073,=0.9235,=0.5710,=0.4386,=0.6492,=0.8393,=1.4252,=2.0623,,=0.0887,,=0.0544,=1407
="931157",SHS红利成长LV,2019-04-25,=-0.0363,=7267.6600,=-0.0250,=7.8647,=0.6735,=4.1261,=5.5645,=6.8668,=8.3533,=11.5318,=0.8079,=0.5043,=0.5154,=0.6235,=0.8065,=0.9309,=1.5888,=1.5369,=0.9491,=0.5018,=0.7027,=1.0207,=1.3716,=1.6333,,=0.0965,,=0.0492,=292
="H30270",红利价值,2013-12-19,=-0.0321,=9517.5200,=-0.0016,=7.9065,=0.7641,=4.4543,=5.4191,=6.7237,=8.7856,=13.0955,=0.8231,=0.6448,=0.5256,=0.6478,=0.7582,=1.2599,=1.7317,=1.5949,=0.9911,=0.5854,=0.8083,=0.9930,=1.2557,=1.6417,=0.0717,=0.0975,=0.0748,=0.0433,=167
