指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="H11146",港股通内地金融,2010-06-02,=0.0004,=1160.9573,=0.0532,=5.8805,=0.4692,=3.2759,=4.5181,=6.0399,=6.7473,=9.2347,=0.6348,=0.4457,=0.3797,=0.4941,=0.6582,=0.8737,=1.1859,=1.5618,=0.7496,=0.6692,=0.9479,=1.3189,=1.6008,=2.1885,=0.0464,=0.3408,=0.0302,=0.0445,=0.0500,=0.0726,=0.0994,,=0.0970,,=49
="931024",港股通非银,2017-11-06,=0.0033,=4034.4644,=-0.0620,=6.0394,=0,=6.0394,=8.4579,=10.9118,=13.3018,=22.4310,=1.0125,=0.4422,=0.6237,=0.8533,=1.0405,=1.2205,=1.7592,=1.1590,=0.7027,=0.5870,=0.8776,=1.0201,=1.2309,=2.2002,=0.0402,=0.7671,=0.0165,=0.0269,=0.0347,=0.0413,=0.0611,,=0.1344,,=218
="931039",银行AH,2017-12-06,=-0.0069,=12563.0753,=-0.0176,=6.0851,=0.8742,=3.2016,=4.0979,=5.2575,=5.9083,=7.9938,=0.5741,=0.5355,=0.3790,=0.4590,=0.5652,=0.7103,=1.0569,=2.2828,=0.8963,=1.0856,=1.4357,=1.7576,=2.1673,=2.9053,=0.0465,=0.0892,=0.0324,=0.0491,=0.0544,=0.0737,=0.0997,,=0.0881,,=110
="932584",智选港股通红利低波,2026-06-11,,,,=6.1663,=0.6481,=5.4952,=5.7737,=6.0985,=6.2465,=6.4396,=0.6436,=0.8519,=0.5613,=0.5897,=0.6233,=0.6403,=0.6578,=0.9598,=0.7778,=0.8443,=0.8870,=0.9368,=0.9607,=0.9893,=0.0541,=0.1481,=0.0530,=0.0544,=0.0559,=0.0587,=0.0621,,,,=17
="H30106",H300金融服务,2013-05-21,=0.0024,=1653.0720,=0.0916,=6.8181,=0.4562,=4.0175,=5.3653,=7.0021,=7.7687,=11.1922,=0.7726,=0.5782,=0.4470,=0.5779,=0.7403,=0.9075,=1.2489,=1.9709,=0.8428,=0.8557,=1.1817,=1.4773,=1.9198,=2.3593,=0.0434,=0.2107,=0.0288,=0.0433,=0.0472,=0.0664,=0.0918,,=0.1014,,=24
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0008,=4128.5700,=0.0268,=6.9948,=0.8060,=4.1647,=4.6679,=5.7266,=6.9771,=7.8218,=0.6457,=0.6571,=0.4381,=0.4975,=0.5969,=0.6833,=0.7455,=1.0856,=0.9850,=0.5323,=0.5990,=0.7566,=0.9646,=1.1223,=0.0508,=0.0426,=0.0487,=0.0563,=0.0678,=0.0861,=0.0936,,=0.0921,,=271
="000018",180金融,2007-12-10,=-0.0042,=5399.3200,=-0.0911,=7.0826,=0.3226,=5.2016,=6.4287,=7.5004,=8.3012,=10.8609,=0.7707,=0.3263,=0.5902,=0.6965,=0.8553,=1.0607,=1.4199,=2.1633,=0.7511,=1.2355,=1.5824,=1.9630,=2.2159,=2.8772,=0.0385,=0.4306,=0.0246,=0.0353,=0.0392,=0.0493,=0.0636,=0.0229,=0.0959,=0.0245,=780
="399809",保险主题,2015-02-13,=-0.0043,=2227.9600,=-0.1649,=7.1058,=0.2621,=5.4537,=6.8114,=10.1817,=15.0245,=22.8725,=0.8208,=0.3527,=0.6352,=0.7647,=1.2051,=1.4858,=1.9794,=2.1133,=0.8953,=0.5239,=0.8688,=1.0978,=1.7802,=2.3772,=0.0386,=0.6378,=0.0120,=0.0209,=0.0304,=0.0488,=0.0686,=0.0227,=0.1015,=0.0246,=1518
="399986",中证银行,2013-07-15,=-0.0051,=7300.9600,=-0.0398,=7.1262,=0.8603,=4.1183,=5.2599,=6.3221,=6.8812,=9.0846,=0.6824,=0.4421,=0.4848,=0.5836,=0.7112,=0.8900,=1.2416,=2.6741,=0.9036,=1.4134,=1.7842,=2.1837,=2.5364,=3.3016,=0.0401,=0.1401,=0.0285,=0.0411,=0.0458,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9682
="930792",HK银行,2016-04-22,=0.0002,=5164.4465,=0.1716,=7.1753,=0.8843,=3.2659,=4.4645,=5.8968,=6.8481,=9.5632,=0.6912,=0.6579,=0.3905,=0.4964,=0.6241,=0.8010,=1.0771,=2.6933,=0.9716,=1.0519,=1.5167,=1.8847,=2.4447,=3.1066,=0.0446,=0.0628,=0.0355,=0.0498,=0.0562,=0.0743,=0.1045,,=0.0901,,=762
