指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0035,=12733.7600,=0.0917,=5.9219,=0.8248,=3.2016,=4.0318,=5.1282,=5.8543,=7.9938,=0.5585,=0.4578,=0.3790,=0.4536,=0.5714,=0.7188,=1.0569,=2.2567,=0.8906,=1.0856,=1.4241,=1.7234,=2.0366,=2.9053,,=0.0932,,=0.0517,=60
="H11146",港股通内地金融,2010-06-02,=0.0051,=1100.0200,=0.2896,=6.3456,=0.6505,=3.2759,=4.5181,=5.7826,=6.7473,=9.2347,=0.6453,=0.4232,=0.3797,=0.4941,=0.6902,=0.8792,=1.1859,=1.6402,=0.8631,=0.6692,=0.9479,=1.2460,=1.5605,=2.1885,,=0.0965,,=0.0451,=25
="930792",HK银行,2016-04-22,=0.0066,=4364.0100,=0.3375,=6.9429,=0.8471,=3.2659,=4.4405,=5.7525,=6.6353,=9.5632,=0.6430,=0.5455,=0.3905,=0.4942,=0.6163,=0.8060,=1.0771,=2.5842,=0.9422,=1.0519,=1.5124,=1.8173,=2.2821,=3.1066,,=0.0966,,=0.0489,=719
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0016,=4059.4300,=0.2596,=7.0089,=0.9432,=4.1647,=4.5789,=5.4505,=6.5859,=7.6037,=0.6661,=0.8328,=0.4381,=0.4886,=0.5763,=0.6586,=0.7227,=0.9393,=0.9479,=0.5323,=0.5875,=0.7181,=0.8807,=1.0190,,=0.1030,,=0.0579,=158
="931233",港股通央企红利,2017-06-28,=0.0042,=1175.8400,=0.1900,=7.1123,=0.7254,=3.6988,=4.9297,=6.2315,=7.4146,=14.0775,=0.6823,=0.6084,=0.3929,=0.5204,=0.6339,=0.8725,=1.8161,=0.9790,=0.5635,=0.4645,=0.6146,=0.9222,=1.4033,=1.7583,,=0.0974,,=0.0560,=302
="987016",港股通红利低波,2021-11-18,,,=0.2110,=7.1271,=0.9688,=3.4544,=4.2684,=4.7564,=5.7956,=7.7483,=0.6643,=0.9013,=0.4152,=0.4826,=0.5310,=0.5989,=0.7226,=1.1702,=0.9678,=0.5827,=0.6535,=0.7735,=0.8961,=1.2728,,=0.0954,,=0.0586,=35
="399986",中证银行,2013-07-15,=0.0037,=7591.8800,=0.0663,=7.2217,=0.8983,=4.1183,=5.2645,=6.1828,=6.7850,=9.0846,=0.7058,=0.4195,=0.4848,=0.5838,=0.7312,=0.9111,=1.2416,=2.7524,=0.9498,=1.4134,=1.7845,=2.1074,=2.4175,=3.3016,=0.0685,=0.0932,=0.0729,=0.0415,=9239
="H30106",H300金融服务,2013-05-21,=0.0054,=1518.4000,=0.3735,=7.3328,=0.6594,=4.0175,=5.3627,=6.7600,=7.7687,=11.1922,=0.7679,=0.5261,=0.4470,=0.5779,=0.7487,=0.9094,=1.2489,=2.0502,=0.9356,=0.8557,=1.1817,=1.4425,=1.7872,=2.3593,,=0.1022,,=0.0434,=16
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0021,=2813.5500,=0.2429,=7.3624,=0.9685,=3.7550,=5.0288,=5.7259,=6.5567,=7.8564,=0.7501,=0.8870,=0.4590,=0.5758,=0.6337,=0.7097,=0.8175,=1.1318,=0.9814,=0.5101,=0.6856,=0.7852,=0.8805,=1.2090,,=0.1015,,=0.0531,=247
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0022,=4523.5200,=0.2044,=7.4601,=0.8630,=3.5572,=4.6186,=5.9000,=6.9965,=9.5068,=0.6616,=0.6307,=0.3828,=0.4838,=0.5689,=0.8224,=1.1073,=0.9960,=0.6208,=0.4386,=0.6400,=0.8310,=1.4432,=2.0623,,=0.0870,,=0.0585,=1223
