指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="990001",中华半导体芯片,2019-03-18,=-0.0015,=11550.4900,=0.3758,=120.4386,=0.9068,=33.1780,=60.5433,=82.3813,=110.2827,=160.7761,=6.6851,=0.6943,=3.1429,=4.2158,=5.2133,=7.2873,=10.9977,=9.7774,=0.8952,=3.3238,=6.0024,=6.9882,=8.2588,=12.8553,=0.0430,=0.0381,=0.0329,=0.0015,=1322
="980017",国证芯片,2015-02-17,=-0.0014,=12196.3600,=0.3567,=125.2799,=0.9447,=30.3742,=54.5361,=74.9860,=100.5428,=170.4280,=6.8406,=0.7165,=3.1638,=4.0393,=5.4389,=7.2456,=10.4020,=10.0296,=0.9792,=3.6283,=5.7237,=6.5439,=7.6846,=11.4001,=0.0459,=0.0457,=0.0377,=0.0014,=2452
="931865",中证半导,2019-03-20,=-0.0036,=4719.7400,=0.5482,=127.8535,=0.9265,=32.8138,=42.4741,=68.7183,=99.2819,=160.7441,=8.4210,=0.9277,=3.3892,=4.0950,=4.8645,=5.9771,=10.1878,=15.1539,=0.9300,=6.4190,=7.6319,=8.4090,=10.9301,=18.3257,=0.0487,=0.0525,=0.0410,=0.0010,=148
="950180",科创AI,2024-07-25,=-0.0068,=2131.4400,=0.4291,=136.3704,=0.5220,=66.2784,=93.7886,=127.6563,=179.5667,=271.3436,=10.2389,=0.7683,=3.9039,=5.7124,=8.1698,=10.4253,=12.7815,=14.5452,=0.7097,=6.3298,=8.9959,=12.1245,=15.3641,=18.3701,=0.0572,,,=0.0026,=158
="932087",集成电路,2023-03-29,=-0.0056,=1075,=0.3711,=136.3768,=0.6344,=46.1239,=96.0842,=128.0631,=148.1633,=195.7770,=6.7559,=0.8973,=3.1405,=3.7508,=4.6223,=5.5578,=8.2411,=11.2773,=0.8882,=5.8347,=7.3862,=8.4869,=10.1449,=14.0323,=0.0363,=0.0350,=0.0271,=0.0015,=9
="000682",科创信息,2021-08-16,=-0.0005,=1911.1700,=0.4247,=139.0413,=0.9216,=41.6131,=57.7717,=88.6906,=123.5522,=187.1367,=7.5066,=0.9429,=3.3247,=4.3054,=5.0303,=6.0387,=8.9879,=11.5275,=0.9148,=5.5790,=7.2253,=8.6636,=10.1228,=14.0674,=0.0344,=0.0366,=0.0247,=0.0022,=88
="000689",科创材料,2022-08-15,=0.0094,=1127.2700,=0.4478,=140.7458,=0.8867,=38.7753,=44.3889,=61.2005,=127.0153,=167.0614,=3.8074,=0.7315,=1.9307,=2.5127,=3.0417,=4.2149,=5.8296,=5.5198,=0.9323,=2.1963,=3.0777,=3.8340,=4.4923,=6.3367,=0.0250,=0.0161,=0.0205,=0.0048,=16
="950125",科创半导体材料设备,2024-07-26,=-0.0055,=2065.9400,=0.5235,=144.1488,=0.8412,=70.4245,=110.7769,=122.3935,=141.1487,=184.6174,=6.1266,=0.8559,=2.8469,=4.5684,=5.0596,=5.9154,=7.4583,=13.6739,=0.8529,=7.2923,=10.2476,=12.1110,=13.3787,=16.5188,=0.0306,,,=0.0009,=42
="932000",中证2000,2023-08-11,=0.0147,=3111.1600,=0.3250,=150.8675,=0.8739,=44.0427,=56.4647,=68.5872,=138.1718,=167.7057,=2.7434,=0.8546,=1.5089,=1.9202,=2.2651,=2.5295,=2.9389,=2.2104,=0.8494,=1.1809,=1.5060,=1.7629,=2.0382,=2.3771,=0.0290,=0.0158,=0.0302,=0.0081,=907
="930902",中证数据,2016-10-18,=0.0054,=3062.3500,=0.0759,=153.8524,=0.8732,=37.6891,=56.7303,=76.7393,=114.7802,=366.0842,=4.2644,=0.6522,=2.4001,=3.3976,=3.9444,=4.6141,=5.5077,=2.8668,=0.1923,=2.0473,=2.8782,=3.4249,=4.1810,=7.0542,=0.0264,=0.0116,=0.0125,=0.0045,=221
