指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0059,=12688.9800,=0.0878,=5.8837,=0.8115,=3.2016,=4.0315,=5.1279,=5.8543,=7.9938,=0.5549,=0.4443,=0.3790,=0.4534,=0.5714,=0.7189,=1.0569,=2.2422,=0.8841,=1.0856,=1.4237,=1.7229,=2.0366,=2.9053,,=0.0932,,=0.0520,=60
="H11146",港股通内地金融,2010-06-02,=0,=1094.4800,=0.2831,=6.3115,=0.6343,=3.2759,=4.5181,=5.7826,=6.7473,=9.2347,=0.6418,=0.4180,=0.3797,=0.4941,=0.6904,=0.8796,=1.1859,=1.6314,=0.8546,=0.6692,=0.9479,=1.2460,=1.5594,=2.1885,,=0.0965,,=0.0453,=25
="930792",HK银行,2016-04-22,=0.0043,=4335.5500,=0.3288,=6.8915,=0.8412,=3.2659,=4.4405,=5.7510,=6.6327,=9.5632,=0.6383,=0.5390,=0.3905,=0.4942,=0.6163,=0.8060,=1.0771,=2.5650,=0.9292,=1.0519,=1.5124,=1.8173,=2.2813,=3.1066,,=0.0966,,=0.0493,=719
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0088,=4052.9900,=0.2576,=6.9865,=0.9368,=4.1647,=4.5789,=5.4504,=6.5858,=7.6037,=0.6640,=0.8231,=0.4381,=0.4886,=0.5762,=0.6584,=0.7227,=0.9363,=0.9447,=0.5323,=0.5875,=0.7181,=0.8805,=1.0190,,=0.1030,,=0.0581,=157
="931233",港股通央企红利,2017-06-28,=0.0025,=1170.9300,=0.1851,=7.0861,=0.7128,=3.6988,=4.9297,=6.2286,=7.4146,=14.0775,=0.6798,=0.6018,=0.3929,=0.5204,=0.6338,=0.8725,=1.8161,=0.9754,=0.5619,=0.4645,=0.6146,=0.9214,=1.4033,=1.7583,,=0.0974,,=0.0562,=301
="987016",港股通红利低波,2021-11-18,,,=0.2101,=7.1080,=0.9677,=3.4544,=4.2659,=4.7550,=5.7956,=7.7483,=0.6625,=0.8992,=0.4152,=0.4814,=0.5310,=0.5989,=0.7226,=1.1671,=0.9667,=0.5827,=0.6534,=0.7734,=0.8961,=1.2728,,=0.0954,,=0.0588,=35
="399986",中证银行,2013-07-15,=-0.0056,=7563.9900,=0.0624,=7.1865,=0.8827,=4.1183,=5.2645,=6.1828,=6.7848,=9.0846,=0.7024,=0.4109,=0.4848,=0.5838,=0.7313,=0.9111,=1.2416,=2.7390,=0.9428,=1.4134,=1.7845,=2.1074,=2.4160,=3.3016,=0.0685,=0.0932,=0.0729,=0.0417,=9239
="H30106",H300金融服务,2013-05-21,=0.0039,=1510.2700,=0.3662,=7.2869,=0.6420,=4.0175,=5.3627,=6.7555,=7.7687,=11.1922,=0.7631,=0.5180,=0.4470,=0.5779,=0.7487,=0.9097,=1.2489,=2.0373,=0.9230,=0.8557,=1.1817,=1.4425,=1.7865,=2.3593,,=0.1022,,=0.0437,=16
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0013,=2807.6300,=0.2403,=7.3376,=0.9595,=3.7550,=5.0263,=5.7247,=6.5567,=7.8564,=0.7475,=0.8799,=0.4590,=0.5756,=0.6336,=0.7097,=0.8175,=1.1280,=0.9782,=0.5101,=0.6855,=0.7851,=0.8805,=1.2090,,=0.1015,,=0.0533,=247
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0018,=4513.4800,=0.2018,=7.4465,=0.8629,=3.5572,=4.6186,=5.8987,=6.9951,=9.5068,=0.6604,=0.6296,=0.3828,=0.4838,=0.5689,=0.8224,=1.1073,=0.9941,=0.6202,=0.4386,=0.6400,=0.8309,=1.4432,=2.0623,,=0.0870,,=0.0586,=1219
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0028,=1284.6800,=0.2958,=7.5760,=0.7946,=3.6777,=4.8617,=6.5437,=7.5947,=10.6953,=0.7073,=0.5501,=0.4041,=0.5047,=0.6486,=0.9071,=1.1746,=1.1179,=0.5668,=0.5013,=0.7009,=1.0571,=1.4996,=1.9871,,=0.0974,,=0.0584,=863
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0016,=2496.9900,=0.2114,=7.5825,=0.9624,=3.8979,=4.9331,=5.7483,=7.0119,=8.1550,=0.6858,=0.8634,=0.4277,=0.5140,=0.5699,=0.6582,=0.8197,=1.1677,=0.9201,=0.5333,=0.6917,=0.8593,=1.0878,=1.3442,,=0.0939,,=0.0562,=429
="930914",港股通高股息,2016-11-25,=0.0011,=4951.0900,=0.1667,=7.6896,=0.8150,=3.4280,=4.3883,=5.8075,=7.5832,=11.1979,=0.7274,=0.6702,=0.3979,=0.4987,=0.6037,=0.8599,=1.1764,=1.1976,=0.7909,=0.5144,=0.6880,=0.9120,=1.2174,=2.2126,,=0.1031,,=0.0577,=538
="HSCSOE",恒生中国央企指数,2023-01-01,=0.0066,=3586.4200,=0.2386,=7.7458,=0.9344,=4.9972,=5.5006,=5.9455,=6.9350,=8.3212,=0.7474,=0.8975,=0.5264,=0.5846,=0.6226,=0.7021,=0.8025,=0.8876,=0.9577,=0.5404,=0.5898,=0.6507,=0.7737,=0.9532,,=0.0979,,=0.0525,=97
="932596",港股通红利低波,2016-02-04,=-0.0005,=3866.5600,=0.2043,=7.7927,=0.4154,=7.4451,=7.5585,=7.9853,=8.3006,=8.5745,=0.7094,=0.8769,=0.6528,=0.6628,=0.6959,=0.7078,=0.7309,=1.2724,=0.4154,=1.2161,=1.2346,=1.3071,=1.3648,=1.4099,,,,=0.0545,=26
="399809",保险主题,2015-02-13,=0.0014,=2676.7400,=0.2093,=7.8043,=0.3162,=5.4537,=6.8119,=10.6897,=15.0228,=22.8725,=0.8765,=0.3343,=0.6352,=0.7669,=1.2356,=1.4853,=1.9794,=2.2938,=0.9757,=0.5239,=0.8689,=1.0929,=1.3106,=2.3772,=0.0826,=0.0985,=0.0781,=0.0357,=1402
="000018",180金融,2007-12-10,=-0.0031,=5919.8900,=0.0931,=7.8494,=0.6381,=5.2016,=6.4226,=7.4770,=8.3000,=10.8609,=0.8338,=0.3969,=0.5902,=0.6966,=0.9209,=1.0791,=1.4199,=2.3795,=0.9012,=1.2355,=1.5826,=1.9106,=2.1576,=2.8772,=0.0787,=0.0991,=0.0776,=0.0362,=754
="H30270",红利价值,2013-12-19,=-0.0051,=9478.6800,=0.0001,=7.8738,=0.7639,=4.4543,=5.3992,=6.7020,=8.8591,=13.0955,=0.8183,=0.6405,=0.5256,=0.6466,=0.7534,=1.2692,=1.7317,=1.5883,=0.9991,=0.5854,=0.8026,=0.9864,=1.2239,=1.5994,=0.0710,=0.0973,=0.0746,=0.0422,=120
="000818",细分金融,2012-04-11,=-0.0028,=7360.2200,=0.0848,=7.9750,=0.6101,=5.2356,=6.4985,=7.6687,=8.4810,=10.9951,=0.8467,=0.3895,=0.5930,=0.7010,=0.9357,=1.1062,=1.4303,=2.4350,=0.9004,=1.2689,=1.6360,=1.9651,=2.2130,=2.9111,=0.0780,=0.0967,=0.0768,=0.0355,=4
="HSSCHYS",恒生港股通红利优选指数,2023-06-01,=0.0042,=4674.9700,=0.2873,=7.9806,=0.9510,=4.2457,=4.6734,=5.6080,=7.2745,=8.5630,=0.7320,=0.8973,=0.4429,=0.4935,=0.5691,=0.6990,=0.7859,=1.0342,=0.9273,=0.6036,=0.6668,=0.8581,=0.9746,=1.1099,,=0.0975,,=0.0612,=60
